symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MOTHERSUMI"," EQ"," 23-Mar-2022"," 136.40"," 137.10"," 137.80"," 134.45"," 134.85"," 135.05"," 135.81"," 5451318"," 7403.58"," 36736"," 1734922"," 31.83",148,124,40.49,03/23/2022,F
"MOTHERSUMI"," EQ"," 22-Mar-2022"," 133.30"," 133.50"," 136.70"," 131.05"," 136.40"," 136.40"," 133.86"," 8101170"," 10844.47"," 45905"," 2017688"," 24.91",176,123,40.46,03/22/2022,F
"MOTHERSUMI"," EQ"," 21-Mar-2022"," 136.95"," 138.50"," 138.50"," 133.00"," 133.30"," 133.30"," 134.77"," 8430301"," 11361.65"," 57676"," 3216496"," 38.15",146,122,40.66,03/21/2022,F
"MOTHERSUMI"," EQ"," 17-Mar-2022"," 133.30"," 135.40"," 139.50"," 134.80"," 136.60"," 136.95"," 137.44"," 20965957"," 28816.36"," 73872"," 10403757"," 49.62",284,121,40.99,03/17/2022,T
"MOTHERSUMI"," EQ"," 16-Mar-2022"," 133.65"," 136.30"," 136.90"," 132.45"," 133.30"," 133.30"," 134.22"," 19070691"," 25596.72"," 117881"," 8913678"," 46.74",162,118,40.72,03/16/2022,T
"MOTHERSUMI"," EQ"," 15-Mar-2022"," 128.20"," 129.25"," 136.40"," 129.25"," 133.00"," 133.65"," 133.39"," 20099612"," 26810.20"," 97910"," 4090578"," 20.35",205,118,40.35,03/15/2022,F
"MOTHERSUMI"," EQ"," 14-Mar-2022"," 131.55"," 131.55"," 131.75"," 125.75"," 128.10"," 128.20"," 127.64"," 20160850"," 25732.70"," 87724"," 8616488"," 42.74",230,118,40.68,03/14/2022,T
"MOTHERSUMI"," EQ"," 11-Mar-2022"," 132.60"," 132.00"," 132.60"," 128.05"," 131.60"," 131.55"," 130.16"," 23681374"," 30823.77"," 144478"," 9934986"," 41.95",164,116,40.63,03/11/2022,T
"MOTHERSUMI"," EQ"," 10-Mar-2022"," 128.00"," 134.90"," 139.40"," 131.70"," 132.65"," 132.60"," 135.42"," 22318441"," 30223.17"," 125514"," 6679635"," 29.93",178,116,40.33,03/10/2022,F
"MOTHERSUMI"," EQ"," 09-Mar-2022"," 126.75"," 129.00"," 130.00"," 126.65"," 128.30"," 128.00"," 128.43"," 15970122"," 20510.97"," 73230"," 6707152"," 42.00",218,115,40.17,03/09/2022,T
