symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MPHASIS"," EQ"," 23-Mar-2022"," 3186.65"," 3191.00"," 3265.00"," 3182.05"," 3232.00"," 3240.90"," 3228.10"," 517606"," 16708.82"," 41133"," 207844"," 40.15",13,14,48.51,03/23/2022,F
"MPHASIS"," EQ"," 22-Mar-2022"," 3103.90"," 3103.90"," 3199.00"," 3095.55"," 3190.00"," 3186.65"," 3165.78"," 655289"," 20744.98"," 47957"," 295136"," 45.04",14,14,48.65,03/22/2022,F
"MPHASIS"," EQ"," 21-Mar-2022"," 3106.90"," 3110.00"," 3152.40"," 3070.00"," 3101.50"," 3103.90"," 3106.59"," 539535"," 16761.13"," 56388"," 319942"," 59.30",10,14,48.63,03/21/2022,F
"MPHASIS"," EQ"," 17-Mar-2022"," 3098.00"," 3174.00"," 3176.95"," 3097.95"," 3112.00"," 3106.90"," 3122.15"," 643321"," 20085.46"," 42904"," 288274"," 44.81",15,14,48.52,03/17/2022,F
"MPHASIS"," EQ"," 16-Mar-2022"," 3187.20"," 3260.00"," 3269.65"," 3023.10"," 3077.10"," 3098.00"," 3117.86"," 1328257"," 41413.13"," 96459"," 647400"," 48.74",14,14,48.41,03/16/2022,F
"MPHASIS"," EQ"," 15-Mar-2022"," 3313.15"," 3318.00"," 3339.55"," 3145.05"," 3200.00"," 3187.20"," 3264.82"," 917776"," 29963.75"," 66100"," 556444"," 60.63",14,14,48.62,03/15/2022,F
"MPHASIS"," EQ"," 14-Mar-2022"," 3285.90"," 3299.00"," 3359.90"," 3262.20"," 3308.15"," 3313.15"," 3316.88"," 412311"," 13675.87"," 41645"," 182966"," 44.38",10,14,48.48,03/14/2022,F
"MPHASIS"," EQ"," 11-Mar-2022"," 3201.90"," 3201.90"," 3300.00"," 3171.20"," 3289.00"," 3285.90"," 3250.30"," 326673"," 10617.86"," 33796"," 133728"," 40.94",10,14,48.38,03/11/2022,F
"MPHASIS"," EQ"," 10-Mar-2022"," 3214.45"," 3250.00"," 3285.00"," 3181.10"," 3229.00"," 3201.90"," 3229.16"," 557311"," 17996.44"," 47302"," 307198"," 55.12",12,14,48.11,03/10/2022,F
"MPHASIS"," EQ"," 09-Mar-2022"," 3175.30"," 3201.15"," 3267.10"," 3190.35"," 3212.00"," 3214.45"," 3232.12"," 612713"," 19803.63"," 48850"," 291973"," 47.65",13,14,47.72,03/09/2022,F
"MPHASIS"," EQ"," 08-Mar-2022"," 3126.40"," 3165.00"," 3200.00"," 3135.00"," 3176.90"," 3175.30"," 3169.50"," 497170"," 15757.83"," 34014"," 282348"," 56.79",15,14,47.53,03/08/2022,T
"MPHASIS"," EQ"," 04-Mar-2022"," 3145.70"," 3126.80"," 3218.00"," 3092.10"," 3186.00"," 3187.15"," 3181.61"," 543605"," 17295.39"," 53107"," 255749"," 47.05",10,14,47.28,03/04/2022,F
"MPHASIS"," EQ"," 03-Mar-2022"," 3149.65"," 3169.00"," 3245.00"," 3105.10"," 3145.00"," 3145.70"," 3192.00"," 900478"," 28743.27"," 70988"," 458062"," 50.87",13,14,46.94,03/03/2022,F
"MPHASIS"," EQ"," 02-Mar-2022"," 3108.70"," 3096.00"," 3173.00"," 3060.10"," 3137.05"," 3149.65"," 3135.95"," 390699"," 12252.12"," 48378"," 137292"," 35.14",8,15,46.96,03/02/2022,F
"MPHASIS"," EQ"," 28-Feb-2022"," 3050.40"," 3008.00"," 3132.65"," 2975.00"," 3100.00"," 3108.70"," 3068.87"," 546703"," 16777.62"," 39707"," 307122"," 56.18",14,15,47.24,02/28/2022,F
"MPHASIS"," EQ"," 25-Feb-2022"," 2951.95"," 3030.00"," 3099.50"," 2990.70"," 3048.00"," 3050.40"," 3056.55"," 289108"," 8836.74"," 25455"," 117610"," 40.68",11,15,47.19,02/25/2022,F
"MPHASIS"," EQ"," 24-Feb-2022"," 3108.40"," 2986.00"," 3063.95"," 2930.00"," 2953.00"," 2951.95"," 2989.92"," 432597"," 12934.32"," 33969"," 215373"," 49.79",13,15,47.44,02/24/2022,F
"MPHASIS"," EQ"," 23-Feb-2022"," 3122.35"," 3130.00"," 3169.00"," 3098.05"," 3119.90"," 3108.40"," 3134.76"," 429372"," 13459.76"," 29425"," 268830"," 62.61",15,15,47.48,02/23/2022,F
"MPHASIS"," EQ"," 22-Feb-2022"," 3064.90"," 2961.00"," 3145.50"," 2959.40"," 3122.05"," 3122.35"," 3107.29"," 841097"," 26135.29"," 54394"," 345936"," 41.13",15,15,47.44,02/22/2022,F
"MPHASIS"," EQ"," 21-Feb-2022"," 3021.95"," 2980.00"," 3082.95"," 2947.70"," 3059.00"," 3064.90"," 3020.86"," 502347"," 15175.21"," 35747"," 222820"," 44.36",14,15,47.66,02/21/2022,F
"MPHASIS"," EQ"," 18-Feb-2022"," 3009.55"," 2952.00"," 3043.35"," 2952.00"," 3025.00"," 3021.95"," 3020.05"," 219536"," 6630.09"," 17030"," 94146"," 42.88",13,15,47.77,02/18/2022,F
"MPHASIS"," EQ"," 17-Feb-2022"," 2988.95"," 3018.80"," 3038.00"," 2991.90"," 3005.35"," 3009.55"," 3011.46"," 289180"," 8708.53"," 29210"," 157789"," 54.56",10,15,47.84,02/17/2022,F
"MPHASIS"," EQ"," 16-Feb-2022"," 2993.90"," 3000.00"," 3050.00"," 2966.15"," 2974.95"," 2988.95"," 3014.92"," 476398"," 14363.00"," 32856"," 228668"," 48.00",15,15,47.75,02/16/2022,F
"MPHASIS"," EQ"," 15-Feb-2022"," 2899.95"," 2950.00"," 3007.20"," 2863.45"," 3005.95"," 2993.90"," 2932.06"," 653338"," 19156.29"," 51620"," 382140"," 58.49",13,15,47.82,02/15/2022,F
"MPHASIS"," EQ"," 14-Feb-2022"," 3001.55"," 2905.00"," 2988.65"," 2883.00"," 2894.45"," 2899.95"," 2948.32"," 475833"," 14029.07"," 34938"," 277798"," 58.38",14,15,47.76,02/14/2022,F
"MPHASIS"," EQ"," 11-Feb-2022"," 3110.15"," 3068.00"," 3077.65"," 2945.00"," 2997.30"," 3001.55"," 2995.29"," 589646"," 17661.62"," 47961"," 281994"," 47.82",12,15,47.50,02/11/2022,F
"MPHASIS"," EQ"," 10-Feb-2022"," 3030.25"," 3046.20"," 3118.00"," 3020.00"," 3106.00"," 3110.15"," 3076.77"," 634918"," 19535.00"," 34243"," 421507"," 66.39",19,15,47.68,02/10/2022,T
"MPHASIS"," EQ"," 09-Feb-2022"," 2981.60"," 2997.30"," 3069.95"," 2993.60"," 3036.00"," 3030.25"," 3021.89"," 384113"," 11607.49"," 32636"," 196948"," 51.27",12,15,47.32,02/09/2022,F
"MPHASIS"," EQ"," 08-Feb-2022"," 3022.40"," 3040.20"," 3057.50"," 2940.00"," 2984.00"," 2981.60"," 2985.78"," 235153"," 7021.14"," 20402"," 92901"," 39.51",12,15,47.24,02/08/2022,F
"MPHASIS"," EQ"," 07-Feb-2022"," 3051.85"," 3051.70"," 3077.95"," 2995.00"," 3018.00"," 3022.40"," 3026.37"," 193583"," 5858.54"," 18630"," 72122"," 37.26",10,15,47.46,02/07/2022,F
"MPHASIS"," EQ"," 04-Feb-2022"," 3013.75"," 2986.00"," 3064.60"," 2977.30"," 3050.10"," 3051.85"," 3029.30"," 226441"," 6859.57"," 20758"," 79533"," 35.12",11,15,47.74,02/04/2022,F
"MPHASIS"," EQ"," 03-Feb-2022"," 3127.70"," 3129.00"," 3129.95"," 2990.30"," 3004.00"," 3013.75"," 3056.08"," 302239"," 9236.67"," 28270"," 127917"," 42.32",11,15,47.95,02/03/2022,F
"MPHASIS"," EQ"," 02-Feb-2022"," 3146.95"," 3113.10"," 3187.05"," 3113.10"," 3130.00"," 3127.70"," 3139.60"," 342507"," 10753.37"," 34956"," 188795"," 55.12",10,15,47.85,02/02/2022,F
"MPHASIS"," EQ"," 01-Feb-2022"," 3106.50"," 3140.00"," 3194.95"," 3110.05"," 3147.00"," 3146.95"," 3143.91"," 339786"," 10682.56"," 42434"," 151627"," 44.62",8,16,47.79,02/01/2022,F
"MPHASIS"," EQ"," 31-Jan-2022"," 3039.30"," 3076.10"," 3146.85"," 3076.10"," 3102.00"," 3106.50"," 3108.39"," 389982"," 12122.17"," 41719"," 139273"," 35.71",9,16,47.74,01/31/2022,F
"MPHASIS"," EQ"," 28-Jan-2022"," 2934.00"," 2989.45"," 3110.00"," 2974.30"," 3031.10"," 3039.30"," 3051.06"," 474404"," 14474.34"," 38035"," 162865"," 34.33",12,16,47.82,01/28/2022,F
"MPHASIS"," EQ"," 27-Jan-2022"," 3062.25"," 3001.05"," 3034.95"," 2890.50"," 2941.00"," 2934.00"," 2943.69"," 956035"," 28142.74"," 90516"," 442321"," 46.27",11,16,47.92,01/27/2022,F
"MPHASIS"," EQ"," 25-Jan-2022"," 2947.35"," 2928.00"," 3072.35"," 2845.25"," 3042.00"," 3062.25"," 3021.23"," 914743"," 27636.46"," 82026"," 412923"," 45.14",11,16,47.85,01/25/2022,F
"MPHASIS"," EQ"," 24-Jan-2022"," 3024.60"," 3025.95"," 3060.00"," 2845.25"," 2935.00"," 2947.35"," 2906.72"," 1189507"," 34575.67"," 107094"," 660504"," 55.53",11,16,47.76,01/24/2022,F
"MPHASIS"," EQ"," 21-Jan-2022"," 3051.05"," 3026.00"," 3200.00"," 2920.00"," 3015.05"," 3024.60"," 3073.82"," 1640071"," 50412.85"," 98551"," 577125"," 35.19",17,16,47.49,01/21/2022,F
