symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MRF"," EQ"," 25-Mar-2022"," 66718.75"," 66900.05"," 67179.65"," 66000.00"," 66386.00"," 66501.10"," 66500.02"," 5838"," 3882.27"," 3968"," 1832"," 31.38",1,2,36.08,03/25/2022,F
"MRF"," EQ"," 24-Mar-2022"," 66844.70"," 66840.00"," 67399.95"," 66450.00"," 66620.00"," 66718.75"," 66983.80"," 7400"," 4956.80"," 4890"," 2559"," 34.58",2,2,36.20,03/24/2022,F
"MRF"," EQ"," 23-Mar-2022"," 67096.60"," 67105.00"," 67726.60"," 66611.10"," 66889.00"," 66844.70"," 67118.77"," 8261"," 5544.68"," 5590"," 3082"," 37.31",1,2,36.40,03/23/2022,F
"MRF"," EQ"," 22-Mar-2022"," 66876.35"," 67248.90"," 67300.00"," 65900.00"," 67017.25"," 67096.60"," 66686.18"," 9663"," 6443.89"," 6230"," 1635"," 16.92",2,2,36.40,03/22/2022,F
"MRF"," EQ"," 21-Mar-2022"," 68957.80"," 69652.65"," 69860.00"," 66588.00"," 66944.00"," 66876.35"," 67919.94"," 12368"," 8400.34"," 7494"," 3812"," 30.82",2,2,36.61,03/21/2022,F
"MRF"," EQ"," 17-Mar-2022"," 68370.45"," 68600.00"," 69889.00"," 68500.10"," 68856.00"," 68957.80"," 69253.03"," 14905"," 10322.16"," 8799"," 7119"," 47.76",2,2,36.92,03/17/2022,F
"MRF"," EQ"," 16-Mar-2022"," 68085.00"," 68700.00"," 68849.90"," 68186.65"," 68400.00"," 68370.45"," 68453.17"," 7593"," 5197.65"," 4505"," 3699"," 48.72",2,2,36.88,03/16/2022,F
"MRF"," EQ"," 15-Mar-2022"," 68372.35"," 68200.00"," 68995.00"," 67500.00"," 68080.00"," 68085.00"," 68341.04"," 9065"," 6195.12"," 5879"," 3104"," 34.24",2,2,36.39,03/15/2022,F
"MRF"," EQ"," 14-Mar-2022"," 67898.30"," 68034.00"," 68450.00"," 67405.05"," 68001.80"," 68372.35"," 67971.92"," 6352"," 4317.58"," 4209"," 1689"," 26.59",2,2,36.39,03/14/2022,F
"MRF"," EQ"," 11-Mar-2022"," 66881.90"," 66590.00"," 68094.05"," 66365.00"," 68039.00"," 67898.30"," 67414.85"," 7705"," 5194.31"," 5140"," 2484"," 32.24",1,2,36.62,03/11/2022,F
"MRF"," EQ"," 10-Mar-2022"," 66087.85"," 66687.85"," 67497.80"," 66555.00"," 66949.00"," 66881.90"," 66944.54"," 9680"," 6480.23"," 6196"," 3129"," 32.32",2,2,36.51,03/10/2022,F
"MRF"," EQ"," 09-Mar-2022"," 66394.85"," 66600.00"," 66950.00"," 65890.20"," 66000.00"," 66087.85"," 66505.62"," 6893"," 4584.23"," 4453"," 2314"," 33.57",2,2,36.40,03/09/2022,F
"MRF"," EQ"," 08-Mar-2022"," 66153.10"," 66150.00"," 66650.00"," 65501.00"," 66155.05"," 66394.85"," 66121.23"," 8208"," 5427.23"," 4939"," 2420"," 29.48",2,2,36.41,03/08/2022,F
"MRF"," EQ"," 04-Mar-2022"," 66035.45"," 65600.00"," 66199.95"," 65000.00"," 66000.00"," 65911.30"," 65723.82"," 18449"," 12125.39"," 7628"," 10439"," 56.58",2,2,36.08,03/04/2022,F
"MRF"," EQ"," 03-Mar-2022"," 66223.85"," 66950.00"," 66980.00"," 65723.00"," 66050.00"," 66035.45"," 66127.82"," 13310"," 8801.61"," 6530"," 7157"," 53.77",2,2,35.60,03/03/2022,F
"MRF"," EQ"," 02-Mar-2022"," 65740.95"," 65660.00"," 66500.00"," 65140.85"," 66280.00"," 66223.85"," 66037.71"," 18103"," 11954.81"," 8513"," 9710"," 53.64",2,2,35.30,03/02/2022,F
"MRF"," EQ"," 28-Feb-2022"," 65651.70"," 65252.00"," 66250.00"," 64450.00"," 65900.00"," 65740.95"," 65628.47"," 13429"," 8813.25"," 9189"," 4793"," 35.69",1,2,35.14,02/28/2022,F
"MRF"," EQ"," 25-Feb-2022"," 63945.60"," 64100.00"," 65814.95"," 64022.70"," 65300.00"," 65651.70"," 65112.99"," 19903"," 12959.44"," 11579"," 7734"," 38.86",2,2,34.96,02/25/2022,F
"MRF"," EQ"," 24-Feb-2022"," 65803.60"," 64350.00"," 65850.00"," 63000.00"," 63000.00"," 63945.60"," 63769.42"," 43260"," 27586.65"," 16702"," 25869"," 59.80",3,2,34.94,02/24/2022,T
"MRF"," EQ"," 23-Feb-2022"," 65769.60"," 66164.20"," 66799.95"," 65701.00"," 65780.35"," 65803.60"," 66165.80"," 11015"," 7288.16"," 6942"," 4556"," 41.36",2,2,34.57,02/23/2022,F
"MRF"," EQ"," 22-Feb-2022"," 64734.65"," 63000.00"," 65999.05"," 63000.00"," 65900.05"," 65769.60"," 64901.80"," 26513"," 17207.41"," 10355"," 14270"," 53.82",3,2,34.45,02/22/2022,T
"MRF"," EQ"," 21-Feb-2022"," 65638.95"," 65574.90"," 65574.90"," 64602.35"," 64735.00"," 64734.65"," 64952.37"," 10513"," 6828.44"," 6386"," 4794"," 45.60",2,2,33.93,02/21/2022,F
"MRF"," EQ"," 18-Feb-2022"," 65615.75"," 65315.00"," 66263.30"," 65210.30"," 65700.00"," 65638.95"," 65599.58"," 19661"," 12897.53"," 6525"," 13016"," 66.20",3,2,33.85,02/18/2022,T
"MRF"," EQ"," 17-Feb-2022"," 66140.60"," 66450.00"," 66641.40"," 65439.65"," 65439.65"," 65615.75"," 65829.31"," 7727"," 5086.63"," 5065"," 2436"," 31.53",2,2,33.34,02/17/2022,F
"MRF"," EQ"," 16-Feb-2022"," 66680.15"," 67240.00"," 67275.00"," 66000.90"," 66025.00"," 66140.60"," 66618.45"," 12266"," 8171.42"," 6677"," 4480"," 36.52",2,2,33.54,02/16/2022,F
"MRF"," EQ"," 15-Feb-2022"," 65929.00"," 66475.00"," 66999.90"," 65007.05"," 66700.00"," 66680.15"," 66107.56"," 14444"," 9548.58"," 9382"," 3725"," 25.79",2,2,33.69,02/15/2022,F
"MRF"," EQ"," 14-Feb-2022"," 68233.45"," 67866.00"," 67866.00"," 65708.00"," 65985.60"," 65929.00"," 66330.40"," 18628"," 12356.03"," 8787"," 4566"," 24.51",2,2,34.10,02/14/2022,F
"MRF"," EQ"," 11-Feb-2022"," 69769.20"," 69700.00"," 69700.00"," 68038.20"," 68249.85"," 68233.45"," 68657.61"," 15042"," 10327.48"," 9938"," 6299"," 41.88",2,2,34.53,02/11/2022,F
"MRF"," EQ"," 10-Feb-2022"," 70426.60"," 70919.60"," 70919.60"," 69501.00"," 69800.00"," 69769.20"," 69956.17"," 14416"," 10084.88"," 8706"," 3106"," 21.55",2,2,34.50,02/10/2022,F
"MRF"," EQ"," 09-Feb-2022"," 69426.35"," 69601.00"," 70579.85"," 69601.00"," 70450.00"," 70426.60"," 70109.64"," 5620"," 3940.16"," 3457"," 1664"," 29.61",2,2,34.81,02/09/2022,F
"MRF"," EQ"," 08-Feb-2022"," 68798.80"," 69240.00"," 69800.00"," 68500.00"," 69400.00"," 69426.35"," 69238.90"," 11669"," 8079.49"," 7043"," 3605"," 30.89",2,2,34.86,02/08/2022,F
"MRF"," EQ"," 07-Feb-2022"," 70006.40"," 70398.95"," 70421.85"," 68600.00"," 68830.00"," 68798.80"," 69284.37"," 12143"," 8413.20"," 7468"," 4795"," 39.49",2,2,34.66,02/07/2022,F
"MRF"," EQ"," 04-Feb-2022"," 70987.15"," 70987.00"," 71297.50"," 69851.90"," 70000.00"," 70006.40"," 70308.52"," 11034"," 7757.84"," 7197"," 3842"," 34.82",2,2,34.51,02/04/2022,F
"MRF"," EQ"," 03-Feb-2022"," 71462.45"," 70450.00"," 71930.00"," 70111.30"," 70920.15"," 70987.15"," 71110.76"," 10786"," 7670.01"," 6852"," 1573"," 14.58",2,2,34.51,02/03/2022,F
"MRF"," EQ"," 02-Feb-2022"," 71515.45"," 71601.00"," 72674.65"," 71185.00"," 71385.90"," 71462.45"," 71682.22"," 8742"," 6266.46"," 5781"," 3510"," 40.15",2,2,34.91,02/02/2022,F
"MRF"," EQ"," 01-Feb-2022"," 72148.10"," 72400.00"," 72680.00"," 71200.20"," 71460.05"," 71515.45"," 71826.06"," 12365"," 8881.29"," 6074"," 5606"," 45.34",2,2,34.81,02/01/2022,F
"MRF"," EQ"," 31-Jan-2022"," 71327.70"," 72180.00"," 72500.05"," 71401.05"," 71960.10"," 72148.10"," 72098.29"," 6201"," 4470.81"," 3716"," 1148"," 18.51",2,2,34.52,01/31/2022,F
"MRF"," EQ"," 28-Jan-2022"," 70712.65"," 71070.00"," 72850.00"," 71070.00"," 71200.00"," 71327.70"," 72019.17"," 9147"," 6587.59"," 6139"," 1811"," 19.80",1,2,34.63,01/28/2022,F
"MRF"," EQ"," 27-Jan-2022"," 70569.95"," 70120.00"," 71049.00"," 69459.55"," 70660.00"," 70712.65"," 70147.17"," 10272"," 7205.52"," 6381"," 2977"," 28.98",2,2,34.72,01/27/2022,F
"MRF"," EQ"," 25-Jan-2022"," 71077.35"," 70900.00"," 72249.55"," 69815.40"," 70599.00"," 70569.95"," 70909.00"," 11974"," 8490.64"," 8100"," 4443"," 37.11",1,2,34.79,01/25/2022,F
"MRF"," EQ"," 24-Jan-2022"," 72697.10"," 72700.00"," 72989.95"," 70002.00"," 71145.00"," 71077.35"," 71112.48"," 10330"," 7345.92"," 7116"," 2756"," 26.68",1,2,34.53,01/24/2022,F
"MRF"," EQ"," 21-Jan-2022"," 73728.25"," 73640.00"," 74800.00"," 72054.35"," 72808.80"," 72697.10"," 73353.81"," 11025"," 8087.26"," 7400"," 2479"," 22.49",1,2,34.53,01/21/2022,F
"MRF"," EQ"," 20-Jan-2022"," 76529.85"," 76097.95"," 76097.95"," 73500.00"," 73640.00"," 73728.25"," 74123.39"," 16368"," 12132.52"," 10325"," 5560"," 33.97",2,2,34.69,01/20/2022,F
"MRF"," EQ"," 19-Jan-2022"," 76296.85"," 76300.00"," 76780.30"," 75650.00"," 76202.10"," 76529.85"," 76160.13"," 6542"," 4982.40"," 4508"," 2195"," 33.55",1,2,34.62,01/19/2022,F
