symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MUTHOOTFIN"," EQ"," 23-Mar-2022"," 1369.00"," 1375.00"," 1378.55"," 1332.20"," 1335.00"," 1336.50"," 1347.14"," 563501"," 7591.12"," 24989"," 277562"," 49.26",23,20,40.40,03/23/2022,T
"MUTHOOTFIN"," EQ"," 22-Mar-2022"," 1354.55"," 1350.00"," 1375.00"," 1340.10"," 1373.95"," 1369.00"," 1356.15"," 476254"," 6458.70"," 24784"," 161902"," 33.99",19,20,40.21,03/22/2022,F
"MUTHOOTFIN"," EQ"," 21-Mar-2022"," 1337.05"," 1348.00"," 1361.65"," 1332.00"," 1355.00"," 1354.55"," 1349.33"," 756656"," 10209.80"," 31740"," 349973"," 46.25",24,20,40.25,03/21/2022,T
"MUTHOOTFIN"," EQ"," 17-Mar-2022"," 1331.05"," 1355.00"," 1355.00"," 1332.15"," 1340.50"," 1337.05"," 1342.66"," 1016870"," 13653.11"," 42566"," 619655"," 60.94",24,20,40.28,03/17/2022,T
"MUTHOOTFIN"," EQ"," 16-Mar-2022"," 1333.35"," 1347.00"," 1356.90"," 1327.05"," 1334.95"," 1331.05"," 1336.67"," 790866"," 10571.29"," 32970"," 407565"," 51.53",24,20,39.81,03/16/2022,T
"MUTHOOTFIN"," EQ"," 15-Mar-2022"," 1355.95"," 1360.00"," 1378.35"," 1328.55"," 1336.00"," 1333.35"," 1352.55"," 644839"," 8721.78"," 35549"," 275133"," 42.67",18,20,39.46,03/15/2022,F
"MUTHOOTFIN"," EQ"," 14-Mar-2022"," 1382.00"," 1388.00"," 1389.05"," 1339.00"," 1362.00"," 1355.95"," 1351.06"," 1092885"," 14765.50"," 40804"," 638262"," 58.40",27,20,39.49,03/14/2022,T
"MUTHOOTFIN"," EQ"," 11-Mar-2022"," 1390.80"," 1381.10"," 1401.35"," 1373.30"," 1375.00"," 1382.00"," 1387.73"," 724301"," 10051.36"," 23316"," 427753"," 59.06",31,20,39.30,03/11/2022,T
"MUTHOOTFIN"," EQ"," 10-Mar-2022"," 1425.50"," 1448.00"," 1448.00"," 1381.35"," 1386.20"," 1390.80"," 1410.63"," 746154"," 10525.46"," 36183"," 295889"," 39.66",21,19,38.79,03/10/2022,T
"MUTHOOTFIN"," EQ"," 09-Mar-2022"," 1371.55"," 1383.85"," 1440.00"," 1383.85"," 1427.60"," 1425.50"," 1419.84"," 931359"," 13223.85"," 33590"," 201644"," 21.65",28,20,38.60,03/09/2022,F
