symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"NAM-INDIA"," EQ"," 25-Mar-2022"," 337.80"," 339.60"," 350.40"," 338.70"," 346.20"," 345.45"," 345.21"," 1045338"," 3608.60"," 20066"," 258285"," 24.71",52,56,38.12,03/25/2022,F
"NAM-INDIA"," EQ"," 24-Mar-2022"," 336.00"," 336.55"," 340.60"," 336.00"," 339.45"," 337.80"," 337.94"," 603942"," 2040.93"," 12849"," 349069"," 57.80",47,56,38.18,03/24/2022,F
"NAM-INDIA"," EQ"," 23-Mar-2022"," 334.80"," 336.00"," 344.40"," 335.00"," 335.15"," 336.00"," 338.25"," 695804"," 2353.56"," 13279"," 281392"," 40.44",52,57,37.75,03/23/2022,F
"NAM-INDIA"," EQ"," 22-Mar-2022"," 336.80"," 333.70"," 338.60"," 330.10"," 334.90"," 334.80"," 333.26"," 332315"," 1107.46"," 6910"," 109725"," 33.02",48,57,37.77,03/22/2022,F
"NAM-INDIA"," EQ"," 21-Mar-2022"," 337.95"," 339.00"," 344.15"," 334.55"," 335.80"," 336.80"," 338.72"," 704291"," 2385.60"," 12671"," 192081"," 27.27",56,57,38.18,03/21/2022,F
"NAM-INDIA"," EQ"," 17-Mar-2022"," 335.70"," 340.00"," 341.50"," 333.40"," 337.95"," 337.95"," 338.24"," 827094"," 2797.52"," 19506"," 245986"," 29.74",42,57,38.52,03/17/2022,F
"NAM-INDIA"," EQ"," 16-Mar-2022"," 315.85"," 318.50"," 341.55"," 317.15"," 336.95"," 335.70"," 334.08"," 1739474"," 5811.19"," 22963"," 289062"," 16.62",76,58,39.01,03/16/2022,F
"NAM-INDIA"," EQ"," 15-Mar-2022"," 322.10"," 325.70"," 326.65"," 313.35"," 314.70"," 315.85"," 320.07"," 615030"," 1968.53"," 9789"," 129902"," 21.12",63,58,39.71,03/15/2022,F
"NAM-INDIA"," EQ"," 14-Mar-2022"," 311.95"," 311.95"," 325.90"," 309.05"," 323.40"," 322.10"," 319.20"," 902657"," 2881.24"," 13370"," 180823"," 20.03",68,58,40.48,03/14/2022,F
"NAM-INDIA"," EQ"," 11-Mar-2022"," 310.80"," 312.90"," 317.00"," 308.50"," 312.05"," 311.95"," 312.60"," 661661"," 2068.36"," 11145"," 173725"," 26.26",59,58,41.12,03/11/2022,F
"NAM-INDIA"," EQ"," 10-Mar-2022"," 306.55"," 314.00"," 315.80"," 307.40"," 309.50"," 310.80"," 311.62"," 651202"," 2029.25"," 11954"," 263599"," 40.48",54,58,41.70,03/10/2022,F
"NAM-INDIA"," EQ"," 09-Mar-2022"," 294.35"," 296.00"," 308.80"," 294.65"," 306.45"," 306.55"," 301.92"," 869903"," 2626.39"," 13981"," 356850"," 41.02",62,58,41.79,03/09/2022,F
"NAM-INDIA"," EQ"," 08-Mar-2022"," 289.65"," 291.20"," 297.00"," 286.00"," 294.20"," 294.35"," 291.89"," 433336"," 1264.88"," 10685"," 163271"," 37.68",41,58,42.14,03/08/2022,F
"NAM-INDIA"," EQ"," 04-Mar-2022"," 307.25"," 306.25"," 306.25"," 297.60"," 299.00"," 299.50"," 301.50"," 383034"," 1154.85"," 11916"," 99127"," 25.88",32,59,42.23,03/04/2022,F
"NAM-INDIA"," EQ"," 03-Mar-2022"," 308.05"," 310.95"," 312.80"," 306.50"," 307.90"," 307.25"," 308.78"," 411642"," 1271.08"," 8747"," 140997"," 34.25",47,59,42.80,03/03/2022,F
"NAM-INDIA"," EQ"," 02-Mar-2022"," 307.80"," 306.50"," 310.70"," 303.30"," 309.00"," 308.05"," 307.19"," 481251"," 1478.37"," 16892"," 149813"," 31.13",28,60,43.26,03/02/2022,F
"NAM-INDIA"," EQ"," 28-Feb-2022"," 309.25"," 307.00"," 309.75"," 298.05"," 309.75"," 307.80"," 304.10"," 662482"," 2014.63"," 11470"," 213461"," 32.22",58,60,43.53,02/28/2022,F
"NAM-INDIA"," EQ"," 25-Feb-2022"," 310.35"," 314.00"," 315.40"," 307.05"," 308.75"," 309.25"," 310.36"," 1100309"," 3414.91"," 20607"," 312322"," 28.38",53,60,43.45,02/25/2022,F
"NAM-INDIA"," EQ"," 24-Feb-2022"," 311.70"," 300.45"," 317.50"," 299.95"," 314.90"," 310.35"," 308.63"," 1392369"," 4297.22"," 18952"," 494403"," 35.51",73,60,43.48,02/24/2022,F
"NAM-INDIA"," EQ"," 23-Feb-2022"," 315.60"," 316.15"," 320.00"," 310.50"," 311.90"," 311.70"," 315.42"," 484379"," 1527.81"," 7412"," 108648"," 22.43",65,59,43.52,02/23/2022,F
"NAM-INDIA"," EQ"," 22-Feb-2022"," 303.95"," 296.00"," 317.55"," 296.00"," 315.60"," 315.60"," 310.03"," 1042912"," 3233.39"," 14994"," 182769"," 17.52",70,59,43.84,02/22/2022,F
"NAM-INDIA"," EQ"," 21-Feb-2022"," 313.35"," 313.00"," 313.75"," 302.05"," 303.70"," 303.95"," 308.44"," 449282"," 1385.78"," 8431"," 117073"," 26.06",53,58,44.08,02/21/2022,F
"NAM-INDIA"," EQ"," 18-Feb-2022"," 320.45"," 317.70"," 319.90"," 312.00"," 312.30"," 313.35"," 315.48"," 402585"," 1270.07"," 6981"," 216920"," 53.88",58,58,44.22,02/18/2022,F
"NAM-INDIA"," EQ"," 17-Feb-2022"," 321.45"," 322.90"," 324.60"," 316.00"," 321.00"," 320.45"," 320.23"," 477820"," 1530.12"," 6150"," 151082"," 31.62",78,58,44.07,02/17/2022,F
"NAM-INDIA"," EQ"," 16-Feb-2022"," 325.90"," 327.10"," 329.25"," 318.20"," 318.80"," 321.45"," 324.14"," 528703"," 1713.75"," 7990"," 214242"," 40.52",66,58,44.04,02/16/2022,F
"NAM-INDIA"," EQ"," 15-Feb-2022"," 318.00"," 319.70"," 327.75"," 312.50"," 327.30"," 325.90"," 319.56"," 626604"," 2002.41"," 9312"," 185287"," 29.57",67,58,44.13,02/15/2022,F
"NAM-INDIA"," EQ"," 14-Feb-2022"," 330.75"," 321.00"," 322.80"," 315.05"," 317.30"," 318.00"," 320.10"," 861790"," 2758.57"," 10974"," 345939"," 40.14",79,57,44.40,02/14/2022,F
"NAM-INDIA"," EQ"," 11-Feb-2022"," 333.20"," 331.00"," 332.85"," 325.65"," 327.85"," 330.75"," 328.95"," 398441"," 1310.68"," 6007"," 169177"," 42.46",66,57,44.45,02/11/2022,F
"NAM-INDIA"," EQ"," 10-Feb-2022"," 332.65"," 335.00"," 335.00"," 328.20"," 333.75"," 333.20"," 331.43"," 496917"," 1646.95"," 9916"," 200855"," 40.42",50,57,44.43,02/10/2022,F
"NAM-INDIA"," EQ"," 09-Feb-2022"," 328.55"," 328.90"," 333.75"," 326.00"," 332.95"," 332.65"," 329.39"," 518306"," 1707.25"," 13585"," 231054"," 44.58",38,57,44.51,02/09/2022,F
"NAM-INDIA"," EQ"," 08-Feb-2022"," 331.80"," 332.45"," 332.45"," 323.15"," 328.00"," 328.55"," 327.48"," 681992"," 2233.38"," 15125"," 233341"," 34.21",45,57,44.28,02/08/2022,F
"NAM-INDIA"," EQ"," 07-Feb-2022"," 346.25"," 345.05"," 345.05"," 330.20"," 330.50"," 331.80"," 335.65"," 385772"," 1294.85"," 10424"," 164171"," 42.56",37,57,44.24,02/07/2022,F
"NAM-INDIA"," EQ"," 04-Feb-2022"," 346.80"," 343.60"," 347.35"," 340.60"," 343.50"," 346.25"," 344.81"," 496130"," 1710.69"," 12541"," 274101"," 55.25",40,57,44.00,02/04/2022,F
"NAM-INDIA"," EQ"," 03-Feb-2022"," 350.20"," 350.20"," 351.35"," 342.35"," 345.00"," 346.80"," 345.71"," 520144"," 1798.17"," 16482"," 220980"," 42.48",32,58,43.82,02/03/2022,F
"NAM-INDIA"," EQ"," 02-Feb-2022"," 345.25"," 346.10"," 351.65"," 346.00"," 350.00"," 350.20"," 349.35"," 330373"," 1154.17"," 7137"," 127083"," 38.47",46,58,44.04,02/02/2022,F
"NAM-INDIA"," EQ"," 01-Feb-2022"," 343.50"," 348.00"," 352.50"," 338.40"," 346.00"," 345.25"," 344.70"," 443334"," 1528.17"," 8446"," 156492"," 35.30",52,58,44.31,02/01/2022,F
"NAM-INDIA"," EQ"," 31-Jan-2022"," 336.25"," 337.00"," 345.00"," 335.10"," 343.00"," 343.50"," 340.68"," 462288"," 1574.91"," 9439"," 180154"," 38.97",49,58,44.57,01/31/2022,F
"NAM-INDIA"," EQ"," 28-Jan-2022"," 324.40"," 323.60"," 339.55"," 322.15"," 336.45"," 336.25"," 333.76"," 1081047"," 3608.14"," 18699"," 418820"," 38.74",58,58,44.59,01/28/2022,F
"NAM-INDIA"," EQ"," 27-Jan-2022"," 332.90"," 330.00"," 333.70"," 317.95"," 324.35"," 324.40"," 323.98"," 765961"," 2481.57"," 13468"," 335783"," 43.84",57,58,44.48,01/27/2022,F
"NAM-INDIA"," EQ"," 25-Jan-2022"," 333.65"," 328.00"," 346.35"," 325.55"," 333.50"," 332.90"," 335.23"," 1433924"," 4806.87"," 17258"," 736835"," 51.39",83,58,44.34,01/25/2022,T
"NAM-INDIA"," EQ"," 24-Jan-2022"," 358.35"," 358.00"," 358.00"," 331.30"," 333.35"," 333.65"," 341.93"," 666910"," 2280.38"," 13132"," 267204"," 40.07",51,57,44.03,01/24/2022,F
"NAM-INDIA"," EQ"," 21-Jan-2022"," 360.25"," 360.00"," 362.25"," 355.00"," 357.65"," 358.35"," 359.21"," 499930"," 1795.79"," 6460"," 178264"," 35.66",77,57,43.82,01/21/2022,F
"NAM-INDIA"," EQ"," 20-Jan-2022"," 360.25"," 362.00"," 365.75"," 355.15"," 360.30"," 360.25"," 360.55"," 584746"," 2108.28"," 8251"," 148134"," 25.33",71,57,43.75,01/20/2022,F
"NAM-INDIA"," EQ"," 19-Jan-2022"," 355.10"," 354.70"," 361.35"," 350.55"," 360.45"," 360.25"," 357.53"," 456472"," 1632.03"," 7501"," 177398"," 38.86",61,57,43.68,01/19/2022,F
"NAM-INDIA"," EQ"," 18-Jan-2022"," 367.40"," 370.10"," 370.10"," 353.05"," 354.00"," 355.10"," 360.90"," 307047"," 1108.13"," 7945"," 128192"," 41.75",39,57,43.47,01/18/2022,F
"NAM-INDIA"," EQ"," 17-Jan-2022"," 368.90"," 370.25"," 372.55"," 367.05"," 367.60"," 367.40"," 369.06"," 259241"," 956.74"," 4621"," 111874"," 43.15",56,57,43.04,01/17/2022,F
