symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"NATIONALUM"," EQ"," 25-Mar-2022"," 124.10"," 124.25"," 124.80"," 121.15"," 121.55"," 121.70"," 123.16"," 17604708"," 21681.81"," 56837"," 4831628"," 27.45",310,371,24.56,03/25/2022,F
"NATIONALUM"," EQ"," 24-Mar-2022"," 123.15"," 123.40"," 127.45"," 123.40"," 123.90"," 124.10"," 125.80"," 40640878"," 51127.78"," 109620"," 13915961"," 34.24",371,374,24.35,03/24/2022,F
"NATIONALUM"," EQ"," 23-Mar-2022"," 122.20"," 122.00"," 124.35"," 120.15"," 122.90"," 123.15"," 122.20"," 34623994"," 42309.36"," 67765"," 12574514"," 36.32",511,375,24.11,03/23/2022,T
"NATIONALUM"," EQ"," 22-Mar-2022"," 122.80"," 124.00"," 126.00"," 121.70"," 121.90"," 122.20"," 123.53"," 23499881"," 29028.69"," 75597"," 5281621"," 22.48",311,374,23.94,03/22/2022,F
"NATIONALUM"," EQ"," 21-Mar-2022"," 116.75"," 119.00"," 123.80"," 119.00"," 122.50"," 122.80"," 121.91"," 42609037"," 51946.66"," 131203"," 11266881"," 26.44",325,376,23.81,03/21/2022,F
"NATIONALUM"," EQ"," 17-Mar-2022"," 117.00"," 118.20"," 118.90"," 112.50"," 117.15"," 116.75"," 115.07"," 72085362"," 82949.32"," 129557"," 34065147"," 47.26",556,376,23.51,03/17/2022,T
"NATIONALUM"," EQ"," 16-Mar-2022"," 113.65"," 114.25"," 118.45"," 114.25"," 116.75"," 117.00"," 116.53"," 24717094"," 28802.88"," 65926"," 8907837"," 36.04",375,374,23.00,03/16/2022,T
"NATIONALUM"," EQ"," 15-Mar-2022"," 117.75"," 116.70"," 116.70"," 112.75"," 113.30"," 113.65"," 114.77"," 27015131"," 31006.13"," 99128"," 9781102"," 36.21",273,375,22.75,03/15/2022,F
"NATIONALUM"," EQ"," 14-Mar-2022"," 121.90"," 122.00"," 122.90"," 116.70"," 117.75"," 117.75"," 118.54"," 18735258"," 22208.10"," 64065"," 4738191"," 25.29",292,378,22.51,03/14/2022,F
"NATIONALUM"," EQ"," 11-Mar-2022"," 122.20"," 122.55"," 125.40"," 121.35"," 121.85"," 121.90"," 123.06"," 21491624"," 26446.92"," 64455"," 3736488"," 17.39",333,380,22.54,03/11/2022,F
"NATIONALUM"," EQ"," 10-Mar-2022"," 122.35"," 119.75"," 122.90"," 117.65"," 122.00"," 122.20"," 120.58"," 33936972"," 40921.41"," 93329"," 8501877"," 25.05",364,383,22.57,03/10/2022,F
"NATIONALUM"," EQ"," 09-Mar-2022"," 122.15"," 122.50"," 123.45"," 120.30"," 122.15"," 122.35"," 121.78"," 22882167"," 27865.57"," 91693"," 6884141"," 30.09",250,384,22.49,03/09/2022,F
"NATIONALUM"," EQ"," 08-Mar-2022"," 127.10"," 126.50"," 126.90"," 120.50"," 122.00"," 122.15"," 122.70"," 37399419"," 45888.65"," 111913"," 8653337"," 23.14",334,388,22.26,03/08/2022,F
"NATIONALUM"," EQ"," 04-Mar-2022"," 129.00"," 130.00"," 132.70"," 122.25"," 123.00"," 122.80"," 127.33"," 52843905"," 67288.44"," 159456"," 10180673"," 19.27",331,390,22.11,03/04/2022,F
"NATIONALUM"," EQ"," 03-Mar-2022"," 125.95"," 130.00"," 130.90"," 125.60"," 128.80"," 129.00"," 127.86"," 37451342"," 47884.65"," 95897"," 8026214"," 21.43",391,391,22.09,03/03/2022,F
"NATIONALUM"," EQ"," 02-Mar-2022"," 121.30"," 122.00"," 128.40"," 122.00"," 125.45"," 125.95"," 126.13"," 44096512"," 55619.72"," 134312"," 7710113"," 17.48",328,392,22.15,03/02/2022,F
"NATIONALUM"," EQ"," 28-Feb-2022"," 117.30"," 117.30"," 122.45"," 115.95"," 121.00"," 121.30"," 120.08"," 40870737"," 49079.40"," 114552"," 7634065"," 18.68",357,396,22.33,02/28/2022,F
"NATIONALUM"," EQ"," 25-Feb-2022"," 112.05"," 114.90"," 121.60"," 114.60"," 117.40"," 117.30"," 118.43"," 38625074"," 45743.00"," 105806"," 7234690"," 18.73",365,396,22.39,02/25/2022,F
"NATIONALUM"," EQ"," 24-Feb-2022"," 116.10"," 111.75"," 118.30"," 110.50"," 112.15"," 112.05"," 114.41"," 51106078"," 58469.99"," 145286"," 9404165"," 18.40",352,396,22.63,02/24/2022,F
