symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"NAUKRI"," EQ"," 23-Mar-2022"," 4760.45"," 4798.00"," 4810.00"," 4605.00"," 4620.00"," 4626.25"," 4680.77"," 682694"," 31955.31"," 80624"," 233947"," 34.27",8,9,39.31,03/23/2022,F
"NAUKRI"," EQ"," 22-Mar-2022"," 4643.10"," 4655.95"," 4791.95"," 4560.30"," 4758.00"," 4760.45"," 4721.19"," 663502"," 31325.18"," 52929"," 167684"," 25.27",13,9,39.34,03/22/2022,F
"NAUKRI"," EQ"," 21-Mar-2022"," 4578.65"," 4619.00"," 4760.00"," 4590.00"," 4630.00"," 4643.10"," 4699.64"," 622999"," 29278.70"," 56427"," 185208"," 29.73",11,9,39.65,03/21/2022,F
"NAUKRI"," EQ"," 17-Mar-2022"," 4474.50"," 4550.00"," 4695.00"," 4498.00"," 4570.00"," 4578.65"," 4601.37"," 1005292"," 46257.18"," 62937"," 545144"," 54.23",16,9,39.97,03/17/2022,T
"NAUKRI"," EQ"," 16-Mar-2022"," 4442.30"," 4500.00"," 4513.00"," 4401.00"," 4472.00"," 4474.50"," 4465.28"," 513358"," 22922.86"," 43872"," 274648"," 53.50",12,9,39.76,03/16/2022,T
"NAUKRI"," EQ"," 15-Mar-2022"," 4526.70"," 4500.00"," 4539.65"," 4381.00"," 4438.70"," 4442.30"," 4459.36"," 465134"," 20741.99"," 55550"," 230040"," 49.46",8,9,39.57,03/15/2022,F
"NAUKRI"," EQ"," 14-Mar-2022"," 4615.00"," 4583.10"," 4650.00"," 4504.80"," 4507.00"," 4526.70"," 4547.60"," 236354"," 10748.44"," 26020"," 102831"," 43.51",9,9,39.79,03/14/2022,F
"NAUKRI"," EQ"," 11-Mar-2022"," 4616.35"," 4570.20"," 4629.00"," 4501.00"," 4615.00"," 4615.00"," 4586.14"," 228294"," 10469.88"," 24766"," 86925"," 38.08",9,9,40.19,03/11/2022,F
"NAUKRI"," EQ"," 10-Mar-2022"," 4563.70"," 4680.00"," 4723.85"," 4582.20"," 4604.95"," 4616.35"," 4639.47"," 301521"," 13988.97"," 32875"," 119573"," 39.66",9,9,40.53,03/10/2022,F
"NAUKRI"," EQ"," 09-Mar-2022"," 4386.10"," 4449.00"," 4609.95"," 4385.00"," 4571.90"," 4563.70"," 4507.80"," 349101"," 15736.79"," 46550"," 142620"," 40.85",7,9,40.64,03/09/2022,F
"NAUKRI"," EQ"," 08-Mar-2022"," 4287.90"," 4307.00"," 4395.00"," 4280.00"," 4385.05"," 4386.10"," 4328.50"," 234055"," 10131.07"," 31366"," 82768"," 35.36",7,9,40.80,03/08/2022,F
"NAUKRI"," EQ"," 04-Mar-2022"," 4589.30"," 4568.00"," 4579.95"," 4325.00"," 4358.00"," 4339.85"," 4398.26"," 523575"," 23028.18"," 61983"," 194177"," 37.09",8,9,41.16,03/04/2022,F
"NAUKRI"," EQ"," 03-Mar-2022"," 4568.55"," 4600.30"," 4675.00"," 4570.00"," 4595.00"," 4589.30"," 4625.40"," 312990"," 14477.03"," 33370"," 115865"," 37.02",9,9,41.46,03/03/2022,F
"NAUKRI"," EQ"," 02-Mar-2022"," 4454.30"," 4435.00"," 4598.95"," 4410.10"," 4570.00"," 4568.55"," 4530.87"," 615529"," 27888.80"," 59955"," 276417"," 44.91",10,9,41.77,03/02/2022,T
"NAUKRI"," EQ"," 28-Feb-2022"," 4450.65"," 4400.00"," 4489.45"," 4345.20"," 4451.00"," 4454.30"," 4430.82"," 455842"," 20197.53"," 44192"," 180249"," 39.54",10,9,41.99,02/28/2022,F
"NAUKRI"," EQ"," 25-Feb-2022"," 4280.35"," 4307.00"," 4536.95"," 4307.00"," 4460.00"," 4450.65"," 4462.41"," 358043"," 15977.33"," 40831"," 74626"," 20.84",9,9,41.92,02/25/2022,F
"NAUKRI"," EQ"," 24-Feb-2022"," 4411.80"," 4335.00"," 4359.60"," 4240.15"," 4285.00"," 4280.35"," 4290.37"," 678797"," 29122.91"," 69220"," 344102"," 50.69",10,9,42.24,02/24/2022,T
"NAUKRI"," EQ"," 23-Feb-2022"," 4460.80"," 4524.00"," 4527.00"," 4395.00"," 4395.00"," 4411.80"," 4458.67"," 332088"," 14806.70"," 39252"," 119615"," 36.02",8,9,42.19,02/23/2022,F
"NAUKRI"," EQ"," 22-Feb-2022"," 4442.65"," 4386.65"," 4510.00"," 4322.00"," 4469.45"," 4460.80"," 4449.96"," 536466"," 23872.51"," 56679"," 162473"," 30.29",9,9,42.15,02/22/2022,F
"NAUKRI"," EQ"," 21-Feb-2022"," 4427.65"," 4380.00"," 4556.50"," 4353.30"," 4444.00"," 4442.65"," 4478.91"," 536184"," 24015.21"," 56712"," 90432"," 16.87",9,9,42.16,02/21/2022,F
"NAUKRI"," EQ"," 18-Feb-2022"," 4547.90"," 4515.00"," 4535.90"," 4383.50"," 4421.90"," 4427.65"," 4431.21"," 525570"," 23289.10"," 57369"," 190435"," 36.23",9,9,42.41,02/18/2022,F
"NAUKRI"," EQ"," 17-Feb-2022"," 4580.15"," 4594.95"," 4632.10"," 4525.00"," 4539.95"," 4547.90"," 4567.09"," 347195"," 15856.73"," 42246"," 131790"," 37.96",8,9,42.50,02/17/2022,F
"NAUKRI"," EQ"," 16-Feb-2022"," 4682.55"," 4729.95"," 4729.95"," 4565.55"," 4572.85"," 4580.15"," 4620.99"," 369031"," 17052.88"," 53148"," 146603"," 39.73",7,9,42.38,02/16/2022,F
"NAUKRI"," EQ"," 15-Feb-2022"," 4511.40"," 4548.00"," 4700.00"," 4505.00"," 4678.15"," 4682.55"," 4615.45"," 383315"," 17691.72"," 47349"," 104114"," 27.16",8,9,42.21,02/15/2022,F
"NAUKRI"," EQ"," 14-Feb-2022"," 4595.65"," 4397.00"," 4569.25"," 4302.50"," 4500.05"," 4511.40"," 4502.53"," 381197"," 17163.53"," 48096"," 99615"," 26.13",8,9,42.21,02/14/2022,F
"NAUKRI"," EQ"," 11-Feb-2022"," 4888.50"," 4800.00"," 4840.00"," 4580.00"," 4585.00"," 4595.65"," 4631.74"," 925735"," 42877.67"," 93162"," 302635"," 32.69",10,9,42.31,02/11/2022,F
"NAUKRI"," EQ"," 10-Feb-2022"," 4913.10"," 4960.00"," 5020.35"," 4841.05"," 4879.90"," 4888.50"," 4886.98"," 264005"," 12901.86"," 34849"," 121945"," 46.19",8,9,42.32,02/10/2022,F
"NAUKRI"," EQ"," 09-Feb-2022"," 4775.20"," 4820.90"," 4957.80"," 4820.90"," 4919.40"," 4913.10"," 4907.09"," 386362"," 18959.14"," 46435"," 110661"," 28.64",8,9,42.15,02/09/2022,F
"NAUKRI"," EQ"," 08-Feb-2022"," 4796.55"," 4800.00"," 4917.40"," 4755.15"," 4770.00"," 4775.20"," 4820.04"," 353243"," 17026.47"," 41533"," 89667"," 25.38",9,9,42.43,02/08/2022,F
"NAUKRI"," EQ"," 07-Feb-2022"," 4844.90"," 4848.90"," 4903.30"," 4758.05"," 4784.85"," 4796.55"," 4811.35"," 274867"," 13224.81"," 34222"," 97825"," 35.59",8,9,42.82,02/07/2022,F
"NAUKRI"," EQ"," 04-Feb-2022"," 4995.50"," 4960.00"," 4999.00"," 4832.20"," 4838.00"," 4844.90"," 4902.06"," 440333"," 21585.39"," 40258"," 195266"," 44.35",11,9,43.07,02/04/2022,T
"NAUKRI"," EQ"," 03-Feb-2022"," 5115.10"," 5070.00"," 5109.95"," 4960.00"," 4991.75"," 4995.50"," 5009.81"," 375267"," 18800.17"," 50381"," 116904"," 31.15",7,9,43.05,02/03/2022,F
"NAUKRI"," EQ"," 02-Feb-2022"," 5000.25"," 4996.00"," 5140.00"," 4951.20"," 5114.00"," 5115.10"," 5070.24"," 472225"," 23942.94"," 50827"," 144019"," 30.50",9,9,43.19,02/02/2022,F
"NAUKRI"," EQ"," 01-Feb-2022"," 4900.80"," 4998.50"," 5049.00"," 4855.95"," 5038.00"," 5000.25"," 4963.22"," 1023298"," 50788.52"," 95850"," 358383"," 35.02",11,9,43.53,02/01/2022,F
"NAUKRI"," EQ"," 31-Jan-2022"," 4406.10"," 4590.00"," 4993.95"," 4550.00"," 4910.00"," 4900.80"," 4799.79"," 2070228"," 99366.53"," 175835"," 400148"," 19.33",12,9,44.16,01/31/2022,F
"NAUKRI"," EQ"," 28-Jan-2022"," 4394.15"," 4420.25"," 4581.60"," 4380.00"," 4396.00"," 4406.10"," 4479.55"," 542782"," 24314.21"," 67180"," 184718"," 34.03",8,9,44.34,01/28/2022,F
"NAUKRI"," EQ"," 27-Jan-2022"," 4518.60"," 4498.00"," 4498.00"," 4285.05"," 4381.00"," 4394.15"," 4356.37"," 684253"," 29808.59"," 75754"," 265184"," 38.76",9,9,44.29,01/27/2022,F
"NAUKRI"," EQ"," 25-Jan-2022"," 4508.60"," 4468.80"," 4652.05"," 4320.20"," 4548.00"," 4518.60"," 4505.42"," 802218"," 36143.29"," 91017"," 356116"," 44.39",9,9,44.16,01/25/2022,F
"NAUKRI"," EQ"," 24-Jan-2022"," 4762.60"," 4762.60"," 4765.00"," 4407.00"," 4502.75"," 4508.60"," 4512.95"," 951138"," 42924.43"," 111254"," 365664"," 38.44",9,8,44.00,01/24/2022,F
