symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"NAVINFLUOR"," EQ"," 23-Mar-2022"," 4062.35"," 4098.00"," 4100.00"," 3950.05"," 3970.00"," 3986.55"," 3995.82"," 153028"," 6114.73"," 20378"," 61981"," 40.50",8,10,33.29,03/23/2022,F
"NAVINFLUOR"," EQ"," 22-Mar-2022"," 4122.60"," 4125.00"," 4135.00"," 3985.05"," 4070.00"," 4062.35"," 4051.26"," 132738"," 5377.56"," 14194"," 37403"," 28.18",9,10,33.11,03/22/2022,F
"NAVINFLUOR"," EQ"," 21-Mar-2022"," 4087.40"," 4075.00"," 4178.70"," 4053.10"," 4131.00"," 4122.60"," 4141.38"," 192196"," 7959.56"," 22136"," 55895"," 29.08",9,10,33.01,03/21/2022,F
"NAVINFLUOR"," EQ"," 17-Mar-2022"," 3954.30"," 3999.95"," 4129.90"," 3991.00"," 4104.00"," 4087.40"," 4057.80"," 220825"," 8960.63"," 18747"," 89216"," 40.40",12,10,33.17,03/17/2022,T
"NAVINFLUOR"," EQ"," 16-Mar-2022"," 3948.40"," 3977.00"," 4020.00"," 3911.75"," 3953.45"," 3954.30"," 3981.43"," 186039"," 7407.01"," 14589"," 61948"," 33.30",13,10,33.01,03/16/2022,T
"NAVINFLUOR"," EQ"," 15-Mar-2022"," 3877.10"," 3900.00"," 3970.00"," 3886.10"," 3939.50"," 3948.40"," 3930.25"," 169565"," 6664.33"," 17230"," 48971"," 28.88",10,10,33.02,03/15/2022,F
"NAVINFLUOR"," EQ"," 14-Mar-2022"," 3856.40"," 3859.95"," 4006.80"," 3762.00"," 3890.00"," 3877.10"," 3902.77"," 509987"," 19903.62"," 31884"," 236861"," 46.44",16,10,33.10,03/14/2022,T
"NAVINFLUOR"," EQ"," 11-Mar-2022"," 3756.50"," 3735.00"," 3893.90"," 3702.00"," 3872.00"," 3856.40"," 3822.06"," 194841"," 7446.94"," 20696"," 65021"," 33.37",9,10,33.04,03/11/2022,F
"NAVINFLUOR"," EQ"," 10-Mar-2022"," 3658.35"," 3749.50"," 3819.95"," 3715.15"," 3759.10"," 3756.50"," 3773.78"," 197919"," 7469.03"," 17306"," 51601"," 26.07",11,10,33.22,03/10/2022,F
"NAVINFLUOR"," EQ"," 09-Mar-2022"," 3529.10"," 3534.95"," 3707.00"," 3534.95"," 3698.95"," 3658.35"," 3621.29"," 188841"," 6838.47"," 19767"," 76306"," 40.41",10,10,33.22,03/09/2022,F
"NAVINFLUOR"," EQ"," 08-Mar-2022"," 3550.45"," 3547.00"," 3565.95"," 3360.00"," 3503.00"," 3529.10"," 3433.10"," 673703"," 23128.91"," 33793"," 273361"," 40.58",20,10,33.15,03/08/2022,T
"NAVINFLUOR"," EQ"," 04-Mar-2022"," 3802.15"," 3775.00"," 3778.50"," 3608.00"," 3625.00"," 3625.60"," 3657.98"," 574332"," 21008.95"," 26486"," 307665"," 53.57",22,10,33.21,03/04/2022,T
"NAVINFLUOR"," EQ"," 03-Mar-2022"," 3852.35"," 3905.00"," 3915.00"," 3785.65"," 3795.05"," 3802.15"," 3860.63"," 115264"," 4449.91"," 12857"," 48432"," 42.02",9,10,32.73,03/03/2022,F
"NAVINFLUOR"," EQ"," 02-Mar-2022"," 3890.95"," 3850.00"," 3873.95"," 3808.05"," 3850.00"," 3852.35"," 3848.87"," 114559"," 4409.23"," 10596"," 63740"," 55.64",11,10,32.65,03/02/2022,T
"NAVINFLUOR"," EQ"," 28-Feb-2022"," 3785.55"," 3715.00"," 3950.00"," 3715.00"," 3912.15"," 3890.95"," 3833.87"," 142857"," 5476.95"," 13876"," 57088"," 39.96",10,10,32.00,02/28/2022,F
"NAVINFLUOR"," EQ"," 25-Feb-2022"," 3679.30"," 3723.60"," 3887.95"," 3723.60"," 3785.00"," 3785.55"," 3830.20"," 105606"," 4044.92"," 12930"," 24657"," 23.35",8,10,31.73,02/25/2022,F
"NAVINFLUOR"," EQ"," 24-Feb-2022"," 3811.25"," 3721.25"," 3791.90"," 3631.50"," 3680.40"," 3679.30"," 3724.93"," 223924"," 8341.00"," 24501"," 77287"," 34.51",9,10,31.88,02/24/2022,F
"NAVINFLUOR"," EQ"," 23-Feb-2022"," 3850.20"," 3889.95"," 3915.00"," 3799.00"," 3810.00"," 3811.25"," 3848.43"," 73454"," 2826.83"," 8490"," 23500"," 31.99",9,10,31.86,02/23/2022,F
"NAVINFLUOR"," EQ"," 22-Feb-2022"," 3817.95"," 3710.00"," 3867.90"," 3710.00"," 3863.00"," 3850.20"," 3808.83"," 119123"," 4537.19"," 12775"," 36169"," 30.36",9,10,32.19,02/22/2022,F
"NAVINFLUOR"," EQ"," 21-Feb-2022"," 3857.95"," 3855.00"," 3928.25"," 3772.00"," 3822.00"," 3817.95"," 3822.85"," 316001"," 12080.23"," 14728"," 215712"," 68.26",21,10,32.07,02/21/2022,T
