symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"NBCC"," EQ"," 25-Mar-2022"," 38.30"," 38.50"," 38.85"," 38.15"," 38.20"," 38.25"," 38.57"," 4505419"," 1737.76"," 11064"," 2056326"," 45.64",407,354,35.44,03/25/2022,T
"NBCC"," EQ"," 24-Mar-2022"," 38.95"," 38.70"," 39.10"," 38.05"," 38.25"," 38.30"," 38.61"," 4077700"," 1574.23"," 9193"," 1846190"," 45.28",444,350,35.34,03/24/2022,T
"NBCC"," EQ"," 23-Mar-2022"," 38.75"," 38.75"," 39.40"," 38.55"," 38.85"," 38.95"," 39.05"," 11377460"," 4442.78"," 15031"," 3220621"," 28.31",757,347,35.24,03/23/2022,F
"NBCC"," EQ"," 22-Mar-2022"," 38.90"," 38.85"," 39.05"," 37.85"," 38.80"," 38.75"," 38.39"," 5630551"," 2161.37"," 11745"," 1914800"," 34.01",479,338,35.50,03/22/2022,F
"NBCC"," EQ"," 21-Mar-2022"," 38.85"," 40.00"," 40.00"," 38.55"," 38.85"," 38.90"," 39.22"," 8829371"," 3462.55"," 19134"," 2549951"," 28.88",461,334,35.67,03/21/2022,F
"NBCC"," EQ"," 17-Mar-2022"," 38.60"," 39.40"," 39.40"," 38.35"," 38.85"," 38.85"," 38.80"," 8244665"," 3199.29"," 22652"," 3521831"," 42.72",364,328,36.03,03/17/2022,T
"NBCC"," EQ"," 16-Mar-2022"," 37.70"," 38.30"," 38.80"," 38.00"," 38.70"," 38.60"," 38.34"," 4383519"," 1680.77"," 11772"," 1430897"," 32.64",372,326,36.03,03/16/2022,F
"NBCC"," EQ"," 15-Mar-2022"," 38.90"," 38.80"," 39.55"," 37.40"," 37.50"," 37.70"," 38.55"," 5213124"," 2009.67"," 14833"," 1892406"," 36.30",351,325,36.02,03/15/2022,T
"NBCC"," EQ"," 14-Mar-2022"," 39.55"," 39.75"," 39.80"," 38.65"," 38.95"," 38.90"," 38.96"," 3401223"," 1325.00"," 10907"," 1264162"," 37.17",312,323,36.04,03/14/2022,F
"NBCC"," EQ"," 11-Mar-2022"," 39.15"," 39.20"," 39.65"," 38.85"," 39.40"," 39.55"," 39.32"," 3840769"," 1510.06"," 12328"," 1220208"," 31.77",312,322,36.13,03/11/2022,F
"NBCC"," EQ"," 10-Mar-2022"," 38.95"," 40.00"," 40.50"," 39.05"," 39.10"," 39.15"," 39.76"," 7330806"," 2914.52"," 20888"," 2480865"," 33.84",351,323,36.10,03/10/2022,F
"NBCC"," EQ"," 09-Mar-2022"," 37.20"," 37.55"," 39.40"," 37.15"," 38.90"," 38.95"," 38.35"," 7597159"," 2913.32"," 24760"," 2995617"," 39.43",307,322,36.07,03/09/2022,F
"NBCC"," EQ"," 08-Mar-2022"," 36.35"," 36.85"," 37.40"," 36.40"," 37.20"," 37.20"," 36.99"," 4659648"," 1723.80"," 18893"," 1302058"," 27.94",247,322,36.18,03/08/2022,F
"NBCC"," EQ"," 04-Mar-2022"," 38.45"," 38.20"," 38.35"," 36.70"," 37.75"," 37.60"," 37.53"," 6438880"," 2416.83"," 22580"," 1779743"," 27.64",285,320,36.20,03/04/2022,F
"NBCC"," EQ"," 03-Mar-2022"," 39.05"," 39.80"," 40.15"," 38.10"," 38.50"," 38.45"," 38.97"," 6253724"," 2437.23"," 18540"," 2227766"," 35.62",337,321,36.32,03/03/2022,F
"NBCC"," EQ"," 02-Mar-2022"," 38.85"," 38.20"," 39.60"," 38.00"," 39.25"," 39.05"," 38.85"," 5895923"," 2290.53"," 16130"," 1815011"," 30.78",366,320,36.24,03/02/2022,F
"NBCC"," EQ"," 28-Feb-2022"," 38.95"," 38.30"," 39.15"," 37.60"," 38.95"," 38.85"," 38.31"," 8574279"," 3284.78"," 21351"," 1602994"," 18.70",402,318,36.05,02/28/2022,F
"NBCC"," EQ"," 25-Feb-2022"," 34.45"," 35.65"," 39.45"," 35.55"," 39.20"," 38.95"," 38.16"," 21184210"," 8083.25"," 47403"," 3804409"," 17.96",447,315,36.37,02/25/2022,F
"NBCC"," EQ"," 24-Feb-2022"," 39.30"," 38.10"," 38.20"," 34.15"," 34.70"," 34.45"," 35.97"," 13486612"," 4850.53"," 42685"," 5662224"," 41.98",316,312,36.88,02/24/2022,T
"NBCC"," EQ"," 23-Feb-2022"," 38.90"," 39.10"," 39.95"," 39.05"," 39.15"," 39.30"," 39.56"," 5144357"," 2035.28"," 14798"," 2049235"," 39.83",348,311,36.85,02/23/2022,T
"NBCC"," EQ"," 22-Feb-2022"," 40.05"," 39.10"," 39.50"," 38.20"," 38.95"," 38.90"," 38.82"," 8179141"," 3174.85"," 27705"," 3033569"," 37.09",295,309,36.86,02/22/2022,F
"NBCC"," EQ"," 21-Feb-2022"," 41.30"," 41.00"," 41.35"," 39.90"," 40.00"," 40.05"," 40.40"," 6257678"," 2528.09"," 22089"," 2431629"," 38.86",283,308,36.82,02/21/2022,F
"NBCC"," EQ"," 18-Feb-2022"," 42.00"," 41.60"," 42.30"," 41.05"," 41.30"," 41.30"," 41.64"," 7303632"," 3041.23"," 21498"," 2458868"," 33.67",340,307,36.91,02/18/2022,F
"NBCC"," EQ"," 17-Feb-2022"," 42.80"," 42.75"," 43.10"," 41.75"," 41.85"," 42.00"," 42.40"," 3706711"," 1571.52"," 11588"," 1508225"," 40.69",320,307,36.96,02/17/2022,T
"NBCC"," EQ"," 16-Feb-2022"," 43.25"," 43.50"," 43.75"," 42.25"," 42.65"," 42.80"," 43.10"," 5100360"," 2198.35"," 16012"," 1424884"," 27.94",319,305,37.11,02/16/2022,F
"NBCC"," EQ"," 15-Feb-2022"," 42.30"," 42.15"," 43.45"," 41.15"," 43.45"," 43.25"," 42.31"," 7470888"," 3161.07"," 20870"," 1616944"," 21.64",358,304,37.46,02/15/2022,F
"NBCC"," EQ"," 14-Feb-2022"," 44.80"," 44.20"," 44.50"," 41.85"," 42.15"," 42.30"," 43.19"," 5884591"," 2541.35"," 20663"," 2390265"," 40.62",285,302,37.89,02/14/2022,F
"NBCC"," EQ"," 11-Feb-2022"," 45.95"," 45.20"," 45.80"," 44.60"," 44.70"," 44.80"," 45.13"," 3026842"," 1366.12"," 12284"," 1419192"," 46.89",246,302,37.94,02/11/2022,F
"NBCC"," EQ"," 10-Feb-2022"," 45.70"," 45.90"," 46.10"," 45.20"," 45.80"," 45.95"," 45.70"," 2671972"," 1220.98"," 11891"," 1128043"," 42.22",225,304,37.52,02/10/2022,F
"NBCC"," EQ"," 09-Feb-2022"," 44.95"," 45.00"," 45.85"," 44.95"," 45.70"," 45.70"," 45.37"," 2608170"," 1183.25"," 9620"," 1062413"," 40.73",271,303,37.48,02/09/2022,F
"NBCC"," EQ"," 08-Feb-2022"," 45.45"," 45.45"," 45.70"," 44.35"," 44.85"," 44.95"," 44.99"," 3320982"," 1494.13"," 13718"," 1014241"," 30.54",242,304,37.34,02/08/2022,F
"NBCC"," EQ"," 07-Feb-2022"," 46.05"," 45.85"," 46.15"," 45.30"," 45.45"," 45.45"," 45.63"," 2554501"," 1165.54"," 11995"," 1112255"," 43.54",213,304,37.61,02/07/2022,F
"NBCC"," EQ"," 04-Feb-2022"," 46.80"," 47.10"," 47.10"," 45.80"," 45.95"," 46.05"," 46.52"," 4641879"," 2159.53"," 12653"," 2269844"," 48.90",367,305,37.66,02/04/2022,T
"NBCC"," EQ"," 03-Feb-2022"," 47.35"," 47.65"," 47.70"," 46.60"," 46.70"," 46.80"," 47.11"," 4013257"," 1890.49"," 12280"," 1518423"," 37.84",327,304,37.47,02/03/2022,T
"NBCC"," EQ"," 02-Feb-2022"," 46.90"," 47.25"," 47.90"," 47.05"," 47.35"," 47.35"," 47.42"," 4805394"," 2278.92"," 14630"," 2189288"," 45.56",328,301,37.87,02/02/2022,T
"NBCC"," EQ"," 01-Feb-2022"," 46.65"," 47.15"," 48.25"," 46.10"," 47.00"," 46.90"," 47.13"," 8476914"," 3995.59"," 24325"," 2222263"," 26.22",348,299,37.65,02/01/2022,F
"NBCC"," EQ"," 31-Jan-2022"," 46.50"," 47.25"," 47.50"," 46.30"," 46.85"," 46.65"," 46.88"," 5993960"," 2810.05"," 19336"," 1749275"," 29.18",310,297,37.75,01/31/2022,F
"NBCC"," EQ"," 28-Jan-2022"," 45.75"," 46.55"," 47.55"," 46.30"," 46.60"," 46.50"," 46.90"," 5546333"," 2601.06"," 20834"," 1862907"," 33.59",266,296,37.91,01/28/2022,F
