symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"NESTLEIND"," EQ"," 23-Mar-2022"," 17429.25"," 17535.00"," 17550.00"," 17261.00"," 17375.00"," 17344.20"," 17432.19"," 59279"," 10333.63"," 22676"," 34995"," 59.03",3,3,53.55,03/23/2022,F
"NESTLEIND"," EQ"," 22-Mar-2022"," 17876.45"," 17727.00"," 17869.95"," 17253.65"," 17402.00"," 17429.25"," 17382.57"," 140224"," 24374.53"," 39048"," 77859"," 55.52",4,3,53.33,03/22/2022,T
"NESTLEIND"," EQ"," 21-Mar-2022"," 18284.20"," 18350.00"," 18370.00"," 17813.50"," 17851.35"," 17876.45"," 18019.30"," 40335"," 7268.08"," 13623"," 21143"," 52.42",3,3,53.23,03/21/2022,F
"NESTLEIND"," EQ"," 17-Mar-2022"," 17823.40"," 17785.95"," 18374.85"," 17785.95"," 18300.00"," 18284.20"," 18109.96"," 100890"," 18271.14"," 21152"," 61461"," 60.92",5,3,53.26,03/17/2022,T
"NESTLEIND"," EQ"," 16-Mar-2022"," 17461.60"," 17610.00"," 17885.50"," 17471.00"," 17760.00"," 17823.40"," 17689.22"," 48390"," 8559.81"," 14376"," 26045"," 53.82",3,3,53.16,03/16/2022,F
"NESTLEIND"," EQ"," 15-Mar-2022"," 17367.20"," 17420.00"," 17560.00"," 17245.05"," 17482.40"," 17461.60"," 17416.20"," 62211"," 10834.79"," 20277"," 36148"," 58.11",3,3,53.30,03/15/2022,F
"NESTLEIND"," EQ"," 14-Mar-2022"," 17327.45"," 17477.45"," 17477.45"," 17158.00"," 17420.15"," 17367.20"," 17292.34"," 38665"," 6686.08"," 13474"," 14736"," 38.11",3,3,53.31,03/14/2022,F
"NESTLEIND"," EQ"," 11-Mar-2022"," 17649.10"," 17600.00"," 17618.05"," 17230.00"," 17345.00"," 17327.45"," 17399.52"," 73279"," 12750.19"," 19006"," 30044"," 41.00",4,3,53.61,03/11/2022,F
"NESTLEIND"," EQ"," 10-Mar-2022"," 17145.60"," 17300.00"," 17685.25"," 17221.00"," 17580.00"," 17649.10"," 17484.60"," 66489"," 11625.34"," 19804"," 36449"," 54.82",3,3,53.84,03/10/2022,F
"NESTLEIND"," EQ"," 09-Mar-2022"," 17263.30"," 17380.00"," 17380.00"," 17065.65"," 17150.00"," 17145.60"," 17155.87"," 71122"," 12201.60"," 22806"," 42945"," 60.38",3,3,53.85,03/09/2022,F
"NESTLEIND"," EQ"," 08-Mar-2022"," 17342.05"," 17300.00"," 17530.00"," 16965.00"," 17190.00"," 17263.30"," 17215.35"," 97724"," 16823.53"," 34359"," 57725"," 59.07",3,3,53.62,03/08/2022,F
"NESTLEIND"," EQ"," 04-Mar-2022"," 17436.50"," 17300.00"," 17544.05"," 17021.00"," 17408.50"," 17391.85"," 17339.72"," 51705"," 8965.50"," 16867"," 26458"," 51.17",3,3,53.37,03/04/2022,F
"NESTLEIND"," EQ"," 03-Mar-2022"," 17844.60"," 17880.00"," 17880.00"," 17389.55"," 17446.00"," 17436.50"," 17579.73"," 66964"," 11772.09"," 18599"," 41300"," 61.67",4,3,53.43,03/03/2022,T
"NESTLEIND"," EQ"," 02-Mar-2022"," 17639.15"," 17600.00"," 17889.40"," 17457.05"," 17811.50"," 17844.60"," 17671.73"," 86631"," 15309.20"," 27637"," 46661"," 53.86",3,3,53.30,03/02/2022,F
"NESTLEIND"," EQ"," 28-Feb-2022"," 17715.10"," 17700.00"," 17769.30"," 17330.00"," 17582.05"," 17639.15"," 17482.43"," 157873"," 27600.04"," 30738"," 112424"," 71.21",5,3,53.54,02/28/2022,T
"NESTLEIND"," EQ"," 25-Feb-2022"," 17744.75"," 17800.00"," 17894.95"," 17600.00"," 17710.00"," 17715.10"," 17720.11"," 80989"," 14351.34"," 21148"," 43072"," 53.18",4,3,53.18,02/25/2022,F
"NESTLEIND"," EQ"," 24-Feb-2022"," 17926.65"," 17730.00"," 17968.70"," 17560.00"," 17750.00"," 17744.75"," 17707.23"," 112105"," 19850.69"," 27311"," 66958"," 59.73",4,3,53.22,02/24/2022,T
"NESTLEIND"," EQ"," 23-Feb-2022"," 18111.00"," 18111.00"," 18209.55"," 17835.00"," 17903.00"," 17926.65"," 18008.34"," 59248"," 10669.58"," 15596"," 36325"," 61.31",4,3,53.19,02/23/2022,T
