symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"NMDC"," EQ"," 25-Mar-2022"," 157.10"," 158.00"," 160.80"," 156.70"," 156.90"," 157.15"," 158.63"," 13676831"," 21695.07"," 68538"," 3116874"," 22.79",200,193,38.58,03/25/2022,F
"NMDC"," EQ"," 24-Mar-2022"," 151.10"," 151.65"," 157.95"," 151.15"," 156.90"," 157.10"," 156.11"," 17976962"," 28064.70"," 86571"," 6128504"," 34.09",208,192,38.86,03/24/2022,F
"NMDC"," EQ"," 23-Mar-2022"," 151.65"," 153.00"," 153.55"," 149.00"," 151.15"," 151.10"," 151.22"," 8419192"," 12731.18"," 41389"," 3255977"," 38.67",203,192,38.82,03/23/2022,F
"NMDC"," EQ"," 22-Mar-2022"," 151.55"," 152.80"," 154.75"," 150.60"," 151.50"," 151.65"," 152.70"," 7452076"," 11379.20"," 41565"," 1545942"," 20.75",179,191,38.83,03/22/2022,F
"NMDC"," EQ"," 21-Mar-2022"," 151.30"," 152.25"," 153.80"," 151.00"," 151.45"," 151.55"," 152.66"," 5530874"," 8443.25"," 30077"," 1572703"," 28.43",184,192,39.08,03/21/2022,F
"NMDC"," EQ"," 17-Mar-2022"," 150.55"," 151.95"," 152.85"," 150.40"," 151.00"," 151.30"," 151.36"," 13084269"," 19803.85"," 41739"," 8141081"," 62.22",313,192,39.27,03/17/2022,T
"NMDC"," EQ"," 16-Mar-2022"," 147.55"," 149.00"," 153.00"," 148.85"," 150.25"," 150.55"," 150.36"," 6639475"," 9983.32"," 40013"," 2204483"," 33.20",166,190,38.90,03/16/2022,F
"NMDC"," EQ"," 15-Mar-2022"," 156.25"," 153.70"," 154.75"," 146.75"," 147.35"," 147.55"," 149.91"," 12900904"," 19340.20"," 84952"," 5800806"," 44.96",152,191,38.83,03/15/2022,F
"NMDC"," EQ"," 14-Mar-2022"," 157.30"," 157.30"," 159.40"," 153.60"," 156.00"," 156.25"," 156.81"," 12958038"," 20319.71"," 48194"," 5531175"," 42.69",269,192,38.75,03/14/2022,T
"NMDC"," EQ"," 11-Mar-2022"," 153.25"," 153.00"," 158.00"," 152.85"," 157.00"," 157.30"," 156.70"," 16491139"," 25842.29"," 85934"," 4579017"," 27.77",192,192,38.80,03/11/2022,F
"NMDC"," EQ"," 10-Mar-2022"," 152.80"," 153.25"," 154.00"," 150.30"," 152.90"," 153.25"," 152.03"," 8762674"," 13322.05"," 48566"," 2801301"," 31.97",180,193,39.21,03/10/2022,F
"NMDC"," EQ"," 09-Mar-2022"," 153.25"," 154.90"," 155.00"," 152.00"," 152.70"," 152.80"," 153.38"," 7255636"," 11128.76"," 52553"," 2533395"," 34.92",138,195,39.49,03/09/2022,F
"NMDC"," EQ"," 08-Mar-2022"," 153.05"," 155.00"," 155.00"," 149.00"," 152.70"," 153.25"," 151.90"," 14939858"," 22693.50"," 76350"," 5524358"," 36.98",196,196,39.68,03/08/2022,F
"NMDC"," EQ"," 04-Mar-2022"," 152.60"," 151.25"," 153.75"," 147.60"," 147.70"," 148.10"," 150.99"," 8997783"," 13585.37"," 73178"," 2727901"," 30.32",123,198,39.67,03/04/2022,F
"NMDC"," EQ"," 03-Mar-2022"," 151.10"," 155.00"," 156.40"," 151.70"," 152.80"," 152.60"," 153.56"," 11783592"," 18094.40"," 62501"," 3497618"," 29.68",189,201,39.69,03/03/2022,F
"NMDC"," EQ"," 02-Mar-2022"," 143.15"," 143.90"," 151.70"," 142.70"," 150.80"," 151.10"," 149.38"," 18826666"," 28123.35"," 93593"," 7269769"," 38.61",201,204,40.23,03/02/2022,F
"NMDC"," EQ"," 28-Feb-2022"," 141.00"," 140.90"," 144.20"," 139.40"," 143.10"," 143.15"," 142.46"," 6903025"," 9833.80"," 39946"," 1997523"," 28.94",173,204,40.35,02/28/2022,F
"NMDC"," EQ"," 25-Feb-2022"," 134.45"," 139.00"," 142.00"," 138.20"," 141.10"," 141.00"," 140.57"," 10771799"," 15141.97"," 70064"," 4314435"," 40.05",154,205,40.43,02/25/2022,F
"NMDC"," EQ"," 24-Feb-2022"," 142.75"," 139.00"," 140.50"," 133.80"," 134.85"," 134.45"," 137.43"," 12259007"," 16847.71"," 70215"," 5059349"," 41.27",175,206,40.39,02/24/2022,F
"NMDC"," EQ"," 23-Feb-2022"," 140.05"," 141.40"," 144.70"," 140.75"," 142.45"," 142.75"," 143.13"," 10043690"," 14375.04"," 52466"," 5442664"," 54.19",191,206,40.32,02/23/2022,F
"NMDC"," EQ"," 22-Feb-2022"," 140.05"," 137.00"," 140.50"," 135.90"," 140.25"," 140.05"," 138.27"," 11506176"," 15909.44"," 71634"," 4964452"," 43.15",161,208,40.04,02/22/2022,F
"NMDC"," EQ"," 21-Feb-2022"," 142.15"," 141.00"," 143.40"," 139.65"," 140.20"," 140.05"," 141.16"," 4899102"," 6915.45"," 31453"," 1505506"," 30.73",156,209,39.77,02/21/2022,F
"NMDC"," EQ"," 18-Feb-2022"," 144.65"," 144.60"," 145.70"," 141.55"," 142.10"," 142.15"," 143.23"," 6234795"," 8930.37"," 36720"," 2000976"," 32.09",170,209,39.79,02/18/2022,F
"NMDC"," EQ"," 17-Feb-2022"," 152.70"," 147.90"," 148.00"," 144.00"," 144.60"," 144.65"," 146.01"," 12454932"," 18185.87"," 60513"," 4263400"," 34.23",206,210,39.91,02/17/2022,F
"NMDC"," EQ"," 16-Feb-2022"," 149.30"," 151.95"," 154.45"," 149.05"," 152.40"," 152.70"," 152.32"," 13525671"," 20602.42"," 59577"," 5206806"," 38.50",227,209,40.08,02/16/2022,F
"NMDC"," EQ"," 15-Feb-2022"," 152.75"," 153.25"," 153.25"," 144.10"," 149.40"," 149.30"," 147.54"," 17659797"," 26056.08"," 77035"," 5585159"," 31.63",229,208,40.22,02/15/2022,F
"NMDC"," EQ"," 14-Feb-2022"," 158.15"," 156.00"," 157.30"," 152.00"," 152.35"," 152.75"," 155.03"," 13314771"," 20642.13"," 71848"," 6933693"," 52.08",185,207,40.36,02/14/2022,F
"NMDC"," EQ"," 11-Feb-2022"," 159.30"," 158.90"," 161.40"," 157.10"," 157.85"," 158.15"," 159.26"," 15004288"," 23896.51"," 70616"," 6994853"," 46.62",212,207,40.28,02/11/2022,T
"NMDC"," EQ"," 10-Feb-2022"," 155.70"," 156.25"," 160.50"," 156.10"," 159.00"," 159.30"," 159.26"," 18433104"," 29356.14"," 113401"," 8496700"," 46.09",163,206,40.01,02/10/2022,F
"NMDC"," EQ"," 09-Feb-2022"," 153.40"," 153.00"," 157.65"," 152.80"," 155.50"," 155.70"," 155.11"," 17521097"," 27176.34"," 66157"," 7435561"," 42.44",265,207,39.85,02/09/2022,T
"NMDC"," EQ"," 08-Feb-2022"," 153.95"," 154.50"," 155.35"," 150.35"," 153.05"," 153.40"," 152.55"," 12326734"," 18804.54"," 44416"," 5117481"," 41.52",278,206,39.87,02/08/2022,T
"NMDC"," EQ"," 07-Feb-2022"," 153.40"," 153.90"," 155.95"," 152.50"," 153.70"," 153.95"," 154.46"," 11987318"," 18515.46"," 110538"," 6017821"," 50.20",108,205,39.90,02/07/2022,F
"NMDC"," EQ"," 04-Feb-2022"," 153.95"," 154.40"," 155.45"," 152.60"," 153.20"," 153.40"," 154.02"," 12957277"," 19956.20"," 52916"," 5498142"," 42.43",245,207,39.83,02/04/2022,T
"NMDC"," EQ"," 03-Feb-2022"," 150.50"," 150.75"," 154.95"," 149.80"," 153.30"," 153.95"," 153.28"," 26764867"," 41024.34"," 90102"," 9964288"," 37.23",297,207,39.79,02/03/2022,F
"NMDC"," EQ"," 02-Feb-2022"," 145.50"," 146.50"," 151.20"," 145.30"," 150.50"," 150.50"," 148.34"," 19662509"," 29168.29"," 77028"," 10572352"," 53.77",255,204,40.45,02/02/2022,T
"NMDC"," EQ"," 01-Feb-2022"," 138.95"," 140.90"," 146.00"," 138.70"," 145.30"," 145.50"," 143.22"," 11744700"," 16820.70"," 58923"," 4420030"," 37.63",199,204,40.39,02/01/2022,F
"NMDC"," EQ"," 31-Jan-2022"," 138.10"," 140.30"," 141.35"," 138.10"," 139.50"," 138.95"," 139.46"," 6614820"," 9224.82"," 32844"," 1784222"," 26.97",201,205,40.36,01/31/2022,F
"NMDC"," EQ"," 28-Jan-2022"," 134.20"," 136.35"," 141.15"," 135.00"," 138.45"," 138.10"," 138.40"," 9852710"," 13636.29"," 39495"," 3610259"," 36.64",249,205,40.54,01/28/2022,F
"NMDC"," EQ"," 27-Jan-2022"," 135.65"," 135.00"," 136.55"," 132.80"," 134.85"," 134.20"," 134.19"," 10404432"," 13961.31"," 40522"," 5689261"," 54.68",257,206,40.61,01/27/2022,T
"NMDC"," EQ"," 25-Jan-2022"," 133.95"," 133.65"," 137.35"," 132.80"," 135.80"," 135.65"," 135.52"," 4762403"," 6454.15"," 31920"," 1611105"," 33.83",149,208,40.77,01/25/2022,F
"NMDC"," EQ"," 24-Jan-2022"," 139.75"," 139.75"," 139.75"," 133.05"," 133.55"," 133.95"," 135.39"," 6822893"," 9237.60"," 42570"," 2567755"," 37.63",160,208,40.98,01/24/2022,F
"NMDC"," EQ"," 21-Jan-2022"," 143.25"," 143.00"," 143.30"," 138.40"," 140.00"," 139.75"," 140.65"," 4784547"," 6729.41"," 28586"," 1807984"," 37.79",167,208,40.93,01/21/2022,F
"NMDC"," EQ"," 20-Jan-2022"," 141.60"," 142.00"," 144.95"," 141.35"," 143.30"," 143.25"," 143.36"," 6232345"," 8934.83"," 33228"," 2268929"," 36.41",188,208,40.97,01/20/2022,F
