symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"NTPC"," EQ"," 25-Mar-2022"," 135.40"," 136.00"," 136.15"," 134.20"," 134.95"," 134.75"," 134.90"," 7266868"," 9802.68"," 49326"," 4289874"," 59.03",147,148,55.25,03/25/2022,F
"NTPC"," N2"," 25-Mar-2022"," 1475.80"," 1233.00"," 1234.00"," 1233.00"," 1234.00"," 1234.00"," 1233.78"," 9"," 0.11"," 3"," 7"," 77.78",3,148,55.25,03/25/2022,F
"NTPC"," N3"," 25-Mar-2022"," 1362.05"," 1600.00"," 1600.00"," 1500.00"," 1500.00"," 1500.00"," 1552.46"," 21"," 0.33"," 5"," 20"," 95.24",4,148,55.25,03/25/2022,F
"NTPC"," N7"," 25-Mar-2022"," 13.10"," 13.05"," 13.15"," 13.05"," 13.12"," 13.10"," 13.10"," 14437"," 1.89"," 78"," 14437"," 100.00",185,148,55.25,03/25/2022,T
"NTPC"," NA"," 25-Mar-2022"," 1361.00"," 1574.00"," 1574.00"," 1574.00"," 1574.00"," 1574.00"," 1574.00"," 11"," 0.17"," 1"," 11"," 100.00",11,148,55.25,03/25/2022,F
"NTPC"," ND"," 25-Mar-2022"," 1305.00"," 1320.00"," 1320.99"," 1320.00"," 1320.99"," 1320.99"," 1320.97"," 211"," 2.79"," 2"," 211"," 100.00",106,148,55.25,03/25/2022,F
"NTPC"," EQ"," 24-Mar-2022"," 133.45"," 133.50"," 135.70"," 133.35"," 135.20"," 135.40"," 134.93"," 11276181"," 15215.45"," 99489"," 5005361"," 44.39",113,155,52.18,03/24/2022,F
"NTPC"," N4"," 24-Mar-2022"," 1098.00"," 1084.11"," 1084.11"," 1084.11"," 1084.11"," 1084.11"," 1084.11"," 27"," 0.29"," 1"," 27"," 100.00",27,155,52.18,03/24/2022,F
"NTPC"," N6"," 24-Mar-2022"," 1380.00"," 1380.00"," 1380.00"," 1380.00"," 1380.00"," 1380.00"," 1380.00"," 50"," 0.69"," 1"," 50"," 100.00",50,155,52.18,03/24/2022,F
"NTPC"," N7"," 24-Mar-2022"," 13.08"," 13.00"," 13.15"," 13.00"," 13.10"," 13.10"," 13.09"," 21738"," 2.85"," 87"," 21631"," 99.51",250,155,52.18,03/24/2022,T
"NTPC"," NA"," 24-Mar-2022"," 1287.00"," 1361.00"," 1361.00"," 1361.00"," 1361.00"," 1361.00"," 1361.00"," 35"," 0.48"," 1"," 35"," 100.00",35,155,52.18,03/24/2022,F
"NTPC"," ND"," 24-Mar-2022"," 1315.83"," 1295.00"," 1305.00"," 1290.61"," 1305.00"," 1305.00"," 1303.61"," 191"," 2.49"," 7"," 183"," 95.81",27,155,52.18,03/24/2022,F
"NTPC"," EQ"," 23-Mar-2022"," 132.85"," 132.90"," 133.75"," 132.20"," 133.50"," 133.45"," 133.10"," 11892811"," 15829.87"," 55929"," 6897700"," 58.00",213,163,48.53,03/23/2022,T
"NTPC"," EQ"," 22-Mar-2022"," 132.90"," 133.30"," 134.15"," 131.75"," 132.80"," 132.85"," 132.78"," 10343712"," 13734.05"," 52684"," 5967761"," 57.69",196,162,48.45,03/22/2022,T
"NTPC"," EQ"," 21-Mar-2022"," 132.90"," 132.90"," 133.40"," 131.70"," 133.00"," 132.90"," 132.46"," 9172207"," 12149.94"," 55112"," 5693313"," 62.07",166,162,48.36,03/21/2022,T
"NTPC"," EQ"," 17-Mar-2022"," 132.75"," 133.50"," 134.30"," 131.90"," 133.00"," 132.90"," 132.94"," 13995384"," 18606.00"," 54518"," 9170877"," 65.53",257,161,48.41,03/17/2022,T
"NTPC"," EQ"," 16-Mar-2022"," 131.05"," 132.40"," 133.00"," 131.55"," 132.40"," 132.75"," 132.28"," 5561866"," 7357.44"," 38727"," 3076784"," 55.32",144,161,48.44,03/16/2022,F
"NTPC"," EQ"," 15-Mar-2022"," 132.15"," 131.30"," 132.95"," 130.65"," 130.90"," 131.05"," 131.56"," 6895190"," 9071.40"," 64607"," 3572641"," 51.81",107,161,48.30,03/15/2022,F
"NTPC"," EQ"," 14-Mar-2022"," 131.95"," 131.95"," 132.90"," 130.75"," 132.05"," 132.15"," 131.54"," 5670284"," 7458.60"," 47177"," 2657636"," 46.87",120,163,48.48,03/14/2022,F
"NTPC"," EQ"," 11-Mar-2022"," 132.95"," 132.90"," 133.40"," 131.50"," 131.90"," 131.95"," 132.12"," 8669803"," 11454.96"," 43325"," 4528344"," 52.23",200,165,48.53,03/11/2022,T
"NTPC"," EQ"," 10-Mar-2022"," 131.50"," 132.90"," 135.00"," 131.95"," 132.60"," 132.95"," 133.40"," 13101323"," 17476.82"," 77022"," 5615468"," 42.86",170,165,48.33,03/10/2022,F
"NTPC"," EQ"," 09-Mar-2022"," 133.75"," 133.95"," 133.95"," 131.10"," 131.90"," 131.50"," 131.79"," 14286413"," 18827.99"," 78938"," 7604734"," 53.23",181,166,48.64,03/09/2022,T
"NTPC"," EQ"," 08-Mar-2022"," 130.05"," 130.50"," 135.80"," 130.50"," 133.25"," 133.75"," 133.39"," 28572640"," 38113.68"," 238901"," 13228539"," 46.30",120,167,48.64,03/08/2022,F
"NTPC"," EQ"," 04-Mar-2022"," 132.10"," 132.00"," 133.35"," 129.75"," 130.30"," 130.20"," 131.21"," 15883138"," 20839.49"," 102183"," 6634495"," 41.77",155,167,48.91,03/04/2022,F
"NTPC"," EQ"," 03-Mar-2022"," 130.95"," 132.10"," 133.45"," 130.25"," 132.95"," 132.10"," 131.73"," 15628119"," 20587.05"," 72468"," 7407061"," 47.40",216,167,49.11,03/03/2022,F
"NTPC"," EQ"," 02-Mar-2022"," 133.50"," 132.80"," 135.00"," 130.45"," 130.95"," 130.95"," 132.03"," 12587947"," 16620.05"," 87533"," 5987778"," 47.57",144,166,49.31,03/02/2022,F
"NTPC"," EQ"," 28-Feb-2022"," 130.35"," 128.95"," 133.95"," 128.80"," 133.55"," 133.50"," 132.58"," 13262687"," 17583.51"," 71096"," 7345448"," 55.38",187,167,49.12,02/28/2022,T
"NTPC"," EQ"," 25-Feb-2022"," 124.40"," 125.00"," 131.00"," 125.00"," 130.10"," 130.35"," 129.06"," 10424521"," 13453.99"," 78084"," 3487119"," 33.45",134,166,49.17,02/25/2022,F
"NTPC"," EQ"," 24-Feb-2022"," 130.20"," 127.00"," 129.00"," 123.65"," 124.75"," 124.40"," 126.03"," 18045779"," 22743.30"," 126145"," 9595682"," 53.17",143,166,49.52,02/24/2022,F
"NTPC"," EQ"," 23-Feb-2022"," 132.10"," 132.00"," 133.45"," 129.85"," 130.15"," 130.20"," 131.24"," 9263264"," 12156.92"," 52713"," 4624152"," 49.92",176,166,49.40,02/23/2022,T
"NTPC"," EQ"," 22-Feb-2022"," 131.95"," 131.05"," 132.50"," 127.90"," 132.00"," 132.10"," 130.05"," 13578566"," 17659.01"," 73854"," 6676814"," 49.17",184,165,49.26,02/22/2022,F
"NTPC"," EQ"," 21-Feb-2022"," 132.35"," 132.40"," 134.15"," 131.15"," 132.05"," 131.95"," 132.36"," 12212740"," 16165.20"," 78279"," 4312417"," 35.31",156,165,49.22,02/21/2022,F
"NTPC"," EQ"," 18-Feb-2022"," 132.75"," 132.75"," 134.10"," 131.90"," 132.40"," 132.35"," 132.76"," 6760078"," 8974.90"," 48357"," 2816908"," 41.67",140,165,49.59,02/18/2022,F
"NTPC"," EQ"," 17-Feb-2022"," 133.20"," 134.50"," 134.90"," 132.45"," 132.70"," 132.75"," 133.20"," 5811964"," 7741.51"," 35187"," 2070092"," 35.62",165,166,49.72,02/17/2022,F
"NTPC"," EQ"," 16-Feb-2022"," 135.35"," 134.90"," 136.70"," 132.85"," 133.10"," 133.20"," 134.53"," 12946623"," 17417.07"," 60607"," 7256557"," 56.05",214,165,50.04,02/16/2022,T
"NTPC"," EQ"," 15-Feb-2022"," 132.50"," 132.10"," 135.80"," 130.65"," 135.20"," 135.35"," 133.12"," 12674466"," 16871.66"," 81884"," 6999644"," 55.23",155,165,50.00,02/15/2022,F
"NTPC"," EQ"," 14-Feb-2022"," 137.15"," 134.70"," 136.45"," 131.80"," 132.00"," 132.50"," 134.01"," 7705072"," 10325.88"," 71415"," 3657294"," 47.47",108,164,49.88,02/14/2022,F
"NTPC"," EQ"," 11-Feb-2022"," 136.45"," 134.45"," 137.70"," 134.45"," 136.70"," 137.15"," 136.89"," 8426925"," 11536.02"," 64483"," 4350965"," 51.63",131,164,49.74,02/11/2022,F
"NTPC"," EQ"," 10-Feb-2022"," 135.05"," 135.15"," 136.85"," 134.30"," 136.20"," 136.45"," 136.24"," 6081460"," 8285.49"," 74376"," 3179686"," 52.28",82,165,49.71,02/10/2022,F
"NTPC"," EQ"," 09-Feb-2022"," 135.00"," 135.30"," 135.60"," 133.85"," 135.15"," 135.05"," 134.98"," 5144026"," 6943.37"," 57888"," 2482125"," 48.25",89,166,49.88,02/09/2022,F
"NTPC"," EQ"," 08-Feb-2022"," 135.15"," 135.45"," 135.65"," 132.80"," 134.85"," 135.00"," 134.27"," 8721631"," 11710.96"," 75003"," 3836564"," 43.99",116,167,49.77,02/08/2022,F
"NTPC"," EQ"," 07-Feb-2022"," 134.20"," 134.20"," 136.35"," 134.20"," 135.15"," 135.15"," 135.44"," 10562489"," 14306.19"," 71704"," 5546304"," 52.51",147,167,49.77,02/07/2022,F
"NTPC"," EQ"," 04-Feb-2022"," 136.65"," 137.00"," 137.45"," 133.90"," 134.20"," 134.20"," 135.45"," 7213085"," 9770.41"," 73982"," 3512615"," 48.70",97,167,49.79,02/04/2022,F
"NTPC"," EQ"," 03-Feb-2022"," 141.15"," 137.50"," 138.60"," 136.30"," 136.65"," 136.65"," 137.31"," 9571728"," 13143.30"," 81773"," 4074328"," 42.57",117,169,49.81,02/03/2022,F
"NTPC"," EQ"," 02-Feb-2022"," 141.15"," 142.00"," 142.75"," 140.75"," 141.15"," 141.15"," 141.30"," 10783943"," 15238.22"," 76546"," 5698362"," 52.84",141,168,50.01,02/02/2022,F
"NTPC"," EQ"," 01-Feb-2022"," 142.05"," 144.00"," 144.15"," 140.45"," 141.20"," 141.15"," 142.22"," 17413984"," 24766.12"," 110716"," 8640385"," 49.62",157,168,49.89,02/01/2022,F
"NTPC"," EQ"," 31-Jan-2022"," 140.15"," 142.00"," 143.40"," 138.55"," 141.80"," 142.05"," 141.12"," 27928927"," 39413.41"," 136282"," 13534048"," 48.46",205,168,49.41,01/31/2022,F
"NTPC"," EQ"," 28-Jan-2022"," 135.00"," 140.00"," 144.00"," 138.00"," 140.25"," 140.15"," 140.96"," 34009553"," 47938.81"," 180650"," 12176616"," 35.80",188,168,49.30,01/28/2022,F
"NTPC"," EQ"," 27-Jan-2022"," 135.30"," 134.20"," 136.00"," 133.15"," 134.80"," 135.00"," 134.89"," 18760325"," 25306.39"," 86317"," 9188009"," 48.98",217,168,49.46,01/27/2022,F
"NTPC"," EQ"," 25-Jan-2022"," 132.60"," 131.20"," 135.65"," 131.05"," 135.20"," 135.30"," 133.96"," 10007486"," 13405.79"," 80253"," 4616681"," 46.13",125,167,49.81,01/25/2022,F
"NTPC"," EQ"," 24-Jan-2022"," 134.10"," 133.00"," 135.25"," 131.00"," 131.85"," 132.60"," 133.12"," 14284658"," 19015.43"," 86605"," 6233379"," 43.64",165,169,50.14,01/24/2022,F
"NTPC"," EQ"," 21-Jan-2022"," 134.90"," 134.05"," 136.10"," 132.55"," 134.15"," 134.10"," 134.66"," 12437749"," 16748.05"," 83821"," 7306057"," 58.74",148,168,50.31,01/21/2022,F
"NTPC"," EQ"," 20-Jan-2022"," 134.80"," 134.50"," 136.35"," 134.15"," 134.60"," 134.90"," 135.13"," 8466412"," 11440.38"," 51306"," 4185487"," 49.44",165,168,50.30,01/20/2022,F
"NTPC"," EQ"," 19-Jan-2022"," 135.00"," 134.10"," 135.30"," 132.95"," 134.50"," 134.80"," 134.19"," 21136414"," 28363.52"," 70304"," 13402513"," 63.41",301,170,50.54,01/19/2022,T
"NTPC"," EQ"," 18-Jan-2022"," 136.60"," 136.60"," 137.75"," 134.40"," 134.95"," 135.00"," 135.86"," 6473378"," 8794.50"," 54274"," 2947302"," 45.53",119,167,50.40,01/18/2022,F
"NTPC"," EQ"," 17-Jan-2022"," 135.35"," 134.65"," 137.35"," 134.45"," 136.40"," 136.60"," 136.58"," 9803141"," 13389.16"," 59073"," 5195627"," 53.00",166,169,50.37,01/17/2022,F
"NTPC"," EQ"," 14-Jan-2022"," 134.95"," 134.40"," 136.15"," 133.30"," 135.20"," 135.35"," 135.47"," 9344382"," 12658.68"," 57308"," 4112721"," 44.01",163,170,50.61,01/14/2022,F
"NTPC"," EQ"," 13-Jan-2022"," 133.85"," 134.40"," 136.65"," 133.50"," 134.90"," 134.95"," 135.25"," 15114699"," 20441.98"," 91183"," 8361471"," 55.32",166,170,50.71,01/13/2022,F
"NTPC"," EQ"," 12-Jan-2022"," 132.30"," 133.35"," 134.20"," 132.35"," 133.90"," 133.85"," 133.26"," 10439580"," 13912.04"," 56703"," 5665883"," 54.27",184,171,50.78,01/12/2022,T
"NTPC"," EQ"," 11-Jan-2022"," 131.85"," 132.15"," 134.00"," 131.00"," 132.20"," 132.30"," 132.95"," 11971883"," 15917.04"," 92912"," 4016833"," 33.55",129,170,50.74,01/11/2022,F
"NTPC"," EQ"," 10-Jan-2022"," 131.35"," 131.95"," 132.30"," 130.75"," 132.05"," 131.85"," 131.51"," 7324926"," 9632.92"," 57463"," 3574964"," 48.81",127,170,51.17,01/10/2022,F
"NTPC"," EQ"," 07-Jan-2022"," 130.90"," 131.30"," 132.20"," 129.45"," 131.15"," 131.35"," 130.97"," 8820039"," 11551.41"," 65348"," 3967506"," 44.98",135,171,51.07,01/07/2022,F
"NTPC"," EQ"," 06-Jan-2022"," 132.00"," 132.35"," 132.35"," 129.30"," 131.00"," 130.90"," 130.35"," 8037648"," 10476.85"," 59977"," 3180232"," 39.57",134,171,51.13,01/06/2022,F
"NTPC"," EQ"," 05-Jan-2022"," 132.90"," 132.60"," 132.85"," 130.70"," 131.80"," 132.00"," 131.78"," 16122852"," 21247.08"," 87045"," 7848331"," 48.68",185,171,51.09,01/05/2022,F
"NTPC"," EQ"," 04-Jan-2022"," 126.00"," 127.00"," 133.30"," 126.75"," 132.50"," 132.90"," 131.10"," 33986738"," 44557.65"," 147688"," 11282528"," 33.20",230,171,51.05,01/04/2022,F
"NTPC"," EQ"," 03-Jan-2022"," 124.40"," 125.40"," 126.55"," 124.70"," 126.25"," 126.00"," 125.91"," 9034081"," 11374.57"," 55072"," 5143730"," 56.94",164,170,51.09,01/03/2022,F
"NTPC"," EQ"," 31-Dec-2021"," 126.90"," 126.80"," 126.80"," 124.00"," 124.40"," 124.40"," 124.77"," 9155163"," 11422.92"," 65748"," 2924079"," 31.94",139,172,50.84,12/31/2021,F
"NTPC"," EQ"," 30-Dec-2021"," 123.15"," 123.25"," 127.85"," 122.25"," 126.45"," 126.90"," 126.07"," 32394253"," 40838.91"," 99714"," 16523429"," 51.01",325,174,50.77,12/30/2021,T
"NTPC"," EQ"," 29-Dec-2021"," 124.10"," 124.60"," 124.75"," 122.20"," 122.60"," 123.15"," 123.59"," 8960770"," 11074.39"," 53952"," 4538851"," 50.65",166,172,50.50,12/29/2021,F
"NTPC"," EQ"," 28-Dec-2021"," 121.85"," 122.00"," 124.60"," 121.95"," 124.60"," 124.10"," 123.41"," 6511374"," 8035.56"," 41984"," 2565349"," 39.40",155,173,50.31,12/28/2021,F
"NTPC"," EQ"," 27-Dec-2021"," 121.25"," 121.25"," 122.15"," 120.60"," 121.95"," 121.85"," 121.57"," 5097217"," 6196.46"," 37060"," 2133989"," 41.87",138,174,50.30,12/27/2021,F
"NTPC"," EQ"," 24-Dec-2021"," 124.55"," 124.80"," 125.00"," 120.90"," 121.40"," 121.25"," 121.84"," 8509575"," 10367.64"," 51686"," 4556537"," 53.55",165,174,50.52,12/24/2021,F
"NTPC"," EQ"," 23-Dec-2021"," 122.55"," 123.10"," 125.40"," 122.80"," 124.35"," 124.55"," 124.50"," 9836979"," 12246.74"," 46877"," 5533786"," 56.25",210,174,50.60,12/23/2021,T
