symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"OBEROIRLTY"," EQ"," 23-Mar-2022"," 913.55"," 916.00"," 935.00"," 903.00"," 919.40"," 922.85"," 920.40"," 1261759"," 11613.17"," 28651"," 333463"," 26.43",44,36,27.76,03/23/2022,F
"OBEROIRLTY"," EQ"," 22-Mar-2022"," 910.90"," 914.00"," 917.95"," 888.65"," 913.35"," 913.55"," 903.04"," 1403285"," 12672.19"," 30074"," 560072"," 39.91",47,36,27.58,03/22/2022,T
"OBEROIRLTY"," EQ"," 21-Mar-2022"," 912.90"," 923.00"," 929.70"," 907.60"," 909.75"," 910.90"," 917.91"," 500325"," 4592.55"," 15720"," 163986"," 32.78",32,35,27.29,03/21/2022,F
"OBEROIRLTY"," EQ"," 17-Mar-2022"," 926.55"," 932.00"," 939.90"," 910.80"," 913.00"," 912.90"," 925.44"," 1033682"," 9566.12"," 25562"," 189829"," 18.36",40,35,27.41,03/17/2022,F
"OBEROIRLTY"," EQ"," 16-Mar-2022"," 889.65"," 901.25"," 930.90"," 897.85"," 920.00"," 926.55"," 915.75"," 1040788"," 9530.97"," 25686"," 259203"," 24.90",41,35,27.50,03/16/2022,F
"OBEROIRLTY"," EQ"," 15-Mar-2022"," 897.90"," 904.00"," 918.00"," 867.00"," 881.00"," 889.65"," 894.25"," 1063003"," 9505.87"," 37161"," 384297"," 36.15",29,35,27.50,03/15/2022,F
"OBEROIRLTY"," EQ"," 14-Mar-2022"," 916.45"," 911.00"," 917.95"," 896.00"," 899.90"," 897.90"," 901.72"," 241599"," 2178.54"," 9874"," 51872"," 21.47",24,35,27.36,03/14/2022,F
"OBEROIRLTY"," EQ"," 11-Mar-2022"," 904.25"," 900.50"," 923.00"," 900.50"," 914.00"," 916.45"," 913.15"," 658386"," 6012.08"," 18769"," 218623"," 33.21",35,35,27.58,03/11/2022,F
"OBEROIRLTY"," EQ"," 10-Mar-2022"," 875.55"," 886.00"," 924.50"," 880.00"," 902.00"," 904.25"," 909.26"," 1329937"," 12092.57"," 35441"," 370147"," 27.83",38,36,27.32,03/10/2022,T
"OBEROIRLTY"," EQ"," 09-Mar-2022"," 832.45"," 835.00"," 878.35"," 828.30"," 876.00"," 875.55"," 855.95"," 694712"," 5946.40"," 17008"," 175299"," 25.23",41,35,27.18,03/09/2022,F
