symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"OFSS"," EQ"," 25-Mar-2022"," 3628.10"," 3640.00"," 3647.20"," 3561.05"," 3588.10"," 3580.90"," 3594.18"," 91414"," 3285.59"," 9383"," 43912"," 48.04",10,8,47.52,03/25/2022,T
"OFSS"," EQ"," 24-Mar-2022"," 3559.60"," 3560.00"," 3637.00"," 3560.00"," 3625.90"," 3628.10"," 3602.65"," 80582"," 2903.09"," 15358"," 45449"," 56.40",5,8,47.72,03/24/2022,F
"OFSS"," EQ"," 23-Mar-2022"," 3597.30"," 3609.00"," 3662.35"," 3551.05"," 3574.85"," 3559.60"," 3619.71"," 118421"," 4286.50"," 12009"," 69149"," 58.39",10,8,47.83,03/23/2022,T
"OFSS"," EQ"," 22-Mar-2022"," 3545.30"," 3549.00"," 3610.20"," 3538.55"," 3600.00"," 3597.30"," 3577.98"," 129177"," 4621.92"," 8608"," 81525"," 63.11",15,8,47.81,03/22/2022,T
"OFSS"," EQ"," 21-Mar-2022"," 3553.55"," 3572.00"," 3595.00"," 3535.00"," 3547.95"," 3545.30"," 3547.41"," 49645"," 1761.11"," 7706"," 30710"," 61.86",6,8,47.52,03/21/2022,F
"OFSS"," EQ"," 17-Mar-2022"," 3533.30"," 3570.00"," 3572.30"," 3502.00"," 3572.30"," 3553.55"," 3538.86"," 114134"," 4039.04"," 12384"," 77068"," 67.52",9,8,47.23,03/17/2022,T
"OFSS"," EQ"," 16-Mar-2022"," 3456.40"," 3483.00"," 3544.45"," 3460.85"," 3535.95"," 3533.30"," 3504.41"," 83723"," 2934.00"," 11752"," 55785"," 66.63",7,8,47.01,03/16/2022,F
"OFSS"," EQ"," 15-Mar-2022"," 3523.70"," 3545.00"," 3547.00"," 3442.00"," 3455.00"," 3456.40"," 3472.02"," 54540"," 1893.64"," 8240"," 26096"," 47.85",7,8,46.70,03/15/2022,F
"OFSS"," EQ"," 14-Mar-2022"," 3468.55"," 3470.00"," 3539.00"," 3460.00"," 3515.40"," 3523.70"," 3505.88"," 74228"," 2602.35"," 9071"," 41967"," 56.54",8,8,46.52,03/14/2022,F
"OFSS"," EQ"," 11-Mar-2022"," 3470.80"," 3471.00"," 3512.00"," 3438.00"," 3469.00"," 3468.55"," 3483.13"," 131900"," 4594.25"," 8541"," 97859"," 74.19",15,8,46.43,03/11/2022,T
"OFSS"," EQ"," 10-Mar-2022"," 3421.05"," 3459.85"," 3511.00"," 3411.00"," 3460.00"," 3470.80"," 3465.63"," 97853"," 3391.23"," 11627"," 44012"," 44.98",8,8,45.66,03/10/2022,F
"OFSS"," EQ"," 09-Mar-2022"," 3427.50"," 3449.95"," 3469.00"," 3410.25"," 3427.00"," 3421.05"," 3438.24"," 57674"," 1982.97"," 8553"," 29675"," 51.45",7,8,45.69,03/09/2022,F
"OFSS"," EQ"," 08-Mar-2022"," 3351.90"," 3376.00"," 3447.95"," 3341.00"," 3430.55"," 3427.50"," 3389.31"," 71432"," 2421.05"," 9581"," 35453"," 49.63",7,8,45.37,03/08/2022,F
"OFSS"," EQ"," 04-Mar-2022"," 3380.55"," 3364.00"," 3403.75"," 3327.40"," 3350.05"," 3346.10"," 3356.79"," 48268"," 1620.25"," 8057"," 20419"," 42.30",6,8,45.80,03/04/2022,F
"OFSS"," EQ"," 03-Mar-2022"," 3370.05"," 3410.00"," 3437.05"," 3362.75"," 3381.30"," 3380.55"," 3402.53"," 61376"," 2088.34"," 9690"," 26241"," 42.75",6,8,46.01,03/03/2022,F
"OFSS"," EQ"," 02-Mar-2022"," 3389.55"," 3389.70"," 3424.00"," 3350.10"," 3380.00"," 3370.05"," 3378.66"," 63625"," 2149.67"," 11429"," 29188"," 45.88",6,8,46.01,03/02/2022,F
"OFSS"," EQ"," 28-Feb-2022"," 3409.30"," 3409.30"," 3427.90"," 3350.00"," 3396.95"," 3389.55"," 3392.91"," 71307"," 2419.38"," 7909"," 38386"," 53.83",9,8,46.17,02/28/2022,T
"OFSS"," EQ"," 25-Feb-2022"," 3329.60"," 3385.00"," 3492.90"," 3375.55"," 3414.50"," 3409.30"," 3420.51"," 80980"," 2769.93"," 10098"," 39540"," 48.83",8,8,45.85,02/25/2022,F
"OFSS"," EQ"," 24-Feb-2022"," 3513.25"," 3440.00"," 3440.00"," 3306.00"," 3340.00"," 3329.60"," 3371.59"," 111434"," 3757.10"," 14141"," 50591"," 45.40",8,8,45.86,02/24/2022,F
"OFSS"," EQ"," 23-Feb-2022"," 3474.55"," 3474.55"," 3543.70"," 3461.55"," 3507.10"," 3513.25"," 3512.08"," 49314"," 1731.95"," 6173"," 19996"," 40.55",8,8,45.74,02/23/2022,F
