symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ONGC"," EQ"," 25-Mar-2022"," 177.45"," 178.50"," 179.25"," 175.10"," 175.50"," 175.80"," 177.00"," 13608989"," 24087.96"," 81942"," 7168128"," 52.67",166,176,38.86,03/25/2022,F
"ONGC"," EQ"," 24-Mar-2022"," 175.60"," 178.90"," 180.40"," 176.50"," 177.00"," 177.45"," 177.79"," 20332589"," 36150.02"," 87855"," 8263390"," 40.64",231,176,38.55,03/24/2022,T
"ONGC"," EQ"," 23-Mar-2022"," 175.45"," 176.50"," 177.70"," 174.85"," 175.75"," 175.60"," 176.05"," 10994784"," 19356.86"," 65990"," 3840895"," 34.93",167,174,38.54,03/23/2022,F
"ONGC"," EQ"," 22-Mar-2022"," 172.55"," 176.20"," 181.25"," 173.80"," 175.50"," 175.45"," 177.70"," 39742745"," 70622.74"," 195953"," 8197650"," 20.63",203,173,38.48,03/22/2022,F
"ONGC"," EQ"," 21-Mar-2022"," 170.30"," 171.70"," 175.00"," 170.30"," 172.20"," 172.55"," 173.22"," 20614652"," 35707.76"," 127950"," 6616232"," 32.09",161,172,38.71,03/21/2022,F
"ONGC"," EQ"," 17-Mar-2022"," 167.30"," 166.60"," 171.50"," 164.60"," 169.50"," 170.30"," 168.90"," 66314748"," 112004.13"," 149509"," 40151159"," 60.55",444,173,39.33,03/17/2022,T
"ONGC"," EQ"," 16-Mar-2022"," 163.75"," 166.00"," 167.85"," 161.85"," 167.20"," 167.30"," 165.38"," 25545119"," 42245.51"," 113301"," 10022693"," 39.24",225,169,39.16,03/16/2022,T
"ONGC"," EQ"," 15-Mar-2022"," 171.80"," 168.30"," 169.50"," 161.65"," 163.40"," 163.75"," 164.13"," 42333127"," 69481.11"," 187908"," 20035940"," 47.33",225,168,39.29,03/15/2022,T
"ONGC"," EQ"," 14-Mar-2022"," 175.70"," 174.00"," 175.50"," 170.60"," 171.60"," 171.80"," 172.26"," 20214021"," 34819.83"," 116176"," 9222051"," 45.62",174,167,39.21,03/14/2022,T
"ONGC"," EQ"," 11-Mar-2022"," 174.35"," 172.50"," 176.40"," 171.70"," 175.50"," 175.70"," 174.23"," 26187452"," 45626.20"," 129365"," 10380398"," 39.64",202,167,39.29,03/11/2022,T
"ONGC"," EQ"," 10-Mar-2022"," 175.40"," 168.25"," 176.90"," 165.00"," 174.40"," 174.35"," 172.52"," 62112814"," 107156.20"," 288919"," 20329477"," 32.73",215,167,39.49,03/10/2022,F
"ONGC"," EQ"," 09-Mar-2022"," 179.10"," 183.00"," 183.80"," 173.85"," 174.60"," 175.40"," 177.98"," 51977091"," 92510.06"," 318688"," 16704157"," 32.14",163,166,39.68,03/09/2022,F
