symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"PAGEIND"," EQ"," 25-Mar-2022"," 41383.55"," 41670.00"," 41723.70"," 40341.45"," 40498.35"," 40444.70"," 40761.09"," 18484"," 7534.28"," 9334"," 8604"," 46.55",2,2,41.03,03/25/2022,F
"PAGEIND"," EQ"," 24-Mar-2022"," 42024.55"," 41890.00"," 42211.95"," 41161.60"," 41300.00"," 41383.55"," 41723.99"," 17977"," 7500.72"," 10093"," 8145"," 45.31",2,2,40.69,03/24/2022,F
"PAGEIND"," EQ"," 23-Mar-2022"," 41790.10"," 41826.00"," 42335.95"," 41711.20"," 42000.00"," 42024.55"," 42055.45"," 17247"," 7253.30"," 9550"," 6748"," 39.13",2,2,40.69,03/23/2022,F
"PAGEIND"," EQ"," 22-Mar-2022"," 41826.20"," 41826.00"," 41955.80"," 40777.00"," 41636.05"," 41790.10"," 41316.12"," 23776"," 9823.32"," 7413"," 14239"," 59.89",3,2,40.68,03/22/2022,T
"PAGEIND"," EQ"," 21-Mar-2022"," 42674.10"," 43000.00"," 43099.00"," 41655.95"," 41721.90"," 41826.20"," 42303.49"," 17924"," 7582.48"," 7803"," 8227"," 45.90",2,2,40.14,03/21/2022,F
"PAGEIND"," EQ"," 17-Mar-2022"," 42354.95"," 42430.00"," 43099.95"," 42050.60"," 42700.05"," 42674.10"," 42650.11"," 32302"," 13776.84"," 12191"," 15482"," 47.93",3,2,39.81,03/17/2022,T
"PAGEIND"," EQ"," 16-Mar-2022"," 41230.70"," 41444.00"," 42566.95"," 41356.75"," 42120.00"," 42354.95"," 42076.00"," 24233"," 10196.28"," 10506"," 11569"," 47.74",2,2,40.10,03/16/2022,F
"PAGEIND"," EQ"," 15-Mar-2022"," 41686.70"," 41624.45"," 41624.45"," 40954.00"," 41000.00"," 41230.70"," 41250.80"," 22771"," 9393.22"," 11938"," 11337"," 49.79",2,2,40.37,03/15/2022,F
"PAGEIND"," EQ"," 14-Mar-2022"," 41488.85"," 41350.00"," 41835.40"," 40912.55"," 41624.25"," 41686.70"," 41342.95"," 14668"," 6064.18"," 7170"," 6270"," 42.75",2,2,40.51,03/14/2022,F
"PAGEIND"," EQ"," 11-Mar-2022"," 41000.55"," 40750.00"," 41600.00"," 40639.00"," 41520.00"," 41488.85"," 41164.00"," 10969"," 4515.28"," 4921"," 3441"," 31.37",2,2,40.57,03/11/2022,F
"PAGEIND"," EQ"," 10-Mar-2022"," 39999.20"," 40600.00"," 41285.00"," 40450.00"," 40879.35"," 41000.55"," 40922.97"," 17887"," 7319.89"," 9529"," 7336"," 41.01",2,2,40.91,03/10/2022,F
"PAGEIND"," EQ"," 09-Mar-2022"," 39514.40"," 39870.00"," 40199.50"," 39455.00"," 39720.00"," 39999.20"," 39911.79"," 29402"," 11734.87"," 10635"," 14916"," 50.73",3,2,41.05,03/09/2022,T
