symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"PEL"," EQ"," 25-Mar-2022"," 2246.70"," 2265.00"," 2266.00"," 2181.00"," 2200.05"," 2202.45"," 2220.82"," 294535"," 6541.09"," 21094"," 87802"," 29.81",14,18,32.71,03/25/2022,F
"PEL"," EQ"," 24-Mar-2022"," 2224.35"," 2212.30"," 2257.80"," 2208.70"," 2245.00"," 2246.70"," 2237.45"," 403343"," 9024.61"," 25066"," 117204"," 29.06",16,18,32.60,03/24/2022,F
"PEL"," EQ"," 23-Mar-2022"," 2202.15"," 2233.45"," 2246.75"," 2182.00"," 2220.00"," 2224.35"," 2215.30"," 490965"," 10876.36"," 32524"," 128303"," 26.13",15,18,32.76,03/23/2022,F
"PEL"," EQ"," 22-Mar-2022"," 2234.60"," 2239.05"," 2244.65"," 2164.30"," 2207.00"," 2202.15"," 2198.38"," 633536"," 13927.55"," 42727"," 192343"," 30.36",15,18,33.01,03/22/2022,F
"PEL"," EQ"," 21-Mar-2022"," 2286.05"," 2300.00"," 2327.70"," 2225.40"," 2236.00"," 2234.60"," 2282.17"," 676228"," 15432.64"," 35952"," 220979"," 32.68",19,18,33.09,03/21/2022,F
"PEL"," EQ"," 17-Mar-2022"," 2161.40"," 2200.00"," 2297.45"," 2187.20"," 2290.00"," 2286.05"," 2249.53"," 1668005"," 37522.24"," 84585"," 719448"," 43.13",20,18,33.22,03/17/2022,T
"PEL"," EQ"," 16-Mar-2022"," 2071.25"," 2090.00"," 2169.90"," 2088.00"," 2156.95"," 2161.40"," 2138.51"," 581519"," 12435.84"," 37753"," 157250"," 27.04",15,18,32.94,03/16/2022,F
"PEL"," EQ"," 15-Mar-2022"," 2036.10"," 2040.00"," 2155.00"," 2040.00"," 2070.00"," 2071.25"," 2111.25"," 1565483"," 33051.19"," 82658"," 282982"," 18.08",19,18,32.88,03/15/2022,F
"PEL"," EQ"," 14-Mar-2022"," 2026.65"," 2025.00"," 2058.95"," 2010.00"," 2034.00"," 2036.10"," 2034.34"," 730502"," 14860.90"," 30936"," 452403"," 61.93",24,18,33.02,03/14/2022,T
"PEL"," EQ"," 11-Mar-2022"," 1993.65"," 1993.00"," 2038.00"," 1983.55"," 2028.15"," 2026.65"," 2016.46"," 640727"," 12919.98"," 36897"," 217730"," 33.98",17,18,32.53,03/11/2022,F
