symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"PERSISTENT"," EQ"," 25-Mar-2022"," 4639.75"," 4665.00"," 4723.00"," 4610.00"," 4662.00"," 4675.95"," 4667.17"," 283302"," 13222.19"," 35994"," 113071"," 39.91",8,9,46.29,03/25/2022,F
"PERSISTENT"," EQ"," 24-Mar-2022"," 4490.80"," 4484.00"," 4650.00"," 4451.35"," 4648.00"," 4639.75"," 4594.01"," 337362"," 15498.43"," 41397"," 158348"," 46.94",8,9,46.03,03/24/2022,F
"PERSISTENT"," EQ"," 23-Mar-2022"," 4541.80"," 4558.00"," 4569.30"," 4441.05"," 4489.00"," 4490.80"," 4494.80"," 254432"," 11436.22"," 46783"," 137642"," 54.10",5,9,46.02,03/23/2022,F
"PERSISTENT"," EQ"," 22-Mar-2022"," 4430.70"," 4432.00"," 4574.00"," 4364.25"," 4532.10"," 4541.80"," 4520.47"," 345308"," 15609.54"," 40464"," 146845"," 42.53",9,9,45.90,03/22/2022,F
"PERSISTENT"," EQ"," 21-Mar-2022"," 4484.95"," 4457.30"," 4642.00"," 4402.90"," 4422.90"," 4430.70"," 4540.49"," 545924"," 24787.62"," 55786"," 256365"," 46.96",10,9,45.89,03/21/2022,T
"PERSISTENT"," EQ"," 17-Mar-2022"," 4428.45"," 4488.00"," 4500.05"," 4424.90"," 4475.00"," 4484.95"," 4483.15"," 952232"," 42689.96"," 52565"," 604981"," 63.53",18,9,45.46,03/17/2022,T
"PERSISTENT"," EQ"," 16-Mar-2022"," 4326.90"," 4400.00"," 4465.40"," 4358.15"," 4430.00"," 4428.45"," 4428.28"," 214369"," 9492.86"," 26053"," 96213"," 44.88",8,9,44.84,03/16/2022,F
"PERSISTENT"," EQ"," 15-Mar-2022"," 4475.10"," 4550.00"," 4555.00"," 4291.05"," 4314.00"," 4326.90"," 4427.22"," 505864"," 22395.72"," 54258"," 262476"," 51.89",9,9,44.72,03/15/2022,F
"PERSISTENT"," EQ"," 14-Mar-2022"," 4358.65"," 4351.05"," 4497.70"," 4339.50"," 4483.00"," 4475.10"," 4426.64"," 213604"," 9455.49"," 32968"," 87065"," 40.76",6,9,44.29,03/14/2022,F
"PERSISTENT"," EQ"," 11-Mar-2022"," 4279.55"," 4260.00"," 4371.10"," 4227.00"," 4350.00"," 4358.65"," 4314.83"," 171875"," 7416.11"," 21940"," 57217"," 33.29",8,9,44.19,03/11/2022,F
