symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"PETRONET"," EQ"," 23-Mar-2022"," 194.70"," 195.00"," 196.50"," 193.50"," 195.60"," 196.05"," 194.72"," 3918921"," 7631.01"," 26146"," 2117506"," 54.03",150,85,52.95,03/23/2022,T
"PETRONET"," EQ"," 22-Mar-2022"," 194.85"," 195.95"," 195.95"," 192.75"," 194.55"," 194.70"," 194.27"," 3297353"," 6405.67"," 42169"," 1787058"," 54.20",78,84,52.95,03/22/2022,F
"PETRONET"," EQ"," 21-Mar-2022"," 206.45"," 203.00"," 203.50"," 194.20"," 194.65"," 194.85"," 198.11"," 7915760"," 15681.56"," 81268"," 5047125"," 63.76",97,83,52.73,03/21/2022,T
"PETRONET"," EQ"," 17-Mar-2022"," 204.90"," 205.55"," 208.00"," 203.00"," 207.00"," 206.45"," 205.26"," 7774833"," 15958.47"," 55700"," 5286063"," 67.99",140,83,52.76,03/17/2022,T
"PETRONET"," EQ"," 16-Mar-2022"," 202.45"," 204.00"," 205.25"," 200.00"," 205.00"," 204.90"," 202.80"," 2236686"," 4535.90"," 37255"," 986815"," 44.12",60,81,52.67,03/16/2022,F
"PETRONET"," EQ"," 15-Mar-2022"," 205.55"," 205.55"," 205.90"," 201.35"," 202.40"," 202.45"," 202.99"," 2910524"," 5908.21"," 38212"," 1442162"," 49.55",76,81,52.71,03/15/2022,F
"PETRONET"," EQ"," 14-Mar-2022"," 209.60"," 207.70"," 209.50"," 203.65"," 205.60"," 205.55"," 205.73"," 2263985"," 4657.79"," 34981"," 1114003"," 49.21",65,81,52.93,03/14/2022,F
"PETRONET"," EQ"," 11-Mar-2022"," 210.10"," 209.90"," 210.55"," 206.05"," 209.10"," 209.60"," 207.86"," 3460394"," 7192.67"," 49869"," 1713570"," 49.52",69,81,53.21,03/11/2022,F
"PETRONET"," EQ"," 10-Mar-2022"," 212.70"," 211.50"," 212.95"," 207.55"," 209.85"," 210.10"," 209.60"," 6304102"," 13213.30"," 74335"," 3841152"," 60.93",85,81,53.23,03/10/2022,T
"PETRONET"," EQ"," 09-Mar-2022"," 220.85"," 222.55"," 222.55"," 212.30"," 212.75"," 212.70"," 214.98"," 2518929"," 5415.28"," 44643"," 1126636"," 44.73",56,82,53.47,03/09/2022,F
"PETRONET"," EQ"," 08-Mar-2022"," 218.20"," 219.10"," 222.50"," 216.75"," 220.35"," 220.85"," 220.07"," 1920941"," 4227.38"," 27465"," 761605"," 39.65",70,82,53.74,03/08/2022,F
"PETRONET"," EQ"," 04-Mar-2022"," 214.90"," 215.45"," 215.90"," 211.45"," 214.70"," 214.55"," 213.82"," 1463440"," 3129.14"," 16251"," 676430"," 46.22",90,83,54.20,03/04/2022,F
"PETRONET"," EQ"," 03-Mar-2022"," 216.20"," 217.15"," 218.50"," 214.15"," 215.00"," 214.90"," 215.82"," 1312420"," 2832.45"," 20062"," 679243"," 51.76",65,82,54.30,03/03/2022,F
"PETRONET"," EQ"," 02-Mar-2022"," 215.30"," 215.00"," 217.40"," 212.25"," 215.75"," 216.20"," 215.44"," 2774981"," 5978.38"," 32013"," 1451852"," 52.32",87,83,54.46,03/02/2022,F
"PETRONET"," EQ"," 28-Feb-2022"," 204.55"," 203.10"," 216.65"," 202.15"," 215.70"," 215.30"," 212.61"," 8633189"," 18355.01"," 53793"," 5568871"," 64.51",160,84,54.95,02/28/2022,T
"PETRONET"," EQ"," 25-Feb-2022"," 190.95"," 197.95"," 205.70"," 195.00"," 204.35"," 204.55"," 202.39"," 3009706"," 6091.31"," 32271"," 1248790"," 41.49",93,82,54.76,02/25/2022,F
"PETRONET"," EQ"," 24-Feb-2022"," 205.25"," 203.00"," 203.00"," 190.25"," 190.70"," 190.95"," 195.17"," 3518473"," 6867.17"," 39121"," 1586213"," 45.08",90,82,55.08,02/24/2022,F
"PETRONET"," EQ"," 23-Feb-2022"," 207.25"," 207.95"," 209.85"," 204.70"," 205.30"," 205.25"," 206.86"," 1440379"," 2979.57"," 27861"," 715316"," 49.66",52,82,55.33,02/23/2022,F
"PETRONET"," EQ"," 22-Feb-2022"," 208.35"," 205.05"," 208.65"," 203.75"," 207.60"," 207.25"," 206.25"," 1657327"," 3418.20"," 34349"," 762193"," 45.99",48,82,55.32,02/22/2022,F
"PETRONET"," EQ"," 21-Feb-2022"," 213.10"," 211.30"," 212.35"," 208.05"," 208.40"," 208.35"," 209.69"," 1399514"," 2934.63"," 22134"," 630699"," 45.07",63,83,55.65,02/21/2022,F
"PETRONET"," EQ"," 18-Feb-2022"," 216.50"," 216.00"," 217.80"," 212.10"," 212.45"," 213.10"," 215.04"," 1360206"," 2925.00"," 23242"," 651801"," 47.92",59,85,55.92,02/18/2022,F
