symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"PFC"," EQ"," 23-Mar-2022"," 116.45"," 117.00"," 117.10"," 115.75"," 115.95"," 116.00"," 116.23"," 2903814"," 3375.24"," 15621"," 1461160"," 50.32",186,194,45.01,03/23/2022,F
"PFC"," EQ"," 22-Mar-2022"," 115.35"," 115.35"," 116.60"," 113.90"," 116.50"," 116.45"," 115.57"," 4339965"," 5015.60"," 22430"," 1861722"," 42.90",193,194,45.09,03/22/2022,F
"PFC"," EQ"," 21-Mar-2022"," 116.35"," 116.80"," 116.80"," 115.00"," 115.30"," 115.35"," 115.62"," 2387087"," 2759.88"," 18598"," 913345"," 38.26",128,193,45.01,03/21/2022,F
"PFC"," EQ"," 17-Mar-2022"," 112.45"," 113.15"," 116.95"," 112.70"," 116.50"," 116.35"," 115.59"," 13175289"," 15229.04"," 44789"," 7492980"," 56.87",294,193,45.33,03/17/2022,T
"PFC"," EQ"," 16-Mar-2022"," 110.85"," 112.00"," 113.10"," 111.65"," 112.50"," 112.45"," 112.26"," 5301088"," 5951.10"," 27469"," 2782187"," 52.48",193,190,44.92,03/16/2022,T
"PFC"," EQ"," 15-Mar-2022"," 111.95"," 112.20"," 113.20"," 110.10"," 111.00"," 110.85"," 111.80"," 5523170"," 6175.09"," 25745"," 2902000"," 52.54",215,190,44.62,03/15/2022,T
"PFC"," EQ"," 14-Mar-2022"," 112.45"," 112.70"," 113.15"," 110.40"," 111.90"," 111.95"," 111.46"," 4310492"," 4804.40"," 21005"," 1737985"," 40.32",205,189,44.49,03/14/2022,F
"PFC"," EQ"," 11-Mar-2022"," 111.45"," 111.00"," 113.25"," 110.65"," 112.60"," 112.45"," 112.33"," 5074291"," 5700.11"," 28966"," 2146240"," 42.30",175,189,44.48,03/11/2022,F
"PFC"," EQ"," 10-Mar-2022"," 110.95"," 112.30"," 113.40"," 110.50"," 111.60"," 111.45"," 112.07"," 5653693"," 6336.10"," 27225"," 2849442"," 50.40",208,188,44.73,03/10/2022,T
"PFC"," EQ"," 09-Mar-2022"," 108.50"," 108.75"," 111.45"," 108.70"," 110.95"," 110.95"," 110.21"," 5559007"," 6126.75"," 26981"," 2582766"," 46.46",206,187,44.70,03/09/2022,T
"PFC"," EQ"," 08-Mar-2022"," 106.00"," 106.00"," 108.95"," 105.70"," 108.55"," 108.50"," 107.09"," 5302221"," 5678.32"," 27302"," 2698122"," 50.89",194,187,44.64,03/08/2022,T
"PFC"," EQ"," 04-Mar-2022"," 110.00"," 109.25"," 110.35"," 107.80"," 108.85"," 109.05"," 109.11"," 4606383"," 5026.03"," 27381"," 1749848"," 37.99",168,186,44.42,03/04/2022,F
"PFC"," EQ"," 03-Mar-2022"," 109.55"," 110.20"," 111.90"," 109.70"," 110.00"," 110.00"," 110.71"," 4092107"," 4530.53"," 26858"," 1530907"," 37.41",152,187,44.55,03/03/2022,F
"PFC"," EQ"," 02-Mar-2022"," 109.85"," 108.75"," 111.45"," 108.30"," 109.65"," 109.55"," 109.81"," 3763643"," 4132.68"," 22509"," 1528785"," 40.62",167,187,44.57,03/02/2022,F
"PFC"," EQ"," 28-Feb-2022"," 108.45"," 108.00"," 110.15"," 106.90"," 110.05"," 109.85"," 108.55"," 5205679"," 5651.02"," 26877"," 2290957"," 44.01",194,188,44.47,02/28/2022,F
"PFC"," EQ"," 25-Feb-2022"," 111.55"," 110.85"," 111.75"," 108.00"," 108.50"," 108.45"," 109.68"," 12886946"," 14134.67"," 61064"," 4623638"," 35.88",211,187,44.19,02/25/2022,F
"PFC"," EQ"," 24-Feb-2022"," 118.45"," 116.00"," 116.95"," 111.10"," 111.80"," 111.55"," 113.67"," 11457862"," 13024.34"," 51265"," 5912260"," 51.60",224,186,44.31,02/24/2022,T
"PFC"," EQ"," 23-Feb-2022"," 117.20"," 117.70"," 119.65"," 117.60"," 118.90"," 118.45"," 118.68"," 4141972"," 4915.54"," 19191"," 1855524"," 44.80",216,185,44.22,02/23/2022,T
"PFC"," EQ"," 22-Feb-2022"," 118.50"," 117.00"," 117.60"," 115.30"," 117.40"," 117.20"," 116.52"," 6234959"," 7265.13"," 29161"," 2930619"," 47.00",214,184,44.21,02/22/2022,T
"PFC"," EQ"," 21-Feb-2022"," 118.35"," 117.15"," 119.50"," 116.80"," 118.75"," 118.50"," 118.13"," 5557215"," 6564.76"," 45118"," 2024806"," 36.44",123,184,44.33,02/21/2022,F
"PFC"," EQ"," 18-Feb-2022"," 119.00"," 118.65"," 120.40"," 118.00"," 118.40"," 118.35"," 118.87"," 5244710"," 6234.23"," 20922"," 2477857"," 47.24",251,185,44.43,02/18/2022,T
"PFC"," EQ"," 17-Feb-2022"," 120.60"," 121.00"," 121.60"," 118.60"," 119.00"," 119.00"," 119.60"," 5214824"," 6237.00"," 22060"," 2717392"," 52.11",236,184,44.39,02/17/2022,T
"PFC"," EQ"," 16-Feb-2022"," 119.75"," 120.45"," 122.90"," 120.10"," 120.45"," 120.60"," 121.39"," 6839685"," 8302.77"," 28294"," 2911596"," 42.57",242,183,44.24,02/16/2022,F
"PFC"," EQ"," 15-Feb-2022"," 117.20"," 118.00"," 119.90"," 115.10"," 119.50"," 119.75"," 117.29"," 6838665"," 8021.00"," 33577"," 2298965"," 33.62",204,182,44.33,02/15/2022,F
"PFC"," EQ"," 14-Feb-2022"," 121.30"," 120.65"," 121.40"," 116.70"," 117.10"," 117.20"," 119.37"," 9013271"," 10759.37"," 42176"," 4693493"," 52.07",214,181,44.53,02/14/2022,T
"PFC"," EQ"," 11-Feb-2022"," 123.15"," 121.95"," 124.15"," 120.15"," 121.40"," 121.30"," 121.65"," 16233602"," 19748.92"," 46497"," 6821569"," 42.02",349,180,44.49,02/11/2022,F
"PFC"," EQ"," 10-Feb-2022"," 120.30"," 120.90"," 123.80"," 120.40"," 123.20"," 123.15"," 122.21"," 7913066"," 9670.83"," 31480"," 4066822"," 51.39",251,177,44.44,02/10/2022,T
"PFC"," EQ"," 09-Feb-2022"," 118.10"," 118.60"," 120.75"," 117.90"," 120.55"," 120.30"," 119.10"," 9470932"," 11279.99"," 32838"," 5968531"," 63.02",288,176,44.13,02/09/2022,T
"PFC"," EQ"," 08-Feb-2022"," 120.00"," 120.20"," 120.70"," 116.80"," 117.90"," 118.10"," 117.99"," 10081872"," 11896.09"," 43201"," 4515100"," 44.78",233,176,44.00,02/08/2022,T
