symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"PFIZER"," EQ"," 25-Mar-2022"," 4470.70"," 4470.70"," 4496.75"," 4390.00"," 4409.05"," 4401.35"," 4431.93"," 18701"," 828.82"," 3222"," 7395"," 39.54",6,8,45.44,03/25/2022,F
"PFIZER"," EQ"," 24-Mar-2022"," 4442.00"," 4435.05"," 4488.90"," 4435.05"," 4474.00"," 4470.70"," 4465.07"," 29436"," 1314.34"," 4057"," 9708"," 32.98",7,8,44.96,03/24/2022,F
"PFIZER"," EQ"," 23-Mar-2022"," 4435.65"," 4488.00"," 4591.40"," 4425.00"," 4439.95"," 4442.00"," 4537.06"," 126511"," 5739.87"," 12241"," 46206"," 36.52",10,8,44.62,03/23/2022,F
"PFIZER"," EQ"," 22-Mar-2022"," 4506.95"," 4507.00"," 4531.50"," 4416.30"," 4449.00"," 4435.65"," 4462.50"," 33105"," 1477.31"," 4457"," 8795"," 26.57",7,8,44.43,03/22/2022,F
"PFIZER"," EQ"," 21-Mar-2022"," 4388.00"," 4415.00"," 4548.00"," 4390.05"," 4500.00"," 4506.95"," 4500.08"," 73191"," 3293.66"," 8636"," 21665"," 29.60",8,8,44.41,03/21/2022,F
"PFIZER"," EQ"," 17-Mar-2022"," 4344.75"," 4344.75"," 4417.30"," 4337.00"," 4398.95"," 4388.00"," 4375.73"," 71190"," 3115.08"," 11795"," 35800"," 50.29",6,8,44.04,03/17/2022,F
"PFIZER"," EQ"," 16-Mar-2022"," 4400.30"," 4449.90"," 4465.00"," 4337.50"," 4338.00"," 4344.75"," 4367.34"," 39930"," 1743.88"," 5000"," 23363"," 58.51",8,8,43.49,03/16/2022,F
"PFIZER"," EQ"," 15-Mar-2022"," 4373.50"," 4355.00"," 4488.00"," 4350.00"," 4409.95"," 4400.30"," 4428.37"," 40042"," 1773.21"," 6433"," 11542"," 28.82",6,8,42.80,03/15/2022,F
"PFIZER"," EQ"," 14-Mar-2022"," 4473.50"," 4473.00"," 4473.00"," 4364.00"," 4377.00"," 4373.50"," 4395.06"," 24644"," 1083.12"," 3250"," 12391"," 50.28",8,8,42.47,03/14/2022,F
"PFIZER"," EQ"," 11-Mar-2022"," 4390.20"," 4365.00"," 4488.00"," 4365.00"," 4481.00"," 4473.50"," 4430.31"," 57508"," 2547.78"," 4813"," 39272"," 68.29",12,8,42.28,03/11/2022,T
"PFIZER"," EQ"," 10-Mar-2022"," 4424.10"," 4510.00"," 4510.00"," 4368.05"," 4419.00"," 4390.20"," 4435.05"," 41330"," 1833.01"," 3588"," 25687"," 62.15",12,8,41.72,03/10/2022,T
"PFIZER"," EQ"," 09-Mar-2022"," 4382.55"," 4410.00"," 4448.15"," 4373.70"," 4440.00"," 4424.10"," 4420.78"," 69144"," 3056.71"," 5822"," 52961"," 76.60",12,8,40.98,03/09/2022,T
"PFIZER"," EQ"," 08-Mar-2022"," 4266.80"," 4298.00"," 4400.00"," 4260.05"," 4387.00"," 4382.55"," 4339.33"," 52096"," 2260.62"," 4747"," 34965"," 67.12",11,8,40.17,03/08/2022,T
