symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"PIDILITIND"," EQ"," 25-Mar-2022"," 2423.65"," 2434.95"," 2464.00"," 2418.70"," 2463.00"," 2456.45"," 2443.09"," 344943"," 8427.27"," 26291"," 136714"," 39.63",13,13,49.09,03/25/2022,F
"PIDILITIND"," EQ"," 24-Mar-2022"," 2433.90"," 2428.90"," 2447.75"," 2410.65"," 2422.00"," 2423.65"," 2425.35"," 217061"," 5264.49"," 18951"," 92182"," 42.47",11,13,49.09,03/24/2022,F
"PIDILITIND"," EQ"," 23-Mar-2022"," 2450.35"," 2460.00"," 2473.95"," 2410.10"," 2425.00"," 2433.90"," 2431.32"," 319750"," 7774.16"," 25660"," 127349"," 39.83",12,13,49.35,03/23/2022,F
"PIDILITIND"," EQ"," 22-Mar-2022"," 2485.25"," 2475.00"," 2475.00"," 2405.00"," 2457.00"," 2450.35"," 2436.36"," 457034"," 11134.98"," 39106"," 222650"," 48.72",12,13,49.13,03/22/2022,F
"PIDILITIND"," EQ"," 21-Mar-2022"," 2510.40"," 2445.00"," 2543.85"," 2445.00"," 2480.00"," 2485.25"," 2501.31"," 684624"," 17124.57"," 39490"," 298389"," 43.58",17,13,48.76,03/21/2022,F
"PIDILITIND"," EQ"," 17-Mar-2022"," 2462.90"," 2485.00"," 2534.95"," 2463.45"," 2518.85"," 2510.40"," 2515.02"," 1126143"," 28322.72"," 49825"," 550357"," 48.87",23,14,48.74,03/17/2022,T
"PIDILITIND"," EQ"," 16-Mar-2022"," 2370.55"," 2390.50"," 2468.00"," 2390.50"," 2459.90"," 2462.90"," 2442.42"," 581040"," 14191.43"," 33017"," 302895"," 52.13",18,13,48.68,03/16/2022,T
"PIDILITIND"," EQ"," 15-Mar-2022"," 2344.70"," 2370.00"," 2398.70"," 2353.30"," 2365.95"," 2370.55"," 2377.46"," 361588"," 8596.61"," 39930"," 130042"," 35.96",9,14,48.69,03/15/2022,F
"PIDILITIND"," EQ"," 14-Mar-2022"," 2338.15"," 2350.00"," 2380.00"," 2317.65"," 2341.10"," 2344.70"," 2347.71"," 379972"," 8920.65"," 36634"," 134844"," 35.49",10,14,48.76,03/14/2022,F
"PIDILITIND"," EQ"," 11-Mar-2022"," 2349.90"," 2341.00"," 2349.00"," 2286.55"," 2340.00"," 2338.15"," 2327.06"," 264071"," 6145.09"," 25107"," 94768"," 35.89",11,15,48.98,03/11/2022,F
"PIDILITIND"," EQ"," 10-Mar-2022"," 2237.60"," 2350.00"," 2364.70"," 2275.00"," 2334.40"," 2349.90"," 2327.80"," 921069"," 21440.61"," 55470"," 455893"," 49.50",17,15,49.09,03/10/2022,T
"PIDILITIND"," EQ"," 09-Mar-2022"," 2180.85"," 2200.00"," 2250.95"," 2170.05"," 2232.00"," 2237.60"," 2206.14"," 539655"," 11905.53"," 46455"," 297403"," 55.11",12,15,49.28,03/09/2022,F
"PIDILITIND"," EQ"," 08-Mar-2022"," 2164.65"," 2159.80"," 2219.95"," 2133.55"," 2184.00"," 2180.85"," 2166.03"," 495530"," 10733.34"," 55024"," 243269"," 49.09",9,15,49.48,03/08/2022,F
"PIDILITIND"," EQ"," 04-Mar-2022"," 2338.65"," 2330.00"," 2330.40"," 2230.00"," 2263.95"," 2260.95"," 2267.99"," 711480"," 16136.32"," 95645"," 308706"," 43.39",7,15,49.76,03/04/2022,F
"PIDILITIND"," EQ"," 03-Mar-2022"," 2397.80"," 2400.00"," 2414.10"," 2323.35"," 2341.05"," 2338.65"," 2351.40"," 564644"," 13277.05"," 60435"," 295243"," 52.29",9,15,50.00,03/03/2022,F
"PIDILITIND"," EQ"," 02-Mar-2022"," 2402.95"," 2383.50"," 2404.05"," 2342.55"," 2399.00"," 2397.80"," 2374.04"," 541887"," 12864.60"," 41758"," 311114"," 57.41",13,15,50.12,03/02/2022,F
"PIDILITIND"," EQ"," 28-Feb-2022"," 2369.05"," 2364.00"," 2405.60"," 2312.00"," 2401.95"," 2402.95"," 2380.03"," 628032"," 14947.36"," 36872"," 373617"," 59.49",17,15,50.55,02/28/2022,T
"PIDILITIND"," EQ"," 25-Feb-2022"," 2310.75"," 2325.15"," 2380.00"," 2320.10"," 2377.00"," 2369.05"," 2360.43"," 332653"," 7852.06"," 28098"," 169558"," 50.97",12,15,50.41,02/25/2022,F
"PIDILITIND"," EQ"," 24-Feb-2022"," 2415.60"," 2365.00"," 2381.00"," 2291.00"," 2303.80"," 2310.75"," 2327.92"," 795911"," 18528.18"," 80461"," 429153"," 53.92",10,15,50.10,02/24/2022,F
"PIDILITIND"," EQ"," 23-Feb-2022"," 2382.70"," 2399.95"," 2432.00"," 2394.00"," 2420.00"," 2415.60"," 2415.81"," 227717"," 5501.22"," 22865"," 107458"," 47.19",10,15,50.02,02/23/2022,F
"PIDILITIND"," EQ"," 22-Feb-2022"," 2426.30"," 2375.00"," 2411.75"," 2354.00"," 2384.00"," 2382.70"," 2388.49"," 485885"," 11605.30"," 40274"," 270834"," 55.74",12,15,50.33,02/22/2022,F
"PIDILITIND"," EQ"," 21-Feb-2022"," 2430.70"," 2413.00"," 2453.30"," 2398.80"," 2427.20"," 2426.30"," 2428.52"," 187481"," 4553.01"," 19265"," 77221"," 41.19",10,15,50.21,02/21/2022,F
"PIDILITIND"," EQ"," 18-Feb-2022"," 2446.80"," 2429.00"," 2460.00"," 2418.60"," 2430.00"," 2430.70"," 2440.44"," 151611"," 3699.97"," 14236"," 71615"," 47.24",11,15,50.29,02/18/2022,F
"PIDILITIND"," EQ"," 17-Feb-2022"," 2422.70"," 2438.00"," 2457.90"," 2411.00"," 2438.05"," 2446.80"," 2443.15"," 210230"," 5136.23"," 18878"," 99240"," 47.21",11,15,50.33,02/17/2022,F
"PIDILITIND"," EQ"," 16-Feb-2022"," 2448.10"," 2450.00"," 2459.75"," 2415.00"," 2420.80"," 2422.70"," 2439.17"," 289025"," 7049.82"," 26318"," 157239"," 54.40",11,15,50.37,02/16/2022,F
"PIDILITIND"," EQ"," 15-Feb-2022"," 2388.55"," 2388.55"," 2452.60"," 2373.15"," 2446.10"," 2448.10"," 2414.92"," 262303"," 6334.42"," 29618"," 120255"," 45.85",9,15,50.43,02/15/2022,F
"PIDILITIND"," EQ"," 14-Feb-2022"," 2432.25"," 2399.00"," 2416.60"," 2365.40"," 2380.00"," 2388.55"," 2395.74"," 422290"," 10116.97"," 37378"," 238689"," 56.52",11,15,50.58,02/14/2022,F
"PIDILITIND"," EQ"," 11-Feb-2022"," 2489.05"," 2474.00"," 2474.00"," 2421.55"," 2430.00"," 2432.25"," 2441.23"," 396913"," 9689.55"," 40448"," 269864"," 67.99",10,15,50.53,02/11/2022,F
"PIDILITIND"," EQ"," 10-Feb-2022"," 2480.60"," 2496.00"," 2498.25"," 2460.55"," 2484.70"," 2489.05"," 2481.26"," 172476"," 4279.57"," 28814"," 77391"," 44.87",6,15,50.06,02/10/2022,F
