symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"PIIND"," EQ"," 25-Mar-2022"," 2751.65"," 2773.00"," 2814.45"," 2742.65"," 2794.20"," 2795.45"," 2785.98"," 215298"," 5998.15"," 21041"," 101489"," 47.14",10,11,52.61,03/25/2022,F
"PIIND"," EQ"," 24-Mar-2022"," 2740.70"," 2731.00"," 2782.40"," 2690.00"," 2753.80"," 2751.65"," 2758.36"," 127876"," 3527.28"," 15408"," 62309"," 48.73",8,11,52.86,03/24/2022,F
"PIIND"," EQ"," 23-Mar-2022"," 2777.75"," 2790.00"," 2810.05"," 2686.55"," 2729.00"," 2740.70"," 2724.07"," 317187"," 8640.40"," 30932"," 151109"," 47.64",10,11,52.91,03/23/2022,F
"PIIND"," EQ"," 22-Mar-2022"," 2784.05"," 2784.05"," 2793.55"," 2725.00"," 2786.00"," 2777.75"," 2756.68"," 214161"," 5903.74"," 28204"," 126649"," 59.14",8,11,52.85,03/22/2022,F
"PIIND"," EQ"," 21-Mar-2022"," 2815.35"," 2821.00"," 2860.00"," 2774.50"," 2782.00"," 2784.05"," 2813.42"," 253393"," 7129.00"," 23423"," 147167"," 58.08",11,11,52.14,03/21/2022,F
"PIIND"," EQ"," 17-Mar-2022"," 2728.60"," 2770.00"," 2828.00"," 2759.60"," 2822.65"," 2815.35"," 2802.56"," 473978"," 13283.50"," 33169"," 304830"," 64.31",14,11,51.62,03/17/2022,T
"PIIND"," EQ"," 16-Mar-2022"," 2649.15"," 2662.05"," 2734.40"," 2662.05"," 2725.05"," 2728.60"," 2708.03"," 202536"," 5484.75"," 15822"," 102818"," 50.77",13,11,51.10,03/16/2022,F
"PIIND"," EQ"," 15-Mar-2022"," 2679.70"," 2690.00"," 2735.90"," 2616.85"," 2640.00"," 2649.15"," 2678.84"," 384555"," 10301.60"," 38639"," 172047"," 44.74",10,11,51.00,03/15/2022,F
"PIIND"," EQ"," 14-Mar-2022"," 2580.70"," 2601.60"," 2693.80"," 2545.55"," 2677.95"," 2679.70"," 2645.82"," 360414"," 9535.91"," 30605"," 157163"," 43.61",12,11,50.79,03/14/2022,F
"PIIND"," EQ"," 11-Mar-2022"," 2545.45"," 2550.00"," 2588.75"," 2528.20"," 2587.40"," 2580.70"," 2572.39"," 203962"," 5246.69"," 21500"," 114212"," 56.00",9,11,50.82,03/11/2022,F
"PIIND"," EQ"," 10-Mar-2022"," 2509.05"," 2549.95"," 2598.85"," 2531.90"," 2544.95"," 2545.45"," 2560.94"," 291519"," 7465.63"," 33910"," 150301"," 51.56",9,11,50.46,03/10/2022,F
"PIIND"," EQ"," 09-Mar-2022"," 2439.80"," 2459.00"," 2527.90"," 2435.00"," 2520.00"," 2509.05"," 2484.04"," 225502"," 5601.56"," 31914"," 134679"," 59.72",7,12,49.97,03/09/2022,F
"PIIND"," EQ"," 08-Mar-2022"," 2406.30"," 2416.75"," 2454.05"," 2366.45"," 2435.00"," 2439.80"," 2411.44"," 155314"," 3745.31"," 28956"," 80565"," 51.87",5,12,49.67,03/08/2022,F
"PIIND"," EQ"," 04-Mar-2022"," 2472.15"," 2469.95"," 2473.90"," 2412.00"," 2440.00"," 2440.20"," 2445.08"," 130886"," 3200.26"," 18308"," 58190"," 44.46",7,12,49.28,03/04/2022,F
"PIIND"," EQ"," 03-Mar-2022"," 2516.75"," 2505.00"," 2541.60"," 2452.40"," 2472.00"," 2472.15"," 2506.26"," 143912"," 3606.81"," 20771"," 68824"," 47.82",7,12,49.48,03/03/2022,F
"PIIND"," EQ"," 02-Mar-2022"," 2468.35"," 2468.45"," 2525.85"," 2442.75"," 2520.00"," 2516.75"," 2497.35"," 200591"," 5009.45"," 26218"," 89987"," 44.86",8,12,49.20,03/02/2022,F
"PIIND"," EQ"," 28-Feb-2022"," 2478.00"," 2450.00"," 2504.85"," 2416.10"," 2484.85"," 2468.35"," 2466.57"," 180277"," 4446.65"," 19928"," 92296"," 51.20",9,12,49.42,02/28/2022,F
"PIIND"," EQ"," 25-Feb-2022"," 2391.25"," 2430.05"," 2505.00"," 2420.00"," 2474.90"," 2478.00"," 2471.74"," 143366"," 3543.64"," 15136"," 45346"," 31.63",9,12,49.38,02/25/2022,F
"PIIND"," EQ"," 24-Feb-2022"," 2534.60"," 2465.00"," 2487.95"," 2376.05"," 2401.90"," 2391.25"," 2436.48"," 277640"," 6764.64"," 28841"," 122265"," 44.04",10,12,49.36,02/24/2022,F
"PIIND"," EQ"," 23-Feb-2022"," 2494.90"," 2508.00"," 2558.00"," 2500.20"," 2522.45"," 2534.60"," 2535.78"," 196422"," 4980.83"," 19330"," 82961"," 42.24",10,12,49.35,02/23/2022,F
"PIIND"," EQ"," 22-Feb-2022"," 2505.60"," 2450.00"," 2508.00"," 2390.60"," 2492.10"," 2494.90"," 2471.35"," 458493"," 11330.95"," 29213"," 293264"," 63.96",16,12,49.14,02/22/2022,T
"PIIND"," EQ"," 21-Feb-2022"," 2587.50"," 2572.10"," 2582.80"," 2493.60"," 2495.05"," 2505.60"," 2524.91"," 324809"," 8201.14"," 21223"," 187061"," 57.59",15,12,48.72,02/21/2022,T
"PIIND"," EQ"," 18-Feb-2022"," 2609.90"," 2587.15"," 2615.00"," 2551.30"," 2563.15"," 2587.50"," 2589.66"," 221417"," 5733.94"," 22358"," 129806"," 58.63",10,12,48.52,02/18/2022,F
"PIIND"," EQ"," 17-Feb-2022"," 2596.40"," 2615.90"," 2647.40"," 2580.35"," 2611.95"," 2609.90"," 2622.80"," 291657"," 7649.59"," 22289"," 164153"," 56.28",13,12,48.36,02/17/2022,T
"PIIND"," EQ"," 16-Feb-2022"," 2608.60"," 2609.00"," 2635.00"," 2584.85"," 2590.00"," 2596.40"," 2610.96"," 101111"," 2639.97"," 11334"," 38573"," 38.15",9,12,48.27,02/16/2022,F
"PIIND"," EQ"," 15-Feb-2022"," 2540.95"," 2540.00"," 2628.20"," 2532.00"," 2598.00"," 2608.60"," 2584.09"," 205578"," 5312.32"," 18859"," 71865"," 34.96",11,12,48.52,02/15/2022,F
"PIIND"," EQ"," 14-Feb-2022"," 2554.15"," 2475.00"," 2573.30"," 2460.00"," 2540.15"," 2540.95"," 2540.42"," 464411"," 11797.98"," 18649"," 347370"," 74.80",25,12,48.70,02/14/2022,T
"PIIND"," EQ"," 11-Feb-2022"," 2625.25"," 2619.00"," 2623.35"," 2527.05"," 2553.00"," 2554.15"," 2567.89"," 286000"," 7344.18"," 33245"," 150770"," 52.72",9,12,48.30,02/11/2022,F
"PIIND"," EQ"," 10-Feb-2022"," 2642.25"," 2661.80"," 2661.80"," 2589.45"," 2612.75"," 2625.25"," 2624.74"," 203281"," 5335.60"," 22454"," 109654"," 53.94",9,12,48.55,02/10/2022,F
"PIIND"," EQ"," 09-Feb-2022"," 2664.00"," 2663.95"," 2683.95"," 2618.00"," 2648.55"," 2642.25"," 2638.01"," 249787"," 6589.41"," 20084"," 120199"," 48.12",12,12,48.64,02/09/2022,F
"PIIND"," EQ"," 08-Feb-2022"," 2605.05"," 2617.65"," 2684.40"," 2586.55"," 2653.00"," 2664.00"," 2648.64"," 431625"," 11432.20"," 38620"," 153910"," 35.66",11,12,48.82,02/08/2022,F
"PIIND"," EQ"," 07-Feb-2022"," 2552.20"," 2552.20"," 2643.95"," 2549.25"," 2602.00"," 2605.05"," 2592.89"," 661733"," 17158.04"," 56147"," 281868"," 42.60",12,12,49.35,02/07/2022,F
"PIIND"," EQ"," 04-Feb-2022"," 2490.20"," 2485.00"," 2591.95"," 2443.35"," 2553.00"," 2552.20"," 2525.95"," 1024598"," 25880.87"," 65358"," 473889"," 46.25",16,12,49.53,02/04/2022,F
"PIIND"," EQ"," 03-Feb-2022"," 2519.90"," 2530.00"," 2537.30"," 2453.95"," 2490.00"," 2490.20"," 2492.79"," 275530"," 6868.38"," 28899"," 130105"," 47.22",10,12,49.59,02/03/2022,F
"PIIND"," EQ"," 02-Feb-2022"," 2437.65"," 2456.00"," 2541.85"," 2451.00"," 2524.00"," 2519.90"," 2501.17"," 388310"," 9712.29"," 42160"," 136266"," 35.09",9,12,49.45,02/02/2022,F
"PIIND"," EQ"," 01-Feb-2022"," 2433.50"," 2452.45"," 2467.85"," 2371.00"," 2445.70"," 2437.65"," 2407.45"," 512872"," 12347.16"," 46286"," 237667"," 46.34",11,12,49.74,02/01/2022,F
"PIIND"," EQ"," 31-Jan-2022"," 2367.35"," 2386.25"," 2485.00"," 2386.25"," 2440.00"," 2433.50"," 2440.18"," 734221"," 17916.28"," 39219"," 496998"," 67.69",19,12,49.64,01/31/2022,T
"PIIND"," EQ"," 28-Jan-2022"," 2373.50"," 2374.05"," 2407.70"," 2360.00"," 2376.00"," 2367.35"," 2376.65"," 531926"," 12642.00"," 45047"," 319610"," 60.09",12,12,49.32,01/28/2022,F
"PIIND"," EQ"," 27-Jan-2022"," 2427.90"," 2425.00"," 2425.00"," 2333.55"," 2376.00"," 2373.50"," 2366.66"," 516832"," 12231.66"," 63328"," 271598"," 52.55",8,12,49.18,01/27/2022,F
"PIIND"," EQ"," 25-Jan-2022"," 2477.65"," 2470.00"," 2494.95"," 2394.40"," 2434.00"," 2427.90"," 2425.57"," 560760"," 13601.64"," 50180"," 343321"," 61.22",11,12,49.32,01/25/2022,F
"PIIND"," EQ"," 24-Jan-2022"," 2593.55"," 2588.00"," 2588.00"," 2412.65"," 2489.60"," 2477.65"," 2481.20"," 609192"," 15115.30"," 56057"," 310225"," 50.92",11,12,49.01,01/24/2022,F
"PIIND"," EQ"," 21-Jan-2022"," 2678.40"," 2660.00"," 2676.90"," 2575.00"," 2588.00"," 2593.55"," 2621.84"," 338562"," 8876.55"," 43448"," 188049"," 55.54",8,12,48.97,01/21/2022,F
"PIIND"," EQ"," 20-Jan-2022"," 2692.80"," 2700.00"," 2712.35"," 2664.90"," 2674.00"," 2678.40"," 2691.30"," 161540"," 4347.52"," 22453"," 86359"," 53.46",7,12,48.79,01/20/2022,F
"PIIND"," EQ"," 19-Jan-2022"," 2713.10"," 2714.00"," 2722.00"," 2668.25"," 2697.00"," 2692.80"," 2693.51"," 386650"," 10414.46"," 26590"," 260109"," 67.27",15,12,48.66,01/19/2022,T
"PIIND"," EQ"," 18-Jan-2022"," 2796.10"," 2814.90"," 2814.90"," 2705.40"," 2713.80"," 2713.10"," 2753.02"," 323427"," 8904.01"," 43181"," 209154"," 64.67",7,12,48.23,01/18/2022,F
"PIIND"," EQ"," 17-Jan-2022"," 2802.25"," 2802.25"," 2819.25"," 2775.00"," 2794.00"," 2796.10"," 2797.32"," 274417"," 7676.33"," 19428"," 163927"," 59.74",14,12,47.93,01/17/2022,T
"PIIND"," EQ"," 14-Jan-2022"," 2832.30"," 2830.00"," 2835.90"," 2791.25"," 2804.00"," 2802.25"," 2807.59"," 368513"," 10346.35"," 29766"," 248804"," 67.52",12,12,47.88,01/14/2022,F
"PIIND"," EQ"," 13-Jan-2022"," 2871.70"," 2894.75"," 2894.75"," 2814.45"," 2831.00"," 2832.30"," 2833.50"," 495708"," 14045.89"," 35096"," 335553"," 67.69",14,12,47.56,01/13/2022,T
"PIIND"," EQ"," 12-Jan-2022"," 2866.90"," 2875.00"," 2886.10"," 2817.40"," 2870.00"," 2871.70"," 2857.73"," 816910"," 23345.06"," 72658"," 497962"," 60.96",11,12,47.39,01/12/2022,F
"PIIND"," EQ"," 11-Jan-2022"," 2887.35"," 2889.90"," 2912.00"," 2857.00"," 2862.00"," 2866.90"," 2886.34"," 284934"," 8224.16"," 22813"," 172937"," 60.69",12,12,47.25,01/11/2022,F
"PIIND"," EQ"," 10-Jan-2022"," 2949.05"," 2949.05"," 2949.05"," 2881.15"," 2890.00"," 2887.35"," 2899.41"," 384955"," 11161.43"," 27379"," 256878"," 66.73",14,12,47.06,01/10/2022,T
"PIIND"," EQ"," 07-Jan-2022"," 2954.30"," 2969.80"," 2969.80"," 2916.80"," 2949.50"," 2949.05"," 2946.74"," 330943"," 9752.02"," 27791"," 215216"," 65.03",12,12,46.96,01/07/2022,F
"PIIND"," EQ"," 06-Jan-2022"," 2993.20"," 2970.00"," 2988.90"," 2930.00"," 2947.00"," 2954.30"," 2953.05"," 173758"," 5131.16"," 13246"," 120925"," 69.59",13,12,46.67,01/06/2022,T
"PIIND"," EQ"," 05-Jan-2022"," 3013.90"," 3027.25"," 3051.85"," 2961.20"," 2990.00"," 2993.20"," 3015.29"," 314219"," 9474.61"," 21388"," 212815"," 67.73",15,12,46.15,01/05/2022,T
"PIIND"," EQ"," 04-Jan-2022"," 3051.75"," 3050.00"," 3062.40"," 2997.65"," 3010.00"," 3013.90"," 3013.58"," 136534"," 4114.57"," 14696"," 66710"," 48.86",9,12,45.79,01/04/2022,F
"PIIND"," EQ"," 03-Jan-2022"," 3034.20"," 3035.00"," 3108.00"," 3007.00"," 3044.00"," 3051.75"," 3069.84"," 201183"," 6175.99"," 20410"," 78554"," 39.05",10,12,45.75,01/03/2022,F
"PIIND"," EQ"," 31-Dec-2021"," 2990.20"," 2980.05"," 3048.00"," 2980.05"," 3032.00"," 3034.20"," 3021.35"," 126185"," 3812.49"," 13806"," 55784"," 44.21",9,12,45.89,12/31/2021,F
"PIIND"," EQ"," 30-Dec-2021"," 3000.80"," 3000.00"," 3035.55"," 2971.10"," 2985.00"," 2990.20"," 2992.15"," 185532"," 5551.39"," 21349"," 81945"," 44.17",9,12,46.22,12/30/2021,F
