symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"PNB"," EQ"," 25-Mar-2022"," 35.55"," 35.60"," 35.85"," 35.25"," 35.45"," 35.40"," 35.58"," 29182192"," 10384.19"," 33216"," 6615460"," 22.67",879,809,23.28,03/25/2022,F
"PNB"," EQ"," 24-Mar-2022"," 35.70"," 35.75"," 36.00"," 35.50"," 35.50"," 35.55"," 35.70"," 27969611"," 9984.72"," 42466"," 6416435"," 22.94",659,808,23.30,03/24/2022,F
"PNB"," EQ"," 23-Mar-2022"," 35.60"," 35.85"," 36.45"," 35.60"," 35.70"," 35.70"," 35.94"," 46357008"," 16662.79"," 45141"," 8873652"," 19.14",1027,811,23.17,03/23/2022,F
"PNB"," EQ"," 22-Mar-2022"," 35.70"," 35.70"," 35.85"," 34.95"," 35.65"," 35.60"," 35.47"," 46470194"," 16482.31"," 48580"," 11411200"," 24.56",957,807,23.17,03/22/2022,T
"PNB"," EQ"," 21-Mar-2022"," 36.00"," 36.10"," 36.20"," 35.55"," 35.60"," 35.70"," 35.86"," 28291811"," 10146.36"," 40206"," 7328322"," 25.90",704,807,23.11,03/21/2022,F
"PNB"," EQ"," 17-Mar-2022"," 35.90"," 36.30"," 36.40"," 35.90"," 35.95"," 36.00"," 36.10"," 39001545"," 14078.30"," 49128"," 10650963"," 27.31",794,803,23.29,03/17/2022,F
"PNB"," EQ"," 16-Mar-2022"," 36.00"," 35.80"," 36.35"," 35.65"," 35.95"," 35.90"," 35.98"," 48492102"," 17447.44"," 56742"," 10283140"," 21.21",855,803,23.08,03/16/2022,F
"PNB"," EQ"," 15-Mar-2022"," 36.80"," 36.90"," 37.20"," 35.90"," 35.90"," 36.00"," 36.58"," 50789501"," 18576.93"," 54962"," 9451464"," 18.61",924,800,23.03,03/15/2022,F
"PNB"," EQ"," 14-Mar-2022"," 36.25"," 36.30"," 36.90"," 35.80"," 36.70"," 36.80"," 36.29"," 54669854"," 19838.35"," 53552"," 10962166"," 20.05",1021,799,23.03,03/14/2022,F
"PNB"," EQ"," 11-Mar-2022"," 35.95"," 35.80"," 36.45"," 35.60"," 36.25"," 36.25"," 36.14"," 42340369"," 15300.19"," 48124"," 6813881"," 16.09",880,792,23.14,03/11/2022,F
"PNB"," EQ"," 10-Mar-2022"," 35.60"," 36.30"," 36.80"," 35.70"," 35.80"," 35.95"," 36.30"," 70426564"," 25567.98"," 78752"," 15774391"," 22.40",894,790,23.25,03/10/2022,F
"PNB"," EQ"," 09-Mar-2022"," 34.90"," 35.35"," 35.75"," 34.85"," 35.55"," 35.60"," 35.28"," 69650320"," 24575.88"," 66994"," 14538544"," 20.87",1040,787,23.26,03/09/2022,F
"PNB"," EQ"," 08-Mar-2022"," 34.20"," 34.20"," 35.15"," 33.95"," 34.95"," 34.90"," 34.56"," 64860676"," 22413.55"," 85876"," 9645370"," 14.87",755,783,23.29,03/08/2022,F
"PNB"," EQ"," 04-Mar-2022"," 35.10"," 34.75"," 35.40"," 34.50"," 34.60"," 34.60"," 34.86"," 56689130"," 19760.71"," 63989"," 10407223"," 18.36",886,782,23.18,03/04/2022,F
