symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"POWERGRID"," EQ"," 25-Mar-2022"," 210.75"," 210.75"," 210.80"," 206.70"," 210.00"," 209.65"," 208.72"," 7382003"," 15407.56"," 61474"," 4723855"," 63.99",120,145,56.57,03/25/2022,F
"POWERGRID"," EQ"," 24-Mar-2022"," 210.10"," 210.00"," 211.20"," 208.00"," 210.70"," 210.75"," 210.14"," 8391719"," 17634.64"," 69003"," 5501773"," 65.56",122,145,56.36,03/24/2022,F
"POWERGRID"," EQ"," 23-Mar-2022"," 208.70"," 209.50"," 210.60"," 208.30"," 210.25"," 210.10"," 209.49"," 7056588"," 14783.16"," 51563"," 4567645"," 64.73",137,145,55.98,03/23/2022,F
"POWERGRID"," EQ"," 22-Mar-2022"," 204.90"," 205.00"," 209.50"," 204.05"," 208.95"," 208.70"," 207.59"," 9963973"," 20684.29"," 56652"," 6175542"," 61.98",176,145,55.51,03/22/2022,T
"POWERGRID"," EQ"," 21-Mar-2022"," 211.55"," 216.00"," 216.00"," 204.50"," 205.35"," 204.90"," 207.56"," 13348062"," 27705.89"," 97537"," 8417773"," 63.06",137,144,55.33,03/21/2022,F
"POWERGRID"," EQ"," 17-Mar-2022"," 209.35"," 212.00"," 212.75"," 207.75"," 212.15"," 211.55"," 210.21"," 21348466"," 44877.58"," 72893"," 15776780"," 73.90",293,145,55.11,03/17/2022,T
"POWERGRID"," EQ"," 16-Mar-2022"," 209.65"," 211.25"," 211.80"," 208.95"," 209.95"," 209.35"," 209.77"," 8950331"," 18774.75"," 55067"," 6134584"," 68.54",163,142,54.82,03/16/2022,T
"POWERGRID"," EQ"," 15-Mar-2022"," 213.40"," 213.20"," 215.05"," 208.30"," 209.25"," 209.65"," 210.31"," 10896214"," 22915.46"," 76721"," 7191438"," 66.00",142,141,54.42,03/15/2022,T
"POWERGRID"," EQ"," 14-Mar-2022"," 212.45"," 212.45"," 214.00"," 209.60"," 212.90"," 213.40"," 211.91"," 9448995"," 20023.29"," 74341"," 5770744"," 61.07",127,143,54.33,03/14/2022,F
"POWERGRID"," EQ"," 11-Mar-2022"," 208.85"," 209.30"," 213.00"," 207.75"," 212.60"," 212.45"," 210.65"," 9744638"," 20527.20"," 87998"," 5751011"," 59.02",111,144,54.30,03/11/2022,F
