symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"PVR"," EQ"," 25-Mar-2022"," 1776.55"," 1793.55"," 1868.00"," 1784.20"," 1804.00"," 1821.65"," 1834.44"," 3117427"," 57187.44"," 104831"," 686300"," 22.01",30,27,21.20,03/25/2022,T
"PVR"," EQ"," 24-Mar-2022"," 1756.80"," 1755.10"," 1782.95"," 1752.00"," 1777.75"," 1776.55"," 1771.09"," 698539"," 12371.77"," 37818"," 211886"," 30.33",18,27,21.08,03/24/2022,F
"PVR"," EQ"," 23-Mar-2022"," 1749.10"," 1754.00"," 1778.95"," 1742.60"," 1756.30"," 1756.80"," 1757.08"," 1294328"," 22742.33"," 40229"," 208260"," 16.09",32,27,21.03,03/23/2022,F
"PVR"," EQ"," 22-Mar-2022"," 1754.05"," 1760.00"," 1762.00"," 1730.00"," 1747.30"," 1749.10"," 1747.20"," 520887"," 9100.96"," 26851"," 119970"," 23.03",19,27,21.03,03/22/2022,F
"PVR"," EQ"," 21-Mar-2022"," 1706.75"," 1711.85"," 1766.65"," 1710.00"," 1749.75"," 1754.05"," 1751.31"," 1093935"," 19158.14"," 40636"," 165787"," 15.16",27,27,20.91,03/21/2022,F
"PVR"," EQ"," 17-Mar-2022"," 1723.20"," 1730.10"," 1738.55"," 1701.60"," 1706.00"," 1706.75"," 1715.00"," 612841"," 10510.22"," 20519"," 222764"," 36.35",30,27,21.34,03/17/2022,T
"PVR"," EQ"," 16-Mar-2022"," 1671.70"," 1704.90"," 1730.00"," 1688.00"," 1725.80"," 1723.20"," 1709.50"," 711117"," 12156.52"," 30653"," 208691"," 29.35",23,27,21.31,03/16/2022,F
"PVR"," EQ"," 15-Mar-2022"," 1724.25"," 1732.00"," 1738.45"," 1661.60"," 1680.75"," 1671.70"," 1701.76"," 876310"," 14912.73"," 36779"," 233975"," 26.70",24,27,21.28,03/15/2022,F
"PVR"," EQ"," 14-Mar-2022"," 1686.90"," 1699.00"," 1729.00"," 1685.00"," 1724.75"," 1724.25"," 1709.13"," 784432"," 13406.97"," 37313"," 198889"," 25.35",21,27,21.45,03/14/2022,F
"PVR"," EQ"," 11-Mar-2022"," 1673.85"," 1673.80"," 1719.75"," 1660.10"," 1690.00"," 1686.90"," 1697.25"," 1077758"," 18292.23"," 39312"," 184808"," 17.15",27,27,21.47,03/11/2022,F
"PVR"," EQ"," 10-Mar-2022"," 1645.25"," 1671.20"," 1708.60"," 1647.55"," 1670.60"," 1673.85"," 1679.10"," 1269032"," 21308.27"," 59977"," 444497"," 35.03",21,27,21.62,03/10/2022,F
"PVR"," EQ"," 09-Mar-2022"," 1597.70"," 1612.90"," 1678.00"," 1607.60"," 1645.25"," 1645.25"," 1648.19"," 1568922"," 25858.89"," 65542"," 421678"," 26.88",24,28,21.42,03/09/2022,F
"PVR"," EQ"," 08-Mar-2022"," 1498.30"," 1505.00"," 1604.00"," 1487.90"," 1595.05"," 1597.70"," 1564.53"," 1560693"," 24417.59"," 78382"," 636361"," 40.77",20,28,21.32,03/08/2022,F
"PVR"," EQ"," 04-Mar-2022"," 1628.50"," 1622.25"," 1625.95"," 1555.00"," 1563.90"," 1565.55"," 1592.45"," 790674"," 12591.09"," 38440"," 182350"," 23.06",21,28,20.97,03/04/2022,F
"PVR"," EQ"," 03-Mar-2022"," 1656.70"," 1695.05"," 1712.00"," 1615.65"," 1624.25"," 1628.50"," 1643.21"," 1366155"," 22448.78"," 56557"," 472939"," 34.62",24,28,20.97,03/03/2022,F
"PVR"," EQ"," 02-Mar-2022"," 1635.75"," 1620.00"," 1671.45"," 1615.00"," 1660.00"," 1656.70"," 1655.00"," 1171597"," 19389.95"," 40142"," 447601"," 38.20",29,28,20.97,03/02/2022,T
"PVR"," EQ"," 28-Feb-2022"," 1596.65"," 1588.00"," 1642.50"," 1576.05"," 1628.50"," 1635.75"," 1614.51"," 1034441"," 16701.15"," 39675"," 291724"," 28.20",26,28,20.78,02/28/2022,F
"PVR"," EQ"," 25-Feb-2022"," 1514.25"," 1565.00"," 1610.00"," 1548.80"," 1594.60"," 1596.65"," 1592.80"," 744769"," 11862.65"," 27033"," 176376"," 23.68",28,28,20.60,02/25/2022,F
"PVR"," EQ"," 24-Feb-2022"," 1579.65"," 1538.90"," 1565.00"," 1506.10"," 1518.00"," 1514.25"," 1540.16"," 801420"," 12343.11"," 34742"," 211597"," 26.40",23,28,20.65,02/24/2022,F
"PVR"," EQ"," 23-Feb-2022"," 1573.60"," 1593.00"," 1602.90"," 1572.20"," 1578.20"," 1579.65"," 1590.64"," 577203"," 9181.21"," 20152"," 109870"," 19.03",29,28,20.62,02/23/2022,F
"PVR"," EQ"," 22-Feb-2022"," 1562.00"," 1530.10"," 1579.90"," 1527.35"," 1569.00"," 1573.60"," 1557.04"," 525420"," 8180.98"," 29051"," 144356"," 27.47",18,28,20.79,02/22/2022,F
"PVR"," EQ"," 21-Feb-2022"," 1570.20"," 1570.00"," 1578.45"," 1531.95"," 1553.00"," 1562.00"," 1555.55"," 736309"," 11453.69"," 29819"," 206332"," 28.02",25,28,20.76,02/21/2022,F
"PVR"," EQ"," 18-Feb-2022"," 1597.80"," 1596.00"," 1606.00"," 1563.00"," 1573.70"," 1570.20"," 1584.36"," 571351"," 9052.27"," 18332"," 184345"," 32.26",31,28,20.86,02/18/2022,T
"PVR"," EQ"," 17-Feb-2022"," 1610.75"," 1622.00"," 1629.45"," 1593.15"," 1596.00"," 1597.80"," 1607.06"," 488847"," 7856.06"," 16743"," 77329"," 15.82",29,27,20.68,02/17/2022,F
"PVR"," EQ"," 16-Feb-2022"," 1646.40"," 1650.00"," 1669.00"," 1604.10"," 1611.00"," 1610.75"," 1637.32"," 629536"," 10307.53"," 22602"," 110457"," 17.55",28,27,20.85,02/16/2022,F
"PVR"," EQ"," 15-Feb-2022"," 1597.55"," 1609.00"," 1653.00"," 1579.60"," 1641.00"," 1646.40"," 1616.17"," 612729"," 9902.73"," 21695"," 90188"," 14.72",28,27,21.02,02/15/2022,F
"PVR"," EQ"," 14-Feb-2022"," 1620.55"," 1590.10"," 1635.00"," 1575.85"," 1595.95"," 1597.55"," 1609.14"," 790504"," 12720.31"," 30882"," 120164"," 15.20",26,27,21.05,02/14/2022,F
"PVR"," EQ"," 11-Feb-2022"," 1669.75"," 1665.80"," 1674.90"," 1615.60"," 1629.00"," 1620.55"," 1645.65"," 620521"," 10211.60"," 23912"," 97598"," 15.73",26,27,21.25,02/11/2022,F
"PVR"," EQ"," 10-Feb-2022"," 1647.80"," 1657.80"," 1681.40"," 1645.35"," 1662.80"," 1669.75"," 1663.98"," 660553"," 10991.50"," 29170"," 185715"," 28.12",23,27,21.34,02/10/2022,F
"PVR"," EQ"," 09-Feb-2022"," 1618.15"," 1635.80"," 1663.00"," 1606.00"," 1652.00"," 1647.80"," 1636.95"," 1195996"," 19577.90"," 44586"," 258620"," 21.62",27,27,21.39,02/09/2022,F
"PVR"," EQ"," 08-Feb-2022"," 1604.60"," 1611.70"," 1631.35"," 1588.00"," 1615.60"," 1618.15"," 1611.46"," 795181"," 12814.00"," 32378"," 146195"," 18.39",25,27,21.61,02/08/2022,F
"PVR"," EQ"," 07-Feb-2022"," 1608.60"," 1608.00"," 1642.00"," 1587.35"," 1600.00"," 1604.60"," 1612.89"," 881513"," 14217.80"," 31946"," 139389"," 15.81",28,27,21.87,02/07/2022,F
"PVR"," EQ"," 04-Feb-2022"," 1598.90"," 1600.00"," 1618.00"," 1592.00"," 1604.00"," 1608.60"," 1607.47"," 497604"," 7998.82"," 17824"," 77659"," 15.61",28,27,21.85,02/04/2022,F
"PVR"," EQ"," 03-Feb-2022"," 1600.95"," 1609.00"," 1618.00"," 1586.95"," 1600.00"," 1598.90"," 1601.57"," 541711"," 8675.87"," 21634"," 111257"," 20.54",25,27,21.95,02/03/2022,F
"PVR"," EQ"," 02-Feb-2022"," 1602.45"," 1618.00"," 1643.00"," 1596.00"," 1599.25"," 1600.95"," 1615.35"," 644620"," 10412.87"," 22842"," 149995"," 23.27",28,26,22.22,02/02/2022,T
"PVR"," EQ"," 01-Feb-2022"," 1588.35"," 1597.70"," 1608.50"," 1570.00"," 1601.05"," 1602.45"," 1590.46"," 718003"," 11419.56"," 29363"," 133490"," 18.59",24,26,22.29,02/01/2022,F
"PVR"," EQ"," 31-Jan-2022"," 1553.70"," 1587.80"," 1608.95"," 1562.00"," 1587.35"," 1588.35"," 1586.58"," 897589"," 14241.01"," 40059"," 159133"," 17.73",22,26,22.50,01/31/2022,F
"PVR"," EQ"," 28-Jan-2022"," 1536.15"," 1562.40"," 1638.35"," 1542.30"," 1559.10"," 1553.70"," 1590.82"," 1592107"," 25327.63"," 55668"," 223189"," 14.02",29,26,22.47,01/28/2022,F
"PVR"," EQ"," 27-Jan-2022"," 1568.60"," 1520.00"," 1590.85"," 1520.00"," 1538.35"," 1536.15"," 1552.84"," 1485798"," 23072.02"," 57026"," 408631"," 27.50",26,26,22.54,01/27/2022,F
"PVR"," EQ"," 25-Jan-2022"," 1520.35"," 1518.35"," 1609.50"," 1503.05"," 1571.70"," 1568.60"," 1572.43"," 1627239"," 25587.17"," 58420"," 215450"," 13.24",28,26,22.58,01/25/2022,F
"PVR"," EQ"," 24-Jan-2022"," 1537.35"," 1536.00"," 1558.10"," 1477.05"," 1526.90"," 1520.35"," 1510.49"," 1607660"," 24283.58"," 54839"," 361419"," 22.48",29,26,22.66,01/24/2022,F
"PVR"," EQ"," 21-Jan-2022"," 1563.45"," 1551.95"," 1589.90"," 1509.35"," 1536.00"," 1537.35"," 1555.29"," 2637672"," 41023.42"," 108624"," 508144"," 19.26",24,26,22.53,01/21/2022,F
"PVR"," EQ"," 20-Jan-2022"," 1572.70"," 1574.95"," 1586.65"," 1511.55"," 1558.85"," 1563.45"," 1543.89"," 1373616"," 21207.08"," 59919"," 197348"," 14.37",23,26,22.56,01/20/2022,F
"PVR"," EQ"," 19-Jan-2022"," 1565.05"," 1565.05"," 1588.70"," 1558.25"," 1573.00"," 1572.70"," 1572.47"," 1011483"," 15905.29"," 38267"," 243634"," 24.09",26,26,22.70,01/19/2022,F
"PVR"," EQ"," 18-Jan-2022"," 1573.05"," 1577.00"," 1605.50"," 1552.00"," 1570.00"," 1565.05"," 1580.84"," 1643781"," 25985.63"," 47198"," 331343"," 20.16",35,25,22.73,01/18/2022,F
"PVR"," EQ"," 17-Jan-2022"," 1554.45"," 1555.00"," 1589.70"," 1554.45"," 1572.30"," 1573.05"," 1574.59"," 917468"," 14446.36"," 31274"," 211384"," 23.04",29,25,22.80,01/17/2022,T
