symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"RAIN"," EQ"," 23-Mar-2022"," 194.35"," 195.00"," 197.80"," 190.50"," 191.55"," 192.00"," 193.99"," 2971044"," 5763.46"," 22620"," 805488"," 27.11",131,113,27.44,03/23/2022,F
"RAIN"," EQ"," 22-Mar-2022"," 183.70"," 184.30"," 198.00"," 181.10"," 193.80"," 194.35"," 193.18"," 8135860"," 15716.69"," 66224"," 1106922"," 13.61",123,112,27.72,03/22/2022,F
"RAIN"," EQ"," 21-Mar-2022"," 184.85"," 185.45"," 186.95"," 182.90"," 183.00"," 183.70"," 184.90"," 1127275"," 2084.31"," 11315"," 428548"," 38.02",100,111,28.03,03/21/2022,F
"RAIN"," EQ"," 17-Mar-2022"," 183.25"," 185.00"," 187.90"," 184.45"," 185.40"," 184.85"," 185.97"," 1285635"," 2390.84"," 14321"," 451790"," 35.14",90,111,28.37,03/17/2022,F
"RAIN"," EQ"," 16-Mar-2022"," 178.45"," 180.20"," 184.00"," 179.30"," 182.90"," 183.25"," 181.69"," 1546042"," 2809.02"," 14946"," 582903"," 37.70",103,111,28.39,03/16/2022,F
"RAIN"," EQ"," 15-Mar-2022"," 184.65"," 184.65"," 186.50"," 177.25"," 178.90"," 178.45"," 181.86"," 1858040"," 3378.97"," 16764"," 578383"," 31.13",111,110,28.43,03/15/2022,T
"RAIN"," EQ"," 14-Mar-2022"," 180.85"," 180.70"," 186.20"," 177.30"," 184.50"," 184.65"," 181.40"," 2523737"," 4578.08"," 24627"," 757387"," 30.01",102,110,28.34,03/14/2022,F
"RAIN"," EQ"," 11-Mar-2022"," 176.95"," 175.50"," 182.50"," 175.10"," 180.30"," 180.85"," 179.26"," 1948964"," 3493.65"," 18032"," 573902"," 29.45",108,109,28.46,03/11/2022,F
"RAIN"," EQ"," 10-Mar-2022"," 175.30"," 182.40"," 182.40"," 175.20"," 176.70"," 176.95"," 178.92"," 1916338"," 3428.67"," 16110"," 508333"," 26.53",119,109,28.47,03/10/2022,F
"RAIN"," EQ"," 09-Mar-2022"," 169.85"," 170.75"," 177.40"," 170.45"," 175.00"," 175.30"," 173.95"," 2153117"," 3745.43"," 18694"," 579987"," 26.94",115,109,28.57,03/09/2022,F
"RAIN"," EQ"," 08-Mar-2022"," 168.95"," 168.70"," 173.00"," 164.55"," 169.30"," 169.85"," 168.67"," 2210889"," 3729.06"," 20544"," 541093"," 24.47",108,108,28.71,03/08/2022,F
"RAIN"," EQ"," 04-Mar-2022"," 184.00"," 182.50"," 182.95"," 171.05"," 174.00"," 173.95"," 177.30"," 3304187"," 5858.24"," 28514"," 837343"," 25.34",116,108,28.81,03/04/2022,F
"RAIN"," EQ"," 03-Mar-2022"," 183.10"," 186.40"," 189.00"," 182.60"," 184.40"," 184.00"," 185.33"," 1898161"," 3517.91"," 15451"," 421066"," 22.18",123,108,28.91,03/03/2022,F
"RAIN"," EQ"," 02-Mar-2022"," 184.75"," 180.60"," 193.65"," 179.15"," 184.50"," 183.10"," 186.08"," 5266277"," 9799.63"," 37092"," 1034547"," 19.64",142,107,29.08,03/02/2022,F
"RAIN"," EQ"," 28-Feb-2022"," 199.20"," 182.65"," 186.35"," 171.35"," 183.60"," 184.75"," 179.19"," 20153291"," 36112.00"," 124326"," 3115542"," 15.46",162,105,29.56,02/28/2022,F
"RAIN"," EQ"," 25-Feb-2022"," 182.50"," 193.00"," 204.35"," 190.05"," 199.70"," 199.20"," 197.95"," 6896755"," 13652.01"," 50880"," 1122977"," 16.28",136,104,29.91,02/25/2022,F
