symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"RAMCOCEM"," EQ"," 23-Mar-2022"," 739.05"," 746.60"," 746.60"," 725.20"," 728.65"," 730.40"," 736.06"," 270946"," 1994.33"," 15430"," 92945"," 34.30",18,26,42.37,03/23/2022,F
"RAMCOCEM"," EQ"," 22-Mar-2022"," 742.00"," 735.00"," 750.20"," 720.85"," 739.00"," 739.05"," 734.34"," 686338"," 5040.04"," 22232"," 330499"," 48.15",31,26,42.50,03/22/2022,T
"RAMCOCEM"," EQ"," 21-Mar-2022"," 759.20"," 760.00"," 760.00"," 730.70"," 742.00"," 742.00"," 744.32"," 649408"," 4833.65"," 14272"," 301876"," 46.48",46,26,42.36,03/21/2022,T
"RAMCOCEM"," EQ"," 17-Mar-2022"," 749.85"," 760.00"," 775.20"," 752.10"," 759.00"," 759.20"," 763.20"," 1360031"," 10379.82"," 32409"," 758949"," 55.80",42,26,42.68,03/17/2022,T
"RAMCOCEM"," EQ"," 16-Mar-2022"," 725.90"," 731.50"," 754.00"," 730.90"," 749.20"," 749.85"," 743.26"," 915408"," 6803.86"," 13778"," 593913"," 64.88",66,26,42.74,03/16/2022,T
"RAMCOCEM"," EQ"," 15-Mar-2022"," 726.85"," 732.00"," 741.75"," 720.00"," 726.95"," 725.90"," 734.35"," 282435"," 2074.06"," 9381"," 147197"," 52.12",30,25,42.27,03/15/2022,T
"RAMCOCEM"," EQ"," 14-Mar-2022"," 737.15"," 739.85"," 742.55"," 722.00"," 730.40"," 726.85"," 727.47"," 255478"," 1858.53"," 6930"," 107001"," 41.88",37,25,41.85,03/14/2022,T
"RAMCOCEM"," EQ"," 11-Mar-2022"," 732.80"," 735.00"," 742.70"," 722.00"," 734.05"," 737.15"," 731.42"," 308683"," 2257.76"," 12173"," 78952"," 25.58",25,25,41.72,03/11/2022,F
"RAMCOCEM"," EQ"," 10-Mar-2022"," 726.55"," 748.55"," 752.00"," 725.55"," 734.00"," 732.80"," 738.83"," 417203"," 3082.43"," 10831"," 134960"," 32.35",39,25,41.82,03/10/2022,F
"RAMCOCEM"," EQ"," 09-Mar-2022"," 710.15"," 715.60"," 729.90"," 710.00"," 728.30"," 726.55"," 721.02"," 202346"," 1458.96"," 8060"," 63853"," 31.56",25,25,41.79,03/09/2022,F
"RAMCOCEM"," EQ"," 08-Mar-2022"," 699.30"," 699.50"," 712.90"," 690.45"," 711.45"," 710.15"," 705.56"," 397196"," 2802.44"," 9669"," 187418"," 47.19",41,25,41.78,03/08/2022,T
"RAMCOCEM"," EQ"," 04-Mar-2022"," 730.25"," 722.95"," 756.70"," 706.05"," 729.00"," 733.60"," 725.30"," 1297719"," 9412.31"," 39316"," 762828"," 58.78",33,25,41.42,03/04/2022,T
"RAMCOCEM"," EQ"," 03-Mar-2022"," 776.40"," 784.75"," 788.00"," 725.20"," 732.00"," 730.25"," 749.45"," 458080"," 3433.07"," 16061"," 217740"," 47.53",29,25,41.16,03/03/2022,T
"RAMCOCEM"," EQ"," 02-Mar-2022"," 786.90"," 779.70"," 788.20"," 768.40"," 784.00"," 776.40"," 776.36"," 282992"," 2197.04"," 14529"," 130183"," 46.00",19,25,41.34,03/02/2022,F
"RAMCOCEM"," EQ"," 28-Feb-2022"," 778.05"," 775.00"," 789.55"," 752.05"," 788.40"," 786.90"," 780.50"," 399937"," 3121.52"," 12105"," 257805"," 64.46",33,25,41.26,02/28/2022,T
"RAMCOCEM"," EQ"," 25-Feb-2022"," 769.30"," 777.75"," 803.75"," 766.25"," 777.00"," 778.05"," 778.97"," 762131"," 5936.79"," 19479"," 426503"," 55.96",39,25,40.96,02/25/2022,T
"RAMCOCEM"," EQ"," 24-Feb-2022"," 811.35"," 794.00"," 794.75"," 763.00"," 779.00"," 769.30"," 779.97"," 358361"," 2795.10"," 17387"," 162582"," 45.37",21,25,40.80,02/24/2022,F
"RAMCOCEM"," EQ"," 23-Feb-2022"," 822.65"," 825.85"," 838.75"," 804.15"," 805.00"," 811.35"," 822.22"," 455560"," 3745.70"," 16701"," 198032"," 43.47",27,25,41.02,02/23/2022,T
"RAMCOCEM"," EQ"," 22-Feb-2022"," 823.95"," 801.00"," 825.00"," 799.00"," 818.55"," 822.65"," 815.18"," 215417"," 1756.03"," 9178"," 83468"," 38.75",23,25,41.17,02/22/2022,F
"RAMCOCEM"," EQ"," 21-Feb-2022"," 836.70"," 835.85"," 839.20"," 805.40"," 824.80"," 823.95"," 824.99"," 912848"," 7530.93"," 32694"," 503746"," 55.18",28,25,41.11,02/21/2022,T
"RAMCOCEM"," EQ"," 18-Feb-2022"," 859.65"," 854.00"," 857.40"," 834.10"," 836.50"," 836.70"," 846.19"," 167278"," 1415.49"," 7963"," 59904"," 35.81",21,25,41.05,02/18/2022,F
"RAMCOCEM"," EQ"," 17-Feb-2022"," 861.35"," 865.90"," 868.00"," 851.40"," 862.00"," 859.65"," 859.83"," 261514"," 2248.59"," 11220"," 64482"," 24.66",23,25,41.13,02/17/2022,F
"RAMCOCEM"," EQ"," 16-Feb-2022"," 881.25"," 881.00"," 882.30"," 855.10"," 860.10"," 861.35"," 865.55"," 662795"," 5736.79"," 18675"," 383649"," 57.88",35,25,41.89,02/16/2022,T
"RAMCOCEM"," EQ"," 15-Feb-2022"," 836.50"," 840.00"," 888.00"," 827.00"," 872.10"," 881.25"," 858.45"," 393474"," 3377.78"," 12783"," 146454"," 37.22",31,25,41.72,02/15/2022,F
"RAMCOCEM"," EQ"," 14-Feb-2022"," 872.90"," 855.00"," 862.35"," 833.05"," 836.00"," 836.50"," 848.32"," 155690"," 1320.74"," 9252"," 42105"," 27.04",17,25,41.71,02/14/2022,F
"RAMCOCEM"," EQ"," 11-Feb-2022"," 890.45"," 885.00"," 886.90"," 868.25"," 869.75"," 872.90"," 876.22"," 107865"," 945.13"," 5650"," 49748"," 46.12",19,25,41.98,02/11/2022,F
"RAMCOCEM"," EQ"," 10-Feb-2022"," 890.10"," 890.20"," 898.20"," 885.95"," 890.00"," 890.45"," 891.97"," 168295"," 1501.14"," 10901"," 71484"," 42.48",15,25,42.13,02/10/2022,F
"RAMCOCEM"," EQ"," 09-Feb-2022"," 877.35"," 880.00"," 897.20"," 878.15"," 892.10"," 890.10"," 887.55"," 218765"," 1941.65"," 19121"," 92401"," 42.24",11,26,42.13,02/09/2022,F
"RAMCOCEM"," EQ"," 08-Feb-2022"," 876.10"," 880.45"," 890.00"," 860.00"," 878.90"," 877.35"," 877.46"," 210219"," 1844.58"," 7772"," 87724"," 41.73",27,26,42.01,02/08/2022,F
"RAMCOCEM"," EQ"," 07-Feb-2022"," 882.50"," 882.50"," 888.10"," 863.05"," 877.85"," 876.10"," 874.87"," 115045"," 1006.50"," 7277"," 25476"," 22.14",16,26,42.04,02/07/2022,F
"RAMCOCEM"," EQ"," 04-Feb-2022"," 873.00"," 874.85"," 894.95"," 861.00"," 880.10"," 882.50"," 886.21"," 271556"," 2406.57"," 12351"," 102860"," 37.88",22,26,42.11,02/04/2022,F
"RAMCOCEM"," EQ"," 03-Feb-2022"," 888.95"," 888.95"," 894.90"," 869.55"," 871.40"," 873.00"," 880.60"," 134348"," 1183.07"," 7661"," 56055"," 41.72",18,26,42.18,02/03/2022,F
"RAMCOCEM"," EQ"," 02-Feb-2022"," 895.50"," 900.00"," 909.95"," 886.05"," 896.00"," 888.95"," 896.85"," 182039"," 1632.62"," 10576"," 53908"," 29.61",17,26,42.17,02/02/2022,F
"RAMCOCEM"," EQ"," 01-Feb-2022"," 869.10"," 880.00"," 903.00"," 869.35"," 897.00"," 895.50"," 889.08"," 621426"," 5524.97"," 25394"," 247389"," 39.81",24,26,42.16,02/01/2022,F
"RAMCOCEM"," EQ"," 31-Jan-2022"," 851.05"," 865.00"," 878.00"," 850.50"," 865.00"," 869.10"," 866.03"," 322476"," 2792.74"," 11952"," 167734"," 52.01",27,26,41.90,01/31/2022,T
"RAMCOCEM"," EQ"," 28-Jan-2022"," 845.80"," 852.00"," 871.00"," 847.10"," 850.90"," 851.05"," 858.98"," 188079"," 1615.55"," 10484"," 56624"," 30.11",18,26,41.34,01/28/2022,F
"RAMCOCEM"," EQ"," 27-Jan-2022"," 860.80"," 860.00"," 860.00"," 823.95"," 840.85"," 845.80"," 837.59"," 482875"," 4044.52"," 18651"," 166664"," 34.51",26,26,41.42,01/27/2022,F
"RAMCOCEM"," EQ"," 25-Jan-2022"," 896.90"," 857.00"," 877.50"," 825.30"," 856.75"," 860.80"," 852.76"," 2679672"," 22851.27"," 98427"," 1091206"," 40.72",27,26,41.47,01/25/2022,F
"RAMCOCEM"," EQ"," 24-Jan-2022"," 940.40"," 933.00"," 938.60"," 888.00"," 896.10"," 896.90"," 902.29"," 570217"," 5144.99"," 20804"," 111383"," 19.53",27,27,41.15,01/24/2022,F
"RAMCOCEM"," EQ"," 21-Jan-2022"," 951.65"," 952.00"," 954.00"," 932.75"," 937.15"," 940.40"," 942.39"," 151847"," 1430.99"," 7541"," 46560"," 30.66",20,27,41.19,01/21/2022,F
"RAMCOCEM"," EQ"," 20-Jan-2022"," 962.65"," 962.00"," 968.85"," 945.55"," 950.00"," 951.65"," 954.94"," 200169"," 1911.48"," 8590"," 68089"," 34.02",23,27,41.22,01/20/2022,F
"RAMCOCEM"," EQ"," 19-Jan-2022"," 971.35"," 968.00"," 979.00"," 960.05"," 962.95"," 962.65"," 968.34"," 267647"," 2591.74"," 12662"," 98168"," 36.68",21,27,41.39,01/19/2022,F
"RAMCOCEM"," EQ"," 18-Jan-2022"," 1021.60"," 1024.80"," 1030.00"," 965.00"," 967.20"," 971.35"," 988.92"," 455239"," 4501.94"," 21880"," 190329"," 41.81",21,27,41.47,01/18/2022,F
"RAMCOCEM"," EQ"," 17-Jan-2022"," 1011.90"," 1010.85"," 1034.15"," 992.00"," 1023.75"," 1021.60"," 1013.59"," 524332"," 5314.58"," 22805"," 169876"," 32.40",23,27,41.29,01/17/2022,F
"RAMCOCEM"," EQ"," 14-Jan-2022"," 1020.15"," 1021.95"," 1030.20"," 1005.00"," 1006.00"," 1011.90"," 1017.66"," 400151"," 4072.17"," 20754"," 217386"," 54.33",19,27,41.42,01/14/2022,F
"RAMCOCEM"," EQ"," 13-Jan-2022"," 1041.90"," 1046.90"," 1046.90"," 1015.00"," 1020.50"," 1020.15"," 1024.23"," 281708"," 2885.34"," 13105"," 168243"," 59.72",21,27,41.21,01/13/2022,F
"RAMCOCEM"," EQ"," 12-Jan-2022"," 1018.60"," 1022.00"," 1045.10"," 1000.10"," 1045.10"," 1041.90"," 1034.79"," 568486"," 5882.63"," 21925"," 326640"," 57.46",26,28,40.94,01/12/2022,F
"RAMCOCEM"," EQ"," 11-Jan-2022"," 1046.85"," 1050.00"," 1054.80"," 1013.00"," 1023.00"," 1018.60"," 1025.57"," 299205"," 3068.57"," 12597"," 141781"," 47.39",24,28,40.99,01/11/2022,F
"RAMCOCEM"," EQ"," 10-Jan-2022"," 1028.35"," 1034.00"," 1050.00"," 1022.90"," 1047.75"," 1046.85"," 1037.57"," 617919"," 6411.36"," 16953"," 194342"," 31.45",36,27,40.73,01/10/2022,F
"RAMCOCEM"," EQ"," 07-Jan-2022"," 1007.65"," 1003.55"," 1037.10"," 1003.55"," 1029.00"," 1028.35"," 1020.42"," 309655"," 3159.78"," 12509"," 138577"," 44.75",25,27,40.63,01/07/2022,F
"RAMCOCEM"," EQ"," 06-Jan-2022"," 1029.35"," 1024.80"," 1028.45"," 983.05"," 1003.50"," 1007.65"," 1009.21"," 324837"," 3278.29"," 13794"," 184075"," 56.67",24,27,40.56,01/06/2022,F
"RAMCOCEM"," EQ"," 05-Jan-2022"," 1024.40"," 1024.40"," 1045.00"," 1017.00"," 1028.00"," 1029.35"," 1033.86"," 437962"," 4527.93"," 18522"," 203611"," 46.49",24,27,40.42,01/05/2022,F
"RAMCOCEM"," EQ"," 04-Jan-2022"," 1026.75"," 1026.85"," 1030.75"," 1016.50"," 1021.10"," 1024.40"," 1023.40"," 302302"," 3093.77"," 12461"," 165567"," 54.77",24,27,40.21,01/04/2022,F
"RAMCOCEM"," EQ"," 03-Jan-2022"," 1004.10"," 1008.80"," 1028.80"," 1000.00"," 1023.15"," 1026.75"," 1016.84"," 140739"," 1431.09"," 9324"," 41332"," 29.37",15,27,39.98,01/03/2022,F
"RAMCOCEM"," EQ"," 31-Dec-2021"," 984.70"," 988.00"," 1023.00"," 982.10"," 1007.00"," 1004.10"," 1009.73"," 365120"," 3686.72"," 28070"," 126719"," 34.71",13,27,40.15,12/31/2021,F
"RAMCOCEM"," EQ"," 30-Dec-2021"," 988.85"," 993.00"," 999.25"," 975.50"," 990.00"," 984.70"," 983.63"," 262067"," 2577.77"," 8960"," 117346"," 44.78",29,28,40.12,12/30/2021,T
"RAMCOCEM"," EQ"," 29-Dec-2021"," 992.85"," 993.00"," 997.95"," 982.90"," 991.65"," 988.85"," 989.30"," 121076"," 1197.81"," 5682"," 67279"," 55.57",21,28,40.15,12/29/2021,F
"RAMCOCEM"," EQ"," 28-Dec-2021"," 981.65"," 986.90"," 995.20"," 981.75"," 993.50"," 992.85"," 990.96"," 101363"," 1004.47"," 7111"," 31079"," 30.66",14,28,40.12,12/28/2021,F
"RAMCOCEM"," EQ"," 27-Dec-2021"," 991.10"," 993.50"," 993.50"," 979.50"," 979.55"," 981.65"," 984.56"," 57827"," 569.34"," 4338"," 13729"," 23.74",13,28,40.40,12/27/2021,F
"RAMCOCEM"," EQ"," 24-Dec-2021"," 998.00"," 1000.00"," 1000.00"," 979.80"," 992.70"," 991.10"," 988.67"," 162077"," 1602.40"," 3079"," 101711"," 62.75",53,28,40.45,12/24/2021,T
"RAMCOCEM"," EQ"," 23-Dec-2021"," 995.20"," 998.70"," 1007.20"," 988.50"," 992.45"," 998.00"," 997.04"," 170028"," 1695.25"," 8037"," 60258"," 35.44",21,28,40.44,12/23/2021,F
"RAMCOCEM"," EQ"," 22-Dec-2021"," 971.15"," 976.25"," 1000.00"," 955.00"," 990.60"," 995.20"," 989.08"," 190636"," 1885.54"," 12070"," 80935"," 42.46",16,28,40.90,12/22/2021,F
"RAMCOCEM"," EQ"," 21-Dec-2021"," 950.40"," 950.55"," 975.65"," 950.55"," 968.85"," 971.15"," 967.35"," 194512"," 1881.62"," 10011"," 76444"," 39.30",19,28,40.96,12/21/2021,F
"RAMCOCEM"," EQ"," 20-Dec-2021"," 979.75"," 966.40"," 966.70"," 929.05"," 947.00"," 950.40"," 948.21"," 282540"," 2679.07"," 9182"," 129139"," 45.71",31,28,41.12,12/20/2021,T
"RAMCOCEM"," EQ"," 17-Dec-2021"," 989.65"," 988.90"," 989.35"," 972.90"," 980.00"," 979.75"," 981.53"," 245835"," 2412.95"," 9503"," 155361"," 63.20",26,28,41.01,12/17/2021,F
