symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"RBLBANK"," EQ"," 23-Mar-2022"," 134.80"," 135.50"," 139.95"," 133.75"," 133.95"," 134.25"," 136.37"," 11393375"," 15537.56"," 43009"," 1314552"," 11.54",265,242,16.30,03/23/2022,F
"RBLBANK"," EQ"," 22-Mar-2022"," 133.30"," 133.45"," 135.25"," 131.05"," 134.75"," 134.80"," 133.04"," 12831254"," 17070.51"," 47463"," 1157810"," 9.02",270,241,16.46,03/22/2022,F
"RBLBANK"," EQ"," 21-Mar-2022"," 136.45"," 136.45"," 137.10"," 132.20"," 133.15"," 133.30"," 134.80"," 12792577"," 17244.91"," 39612"," 2250083"," 17.59",323,239,16.62,03/21/2022,T
"RBLBANK"," EQ"," 17-Mar-2022"," 133.30"," 135.65"," 137.80"," 134.40"," 136.20"," 136.45"," 136.27"," 11652859"," 15879.72"," 46256"," 2777339"," 23.83",252,235,16.99,03/17/2022,T
"RBLBANK"," EQ"," 16-Mar-2022"," 129.25"," 132.00"," 133.70"," 131.10"," 133.00"," 133.30"," 132.54"," 12328481"," 16339.88"," 37874"," 3508798"," 28.46",326,233,16.91,03/16/2022,T
"RBLBANK"," EQ"," 15-Mar-2022"," 133.15"," 133.80"," 135.25"," 128.30"," 129.00"," 129.25"," 131.81"," 13491923"," 17784.11"," 49146"," 2112003"," 15.65",275,231,16.90,03/15/2022,F
"RBLBANK"," EQ"," 14-Mar-2022"," 133.85"," 133.80"," 134.80"," 130.60"," 132.80"," 133.15"," 132.63"," 10177613"," 13498.50"," 36655"," 1807992"," 17.76",278,229,17.00,03/14/2022,T
"RBLBANK"," EQ"," 11-Mar-2022"," 133.30"," 132.60"," 134.85"," 132.00"," 133.45"," 133.85"," 133.45"," 11039087"," 14732.07"," 33671"," 1233481"," 11.17",328,227,17.07,03/11/2022,F
"RBLBANK"," EQ"," 10-Mar-2022"," 131.60"," 135.05"," 138.15"," 132.60"," 132.60"," 133.30"," 135.44"," 16204829"," 21948.32"," 59337"," 2733342"," 16.87",273,224,17.19,03/10/2022,F
"RBLBANK"," EQ"," 09-Mar-2022"," 128.45"," 129.50"," 132.35"," 127.75"," 131.50"," 131.60"," 130.32"," 15673154"," 20425.82"," 50030"," 2448369"," 15.62",313,223,17.19,03/09/2022,F
"RBLBANK"," EQ"," 08-Mar-2022"," 121.85"," 123.00"," 129.50"," 121.10"," 128.50"," 128.45"," 125.38"," 18645320"," 23377.64"," 79369"," 2631316"," 14.11",235,221,17.31,03/08/2022,F
"RBLBANK"," EQ"," 04-Mar-2022"," 131.15"," 130.50"," 130.80"," 126.05"," 126.30"," 126.55"," 127.95"," 14500869"," 18553.63"," 63673"," 2349576"," 16.20",228,219,17.26,03/04/2022,F
"RBLBANK"," EQ"," 03-Mar-2022"," 132.85"," 136.00"," 136.35"," 129.80"," 131.50"," 131.15"," 132.49"," 11278655"," 14942.66"," 46485"," 1444715"," 12.81",243,218,17.21,03/03/2022,F
"RBLBANK"," EQ"," 02-Mar-2022"," 133.35"," 131.95"," 134.50"," 129.80"," 133.35"," 132.85"," 132.34"," 10104565"," 13372.57"," 45714"," 1080934"," 10.70",221,217,17.26,03/02/2022,F
"RBLBANK"," EQ"," 28-Feb-2022"," 132.95"," 129.00"," 134.60"," 129.00"," 133.30"," 133.35"," 132.75"," 18047641"," 23957.65"," 59711"," 2693248"," 14.92",302,215,17.32,02/28/2022,F
"RBLBANK"," EQ"," 25-Feb-2022"," 122.30"," 126.50"," 136.45"," 126.30"," 133.40"," 132.95"," 133.31"," 33922213"," 45222.98"," 119987"," 3975944"," 11.72",283,213,17.37,02/25/2022,F
"RBLBANK"," EQ"," 24-Feb-2022"," 138.75"," 134.55"," 136.00"," 121.15"," 124.00"," 122.30"," 127.15"," 25612800"," 32567.23"," 111797"," 5481970"," 21.40",229,210,17.59,02/24/2022,T
"RBLBANK"," EQ"," 23-Feb-2022"," 137.95"," 139.20"," 141.75"," 138.00"," 138.65"," 138.75"," 139.66"," 11698179"," 16337.72"," 40236"," 1964181"," 16.79",291,209,17.54,02/23/2022,F
"RBLBANK"," EQ"," 22-Feb-2022"," 137.95"," 132.10"," 138.75"," 132.00"," 138.45"," 137.95"," 136.01"," 13056407"," 17757.78"," 43714"," 1021133"," 7.82",299,208,17.93,02/22/2022,F
"RBLBANK"," EQ"," 21-Feb-2022"," 140.25"," 138.50"," 141.70"," 137.50"," 137.70"," 137.95"," 139.39"," 8820437"," 12294.65"," 36621"," 867574"," 9.84",241,205,18.00,02/21/2022,F
"RBLBANK"," EQ"," 18-Feb-2022"," 140.35"," 139.10"," 142.35"," 138.20"," 140.15"," 140.25"," 140.68"," 9085745"," 12781.52"," 36482"," 804827"," 8.86",249,204,18.13,02/18/2022,F
"RBLBANK"," EQ"," 17-Feb-2022"," 143.30"," 145.50"," 145.50"," 139.80"," 140.00"," 140.35"," 141.61"," 11460322"," 16228.50"," 51353"," 1237320"," 10.80",223,203,18.28,02/17/2022,F
"RBLBANK"," EQ"," 16-Feb-2022"," 143.10"," 143.30"," 147.60"," 142.60"," 142.70"," 143.30"," 144.79"," 16752639"," 24256.34"," 63607"," 2225174"," 13.28",263,202,18.37,02/16/2022,F
"RBLBANK"," EQ"," 15-Feb-2022"," 135.25"," 135.50"," 144.00"," 130.55"," 143.00"," 143.10"," 136.42"," 18390838"," 25088.66"," 78337"," 1683464"," 9.15",235,200,18.45,02/15/2022,F
"RBLBANK"," EQ"," 14-Feb-2022"," 141.80"," 138.10"," 140.90"," 134.50"," 134.95"," 135.25"," 137.97"," 13338417"," 18403.64"," 61516"," 2754755"," 20.65",217,198,18.56,02/14/2022,T
"RBLBANK"," EQ"," 11-Feb-2022"," 146.40"," 145.00"," 147.00"," 141.20"," 141.90"," 141.80"," 143.65"," 8175335"," 11744.16"," 38170"," 1521428"," 18.61",214,197,18.55,02/11/2022,T
"RBLBANK"," EQ"," 10-Feb-2022"," 146.30"," 147.05"," 148.70"," 145.55"," 146.50"," 146.40"," 146.94"," 6735909"," 9897.69"," 32826"," 733604"," 10.89",205,196,18.46,02/10/2022,F
"RBLBANK"," EQ"," 09-Feb-2022"," 144.65"," 147.00"," 147.50"," 143.60"," 146.30"," 146.30"," 145.33"," 7830501"," 11379.75"," 37253"," 957455"," 12.23",210,196,18.57,02/09/2022,F
"RBLBANK"," EQ"," 08-Feb-2022"," 146.25"," 147.10"," 147.65"," 139.60"," 144.25"," 144.65"," 143.23"," 15689705"," 22472.81"," 76119"," 2251318"," 14.35",206,196,18.65,02/08/2022,F
