symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"RECLTD"," EQ"," 25-Mar-2022"," 125.10"," 126.00"," 126.00"," 124.00"," 124.45"," 124.25"," 125.02"," 2229995"," 2787.90"," 15091"," 1063707"," 47.70",148,158,56.63,03/25/2022,F
"RECLTD"," N1"," 25-Mar-2022"," 1041.99"," 1043.00"," 1043.00"," 1043.00"," 1043.00"," 1043.00"," 1043.00"," 10"," 0.10"," 1"," 10"," 100.00",10,158,56.63,03/25/2022,F
"RECLTD"," N5"," 25-Mar-2022"," 1078.00"," 1073.00"," 1074.00"," 1073.00"," 1074.00"," 1074.00"," 1073.50"," 20"," 0.21"," 2"," 10"," 50.00",10,158,56.63,03/25/2022,F
"RECLTD"," N8"," 25-Mar-2022"," 1075.01"," 1073.31"," 1074.41"," 1073.31"," 1074.41"," 1074.41"," 1073.82"," 379"," 4.07"," 2"," 204"," 53.83",190,158,56.63,03/25/2022,F
"RECLTD"," N9"," 25-Mar-2022"," 1251.00"," 1246.00"," 1255.00"," 1246.00"," 1246.10"," 1246.10"," 1246.79"," 74"," 0.92"," 7"," 71"," 95.95",11,158,56.63,03/25/2022,F
"RECLTD"," NF"," 25-Mar-2022"," 1255.61"," 1256.75"," 1270.00"," 1256.75"," 1270.00"," 1270.00"," 1268.80"," 55"," 0.70"," 2"," 55"," 100.00",28,158,56.63,03/25/2022,F
"RECLTD"," NG"," 25-Mar-2022"," 1400.00"," 1400.00"," 1400.00"," 1395.00"," 1400.00"," 1400.00"," 1399.76"," 552"," 7.73"," 5"," 552"," 100.00",110,158,56.63,03/25/2022,F
"RECLTD"," NH"," 25-Mar-2022"," 1272.00"," 1300.00"," 1300.00"," 1274.00"," 1276.00"," 1276.00"," 1276.11"," 180"," 2.30"," 3"," 94"," 52.22",60,158,56.63,03/25/2022,F
"RECLTD"," NI"," 25-Mar-2022"," 1226.00"," 1220.00"," 1220.00"," 1220.00"," 1220.00"," 1220.00"," 1220.00"," 100"," 1.22"," 1"," 100"," 100.00",100,158,56.63,03/25/2022,F
"RECLTD"," EQ"," 24-Mar-2022"," 126.30"," 125.80"," 126.90"," 124.80"," 125.05"," 125.10"," 125.95"," 2771423"," 3490.70"," 15729"," 1572146"," 56.73",176,169,53.64,03/24/2022,T
"RECLTD"," N1"," 24-Mar-2022"," 1038.00"," 1040.60"," 1041.99"," 1040.50"," 1041.99"," 1041.99"," 1041.86"," 220"," 2.29"," 3"," 210"," 95.45",73,169,53.64,03/24/2022,F
"RECLTD"," N2"," 24-Mar-2022"," 1170.00"," 1153.11"," 1153.11"," 1152.20"," 1152.20"," 1152.82"," 1152.82"," 375"," 4.32"," 5"," 375"," 100.00",75,169,53.64,03/24/2022,F
"RECLTD"," N8"," 24-Mar-2022"," 1073.46"," 1075.01"," 1075.01"," 1075.01"," 1075.01"," 1075.01"," 1075.01"," 146"," 1.57"," 1"," 146"," 100.00",146,169,53.64,03/24/2022,F
