symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"RELIANCE"," EQ"," 16-Mar-2022"," 2363.45"," 2382.00"," 2407.90"," 2377.10"," 2401.50"," 2403.35"," 2396.17"," 5145644"," 123298.54"," 185464"," 2824434"," 54.89",28,27,53.62,03/16/2022,T
"RELIANCE"," EQ"," 15-Mar-2022"," 2418.85"," 2427.95"," 2427.95"," 2340.85"," 2362.00"," 2363.45"," 2386.09"," 7349740"," 175371.37"," 257511"," 3924279"," 53.39",29,27,53.48,03/15/2022,F
"RELIANCE"," EQ"," 14-Mar-2022"," 2399.15"," 2386.90"," 2424.40"," 2374.00"," 2422.20"," 2418.85"," 2401.52"," 3849222"," 92439.99"," 160500"," 1800381"," 46.77",24,27,53.53,03/14/2022,F
"RELIANCE"," EQ"," 11-Mar-2022"," 2392.25"," 2376.05"," 2411.00"," 2376.05"," 2393.15"," 2399.15"," 2396.11"," 5656799"," 135542.91"," 199494"," 3028604"," 53.54",28,27,53.66,03/11/2022,F
"RELIANCE"," EQ"," 10-Mar-2022"," 2354.10"," 2400.00"," 2405.00"," 2360.00"," 2387.00"," 2392.25"," 2386.79"," 8297995"," 198055.99"," 278083"," 4102149"," 49.44",30,27,53.63,03/10/2022,F
"RELIANCE"," EQ"," 09-Mar-2022"," 2235.50"," 2236.00"," 2367.00"," 2234.15"," 2358.30"," 2354.10"," 2316.35"," 9421163"," 218227.06"," 325395"," 4647153"," 49.33",29,27,53.54,03/09/2022,F
"RELIANCE"," EQ"," 08-Mar-2022"," 2239.55"," 2211.50"," 2246.00"," 2180.00"," 2235.05"," 2235.50"," 2220.15"," 9825043"," 218130.22"," 428117"," 5602260"," 57.02",23,27,53.43,03/08/2022,F
"RELIANCE"," EQ"," 04-Mar-2022"," 2378.30"," 2353.00"," 2364.30"," 2320.35"," 2327.95"," 2325.55"," 2338.20"," 4986814"," 116601.49"," 219860"," 2754095"," 55.23",23,27,53.11,03/04/2022,F
"RELIANCE"," EQ"," 03-Mar-2022"," 2398.55"," 2400.00"," 2414.85"," 2370.05"," 2382.00"," 2378.30"," 2392.27"," 4701183"," 112464.76"," 230143"," 2479449"," 52.74",20,27,53.11,03/03/2022,F
"RELIANCE"," EQ"," 02-Mar-2022"," 2359.55"," 2334.45"," 2401.00"," 2329.20"," 2399.25"," 2398.55"," 2376.69"," 9909226"," 235511.58"," 309328"," 6277829"," 63.35",32,27,53.12,03/02/2022,T
"RELIANCE"," EQ"," 28-Feb-2022"," 2283.95"," 2243.00"," 2367.35"," 2243.00"," 2355.00"," 2359.55"," 2328.64"," 9828768"," 228876.84"," 240020"," 5321030"," 54.14",41,27,52.77,02/28/2022,T
"RELIANCE"," EQ"," 25-Feb-2022"," 2255.75"," 2280.10"," 2307.95"," 2276.25"," 2283.00"," 2283.95"," 2290.84"," 6724094"," 154038.44"," 281047"," 3670287"," 54.58",24,27,52.50,02/25/2022,F
"RELIANCE"," EQ"," 24-Feb-2022"," 2374.05"," 2305.00"," 2339.90"," 2243.40"," 2250.00"," 2255.75"," 2291.15"," 11466725"," 262720.08"," 493459"," 7266877"," 63.37",23,27,52.28,02/24/2022,F
"RELIANCE"," EQ"," 23-Feb-2022"," 2389.00"," 2401.10"," 2406.55"," 2368.00"," 2371.25"," 2374.05"," 2391.23"," 3373615"," 80671.02"," 195350"," 1928054"," 57.15",17,27,52.02,02/23/2022,F
"RELIANCE"," EQ"," 22-Feb-2022"," 2399.90"," 2352.90"," 2395.90"," 2347.15"," 2389.75"," 2389.00"," 2372.16"," 6227901"," 147735.85"," 197401"," 3920789"," 62.96",32,27,52.01,02/22/2022,T
"RELIANCE"," EQ"," 21-Feb-2022"," 2424.40"," 2412.00"," 2437.50"," 2384.60"," 2399.60"," 2399.90"," 2409.12"," 5125968"," 123490.78"," 226214"," 2888548"," 56.35",23,27,51.98,02/21/2022,F
"RELIANCE"," EQ"," 18-Feb-2022"," 2443.50"," 2444.40"," 2456.40"," 2420.15"," 2427.30"," 2424.40"," 2440.25"," 3126873"," 76303.67"," 158691"," 1216161"," 38.89",20,27,51.98,02/18/2022,F
"RELIANCE"," EQ"," 17-Feb-2022"," 2412.95"," 2420.10"," 2454.90"," 2410.00"," 2441.00"," 2443.50"," 2439.61"," 5931774"," 144712.13"," 211881"," 2872619"," 48.43",28,27,52.18,02/17/2022,F
"RELIANCE"," EQ"," 16-Feb-2022"," 2417.95"," 2430.00"," 2433.00"," 2395.95"," 2407.65"," 2412.95"," 2417.77"," 4796294"," 115963.26"," 190438"," 2607957"," 54.37",25,27,52.05,02/16/2022,F
"RELIANCE"," EQ"," 15-Feb-2022"," 2338.55"," 2351.20"," 2423.90"," 2335.70"," 2415.10"," 2417.95"," 2381.19"," 5174646"," 123218.14"," 261746"," 2563105"," 49.53",20,27,52.04,02/15/2022,F
"RELIANCE"," EQ"," 14-Feb-2022"," 2376.40"," 2340.25"," 2354.95"," 2313.00"," 2332.00"," 2338.55"," 2338.11"," 4947109"," 115668.68"," 219862"," 2751275"," 55.61",23,27,52.06,02/14/2022,F
"RELIANCE"," EQ"," 11-Feb-2022"," 2381.05"," 2373.25"," 2384.50"," 2344.10"," 2372.55"," 2376.40"," 2367.97"," 7357863"," 174231.87"," 283837"," 4905802"," 66.67",26,27,51.94,02/11/2022,F
"RELIANCE"," EQ"," 10-Feb-2022"," 2383.50"," 2395.70"," 2395.70"," 2365.10"," 2376.95"," 2381.05"," 2381.99"," 5752361"," 137020.87"," 210155"," 3608073"," 62.72",27,27,51.80,02/10/2022,F
"RELIANCE"," EQ"," 09-Feb-2022"," 2356.05"," 2371.15"," 2387.20"," 2358.00"," 2384.00"," 2383.50"," 2373.06"," 5300891"," 125793.55"," 180905"," 3104784"," 58.57",29,27,51.72,02/09/2022,T
"RELIANCE"," EQ"," 08-Feb-2022"," 2317.10"," 2330.65"," 2360.00"," 2310.00"," 2357.50"," 2356.05"," 2338.32"," 5566080"," 130152.61"," 186348"," 2963152"," 53.24",30,27,51.60,02/08/2022,T
"RELIANCE"," EQ"," 07-Feb-2022"," 2331.30"," 2342.00"," 2356.80"," 2305.00"," 2319.40"," 2317.10"," 2330.89"," 4944725"," 115255.87"," 243702"," 2190778"," 44.31",20,27,51.77,02/07/2022,F
"RELIANCE"," EQ"," 04-Feb-2022"," 2352.75"," 2341.00"," 2348.45"," 2321.10"," 2330.50"," 2331.30"," 2334.17"," 5104761"," 119153.66"," 230586"," 2346527"," 45.97",22,27,52.21,02/04/2022,F
"RELIANCE"," EQ"," 03-Feb-2022"," 2383.55"," 2392.00"," 2401.45"," 2347.20"," 2348.45"," 2352.75"," 2367.01"," 4417864"," 104571.43"," 236441"," 2596474"," 58.77",19,27,52.31,02/03/2022,F
"RELIANCE"," EQ"," 02-Feb-2022"," 2378.70"," 2407.00"," 2407.00"," 2375.10"," 2385.00"," 2383.55"," 2384.84"," 4623163"," 110254.84"," 153391"," 2821709"," 61.03",30,27,52.19,02/02/2022,T
"RELIANCE"," EQ"," 01-Feb-2022"," 2386.60"," 2408.00"," 2420.60"," 2347.10"," 2382.80"," 2378.70"," 2394.79"," 6092033"," 145891.70"," 227599"," 2933488"," 48.15",27,27,52.14,02/01/2022,F
"RELIANCE"," EQ"," 31-Jan-2022"," 2335.85"," 2360.20"," 2406.40"," 2356.20"," 2384.05"," 2386.60"," 2388.27"," 5604308"," 133846.13"," 268776"," 2989691"," 53.35",21,27,52.35,01/31/2022,F
"RELIANCE"," EQ"," 28-Jan-2022"," 2338.10"," 2365.00"," 2375.90"," 2328.40"," 2336.00"," 2335.85"," 2347.94"," 6769154"," 158935.36"," 255535"," 4021895"," 59.42",26,27,52.43,01/28/2022,F
"RELIANCE"," EQ"," 27-Jan-2022"," 2373.25"," 2336.00"," 2356.10"," 2311.05"," 2347.00"," 2338.10"," 2333.67"," 9239426"," 215617.80"," 315266"," 5271565"," 57.06",29,27,52.23,01/27/2022,T
"RELIANCE"," EQ"," 25-Jan-2022"," 2377.90"," 2349.55"," 2388.65"," 2305.00"," 2368.10"," 2373.25"," 2343.88"," 11311456"," 265127.44"," 482175"," 6446850"," 56.99",23,27,52.08,01/25/2022,F
"RELIANCE"," EQ"," 24-Jan-2022"," 2477.85"," 2475.00"," 2504.75"," 2355.10"," 2379.90"," 2377.90"," 2418.60"," 10092511"," 244097.36"," 399996"," 4847529"," 48.03",25,27,51.92,01/24/2022,F
"RELIANCE"," EQ"," 21-Jan-2022"," 2477.45"," 2452.00"," 2502.25"," 2452.00"," 2476.05"," 2477.85"," 2475.83"," 6155759"," 152406.31"," 236838"," 3203303"," 52.04",26,27,51.75,01/21/2022,F
"RELIANCE"," EQ"," 20-Jan-2022"," 2521.60"," 2500.05"," 2509.95"," 2455.00"," 2482.10"," 2477.45"," 2480.98"," 7612203"," 188857.34"," 251195"," 5220672"," 68.58",30,27,51.67,01/20/2022,T
"RELIANCE"," EQ"," 19-Jan-2022"," 2521.80"," 2530.00"," 2542.00"," 2509.00"," 2521.40"," 2521.60"," 2522.72"," 4502155"," 113576.96"," 153189"," 2589631"," 57.52",29,27,51.61,01/19/2022,T
"RELIANCE"," EQ"," 18-Jan-2022"," 2552.25"," 2554.75"," 2562.35"," 2515.75"," 2523.00"," 2521.80"," 2540.02"," 2868235"," 72853.65"," 158330"," 1312810"," 45.77",18,27,51.73,01/18/2022,F
"RELIANCE"," EQ"," 17-Jan-2022"," 2539.00"," 2538.00"," 2565.00"," 2537.00"," 2553.00"," 2552.25"," 2555.10"," 3708822"," 94764.27"," 160043"," 2207498"," 59.52",23,27,51.72,01/17/2022,F
"RELIANCE"," EQ"," 14-Jan-2022"," 2535.30"," 2535.00"," 2567.30"," 2525.85"," 2537.00"," 2539.00"," 2545.66"," 9197773"," 234143.61"," 195865"," 5804124"," 63.10",47,27,51.67,01/14/2022,T
"RELIANCE"," EQ"," 13-Jan-2022"," 2521.10"," 2521.25"," 2541.00"," 2508.40"," 2536.25"," 2535.30"," 2525.55"," 5471871"," 138194.65"," 186278"," 3115794"," 56.94",29,26,51.48,01/13/2022,T
"RELIANCE"," EQ"," 12-Jan-2022"," 2455.55"," 2471.30"," 2524.95"," 2465.00"," 2518.00"," 2521.10"," 2505.89"," 6830402"," 171162.27"," 267056"," 3238315"," 47.41",26,26,51.48,01/12/2022,F
"RELIANCE"," EQ"," 11-Jan-2022"," 2438.00"," 2436.00"," 2474.95"," 2435.00"," 2455.80"," 2455.55"," 2459.51"," 7478681"," 183939.12"," 209712"," 4746648"," 63.47",36,26,51.54,01/11/2022,T
"RELIANCE"," EQ"," 10-Jan-2022"," 2436.00"," 2452.00"," 2457.00"," 2416.05"," 2440.20"," 2438.00"," 2432.54"," 4267365"," 103805.28"," 214098"," 2152906"," 50.45",20,26,51.35,01/10/2022,F
"RELIANCE"," EQ"," 07-Jan-2022"," 2416.50"," 2430.95"," 2458.05"," 2411.55"," 2439.90"," 2436.00"," 2436.73"," 6051239"," 147452.14"," 191088"," 3342839"," 55.24",32,26,51.45,01/07/2022,T
"RELIANCE"," EQ"," 06-Jan-2022"," 2469.60"," 2451.20"," 2454.00"," 2409.00"," 2419.15"," 2416.50"," 2423.21"," 6667483"," 161567.36"," 227953"," 3950375"," 59.25",29,26,51.21,01/06/2022,T
"RELIANCE"," EQ"," 05-Jan-2022"," 2458.10"," 2462.00"," 2477.00"," 2432.95"," 2461.85"," 2469.60"," 2455.69"," 5373618"," 131959.35"," 210976"," 2963957"," 55.16",25,26,51.07,01/05/2022,F
