symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"SAIL"," EQ"," 25-Mar-2022"," 104.00"," 104.50"," 105.15"," 102.90"," 103.30"," 103.10"," 104.24"," 29916817"," 31183.89"," 80034"," 12176014"," 40.70",374,365,30.38,03/25/2022,T
"SAIL"," EQ"," 24-Mar-2022"," 103.10"," 102.75"," 104.95"," 102.50"," 103.95"," 104.00"," 103.82"," 41016068"," 42582.46"," 91732"," 12457434"," 30.37",447,365,30.03,03/24/2022,T
"SAIL"," EQ"," 23-Mar-2022"," 99.50"," 100.80"," 104.70"," 99.80"," 102.90"," 103.10"," 102.41"," 100447377"," 102863.47"," 183407"," 23863139"," 23.76",548,363,30.02,03/23/2022,F
"SAIL"," EQ"," 22-Mar-2022"," 99.40"," 99.90"," 101.45"," 98.25"," 99.70"," 99.50"," 99.64"," 43769916"," 43610.62"," 83186"," 9556148"," 21.83",526,361,29.99,03/22/2022,F
"SAIL"," EQ"," 21-Mar-2022"," 98.10"," 98.90"," 100.85"," 98.50"," 99.25"," 99.40"," 99.77"," 44140020"," 44038.68"," 90135"," 12301993"," 27.87",490,358,30.01,03/21/2022,F
"SAIL"," EQ"," 17-Mar-2022"," 97.20"," 98.80"," 100.00"," 97.20"," 98.10"," 98.10"," 98.61"," 50576391"," 49873.35"," 101337"," 16731527"," 33.08",499,356,29.93,03/17/2022,T
"SAIL"," EQ"," 16-Mar-2022"," 94.90"," 96.35"," 97.45"," 96.00"," 97.05"," 97.20"," 96.74"," 30212949"," 29229.44"," 73557"," 8614599"," 28.51",411,353,29.76,03/16/2022,F
"SAIL"," EQ"," 15-Mar-2022"," 99.30"," 99.00"," 99.00"," 93.85"," 94.85"," 94.90"," 96.15"," 44771720"," 43048.58"," 159058"," 14499378"," 32.39",281,353,29.64,03/15/2022,F
"SAIL"," EQ"," 14-Mar-2022"," 99.65"," 100.80"," 101.35"," 98.00"," 99.35"," 99.30"," 99.33"," 46969583"," 46652.79"," 91590"," 19546146"," 41.61",513,355,29.40,03/14/2022,T
"SAIL"," EQ"," 11-Mar-2022"," 99.10"," 99.50"," 101.85"," 99.05"," 99.40"," 99.65"," 100.23"," 44512874"," 44614.35"," 107811"," 8450533"," 18.98",413,354,29.26,03/11/2022,F
"SAIL"," EQ"," 10-Mar-2022"," 96.10"," 97.95"," 99.60"," 96.60"," 99.00"," 99.10"," 98.13"," 41584245"," 40806.82"," 94706"," 10069285"," 24.21",439,353,29.33,03/10/2022,F
"SAIL"," EQ"," 09-Mar-2022"," 96.10"," 96.10"," 97.85"," 95.20"," 96.20"," 96.10"," 96.19"," 31188865"," 30001.22"," 85530"," 6775552"," 21.72",365,353,29.22,03/09/2022,F
"SAIL"," EQ"," 08-Mar-2022"," 98.00"," 98.00"," 98.50"," 93.50"," 95.85"," 96.10"," 95.63"," 38596051"," 36911.02"," 103936"," 8046922"," 20.85",371,353,29.15,03/08/2022,F
"SAIL"," EQ"," 04-Mar-2022"," 101.15"," 101.00"," 102.10"," 97.05"," 97.65"," 97.55"," 99.43"," 46399925"," 46136.71"," 111874"," 8340567"," 17.98",415,352,29.15,03/04/2022,F
"SAIL"," EQ"," 03-Mar-2022"," 99.35"," 101.50"," 102.50"," 100.05"," 101.10"," 101.15"," 101.18"," 42379071"," 42878.72"," 103863"," 8191798"," 19.33",408,351,29.21,03/03/2022,F
"SAIL"," EQ"," 02-Mar-2022"," 96.35"," 96.00"," 100.50"," 95.55"," 99.20"," 99.35"," 99.26"," 57349266"," 56925.09"," 145944"," 10711974"," 18.68",393,350,29.28,03/02/2022,F
