symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"SBICARD"," EQ"," 25-Mar-2022"," 843.55"," 848.00"," 872.00"," 837.40"," 872.00"," 863.05"," 853.76"," 1123865"," 9595.11"," 36281"," 673803"," 59.95",31,26,50.15,03/25/2022,T
"SBICARD"," EQ"," 24-Mar-2022"," 863.30"," 860.00"," 862.50"," 840.05"," 841.50"," 843.55"," 850.50"," 938300"," 7980.22"," 33455"," 585250"," 62.37",28,26,49.98,03/24/2022,T
"SBICARD"," EQ"," 23-Mar-2022"," 847.30"," 856.10"," 865.00"," 852.00"," 863.50"," 863.30"," 861.08"," 1293684"," 11139.65"," 52125"," 667813"," 51.62",25,26,49.96,03/23/2022,F
"SBICARD"," EQ"," 22-Mar-2022"," 842.15"," 842.30"," 853.50"," 825.10"," 847.05"," 847.30"," 834.55"," 1302597"," 10870.85"," 51276"," 697577"," 53.55",25,26,50.12,03/22/2022,F
"SBICARD"," EQ"," 21-Mar-2022"," 854.45"," 854.40"," 854.40"," 840.05"," 842.00"," 842.15"," 843.99"," 752292"," 6349.30"," 38843"," 434355"," 57.74",19,26,50.15,03/21/2022,F
"SBICARD"," EQ"," 17-Mar-2022"," 836.40"," 845.00"," 859.95"," 840.45"," 856.00"," 854.45"," 850.28"," 1453002"," 12354.51"," 43152"," 898130"," 61.81",34,27,50.21,03/17/2022,T
"SBICARD"," EQ"," 16-Mar-2022"," 819.15"," 828.90"," 837.60"," 822.80"," 835.50"," 836.40"," 833.23"," 835701"," 6963.30"," 25387"," 355629"," 42.55",33,27,49.92,03/16/2022,F
"SBICARD"," EQ"," 15-Mar-2022"," 816.70"," 818.20"," 829.00"," 811.00"," 817.30"," 819.15"," 819.96"," 956998"," 7847.03"," 36096"," 408753"," 42.71",27,26,50.17,03/15/2022,F
"SBICARD"," EQ"," 14-Mar-2022"," 806.30"," 806.00"," 818.50"," 803.70"," 816.00"," 816.70"," 813.54"," 965820"," 7857.34"," 33302"," 461708"," 47.80",29,27,50.74,03/14/2022,F
"SBICARD"," EQ"," 11-Mar-2022"," 804.85"," 801.00"," 809.45"," 772.45"," 807.00"," 806.30"," 805.58"," 674047"," 5430.02"," 37238"," 348052"," 51.64",18,27,51.00,03/11/2022,F
"SBICARD"," EQ"," 10-Mar-2022"," 793.55"," 809.45"," 816.45"," 802.05"," 804.55"," 804.85"," 807.79"," 1358515"," 10974.00"," 35156"," 819106"," 60.29",39,27,51.18,03/10/2022,T
"SBICARD"," EQ"," 09-Mar-2022"," 781.90"," 781.90"," 804.00"," 772.25"," 800.00"," 793.55"," 786.03"," 1862288"," 14638.21"," 57375"," 1111028"," 59.66",32,27,51.23,03/09/2022,T
"SBICARD"," EQ"," 08-Mar-2022"," 730.55"," 735.15"," 788.95"," 731.65"," 777.95"," 781.90"," 762.99"," 2186728"," 16684.53"," 68053"," 957242"," 43.78",32,27,51.34,03/08/2022,F
"SBICARD"," EQ"," 04-Mar-2022"," 752.70"," 753.00"," 763.25"," 712.65"," 744.00"," 744.25"," 739.93"," 2604676"," 19272.78"," 85527"," 1190451"," 45.70",30,27,51.54,03/04/2022,F
"SBICARD"," EQ"," 03-Mar-2022"," 767.25"," 781.05"," 782.00"," 750.10"," 753.10"," 752.70"," 765.73"," 1169814"," 8957.56"," 54947"," 741503"," 63.39",21,27,51.58,03/03/2022,F
"SBICARD"," EQ"," 02-Mar-2022"," 785.55"," 785.00"," 785.00"," 763.05"," 769.10"," 767.25"," 770.57"," 1496067"," 11528.30"," 68890"," 939845"," 62.82",22,27,51.56,03/02/2022,F
"SBICARD"," EQ"," 28-Feb-2022"," 782.80"," 785.00"," 788.05"," 766.25"," 785.95"," 785.55"," 779.52"," 891610"," 6950.30"," 35343"," 402845"," 45.18",25,27,51.70,02/28/2022,F
"SBICARD"," EQ"," 25-Feb-2022"," 753.75"," 762.00"," 791.45"," 762.00"," 788.00"," 782.80"," 781.46"," 1052529"," 8225.12"," 49425"," 461534"," 43.85",21,27,51.94,02/25/2022,F
