symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"SBILIFE"," EQ"," 23-Mar-2022"," 1097.65"," 1110.45"," 1117.70"," 1079.10"," 1085.65"," 1092.25"," 1095.73"," 1054362"," 11552.98"," 39162"," 554241"," 52.57",27,24,55.23,03/23/2022,F
"SBILIFE"," EQ"," 22-Mar-2022"," 1095.80"," 1092.50"," 1101.85"," 1070.00"," 1101.85"," 1097.65"," 1088.46"," 998586"," 10869.26"," 35146"," 538043"," 53.88",28,24,55.28,03/22/2022,F
"SBILIFE"," EQ"," 21-Mar-2022"," 1128.55"," 1139.00"," 1139.00"," 1094.00"," 1095.10"," 1095.80"," 1109.99"," 849763"," 9432.32"," 29117"," 419007"," 49.31",29,24,55.48,03/21/2022,F
"SBILIFE"," EQ"," 17-Mar-2022"," 1085.75"," 1096.00"," 1140.00"," 1088.10"," 1124.00"," 1128.55"," 1120.13"," 1867149"," 20914.58"," 50596"," 1179222"," 63.16",37,24,55.76,03/17/2022,T
"SBILIFE"," EQ"," 16-Mar-2022"," 1070.55"," 1075.90"," 1097.80"," 1075.00"," 1084.00"," 1085.75"," 1085.59"," 1616431"," 17547.85"," 48821"," 1056399"," 65.35",33,23,55.79,03/16/2022,T
"SBILIFE"," EQ"," 15-Mar-2022"," 1069.70"," 1069.05"," 1079.35"," 1060.00"," 1070.40"," 1070.55"," 1071.49"," 1068905"," 11453.16"," 49946"," 614464"," 57.49",21,23,55.69,03/15/2022,F
"SBILIFE"," EQ"," 14-Mar-2022"," 1058.50"," 1047.00"," 1072.60"," 1040.15"," 1069.00"," 1069.70"," 1059.06"," 1278905"," 13544.32"," 58389"," 710166"," 55.53",22,23,55.82,03/14/2022,F
"SBILIFE"," EQ"," 11-Mar-2022"," 1050.05"," 1050.00"," 1066.10"," 1041.65"," 1054.20"," 1058.50"," 1058.37"," 698477"," 7392.49"," 28618"," 266499"," 38.15",24,24,55.95,03/11/2022,F
"SBILIFE"," EQ"," 10-Mar-2022"," 1025.20"," 1039.00"," 1057.10"," 1036.05"," 1049.40"," 1050.05"," 1046.33"," 1580932"," 16541.81"," 56301"," 633355"," 40.06",28,24,56.43,03/10/2022,F
"SBILIFE"," EQ"," 09-Mar-2022"," 1031.95"," 1035.80"," 1041.95"," 1020.80"," 1031.15"," 1025.20"," 1028.22"," 1409037"," 14488.02"," 66483"," 825640"," 58.60",21,24,56.93,03/09/2022,F
"SBILIFE"," EQ"," 08-Mar-2022"," 1028.90"," 1009.00"," 1039.75"," 1003.50"," 1035.85"," 1031.95"," 1019.80"," 1580056"," 16113.46"," 59538"," 878187"," 55.58",27,24,57.19,03/08/2022,F
"SBILIFE"," EQ"," 04-Mar-2022"," 1081.30"," 1071.50"," 1077.40"," 1049.75"," 1056.50"," 1057.35"," 1062.01"," 1586668"," 16850.50"," 68502"," 885806"," 55.83",23,24,57.33,03/04/2022,F
"SBILIFE"," EQ"," 03-Mar-2022"," 1121.15"," 1120.10"," 1126.75"," 1075.15"," 1084.00"," 1081.30"," 1096.17"," 1105747"," 12120.86"," 69539"," 571554"," 51.69",16,24,57.42,03/03/2022,F
"SBILIFE"," EQ"," 02-Mar-2022"," 1060.15"," 1060.00"," 1125.00"," 1056.05"," 1120.05"," 1121.15"," 1101.81"," 3762611"," 41456.81"," 120490"," 2249157"," 59.78",31,24,57.57,03/02/2022,T
"SBILIFE"," EQ"," 28-Feb-2022"," 1055.60"," 1049.00"," 1062.80"," 1016.85"," 1060.95"," 1060.15"," 1047.05"," 1566146"," 16398.38"," 72153"," 910263"," 58.12",22,24,57.52,02/28/2022,F
"SBILIFE"," EQ"," 25-Feb-2022"," 1054.20"," 1060.00"," 1077.70"," 1049.00"," 1054.40"," 1055.60"," 1060.29"," 1415912"," 15012.81"," 78164"," 789142"," 55.73",18,24,57.31,02/25/2022,F
"SBILIFE"," EQ"," 24-Feb-2022"," 1101.75"," 1078.00"," 1091.50"," 1040.70"," 1050.00"," 1054.20"," 1065.14"," 2088599"," 22246.43"," 88563"," 1187856"," 56.87",24,24,57.34,02/24/2022,F
"SBILIFE"," EQ"," 23-Feb-2022"," 1100.95"," 1108.00"," 1114.95"," 1098.70"," 1103.65"," 1101.75"," 1102.19"," 1743770"," 19219.69"," 46678"," 1262912"," 72.42",37,23,57.14,02/23/2022,T
"SBILIFE"," EQ"," 22-Feb-2022"," 1134.75"," 1106.00"," 1126.50"," 1096.10"," 1098.00"," 1100.95"," 1105.94"," 2115917"," 23400.74"," 72230"," 1398663"," 66.10",29,23,56.74,02/22/2022,T
"SBILIFE"," EQ"," 21-Feb-2022"," 1150.50"," 1145.00"," 1150.50"," 1123.00"," 1140.00"," 1134.75"," 1137.89"," 1020384"," 11610.89"," 38533"," 526114"," 51.56",26,23,56.55,02/21/2022,F
"SBILIFE"," EQ"," 18-Feb-2022"," 1126.35"," 1124.80"," 1160.90"," 1111.35"," 1147.05"," 1150.50"," 1150.14"," 1734791"," 19952.53"," 62766"," 531665"," 30.65",28,23,56.40,02/18/2022,F
"SBILIFE"," EQ"," 17-Feb-2022"," 1122.15"," 1128.00"," 1132.85"," 1111.90"," 1121.10"," 1126.35"," 1122.52"," 1182862"," 13277.91"," 61244"," 631932"," 53.42",19,23,56.81,02/17/2022,F
"SBILIFE"," EQ"," 16-Feb-2022"," 1119.95"," 1128.00"," 1131.50"," 1102.00"," 1127.45"," 1122.15"," 1118.31"," 1294606"," 14477.74"," 51417"," 562753"," 43.47",25,23,56.66,02/16/2022,F
"SBILIFE"," EQ"," 15-Feb-2022"," 1096.30"," 1096.00"," 1123.65"," 1086.20"," 1119.30"," 1119.95"," 1106.12"," 1245681"," 13778.67"," 66434"," 649479"," 52.14",19,23,56.61,02/15/2022,F
"SBILIFE"," EQ"," 14-Feb-2022"," 1133.30"," 1125.00"," 1127.00"," 1090.00"," 1100.00"," 1096.30"," 1107.50"," 2448602"," 27118.15"," 98845"," 1369020"," 55.91",25,23,56.76,02/14/2022,F
"SBILIFE"," EQ"," 11-Feb-2022"," 1146.25"," 1144.85"," 1144.85"," 1124.00"," 1128.00"," 1133.30"," 1134.73"," 1942394"," 22040.98"," 77133"," 1150095"," 59.21",25,23,56.76,02/11/2022,T
"SBILIFE"," EQ"," 10-Feb-2022"," 1125.70"," 1125.00"," 1150.00"," 1108.00"," 1147.50"," 1146.25"," 1133.82"," 2030639"," 23023.75"," 119252"," 1279315"," 63.00",17,23,56.62,02/10/2022,F
"SBILIFE"," EQ"," 09-Feb-2022"," 1131.15"," 1132.00"," 1140.80"," 1118.00"," 1128.95"," 1125.70"," 1126.47"," 1741687"," 19619.63"," 74197"," 1184975"," 68.04",23,23,56.62,02/09/2022,F
"SBILIFE"," EQ"," 08-Feb-2022"," 1144.00"," 1145.00"," 1149.00"," 1117.35"," 1128.85"," 1131.15"," 1129.79"," 1511667"," 17078.68"," 89744"," 784765"," 51.91",17,23,56.53,02/08/2022,F
"SBILIFE"," EQ"," 07-Feb-2022"," 1172.10"," 1161.80"," 1171.70"," 1131.90"," 1146.30"," 1144.00"," 1145.23"," 1519928"," 17406.73"," 63489"," 770335"," 50.68",24,23,56.75,02/07/2022,F
"SBILIFE"," EQ"," 04-Feb-2022"," 1185.20"," 1194.00"," 1194.00"," 1165.15"," 1170.00"," 1172.10"," 1175.11"," 856452"," 10064.23"," 50444"," 503864"," 58.83",17,23,57.03,02/04/2022,F
"SBILIFE"," EQ"," 03-Feb-2022"," 1220.10"," 1218.05"," 1220.00"," 1175.60"," 1184.95"," 1185.20"," 1192.14"," 1236574"," 14741.69"," 63601"," 703076"," 56.86",19,23,57.00,02/03/2022,F
