symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"SBIN"," EQ"," 23-Mar-2022"," 493.70"," 498.50"," 502.40"," 489.20"," 489.95"," 490.65"," 495.13"," 15800195"," 78232.06"," 168550"," 3730665"," 23.61",94,86,33.06,03/23/2022,F
"SBIN"," EQ"," 22-Mar-2022"," 490.60"," 490.60"," 495.80"," 477.25"," 495.10"," 493.70"," 486.29"," 26157969"," 127202.46"," 264129"," 10188906"," 38.95",99,86,33.18,03/22/2022,T
"SBIN"," EQ"," 21-Mar-2022"," 501.90"," 502.00"," 502.00"," 489.00"," 490.25"," 490.60"," 493.32"," 19064060"," 94047.35"," 224101"," 7861269"," 41.24",85,85,33.19,03/21/2022,F
"SBIN"," EQ"," 17-Mar-2022"," 492.75"," 499.00"," 503.50"," 498.30"," 501.00"," 501.90"," 501.29"," 22947673"," 115035.33"," 221065"," 11450769"," 49.90",104,85,33.18,03/17/2022,T
"SBIN"," EQ"," 16-Mar-2022"," 485.85"," 493.00"," 494.30"," 489.40"," 491.95"," 492.75"," 492.21"," 16211288"," 79792.97"," 172261"," 6409633"," 39.54",94,84,32.90,03/16/2022,T
"SBIN"," EQ"," 15-Mar-2022"," 485.15"," 489.00"," 490.50"," 480.65"," 485.00"," 485.85"," 485.62"," 27204899"," 132112.12"," 300344"," 9077046"," 33.37",91,84,32.78,03/15/2022,T
"SBIN"," EQ"," 14-Mar-2022"," 470.35"," 471.00"," 486.00"," 470.55"," 485.50"," 485.15"," 480.43"," 27750689"," 133322.16"," 275270"," 8940086"," 32.22",101,84,32.66,03/14/2022,F
"SBIN"," EQ"," 11-Mar-2022"," 468.70"," 466.40"," 474.80"," 462.00"," 470.85"," 470.35"," 470.21"," 22091309"," 103876.24"," 219456"," 6521011"," 29.52",101,83,32.77,03/11/2022,F
"SBIN"," EQ"," 10-Mar-2022"," 451.70"," 469.90"," 476.65"," 461.65"," 467.40"," 468.70"," 469.95"," 34553299"," 162381.98"," 328612"," 10431536"," 30.19",105,83,32.81,03/10/2022,F
"SBIN"," EQ"," 09-Mar-2022"," 440.30"," 442.00"," 454.30"," 438.55"," 452.30"," 451.70"," 445.45"," 32331325"," 144020.87"," 347913"," 12891220"," 39.87",93,82,32.75,03/09/2022,T
"SBIN"," EQ"," 08-Mar-2022"," 440.30"," 438.00"," 442.10"," 425.00"," 440.00"," 440.30"," 434.44"," 42510207"," 184682.18"," 431966"," 18240018"," 42.91",98,82,32.70,03/08/2022,T
"SBIN"," EQ"," 04-Mar-2022"," 467.40"," 460.30"," 470.90"," 457.65"," 462.45"," 461.95"," 464.01"," 20684268"," 95976.16"," 271479"," 5928253"," 28.66",76,82,32.47,03/04/2022,F
"SBIN"," EQ"," 03-Mar-2022"," 474.25"," 480.00"," 483.40"," 464.60"," 466.65"," 467.40"," 470.45"," 20358590"," 95777.47"," 255355"," 6883546"," 33.81",80,82,32.50,03/03/2022,F
"SBIN"," EQ"," 02-Mar-2022"," 483.20"," 478.00"," 479.80"," 467.00"," 475.00"," 474.25"," 473.10"," 22003848"," 104099.17"," 319620"," 8155846"," 37.07",69,82,32.43,03/02/2022,F
"SBIN"," EQ"," 28-Feb-2022"," 482.95"," 476.90"," 485.30"," 473.10"," 483.70"," 483.20"," 479.74"," 18069367"," 86686.37"," 240076"," 5841695"," 32.33",75,82,32.26,02/28/2022,F
"SBIN"," EQ"," 25-Feb-2022"," 472.65"," 480.00"," 491.90"," 479.30"," 483.75"," 482.95"," 485.29"," 21792287"," 105756.87"," 245306"," 5880588"," 26.98",89,82,32.15,02/25/2022,F
"SBIN"," EQ"," 24-Feb-2022"," 498.70"," 480.00"," 487.95"," 468.00"," 470.85"," 472.65"," 479.75"," 32356037"," 155229.09"," 430597"," 12979939"," 40.12",75,82,32.39,02/24/2022,F
"SBIN"," EQ"," 23-Feb-2022"," 498.40"," 503.00"," 505.35"," 497.25"," 498.15"," 498.70"," 501.32"," 13899433"," 69680.59"," 174252"," 3804564"," 27.37",80,82,32.21,02/23/2022,F
"SBIN"," EQ"," 22-Feb-2022"," 511.85"," 500.90"," 505.30"," 495.50"," 497.90"," 498.40"," 500.10"," 27108772"," 135570.97"," 285946"," 10603657"," 39.12",95,82,32.29,02/22/2022,T
"SBIN"," EQ"," 21-Feb-2022"," 515.30"," 511.55"," 517.50"," 504.65"," 511.50"," 511.85"," 511.82"," 16866932"," 86328.77"," 186884"," 2866305"," 16.99",90,82,32.14,02/21/2022,F
"SBIN"," EQ"," 18-Feb-2022"," 512.95"," 510.10"," 520.90"," 510.10"," 515.00"," 515.30"," 515.84"," 15111223"," 77949.91"," 167187"," 3302927"," 21.86",90,81,32.43,02/18/2022,F
"SBIN"," EQ"," 17-Feb-2022"," 516.70"," 520.00"," 520.00"," 511.15"," 511.60"," 512.95"," 515.23"," 16408356"," 84540.56"," 183638"," 3775450"," 23.01",89,81,32.60,02/17/2022,F
"SBIN"," EQ"," 16-Feb-2022"," 524.80"," 526.50"," 528.00"," 514.00"," 515.00"," 516.70"," 519.94"," 19773807"," 102812.77"," 223564"," 4403240"," 22.27",88,81,32.62,02/16/2022,F
"SBIN"," EQ"," 15-Feb-2022"," 501.40"," 502.00"," 526.85"," 497.10"," 524.00"," 524.80"," 510.42"," 23842951"," 121700.05"," 270915"," 4270297"," 17.91",88,81,32.77,02/15/2022,F
"SBIN"," EQ"," 14-Feb-2022"," 529.60"," 515.00"," 515.60"," 499.70"," 500.25"," 501.40"," 508.66"," 26153332"," 133032.47"," 364555"," 7939518"," 30.36",72,80,33.07,02/14/2022,F
"SBIN"," EQ"," 11-Feb-2022"," 540.55"," 536.25"," 537.70"," 527.10"," 528.25"," 529.60"," 532.27"," 14607095"," 77749.22"," 177760"," 5300325"," 36.29",82,80,33.15,02/11/2022,T
"SBIN"," EQ"," 10-Feb-2022"," 535.25"," 537.10"," 543.95"," 534.40"," 540.30"," 540.55"," 540.35"," 18659370"," 100825.67"," 228387"," 6678600"," 35.79",82,80,33.23,02/10/2022,T
"SBIN"," EQ"," 09-Feb-2022"," 531.35"," 534.95"," 536.50"," 527.75"," 536.30"," 535.25"," 532.72"," 14856155"," 79142.33"," 191210"," 5270035"," 35.47",78,80,33.27,02/09/2022,F
"SBIN"," EQ"," 08-Feb-2022"," 533.25"," 535.50"," 537.65"," 519.00"," 530.40"," 531.35"," 528.40"," 26567546"," 140383.49"," 305464"," 5243345"," 19.74",87,80,33.38,02/08/2022,F
