symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"SHREECEM"," EQ"," 23-Mar-2022"," 23373.30"," 23460.00"," 23650.00"," 23275.00"," 23417.00"," 23413.20"," 23474.74"," 39577"," 9290.60"," 11946"," 10608"," 26.80",3,3,36.82,03/23/2022,F
"SHREECEM"," EQ"," 22-Mar-2022"," 23390.30"," 23345.80"," 23669.50"," 23032.00"," 23380.00"," 23373.30"," 23308.06"," 39121"," 9118.35"," 13073"," 7747"," 19.80",3,3,37.00,03/22/2022,F
"SHREECEM"," EQ"," 21-Mar-2022"," 24090.20"," 24188.05"," 24188.05"," 23333.00"," 23360.00"," 23390.30"," 23627.97"," 50943"," 12036.80"," 15979"," 15143"," 29.73",3,3,37.45,03/21/2022,F
"SHREECEM"," EQ"," 17-Mar-2022"," 23595.45"," 23801.00"," 24385.00"," 23701.40"," 24130.00"," 24090.20"," 24140.02"," 65189"," 15736.63"," 20285"," 25492"," 39.10",3,3,37.98,03/17/2022,F
"SHREECEM"," EQ"," 16-Mar-2022"," 22800.50"," 22950.00"," 23714.85"," 22762.90"," 23491.00"," 23595.45"," 23316.61"," 58201"," 13570.50"," 18130"," 18492"," 31.77",3,3,38.24,03/16/2022,F
"SHREECEM"," EQ"," 15-Mar-2022"," 22361.45"," 22322.05"," 22850.00"," 22301.05"," 22769.00"," 22800.50"," 22596.96"," 83329"," 18829.82"," 26738"," 33815"," 40.58",3,3,38.75,03/15/2022,F
"SHREECEM"," EQ"," 14-Mar-2022"," 22394.60"," 22394.60"," 22424.95"," 21960.00"," 22388.95"," 22361.45"," 22203.80"," 31448"," 6982.65"," 10707"," 11024"," 35.05",3,3,38.92,03/14/2022,F
"SHREECEM"," EQ"," 11-Mar-2022"," 22197.60"," 22150.00"," 22434.40"," 21919.30"," 22400.00"," 22394.60"," 22262.40"," 45123"," 10045.46"," 13211"," 18641"," 41.31",3,3,39.27,03/11/2022,F
"SHREECEM"," EQ"," 10-Mar-2022"," 21964.65"," 22300.00"," 22749.90"," 22050.00"," 22060.10"," 22197.60"," 22289.87"," 342415"," 76323.86"," 37190"," 161087"," 47.04",9,3,39.44,03/10/2022,T
"SHREECEM"," EQ"," 09-Mar-2022"," 22583.85"," 22583.00"," 22697.90"," 21848.55"," 21990.00"," 21964.65"," 22000.49"," 246411"," 54211.62"," 35500"," 129208"," 52.44",7,3,39.30,03/09/2022,T
"SHREECEM"," EQ"," 08-Mar-2022"," 21990.35"," 21985.00"," 22703.95"," 21712.00"," 22213.55"," 22583.85"," 22124.16"," 51900"," 11482.44"," 19441"," 16845"," 32.46",3,3,39.03,03/08/2022,F
"SHREECEM"," EQ"," 04-Mar-2022"," 22827.05"," 22899.00"," 22899.00"," 22116.65"," 22550.00"," 22550.35"," 22500.99"," 92672"," 20852.11"," 27042"," 37745"," 40.73",3,3,39.36,03/04/2022,F
