symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"SIEMENS"," EQ"," 23-Mar-2022"," 2319.15"," 2343.80"," 2343.80"," 2251.00"," 2290.00"," 2296.05"," 2282.13"," 584257"," 13333.52"," 44142"," 308010"," 52.72",13,14,41.96,03/23/2022,F
"SIEMENS"," EQ"," 22-Mar-2022"," 2348.90"," 2353.85"," 2360.00"," 2262.20"," 2311.50"," 2319.15"," 2300.89"," 291087"," 6697.58"," 29778"," 127974"," 43.96",10,14,41.91,03/22/2022,F
"SIEMENS"," EQ"," 21-Mar-2022"," 2380.95"," 2400.00"," 2410.30"," 2341.60"," 2349.10"," 2348.90"," 2361.58"," 167492"," 3955.45"," 18580"," 77452"," 46.24",9,14,41.53,03/21/2022,F
"SIEMENS"," EQ"," 17-Mar-2022"," 2359.20"," 2386.00"," 2434.10"," 2357.20"," 2389.40"," 2380.95"," 2382.22"," 496226"," 11821.17"," 24974"," 278686"," 56.16",20,14,41.06,03/17/2022,T
"SIEMENS"," EQ"," 16-Mar-2022"," 2315.60"," 2347.80"," 2377.65"," 2331.00"," 2359.40"," 2359.20"," 2356.70"," 144644"," 3408.82"," 9761"," 70095"," 48.46",15,14,40.55,03/16/2022,T
"SIEMENS"," EQ"," 15-Mar-2022"," 2359.80"," 2359.80"," 2374.25"," 2301.05"," 2309.00"," 2315.60"," 2326.45"," 189496"," 4408.53"," 18588"," 85629"," 45.19",10,14,40.10,03/15/2022,F
"SIEMENS"," EQ"," 14-Mar-2022"," 2360.10"," 2360.00"," 2390.00"," 2341.45"," 2359.95"," 2359.80"," 2363.14"," 259643"," 6135.74"," 14957"," 117139"," 45.12",17,14,39.70,03/14/2022,T
"SIEMENS"," EQ"," 11-Mar-2022"," 2322.95"," 2310.20"," 2365.55"," 2301.95"," 2363.00"," 2360.10"," 2344.24"," 171084"," 4010.62"," 15065"," 78181"," 45.70",11,14,39.26,03/11/2022,F
"SIEMENS"," EQ"," 10-Mar-2022"," 2280.80"," 2358.00"," 2358.00"," 2285.00"," 2321.95"," 2322.95"," 2316.10"," 180209"," 4173.82"," 20389"," 65368"," 36.27",9,14,38.92,03/10/2022,F
"SIEMENS"," EQ"," 09-Mar-2022"," 2249.80"," 2250.00"," 2305.15"," 2218.80"," 2279.45"," 2280.80"," 2267.26"," 189618"," 4299.14"," 22826"," 69807"," 36.81",8,14,39.34,03/09/2022,F
"SIEMENS"," EQ"," 08-Mar-2022"," 2220.70"," 2220.70"," 2263.45"," 2178.00"," 2240.35"," 2249.80"," 2227.80"," 177849"," 3962.11"," 19622"," 77334"," 43.48",9,15,39.42,03/08/2022,F
"SIEMENS"," EQ"," 04-Mar-2022"," 2364.75"," 2356.00"," 2366.15"," 2285.00"," 2288.55"," 2289.70"," 2315.42"," 192733"," 4462.57"," 19239"," 79808"," 41.41",10,15,39.28,03/04/2022,F
"SIEMENS"," EQ"," 03-Mar-2022"," 2372.20"," 2400.00"," 2437.95"," 2355.10"," 2361.00"," 2364.75"," 2399.36"," 279985"," 6717.85"," 38253"," 123447"," 44.09",7,15,39.60,03/03/2022,F
"SIEMENS"," EQ"," 02-Mar-2022"," 2347.45"," 2347.55"," 2392.75"," 2335.00"," 2371.90"," 2372.20"," 2365.11"," 222618"," 5265.17"," 30052"," 80306"," 36.07",7,15,39.52,03/02/2022,F
"SIEMENS"," EQ"," 28-Feb-2022"," 2391.05"," 2370.00"," 2370.00"," 2296.60"," 2344.40"," 2347.45"," 2339.07"," 471440"," 11027.33"," 49743"," 259895"," 55.13",9,15,39.90,02/28/2022,F
"SIEMENS"," EQ"," 25-Feb-2022"," 2285.70"," 2332.00"," 2407.00"," 2321.00"," 2380.00"," 2391.05"," 2383.02"," 284684"," 6784.06"," 27786"," 125752"," 44.17",10,15,39.41,02/25/2022,F
"SIEMENS"," EQ"," 24-Feb-2022"," 2396.50"," 2340.00"," 2360.25"," 2271.70"," 2295.00"," 2285.70"," 2313.40"," 278710"," 6447.68"," 23603"," 97671"," 35.04",12,15,39.19,02/24/2022,F
"SIEMENS"," EQ"," 23-Feb-2022"," 2406.90"," 2420.30"," 2460.15"," 2392.35"," 2394.00"," 2396.50"," 2421.10"," 222272"," 5381.42"," 20206"," 85260"," 38.36",11,15,39.16,02/23/2022,F
"SIEMENS"," EQ"," 22-Feb-2022"," 2415.60"," 2385.15"," 2424.90"," 2342.35"," 2405.45"," 2406.90"," 2386.08"," 241868"," 5771.17"," 31648"," 83666"," 34.59",8,15,38.98,02/22/2022,F
