symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"SRF"," EQ"," 23-Mar-2022"," 2630.45"," 2658.00"," 2673.50"," 2553.00"," 2566.15"," 2595.20"," 2619.11"," 588552"," 15414.83"," 53670"," 136464"," 23.19",11,14,36.91,03/23/2022,F
"SRF"," EQ"," 22-Mar-2022"," 2605.45"," 2613.95"," 2653.95"," 2560.40"," 2634.95"," 2630.45"," 2610.71"," 729721"," 19050.93"," 57651"," 246680"," 33.80",13,14,36.87,03/22/2022,F
"SRF"," EQ"," 21-Mar-2022"," 2588.20"," 2615.40"," 2658.95"," 2582.15"," 2607.80"," 2605.45"," 2623.16"," 1055088"," 27676.65"," 81387"," 448926"," 42.55",13,14,36.88,03/21/2022,F
"SRF"," EQ"," 17-Mar-2022"," 2469.20"," 2488.00"," 2596.30"," 2485.10"," 2585.10"," 2588.20"," 2552.90"," 1593596"," 40682.99"," 79627"," 871453"," 54.68",20,14,36.74,03/17/2022,T
"SRF"," EQ"," 16-Mar-2022"," 2420.00"," 2477.30"," 2477.30"," 2421.00"," 2470.00"," 2469.20"," 2453.61"," 781770"," 19181.61"," 52097"," 254911"," 32.61",15,14,36.43,03/16/2022,F
"SRF"," EQ"," 15-Mar-2022"," 2355.40"," 2368.00"," 2436.65"," 2360.05"," 2412.10"," 2420.00"," 2406.41"," 1467575"," 35315.85"," 111269"," 548406"," 37.37",13,14,36.41,03/15/2022,F
"SRF"," EQ"," 14-Mar-2022"," 2250.75"," 2242.00"," 2475.00"," 2240.20"," 2352.05"," 2355.40"," 2328.42"," 839106"," 19537.95"," 54851"," 237842"," 28.34",15,15,36.51,03/14/2022,F
"SRF"," EQ"," 11-Mar-2022"," 2284.70"," 2278.00"," 2279.00"," 2234.35"," 2250.00"," 2250.75"," 2254.19"," 802073"," 18080.23"," 42553"," 415394"," 51.79",19,15,36.72,03/11/2022,T
"SRF"," EQ"," 10-Mar-2022"," 2223.80"," 2300.00"," 2304.00"," 2247.00"," 2278.00"," 2284.70"," 2279.48"," 631055"," 14384.79"," 48713"," 260230"," 41.24",13,15,36.47,03/10/2022,F
"SRF"," EQ"," 09-Mar-2022"," 2189.75"," 2220.00"," 2243.95"," 2191.00"," 2228.05"," 2223.80"," 2217.75"," 716268"," 15885.00"," 46712"," 285810"," 39.90",15,15,36.48,03/09/2022,F
"SRF"," EQ"," 08-Mar-2022"," 2153.30"," 2149.00"," 2195.00"," 2114.10"," 2192.00"," 2189.75"," 2157.66"," 747807"," 16135.17"," 65477"," 333985"," 44.66",11,15,36.40,03/08/2022,F
"SRF"," EQ"," 04-Mar-2022"," 2343.75"," 2316.00"," 2339.00"," 2225.00"," 2233.00"," 2234.35"," 2279.97"," 636562"," 14513.43"," 70670"," 245870"," 38.62",9,15,36.20,03/04/2022,F
"SRF"," EQ"," 03-Mar-2022"," 2349.55"," 2380.00"," 2392.60"," 2326.30"," 2345.95"," 2343.75"," 2352.44"," 376606"," 8859.45"," 38618"," 172672"," 45.85",10,15,35.98,03/03/2022,F
"SRF"," EQ"," 02-Mar-2022"," 2383.65"," 2379.00"," 2419.00"," 2330.10"," 2350.00"," 2349.55"," 2363.36"," 710813"," 16799.04"," 41217"," 374772"," 52.72",17,15,35.89,03/02/2022,T
"SRF"," EQ"," 28-Feb-2022"," 2424.90"," 2408.00"," 2408.00"," 2335.35"," 2389.00"," 2383.65"," 2370.79"," 1157729"," 27447.34"," 62842"," 611197"," 52.79",18,16,35.95,02/28/2022,T
"SRF"," EQ"," 25-Feb-2022"," 2271.40"," 2355.00"," 2435.90"," 2332.55"," 2424.50"," 2424.90"," 2403.65"," 949775"," 22829.25"," 58375"," 426171"," 44.87",16,16,35.75,02/25/2022,F
"SRF"," EQ"," 24-Feb-2022"," 2396.40"," 2302.00"," 2370.40"," 2259.25"," 2269.80"," 2271.40"," 2306.29"," 736393"," 16983.38"," 58420"," 309542"," 42.03",13,16,35.79,02/24/2022,F
"SRF"," EQ"," 23-Feb-2022"," 2375.55"," 2400.00"," 2434.00"," 2381.00"," 2396.00"," 2396.40"," 2405.15"," 448332"," 10783.07"," 36629"," 189196"," 42.20",12,16,35.84,02/23/2022,F
"SRF"," EQ"," 22-Feb-2022"," 2375.40"," 2300.10"," 2383.15"," 2300.10"," 2364.05"," 2375.55"," 2348.27"," 548655"," 12883.89"," 52318"," 219499"," 40.01",10,16,35.89,02/22/2022,F
"SRF"," EQ"," 21-Feb-2022"," 2382.95"," 2350.00"," 2406.95"," 2334.00"," 2376.00"," 2375.40"," 2371.07"," 394657"," 9357.57"," 33775"," 120914"," 30.64",12,16,35.87,02/21/2022,F
"SRF"," EQ"," 18-Feb-2022"," 2432.80"," 2406.50"," 2447.95"," 2375.00"," 2379.00"," 2382.95"," 2409.61"," 386111"," 9303.76"," 27585"," 146771"," 38.01",14,16,36.03,02/18/2022,F
"SRF"," EQ"," 17-Feb-2022"," 2462.65"," 2478.00"," 2495.90"," 2424.70"," 2430.00"," 2432.80"," 2462.53"," 446606"," 10997.79"," 37216"," 164907"," 36.92",12,16,35.99,02/17/2022,F
"SRF"," EQ"," 16-Feb-2022"," 2493.75"," 2518.00"," 2520.00"," 2447.30"," 2453.55"," 2462.65"," 2483.89"," 358576"," 8906.62"," 24927"," 76827"," 21.43",14,16,35.93,02/16/2022,F
"SRF"," EQ"," 15-Feb-2022"," 2345.65"," 2380.00"," 2503.45"," 2357.95"," 2496.85"," 2493.75"," 2432.50"," 664010"," 16152.02"," 53722"," 188709"," 28.42",12,16,36.45,02/15/2022,F
"SRF"," EQ"," 14-Feb-2022"," 2476.55"," 2410.00"," 2460.00"," 2335.05"," 2340.15"," 2345.65"," 2386.95"," 556722"," 13288.70"," 52502"," 186449"," 33.49",11,16,36.92,02/14/2022,F
"SRF"," EQ"," 11-Feb-2022"," 2584.55"," 2560.00"," 2578.95"," 2460.60"," 2473.60"," 2476.55"," 2513.10"," 792095"," 19906.17"," 72425"," 370701"," 46.80",11,17,37.09,02/11/2022,F
"SRF"," EQ"," 10-Feb-2022"," 2583.80"," 2598.80"," 2611.85"," 2550.10"," 2579.95"," 2584.55"," 2581.90"," 698527"," 18035.28"," 53380"," 346370"," 49.59",13,17,37.02,02/10/2022,F
"SRF"," EQ"," 09-Feb-2022"," 2531.30"," 2549.90"," 2594.00"," 2543.40"," 2580.70"," 2583.80"," 2574.92"," 811882"," 20905.34"," 59873"," 332581"," 40.96",14,17,36.92,02/09/2022,F
"SRF"," EQ"," 08-Feb-2022"," 2450.80"," 2462.25"," 2548.00"," 2429.00"," 2535.00"," 2531.30"," 2491.80"," 1232058"," 30700.48"," 71697"," 484384"," 39.32",17,17,36.89,02/08/2022,F
"SRF"," EQ"," 07-Feb-2022"," 2435.90"," 2444.80"," 2521.85"," 2410.15"," 2450.00"," 2450.80"," 2474.96"," 1243759"," 30782.57"," 87321"," 377976"," 30.39",14,17,36.86,02/07/2022,F
"SRF"," EQ"," 04-Feb-2022"," 2439.80"," 2426.00"," 2474.80"," 2426.00"," 2435.95"," 2435.90"," 2451.33"," 348955"," 8554.05"," 44135"," 126956"," 36.38",8,17,37.38,02/04/2022,F
"SRF"," EQ"," 03-Feb-2022"," 2453.50"," 2475.00"," 2488.05"," 2425.00"," 2432.85"," 2439.80"," 2464.80"," 625410"," 15415.09"," 45878"," 289479"," 46.29",14,17,37.40,02/03/2022,F
"SRF"," EQ"," 02-Feb-2022"," 2447.20"," 2460.60"," 2494.00"," 2440.80"," 2450.15"," 2453.50"," 2471.58"," 498572"," 12322.62"," 41971"," 153237"," 30.74",12,17,37.32,02/02/2022,F
"SRF"," EQ"," 01-Feb-2022"," 2406.80"," 2424.05"," 2485.00"," 2366.10"," 2445.00"," 2447.20"," 2410.72"," 812910"," 19596.98"," 55883"," 280286"," 34.48",15,17,37.62,02/01/2022,F
