symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"SRTRANSFIN"," EQ"," 25-Mar-2022"," 1092.40"," 1099.85"," 1112.40"," 1086.05"," 1100.65"," 1103.00"," 1102.31"," 646856"," 7130.37"," 18372"," 278663"," 43.08",35,32,50.16,03/25/2022,F
"SRTRANSFIN"," YL"," 25-Mar-2022"," 1113.00"," 1103.00"," 1103.00"," 1103.00"," 1103.00"," 1103.00"," 1103.00"," 10"," 0.11"," 1"," 10"," 100.00",10,32,50.16,03/25/2022,F
"SRTRANSFIN"," YP"," 25-Mar-2022"," 1050.00"," 1050.00"," 1050.00"," 1050.00"," 1050.00"," 1050.00"," 1050.00"," 736"," 7.73"," 10"," 463"," 62.91",74,32,50.16,03/25/2022,T
"SRTRANSFIN"," YS"," 25-Mar-2022"," 1075.50"," 1080.00"," 1081.00"," 1080.00"," 1081.00"," 1081.00"," 1080.50"," 20"," 0.22"," 2"," 20"," 100.00",10,32,50.16,03/25/2022,F
"SRTRANSFIN"," YV"," 25-Mar-2022"," 1035.00"," 1036.99"," 1037.00"," 1015.20"," 1015.20"," 1015.20"," 1024.01"," 310"," 3.17"," 10"," 231"," 74.52",31,32,50.16,03/25/2022,F
"SRTRANSFIN"," YW"," 25-Mar-2022"," 1060.00"," 1060.00"," 1060.00"," 1031.10"," 1060.00"," 1060.00"," 1047.61"," 35"," 0.37"," 3"," 20"," 57.14",12,32,50.16,03/25/2022,F
"SRTRANSFIN"," YY"," 25-Mar-2022"," 1037.00"," 1037.25"," 1037.25"," 1037.25"," 1037.25"," 1037.25"," 1037.25"," 10"," 0.10"," 1"," 10"," 100.00",10,32,50.16,03/25/2022,F
"SRTRANSFIN"," YZ"," 25-Mar-2022"," 1085.00"," 1026.11"," 1026.11"," 1026.11"," 1026.11"," 1026.11"," 1026.11"," 10"," 0.10"," 1"," 10"," 100.00",10,32,50.16,03/25/2022,F
"SRTRANSFIN"," Z2"," 25-Mar-2022"," 1357.06"," 1384.00"," 1384.00"," 1377.00"," 1377.00"," 1377.00"," 1377.19"," 617"," 8.50"," 4"," 617"," 100.00",154,32,50.16,03/25/2022,T
"SRTRANSFIN"," Z4"," 25-Mar-2022"," 1017.83"," 1020.00"," 1020.00"," 1020.00"," 1020.00"," 1020.00"," 1020.00"," 50"," 0.51"," 1"," 50"," 100.00",50,32,50.16,03/25/2022,T
"SRTRANSFIN"," ZG"," 25-Mar-2022"," 1024.00"," 1040.00"," 1040.00"," 1040.00"," 1040.00"," 1040.00"," 1040.00"," 7"," 0.07"," 1"," 7"," 100.00",7,32,50.16,03/25/2022,F
"SRTRANSFIN"," ZI"," 25-Mar-2022"," 1019.00"," 1000.01"," 1000.01"," 1000.01"," 1000.01"," 1000.01"," 1000.01"," 100"," 1.00"," 1"," 100"," 100.00",100,32,50.16,03/25/2022,T
"SRTRANSFIN"," EQ"," 24-Mar-2022"," 1096.20"," 1093.95"," 1101.60"," 1086.60"," 1090.90"," 1092.40"," 1094.14"," 665807"," 7284.88"," 23803"," 144968"," 21.77",28,31,44.01,03/24/2022,F
