symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"STAR"," EQ"," 25-Mar-2022"," 362.70"," 365.90"," 372.00"," 361.80"," 363.30"," 363.60"," 366.36"," 946184"," 3466.42"," 14476"," 263507"," 27.85",65,48,30.02,03/25/2022,F
"STAR"," EQ"," 24-Mar-2022"," 359.55"," 357.10"," 367.80"," 355.90"," 361.75"," 362.70"," 361.99"," 1171951"," 4242.30"," 19381"," 399943"," 34.13",60,48,29.98,03/24/2022,T
"STAR"," EQ"," 23-Mar-2022"," 350.00"," 352.00"," 369.00"," 351.05"," 357.05"," 359.55"," 361.77"," 3025805"," 10946.42"," 46237"," 955056"," 31.56",65,47,29.86,03/23/2022,T
"STAR"," EQ"," 22-Mar-2022"," 352.10"," 355.00"," 356.35"," 343.60"," 350.00"," 350.00"," 349.50"," 1700576"," 5943.47"," 23503"," 727466"," 42.78",72,47,29.70,03/22/2022,T
"STAR"," EQ"," 21-Mar-2022"," 333.35"," 340.00"," 357.35"," 336.00"," 355.30"," 352.10"," 350.88"," 2986018"," 10477.32"," 41733"," 811753"," 27.19",72,47,29.18,03/21/2022,F
"STAR"," EQ"," 17-Mar-2022"," 329.40"," 334.00"," 342.00"," 330.55"," 332.50"," 333.35"," 336.27"," 1119891"," 3765.81"," 17617"," 390059"," 34.83",64,46,28.95,03/17/2022,T
"STAR"," EQ"," 16-Mar-2022"," 314.70"," 318.00"," 330.90"," 314.40"," 330.45"," 329.40"," 323.61"," 1065714"," 3448.71"," 19076"," 376941"," 35.37",56,46,28.89,03/16/2022,T
"STAR"," EQ"," 15-Mar-2022"," 323.05"," 329.00"," 335.75"," 312.00"," 313.00"," 314.70"," 323.89"," 1486406"," 4814.38"," 31373"," 590145"," 39.70",47,46,28.81,03/15/2022,T
"STAR"," EQ"," 14-Mar-2022"," 328.60"," 328.10"," 330.95"," 319.00"," 323.50"," 323.05"," 323.70"," 1151771"," 3728.26"," 21794"," 614309"," 53.34",53,46,28.51,03/14/2022,T
"STAR"," EQ"," 11-Mar-2022"," 329.45"," 328.00"," 333.50"," 323.00"," 327.50"," 328.60"," 328.94"," 2105875"," 6927.06"," 41542"," 829696"," 39.40",51,46,28.05,03/11/2022,T
"STAR"," EQ"," 10-Mar-2022"," 328.80"," 337.00"," 337.80"," 325.10"," 329.40"," 329.45"," 329.85"," 766501"," 2528.31"," 27148"," 375671"," 49.01",28,48,28.11,03/10/2022,F
"STAR"," EQ"," 09-Mar-2022"," 324.65"," 329.00"," 335.50"," 326.90"," 329.70"," 328.80"," 332.11"," 994879"," 3304.11"," 19569"," 425341"," 42.75",51,50,27.92,03/09/2022,T
"STAR"," EQ"," 08-Mar-2022"," 317.90"," 317.90"," 329.15"," 316.50"," 326.00"," 324.65"," 323.51"," 799461"," 2586.30"," 15961"," 278216"," 34.80",50,50,27.79,03/08/2022,F
"STAR"," EQ"," 04-Mar-2022"," 308.40"," 308.45"," 325.00"," 304.20"," 319.90"," 319.60"," 317.80"," 2306258"," 7329.34"," 43182"," 652851"," 28.31",53,50,27.68,03/04/2022,T
"STAR"," EQ"," 03-Mar-2022"," 320.30"," 323.00"," 325.65"," 306.00"," 308.50"," 308.40"," 313.88"," 962930"," 3022.47"," 30542"," 421848"," 43.81",32,50,27.47,03/03/2022,F
"STAR"," EQ"," 02-Mar-2022"," 319.90"," 319.90"," 324.30"," 317.20"," 320.00"," 320.30"," 320.38"," 1024860"," 3283.45"," 32111"," 506417"," 49.41",32,50,26.98,03/02/2022,F
