symbol,series,date1,prev_close,open,high,low,last_price,close,average_pr,tottrades,turnover,numtrades,delivery,volume,action,avgaction,avgdel,date,lottery
"SUNPHARMA"," EQ"," 16-Mar-2022"," 891.65"," 900.00"," 900.00"," 880.45"," 887.70"," 889.20"," 887.33"," 3134307"," 27811.61"," 71887"," 1516180"," 48.37",44,43,50.79,03/16/2022,F
"SUNPHARMA"," EQ"," 15-Mar-2022"," 892.25"," 893.70"," 908.00"," 881.35"," 892.00"," 891.65"," 892.19"," 4039746"," 36042.18"," 84414"," 1978541"," 48.98",48,43,50.78,03/15/2022,F
"SUNPHARMA"," EQ"," 14-Mar-2022"," 902.00"," 901.95"," 911.80"," 889.95"," 891.50"," 892.25"," 899.98"," 3861194"," 34749.79"," 81941"," 1468499"," 38.03",47,43,50.91,03/14/2022,F
"SUNPHARMA"," EQ"," 11-Mar-2022"," 869.55"," 872.00"," 907.00"," 869.05"," 901.45"," 902.00"," 894.57"," 7194497"," 64359.74"," 128229"," 2563243"," 35.63",56,43,51.15,03/11/2022,F
"SUNPHARMA"," EQ"," 10-Mar-2022"," 868.25"," 869.90"," 881.90"," 866.60"," 868.00"," 869.55"," 871.81"," 2899758"," 25280.41"," 81684"," 1519512"," 52.40",36,43,51.32,03/10/2022,F
"SUNPHARMA"," EQ"," 09-Mar-2022"," 855.00"," 863.40"," 885.80"," 860.00"," 866.00"," 868.25"," 874.55"," 7276355"," 63635.32"," 160903"," 4073025"," 55.98",45,43,51.34,03/09/2022,T
"SUNPHARMA"," EQ"," 08-Mar-2022"," 822.65"," 826.20"," 861.70"," 826.20"," 855.90"," 855.00"," 842.10"," 4864275"," 40962.10"," 115665"," 2687471"," 55.25",42,43,51.08,03/08/2022,F
"SUNPHARMA"," EQ"," 04-Mar-2022"," 820.90"," 816.30"," 839.60"," 809.35"," 827.20"," 829.65"," 828.01"," 4082674"," 33804.82"," 98184"," 2076825"," 50.87",42,43,51.08,03/04/2022,F
"SUNPHARMA"," EQ"," 03-Mar-2022"," 820.90"," 832.80"," 832.80"," 817.00"," 819.50"," 820.90"," 824.46"," 2657776"," 21912.36"," 61090"," 1481463"," 55.74",44,43,51.07,03/03/2022,T
"SUNPHARMA"," EQ"," 02-Mar-2022"," 843.90"," 844.35"," 844.95"," 815.70"," 820.10"," 820.90"," 826.04"," 3807036"," 31447.52"," 116362"," 1622446"," 42.62",33,43,50.84,03/02/2022,F
"SUNPHARMA"," EQ"," 28-Feb-2022"," 831.55"," 821.00"," 847.00"," 821.00"," 844.20"," 843.90"," 835.35"," 4123139"," 34442.60"," 95812"," 2450695"," 59.44",43,43,51.01,02/28/2022,F
"SUNPHARMA"," EQ"," 25-Feb-2022"," 818.25"," 820.50"," 835.00"," 817.05"," 830.00"," 831.55"," 828.49"," 2098988"," 17389.86"," 54873"," 1105360"," 52.66",38,43,50.79,02/25/2022,F
"SUNPHARMA"," EQ"," 24-Feb-2022"," 840.25"," 830.60"," 836.95"," 815.00"," 817.00"," 818.25"," 823.67"," 3679222"," 30304.79"," 110697"," 1884132"," 51.21",33,43,50.59,02/24/2022,F
"SUNPHARMA"," EQ"," 23-Feb-2022"," 845.80"," 849.85"," 853.00"," 838.05"," 838.40"," 840.25"," 844.44"," 1979574"," 16716.33"," 62251"," 1009813"," 51.01",32,43,50.56,02/23/2022,F
"SUNPHARMA"," EQ"," 22-Feb-2022"," 843.85"," 836.00"," 849.00"," 824.60"," 847.20"," 845.80"," 834.13"," 3171552"," 26454.97"," 79862"," 1676402"," 52.86",40,43,50.54,02/22/2022,F
"SUNPHARMA"," EQ"," 21-Feb-2022"," 862.90"," 855.50"," 864.00"," 839.50"," 845.00"," 843.85"," 850.64"," 2305713"," 19613.29"," 60304"," 1060101"," 45.98",38,43,50.50,02/21/2022,F
"SUNPHARMA"," EQ"," 18-Feb-2022"," 862.55"," 862.55"," 867.90"," 856.40"," 864.60"," 862.90"," 863.88"," 1797851"," 15531.21"," 51122"," 891234"," 49.57",35,43,50.54,02/18/2022,F
"SUNPHARMA"," EQ"," 17-Feb-2022"," 868.85"," 872.35"," 872.35"," 861.30"," 862.30"," 862.55"," 865.70"," 2275289"," 19697.15"," 55845"," 1158358"," 50.91",41,43,50.55,02/17/2022,F
"SUNPHARMA"," EQ"," 16-Feb-2022"," 876.80"," 876.00"," 881.15"," 867.10"," 868.05"," 868.85"," 872.87"," 2136415"," 18648.16"," 61002"," 1034714"," 48.43",35,43,50.65,02/16/2022,F
"SUNPHARMA"," EQ"," 15-Feb-2022"," 864.85"," 862.50"," 880.00"," 859.05"," 878.00"," 876.80"," 869.28"," 3219287"," 27984.70"," 94901"," 1701508"," 52.85",34,43,50.62,02/15/2022,F
"SUNPHARMA"," EQ"," 14-Feb-2022"," 880.10"," 870.00"," 886.65"," 862.20"," 862.30"," 864.85"," 875.34"," 5163415"," 45197.29"," 105630"," 3185813"," 61.70",49,43,50.64,02/14/2022,T
"SUNPHARMA"," EQ"," 11-Feb-2022"," 894.30"," 894.60"," 895.80"," 874.65"," 878.00"," 880.10"," 881.28"," 2682532"," 23640.59"," 61070"," 1404576"," 52.36",44,42,50.35,02/11/2022,T
"SUNPHARMA"," EQ"," 10-Feb-2022"," 886.45"," 891.40"," 896.25"," 880.00"," 891.85"," 894.30"," 888.13"," 3159839"," 28063.41"," 83472"," 1979585"," 62.65",38,42,50.25,02/10/2022,F
"SUNPHARMA"," EQ"," 09-Feb-2022"," 894.10"," 893.90"," 894.55"," 885.35"," 886.20"," 886.45"," 889.11"," 2874380"," 25556.42"," 78665"," 1823073"," 63.42",37,42,50.06,02/09/2022,F
"SUNPHARMA"," EQ"," 08-Feb-2022"," 887.05"," 886.00"," 895.95"," 882.00"," 895.00"," 894.10"," 889.90"," 4766558"," 42417.47"," 111675"," 3457969"," 72.55",43,43,49.73,02/08/2022,F
