symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"SUNTV"," EQ"," 25-Mar-2022"," 466.00"," 466.00"," 473.50"," 463.40"," 467.80"," 467.70"," 468.91"," 947642"," 4443.61"," 13063"," 315686"," 33.31",73,63,27.47,03/25/2022,T
"SUNTV"," EQ"," 24-Mar-2022"," 458.55"," 462.00"," 472.85"," 461.00"," 463.65"," 466.00"," 468.32"," 1922557"," 9003.68"," 26628"," 604916"," 31.46",72,62,27.35,03/24/2022,T
"SUNTV"," EQ"," 23-Mar-2022"," 459.85"," 463.50"," 465.90"," 456.70"," 458.00"," 458.55"," 461.88"," 1078159"," 4979.81"," 16209"," 326434"," 30.28",67,62,27.02,03/23/2022,T
"SUNTV"," EQ"," 22-Mar-2022"," 465.85"," 469.95"," 481.15"," 455.00"," 459.50"," 459.85"," 469.95"," 4455083"," 20936.66"," 48199"," 1174964"," 26.37",92,61,26.85,03/22/2022,F
"SUNTV"," EQ"," 21-Mar-2022"," 469.35"," 479.00"," 479.00"," 457.55"," 463.50"," 465.85"," 465.63"," 1437822"," 6694.93"," 24344"," 514815"," 35.81",59,61,26.65,03/21/2022,F
"SUNTV"," EQ"," 17-Mar-2022"," 458.00"," 458.95"," 478.75"," 454.45"," 465.00"," 469.35"," 464.07"," 2446309"," 11352.64"," 30150"," 678020"," 27.72",81,60,26.67,03/17/2022,T
"SUNTV"," EQ"," 16-Mar-2022"," 450.15"," 455.20"," 459.55"," 452.40"," 458.80"," 458.00"," 456.73"," 525587"," 2400.53"," 7925"," 131322"," 24.99",66,60,26.77,03/16/2022,F
"SUNTV"," EQ"," 15-Mar-2022"," 463.70"," 465.95"," 465.95"," 448.25"," 451.00"," 450.15"," 456.26"," 620279"," 2830.10"," 10565"," 221069"," 35.64",59,60,26.67,03/15/2022,F
"SUNTV"," EQ"," 14-Mar-2022"," 455.00"," 458.00"," 466.00"," 457.15"," 463.00"," 463.70"," 462.77"," 1337602"," 6190.02"," 25250"," 509390"," 38.08",53,60,26.57,03/14/2022,F
"SUNTV"," EQ"," 11-Mar-2022"," 455.65"," 455.90"," 460.25"," 452.45"," 455.80"," 455.00"," 456.07"," 677385"," 3089.35"," 10994"," 286538"," 42.30",62,60,26.41,03/11/2022,T
"SUNTV"," EQ"," 10-Mar-2022"," 462.80"," 468.50"," 470.00"," 453.45"," 455.05"," 455.65"," 460.76"," 1189188"," 5479.25"," 15332"," 535545"," 45.03",78,60,26.23,03/10/2022,T
"SUNTV"," EQ"," 09-Mar-2022"," 445.05"," 449.95"," 467.35"," 445.50"," 464.50"," 462.80"," 460.32"," 1483775"," 6830.09"," 20627"," 584348"," 39.38",72,60,25.91,03/09/2022,T
"SUNTV"," EQ"," 08-Mar-2022"," 438.10"," 442.45"," 448.00"," 429.65"," 444.10"," 445.05"," 437.70"," 1860022"," 8141.26"," 20462"," 736032"," 39.57",91,59,25.60,03/08/2022,T
"SUNTV"," EQ"," 04-Mar-2022"," 449.70"," 446.40"," 451.85"," 435.30"," 437.75"," 437.25"," 444.33"," 651124"," 2893.13"," 10006"," 148853"," 22.86",65,59,24.99,03/04/2022,F
"SUNTV"," EQ"," 03-Mar-2022"," 453.60"," 464.50"," 464.50"," 446.00"," 449.55"," 449.70"," 452.16"," 853590"," 3859.61"," 10616"," 294971"," 34.56",80,59,25.09,03/03/2022,T
"SUNTV"," EQ"," 02-Mar-2022"," 447.55"," 442.00"," 459.50"," 442.00"," 453.35"," 453.60"," 453.62"," 985801"," 4471.77"," 13879"," 261805"," 26.56",71,58,24.88,03/02/2022,T
"SUNTV"," EQ"," 28-Feb-2022"," 444.90"," 440.00"," 450.00"," 432.85"," 449.10"," 447.55"," 443.04"," 1689794"," 7486.52"," 15613"," 749543"," 44.36",108,58,24.97,02/28/2022,T
"SUNTV"," EQ"," 25-Feb-2022"," 427.20"," 433.20"," 451.35"," 433.00"," 446.20"," 444.90"," 444.98"," 982793"," 4373.22"," 15784"," 225506"," 22.95",62,57,24.79,02/25/2022,F
"SUNTV"," EQ"," 24-Feb-2022"," 463.95"," 454.00"," 456.90"," 425.30"," 427.50"," 427.20"," 438.10"," 1701419"," 7453.84"," 22517"," 782779"," 46.01",76,57,24.94,02/24/2022,T
"SUNTV"," EQ"," 23-Feb-2022"," 462.65"," 467.75"," 468.95"," 462.25"," 465.40"," 463.95"," 465.42"," 737130"," 3430.77"," 11931"," 225344"," 30.57",62,58,24.86,02/23/2022,T
"SUNTV"," EQ"," 22-Feb-2022"," 472.70"," 464.30"," 470.00"," 456.60"," 463.30"," 462.65"," 463.44"," 1011286"," 4686.69"," 17433"," 271840"," 26.88",58,58,24.97,02/22/2022,F
"SUNTV"," EQ"," 21-Feb-2022"," 485.45"," 484.50"," 488.70"," 471.00"," 473.00"," 472.70"," 478.71"," 1386972"," 6639.51"," 20909"," 193226"," 13.93",66,58,25.07,02/21/2022,F
"SUNTV"," EQ"," 18-Feb-2022"," 493.70"," 494.00"," 497.60"," 484.00"," 485.10"," 485.45"," 490.30"," 1007625"," 4940.34"," 20051"," 349653"," 34.70",50,58,25.53,02/18/2022,F
"SUNTV"," EQ"," 17-Feb-2022"," 502.45"," 506.00"," 507.00"," 490.25"," 494.00"," 493.70"," 497.40"," 1139108"," 5665.88"," 18042"," 362161"," 31.79",63,59,25.38,02/17/2022,T
"SUNTV"," EQ"," 16-Feb-2022"," 510.60"," 515.00"," 519.70"," 501.00"," 501.35"," 502.45"," 509.63"," 805751"," 4106.35"," 15206"," 123469"," 15.32",53,58,25.51,02/16/2022,F
"SUNTV"," EQ"," 15-Feb-2022"," 516.70"," 518.50"," 521.10"," 494.00"," 510.00"," 510.60"," 505.69"," 2259375"," 11425.48"," 37290"," 397445"," 17.59",61,58,25.93,02/15/2022,F
"SUNTV"," EQ"," 14-Feb-2022"," 517.85"," 509.95"," 529.60"," 502.30"," 512.85"," 516.70"," 520.01"," 2660475"," 13834.75"," 42280"," 519639"," 19.53",63,58,26.34,02/14/2022,F
"SUNTV"," EQ"," 11-Feb-2022"," 521.60"," 526.45"," 539.80"," 515.25"," 519.00"," 517.85"," 527.82"," 4839806"," 25545.44"," 77116"," 662425"," 13.69",63,58,26.63,02/11/2022,F
