symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"SYNGENE"," EQ"," 25-Mar-2022"," 588.95"," 591.00"," 594.35"," 576.35"," 581.80"," 579.05"," 584.58"," 326722"," 1909.96"," 18331"," 131094"," 40.12",18,32,41.48,03/25/2022,F
"SYNGENE"," EQ"," 24-Mar-2022"," 604.55"," 606.75"," 606.75"," 585.95"," 588.50"," 588.95"," 592.45"," 367061"," 2174.64"," 11982"," 104612"," 28.50",31,33,41.46,03/24/2022,F
"SYNGENE"," EQ"," 23-Mar-2022"," 588.50"," 591.50"," 617.55"," 589.00"," 605.45"," 604.55"," 606.33"," 977427"," 5926.47"," 30120"," 259122"," 26.51",32,33,41.50,03/23/2022,F
"SYNGENE"," EQ"," 22-Mar-2022"," 583.95"," 583.95"," 592.70"," 583.95"," 590.00"," 588.50"," 588.28"," 254251"," 1495.71"," 7669"," 123904"," 48.73",33,33,41.50,03/22/2022,F
"SYNGENE"," EQ"," 21-Mar-2022"," 592.30"," 592.30"," 603.85"," 581.25"," 585.70"," 583.95"," 594.36"," 341530"," 2029.93"," 13373"," 127289"," 37.27",26,33,41.08,03/21/2022,F
"SYNGENE"," EQ"," 17-Mar-2022"," 572.15"," 576.80"," 594.85"," 572.70"," 591.90"," 592.30"," 585.96"," 322263"," 1888.34"," 12405"," 141681"," 43.96",26,33,40.80,03/17/2022,F
"SYNGENE"," EQ"," 16-Mar-2022"," 571.80"," 574.90"," 581.75"," 569.30"," 572.60"," 572.15"," 575.26"," 181163"," 1042.16"," 7069"," 87169"," 48.12",26,33,40.45,03/16/2022,F
"SYNGENE"," EQ"," 15-Mar-2022"," 575.25"," 577.60"," 584.50"," 563.60"," 571.75"," 571.80"," 571.59"," 342114"," 1955.50"," 19443"," 163067"," 47.66",18,34,40.19,03/15/2022,F
"SYNGENE"," EQ"," 14-Mar-2022"," 578.80"," 581.95"," 582.10"," 570.60"," 571.40"," 575.25"," 575.61"," 304453"," 1752.46"," 19632"," 155395"," 51.04",16,34,39.84,03/14/2022,F
"SYNGENE"," EQ"," 11-Mar-2022"," 564.60"," 560.00"," 581.00"," 557.45"," 579.50"," 578.80"," 572.37"," 433478"," 2481.10"," 19884"," 149266"," 34.43",22,34,39.49,03/11/2022,F
"SYNGENE"," EQ"," 10-Mar-2022"," 553.50"," 558.95"," 569.00"," 554.10"," 566.00"," 564.60"," 563.17"," 281820"," 1587.12"," 13353"," 104283"," 37.00",21,35,39.71,03/10/2022,F
"SYNGENE"," EQ"," 09-Mar-2022"," 539.40"," 542.20"," 558.00"," 536.55"," 551.50"," 553.50"," 550.28"," 450641"," 2479.78"," 17509"," 170518"," 37.84",26,35,39.72,03/09/2022,F
"SYNGENE"," EQ"," 08-Mar-2022"," 537.45"," 537.45"," 549.15"," 530.15"," 538.95"," 539.40"," 539.76"," 343780"," 1855.58"," 12226"," 155405"," 45.20",28,35,39.53,03/08/2022,F
"SYNGENE"," EQ"," 04-Mar-2022"," 537.60"," 535.45"," 545.00"," 527.00"," 536.95"," 536.70"," 535.73"," 613167"," 3284.89"," 17135"," 293244"," 47.82",36,35,39.11,03/04/2022,T
"SYNGENE"," EQ"," 03-Mar-2022"," 539.45"," 545.90"," 553.00"," 535.25"," 537.90"," 537.60"," 543.20"," 194594"," 1057.03"," 12234"," 83792"," 43.06",16,35,38.67,03/03/2022,F
"SYNGENE"," EQ"," 02-Mar-2022"," 541.75"," 541.75"," 546.75"," 533.65"," 537.90"," 539.45"," 538.90"," 326294"," 1758.40"," 15636"," 146147"," 44.79",21,35,38.44,03/02/2022,F
"SYNGENE"," EQ"," 28-Feb-2022"," 542.40"," 538.00"," 552.80"," 531.05"," 543.00"," 541.75"," 540.65"," 335188"," 1812.18"," 8987"," 153102"," 45.68",37,36,38.02,02/28/2022,T
"SYNGENE"," EQ"," 25-Feb-2022"," 530.00"," 537.40"," 554.90"," 532.80"," 543.00"," 542.40"," 543.06"," 451161"," 2450.08"," 13401"," 210432"," 46.64",34,36,37.81,02/25/2022,F
"SYNGENE"," EQ"," 24-Feb-2022"," 548.75"," 533.45"," 544.00"," 521.40"," 532.05"," 530.00"," 529.84"," 509144"," 2697.63"," 14819"," 212170"," 41.67",34,36,37.38,02/24/2022,F
"SYNGENE"," EQ"," 23-Feb-2022"," 543.25"," 543.30"," 553.45"," 543.25"," 548.30"," 548.75"," 549.57"," 144507"," 794.17"," 6136"," 55194"," 38.19",24,36,37.22,02/23/2022,F
"SYNGENE"," EQ"," 22-Feb-2022"," 548.05"," 540.00"," 552.95"," 515.00"," 541.00"," 543.25"," 544.00"," 438762"," 2386.85"," 11910"," 154703"," 35.26",37,36,37.39,02/22/2022,F
"SYNGENE"," EQ"," 21-Feb-2022"," 563.50"," 563.45"," 565.45"," 545.00"," 545.90"," 548.05"," 555.17"," 772094"," 4286.42"," 11576"," 512675"," 66.40",67,36,37.61,02/21/2022,T
"SYNGENE"," EQ"," 18-Feb-2022"," 577.50"," 572.50"," 577.90"," 561.15"," 563.75"," 563.50"," 569.54"," 577157"," 3287.15"," 6644"," 385038"," 66.71",87,36,37.22,02/18/2022,T
"SYNGENE"," EQ"," 17-Feb-2022"," 571.30"," 576.45"," 580.05"," 570.00"," 576.00"," 577.50"," 575.57"," 340954"," 1962.43"," 4552"," 197731"," 57.99",75,35,36.76,02/17/2022,T
