symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TATACHEM"," EQ"," 23-Mar-2022"," 954.70"," 958.00"," 968.75"," 946.25"," 961.40"," 962.00"," 957.03"," 1470775"," 14075.78"," 29529"," 300782"," 20.45",50,36,25.48,03/23/2022,F
"TATACHEM"," EQ"," 22-Mar-2022"," 939.25"," 939.00"," 960.00"," 926.10"," 953.55"," 954.70"," 945.83"," 1178357"," 11145.23"," 24579"," 349206"," 29.63",48,36,25.52,03/22/2022,T
"TATACHEM"," EQ"," 21-Mar-2022"," 939.50"," 940.00"," 954.85"," 936.85"," 938.15"," 939.25"," 945.64"," 1014336"," 9591.93"," 26026"," 362388"," 35.73",39,35,25.34,03/21/2022,T
"TATACHEM"," EQ"," 17-Mar-2022"," 938.05"," 945.95"," 948.35"," 932.15"," 939.00"," 939.50"," 940.45"," 833784"," 7841.34"," 19897"," 348053"," 41.74",42,35,25.40,03/17/2022,T
"TATACHEM"," EQ"," 16-Mar-2022"," 920.65"," 927.00"," 944.85"," 927.00"," 937.00"," 938.05"," 935.48"," 873968"," 8175.77"," 19753"," 295540"," 33.82",44,35,25.10,03/16/2022,T
"TATACHEM"," EQ"," 15-Mar-2022"," 931.85"," 934.55"," 940.70"," 914.05"," 917.50"," 920.65"," 929.38"," 960407"," 8925.84"," 21523"," 246251"," 25.64",45,35,25.00,03/15/2022,T
"TATACHEM"," EQ"," 14-Mar-2022"," 927.25"," 930.55"," 938.50"," 917.45"," 932.90"," 931.85"," 927.23"," 1531845"," 14203.73"," 31625"," 481105"," 31.41",48,35,24.95,03/14/2022,T
"TATACHEM"," EQ"," 11-Mar-2022"," 909.60"," 908.85"," 929.80"," 904.05"," 928.05"," 927.25"," 919.84"," 1296404"," 11924.82"," 27994"," 288675"," 22.27",46,34,24.88,03/11/2022,F
"TATACHEM"," EQ"," 10-Mar-2022"," 890.90"," 911.00"," 925.65"," 894.90"," 908.40"," 909.60"," 912.20"," 2152832"," 19638.24"," 52074"," 653222"," 30.34",41,34,25.08,03/10/2022,T
"TATACHEM"," EQ"," 09-Mar-2022"," 869.90"," 876.80"," 895.00"," 872.20"," 891.00"," 890.90"," 884.89"," 995816"," 8811.90"," 27715"," 209114"," 21.00",36,35,25.01,03/09/2022,F
"TATACHEM"," EQ"," 08-Mar-2022"," 848.75"," 848.05"," 876.30"," 841.05"," 872.00"," 869.90"," 861.40"," 1399463"," 12054.96"," 30887"," 204008"," 14.58",45,35,25.20,03/08/2022,F
"TATACHEM"," EQ"," 04-Mar-2022"," 889.55"," 885.55"," 888.65"," 858.50"," 863.00"," 861.55"," 877.30"," 1646850"," 14447.87"," 42601"," 323022"," 19.61",39,35,25.14,03/04/2022,F
"TATACHEM"," EQ"," 03-Mar-2022"," 855.85"," 865.40"," 898.75"," 865.00"," 890.45"," 889.55"," 888.70"," 2822048"," 25079.47"," 80281"," 491702"," 17.42",35,35,25.05,03/03/2022,F
"TATACHEM"," EQ"," 02-Mar-2022"," 841.25"," 832.85"," 859.25"," 828.05"," 858.80"," 855.85"," 851.87"," 1644989"," 14013.25"," 46287"," 618068"," 37.57",36,35,25.10,03/02/2022,T
"TATACHEM"," EQ"," 28-Feb-2022"," 826.40"," 824.00"," 846.40"," 814.45"," 842.00"," 841.25"," 830.85"," 1199536"," 9966.31"," 38459"," 267254"," 22.28",31,35,24.75,02/28/2022,F
"TATACHEM"," EQ"," 25-Feb-2022"," 785.60"," 802.00"," 837.45"," 797.00"," 828.80"," 826.40"," 825.97"," 1964093"," 16222.91"," 48895"," 577638"," 29.41",40,35,24.65,02/25/2022,T
"TATACHEM"," EQ"," 24-Feb-2022"," 864.10"," 844.30"," 846.75"," 781.00"," 783.05"," 785.60"," 810.55"," 2833879"," 22970.02"," 100375"," 1197940"," 42.27",28,35,24.59,02/24/2022,F
"TATACHEM"," EQ"," 23-Feb-2022"," 868.50"," 873.20"," 882.20"," 862.10"," 863.00"," 864.10"," 872.72"," 704493"," 6148.25"," 25676"," 152784"," 21.69",27,35,24.43,02/23/2022,F
"TATACHEM"," EQ"," 22-Feb-2022"," 876.90"," 850.00"," 874.00"," 850.00"," 869.50"," 868.50"," 865.43"," 1089327"," 9427.33"," 35915"," 232566"," 21.35",30,35,24.38,02/22/2022,F
"TATACHEM"," EQ"," 21-Feb-2022"," 886.90"," 886.80"," 890.50"," 872.00"," 875.00"," 876.90"," 879.87"," 1119313"," 9848.53"," 34807"," 322006"," 28.77",32,35,24.54,02/21/2022,F
"TATACHEM"," EQ"," 18-Feb-2022"," 896.85"," 892.00"," 902.85"," 883.60"," 885.40"," 886.90"," 892.68"," 731374"," 6528.81"," 23492"," 159706"," 21.84",31,35,24.54,02/18/2022,F
"TATACHEM"," EQ"," 17-Feb-2022"," 904.95"," 906.00"," 916.90"," 894.00"," 896.45"," 896.85"," 906.28"," 1133932"," 10276.58"," 31872"," 229131"," 20.21",36,35,24.58,02/17/2022,F
"TATACHEM"," EQ"," 16-Feb-2022"," 912.70"," 921.90"," 921.90"," 898.75"," 904.00"," 904.95"," 910.03"," 1434290"," 13052.47"," 44437"," 333870"," 23.28",32,35,24.76,02/16/2022,F
