symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TATACOMM"," EQ"," 23-Mar-2022"," 1142.70"," 1147.00"," 1194.70"," 1143.45"," 1183.80"," 1184.30"," 1173.18"," 886196"," 10396.71"," 26361"," 487028"," 54.96",34,26,46.06,03/23/2022,T
"TATACOMM"," EQ"," 22-Mar-2022"," 1147.80"," 1150.95"," 1153.60"," 1121.80"," 1141.00"," 1142.70"," 1141.59"," 380821"," 4347.42"," 17389"," 161508"," 42.41",22,25,46.05,03/22/2022,F
"TATACOMM"," EQ"," 21-Mar-2022"," 1157.35"," 1157.65"," 1167.15"," 1144.30"," 1145.95"," 1147.80"," 1159.08"," 334496"," 3877.07"," 11758"," 199264"," 59.57",28,25,46.13,03/21/2022,T
"TATACOMM"," EQ"," 17-Mar-2022"," 1169.25"," 1201.00"," 1201.00"," 1151.40"," 1161.00"," 1157.35"," 1166.56"," 948146"," 11060.71"," 32227"," 537558"," 56.70",29,25,45.86,03/17/2022,T
"TATACOMM"," EQ"," 16-Mar-2022"," 1124.65"," 1135.00"," 1185.75"," 1135.00"," 1177.35"," 1169.25"," 1163.13"," 1020810"," 11873.35"," 40323"," 394026"," 38.60",25,25,45.63,03/16/2022,F
"TATACOMM"," EQ"," 15-Mar-2022"," 1146.85"," 1150.00"," 1162.95"," 1118.60"," 1124.80"," 1124.65"," 1139.69"," 371130"," 4229.74"," 20326"," 196729"," 53.01",18,25,46.13,03/15/2022,F
"TATACOMM"," EQ"," 14-Mar-2022"," 1146.65"," 1140.00"," 1160.00"," 1125.05"," 1148.45"," 1146.85"," 1146.83"," 502613"," 5764.11"," 31194"," 233771"," 46.51",16,25,45.76,03/14/2022,F
"TATACOMM"," EQ"," 11-Mar-2022"," 1156.90"," 1164.80"," 1169.65"," 1143.05"," 1148.45"," 1146.65"," 1153.67"," 267547"," 3086.61"," 11277"," 135872"," 50.78",24,25,45.69,03/11/2022,F
"TATACOMM"," EQ"," 10-Mar-2022"," 1160.00"," 1186.00"," 1186.00"," 1144.00"," 1156.00"," 1156.90"," 1162.96"," 371965"," 4325.79"," 16065"," 145202"," 39.04",23,25,45.44,03/10/2022,F
"TATACOMM"," EQ"," 09-Mar-2022"," 1138.30"," 1148.75"," 1173.00"," 1133.00"," 1158.05"," 1160.00"," 1153.57"," 424030"," 4891.50"," 23209"," 203501"," 47.99",18,25,45.58,03/09/2022,F
"TATACOMM"," EQ"," 08-Mar-2022"," 1130.05"," 1132.05"," 1147.60"," 1116.00"," 1135.00"," 1138.30"," 1132.04"," 280011"," 3169.84"," 19996"," 136751"," 48.84",14,25,45.77,03/08/2022,F
"TATACOMM"," EQ"," 04-Mar-2022"," 1166.05"," 1166.85"," 1166.85"," 1132.00"," 1145.00"," 1144.35"," 1148.03"," 312460"," 3587.13"," 14962"," 147988"," 47.36",21,25,45.38,03/04/2022,F
"TATACOMM"," EQ"," 03-Mar-2022"," 1177.20"," 1187.70"," 1200.00"," 1156.25"," 1165.25"," 1166.05"," 1179.04"," 451613"," 5324.71"," 17702"," 243417"," 53.90",26,25,45.17,03/03/2022,T
"TATACOMM"," EQ"," 02-Mar-2022"," 1183.25"," 1179.00"," 1205.05"," 1170.00"," 1181.00"," 1177.20"," 1190.52"," 555169"," 6609.41"," 29720"," 268964"," 48.45",19,25,45.46,03/02/2022,F
"TATACOMM"," EQ"," 28-Feb-2022"," 1177.35"," 1172.00"," 1189.75"," 1148.00"," 1184.30"," 1183.25"," 1166.80"," 713268"," 8322.41"," 35199"," 406050"," 56.93",20,25,45.52,02/28/2022,F
"TATACOMM"," EQ"," 25-Feb-2022"," 1134.80"," 1151.00"," 1201.90"," 1141.75"," 1178.00"," 1177.35"," 1179.40"," 339236"," 4000.94"," 13843"," 106591"," 31.42",25,25,45.42,02/25/2022,F
"TATACOMM"," EQ"," 24-Feb-2022"," 1214.60"," 1177.00"," 1192.30"," 1126.70"," 1136.05"," 1134.80"," 1152.34"," 699330"," 8058.69"," 24092"," 366153"," 52.36",29,25,45.55,02/24/2022,T
"TATACOMM"," EQ"," 23-Feb-2022"," 1220.50"," 1221.05"," 1237.90"," 1206.35"," 1208.45"," 1214.60"," 1223.76"," 204207"," 2499.01"," 11102"," 76920"," 37.67",18,26,45.68,02/23/2022,F
