symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TATACONSUM"," EQ"," 23-Mar-2022"," 752.90"," 759.50"," 760.00"," 745.10"," 748.00"," 748.80"," 751.42"," 1103251"," 8290.06"," 32041"," 435456"," 39.47",34,36,42.43,03/23/2022,F
"TATACONSUM"," EQ"," 22-Mar-2022"," 747.80"," 750.00"," 758.00"," 731.40"," 753.00"," 752.90"," 743.44"," 3047970"," 22659.84"," 67096"," 658597"," 21.61",45,36,42.47,03/22/2022,F
"TATACONSUM"," EQ"," 21-Mar-2022"," 772.30"," 772.00"," 773.85"," 745.30"," 748.50"," 747.80"," 756.94"," 1889226"," 14300.35"," 49793"," 941735"," 49.85",38,36,42.91,03/21/2022,T
"TATACONSUM"," EQ"," 17-Mar-2022"," 747.85"," 758.00"," 774.45"," 754.25"," 772.00"," 772.30"," 768.51"," 3099238"," 23818.04"," 83399"," 1257924"," 40.59",37,36,43.29,03/17/2022,F
"TATACONSUM"," EQ"," 16-Mar-2022"," 748.60"," 754.00"," 755.55"," 740.60"," 747.70"," 747.85"," 747.04"," 1959778"," 14640.36"," 53518"," 574302"," 29.30",37,36,43.52,03/16/2022,F
"TATACONSUM"," EQ"," 15-Mar-2022"," 722.25"," 724.00"," 774.00"," 723.75"," 748.90"," 748.60"," 755.39"," 9386502"," 70905.03"," 185383"," 2403665"," 25.61",51,36,43.84,03/15/2022,F
"TATACONSUM"," EQ"," 14-Mar-2022"," 716.45"," 720.00"," 724.00"," 709.65"," 720.50"," 722.25"," 719.84"," 1584725"," 11407.50"," 44145"," 690056"," 43.54",36,36,44.25,03/14/2022,F
"TATACONSUM"," EQ"," 11-Mar-2022"," 724.20"," 724.30"," 726.05"," 707.45"," 716.00"," 716.45"," 713.16"," 2305707"," 16443.36"," 60692"," 832511"," 36.11",38,35,44.57,03/11/2022,F
"TATACONSUM"," EQ"," 10-Mar-2022"," 699.15"," 705.55"," 727.50"," 705.55"," 721.00"," 724.20"," 719.09"," 2574455"," 18512.58"," 68975"," 1197706"," 46.52",37,35,44.63,03/10/2022,T
"TATACONSUM"," EQ"," 09-Mar-2022"," 683.70"," 685.00"," 705.90"," 678.30"," 699.90"," 699.15"," 697.28"," 1920634"," 13392.18"," 46028"," 685891"," 35.71",42,35,44.64,03/09/2022,F
"TATACONSUM"," EQ"," 08-Mar-2022"," 659.85"," 659.00"," 687.75"," 658.00"," 685.00"," 683.70"," 672.58"," 2850859"," 19174.23"," 73152"," 1020530"," 35.80",39,35,44.84,03/08/2022,F
"TATACONSUM"," EQ"," 04-Mar-2022"," 687.05"," 688.40"," 688.40"," 657.50"," 669.75"," 669.95"," 669.92"," 2833168"," 18979.93"," 85030"," 1368150"," 48.29",33,35,45.09,03/04/2022,F
"TATACONSUM"," EQ"," 03-Mar-2022"," 711.00"," 712.15"," 718.75"," 684.55"," 688.75"," 687.05"," 699.53"," 2112330"," 14776.47"," 64170"," 1096413"," 51.91",33,35,45.18,03/03/2022,F
