symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TATAMOTORS"," EQ"," 23-Mar-2022"," 440.35"," 443.50"," 447.00"," 434.60"," 435.30"," 435.80"," 439.74"," 25466395"," 111986.91"," 221031"," 4929712"," 19.36",115,93,24.63,03/23/2022,F
"TATAMOTORS"," EQ"," 22-Mar-2022"," 427.95"," 428.10"," 441.45"," 421.20"," 440.85"," 440.35"," 432.31"," 30441493"," 131600.89"," 272265"," 7004778"," 23.01",112,93,24.63,03/22/2022,F
"TATAMOTORS"," EQ"," 21-Mar-2022"," 433.80"," 435.50"," 436.30"," 427.10"," 427.70"," 427.95"," 430.44"," 18270995"," 78646.58"," 185123"," 4139970"," 22.66",99,92,24.64,03/21/2022,F
"TATAMOTORS"," EQ"," 17-Mar-2022"," 424.90"," 432.00"," 435.70"," 429.55"," 434.30"," 433.80"," 433.11"," 26704541"," 115661.00"," 241821"," 9183097"," 34.39",110,92,24.91,03/17/2022,T
"TATAMOTORS"," EQ"," 16-Mar-2022"," 413.65"," 427.05"," 428.55"," 420.70"," 424.00"," 424.90"," 424.01"," 27191170"," 115292.32"," 243908"," 4927744"," 18.12",111,92,24.72,03/16/2022,F
"TATAMOTORS"," EQ"," 15-Mar-2022"," 411.70"," 409.85"," 424.20"," 408.00"," 412.00"," 413.65"," 416.50"," 47706136"," 198694.45"," 379808"," 10093737"," 21.16",126,91,24.72,03/15/2022,F
"TATAMOTORS"," EQ"," 14-Mar-2022"," 418.15"," 418.75"," 419.00"," 404.00"," 412.50"," 411.70"," 409.95"," 40721277"," 166935.22"," 381984"," 6959248"," 17.09",107,91,24.75,03/14/2022,F
"TATAMOTORS"," EQ"," 11-Mar-2022"," 419.60"," 413.60"," 421.15"," 407.40"," 418.05"," 418.15"," 413.88"," 51510243"," 213190.32"," 470662"," 10449072"," 20.29",109,91,24.89,03/11/2022,F
"TATAMOTORS"," EQ"," 10-Mar-2022"," 405.90"," 427.00"," 434.95"," 414.00"," 418.55"," 419.60"," 426.40"," 59776817"," 254886.38"," 537943"," 9403630"," 15.73",111,91,24.81,03/10/2022,F
"TATAMOTORS"," EQ"," 09-Mar-2022"," 391.75"," 394.95"," 409.25"," 389.50"," 407.00"," 405.90"," 399.37"," 48376222"," 193198.81"," 462329"," 9273493"," 19.17",105,90,24.93,03/09/2022,F
"TATAMOTORS"," EQ"," 08-Mar-2022"," 394.00"," 390.50"," 395.45"," 376.35"," 391.30"," 391.75"," 387.74"," 55543383"," 215364.00"," 516658"," 15644239"," 28.17",108,90,24.99,03/08/2022,T
"TATAMOTORS"," EQ"," 04-Mar-2022"," 437.10"," 431.85"," 431.85"," 414.75"," 418.40"," 417.25"," 423.93"," 38765185"," 164338.38"," 616081"," 10292437"," 26.55",63,90,24.70,03/04/2022,F
"TATAMOTORS"," EQ"," 03-Mar-2022"," 447.60"," 458.50"," 458.50"," 435.00"," 437.90"," 437.10"," 443.17"," 29599672"," 131177.49"," 391753"," 8597074"," 29.04",76,91,24.67,03/03/2022,F
"TATAMOTORS"," EQ"," 02-Mar-2022"," 454.05"," 452.95"," 454.25"," 444.55"," 448.80"," 447.60"," 449.27"," 25791134"," 115871.38"," 335482"," 7350453"," 28.50",77,91,24.47,03/02/2022,F
"TATAMOTORS"," EQ"," 28-Feb-2022"," 459.75"," 445.00"," 457.35"," 440.45"," 453.95"," 454.05"," 452.40"," 34475468"," 155965.70"," 355388"," 8824925"," 25.60",97,91,24.23,02/28/2022,T
"TATAMOTORS"," EQ"," 25-Feb-2022"," 427.95"," 444.85"," 465.70"," 441.60"," 460.85"," 459.75"," 459.06"," 48876182"," 224368.77"," 536058"," 8001318"," 16.37",91,91,24.11,02/25/2022,F
"TATAMOTORS"," EQ"," 24-Feb-2022"," 477.00"," 455.95"," 461.55"," 405.45"," 425.90"," 427.95"," 443.91"," 57265685"," 254208.00"," 775585"," 18193568"," 31.77",74,91,24.32,02/24/2022,F
"TATAMOTORS"," EQ"," 23-Feb-2022"," 478.25"," 481.75"," 485.40"," 475.30"," 477.00"," 477.00"," 480.31"," 17703998"," 85033.51"," 205394"," 4920749"," 27.79",86,91,24.07,02/23/2022,F
"TATAMOTORS"," EQ"," 22-Feb-2022"," 494.45"," 480.55"," 486.30"," 471.45"," 478.50"," 478.25"," 479.41"," 27957544"," 134031.07"," 310898"," 7689870"," 27.51",90,91,24.03,02/22/2022,F
"TATAMOTORS"," EQ"," 21-Feb-2022"," 493.15"," 490.15"," 500.40"," 486.10"," 493.80"," 494.45"," 494.28"," 22592161"," 111669.07"," 218559"," 6727423"," 29.78",103,91,23.89,02/21/2022,T
"TATAMOTORS"," EQ"," 18-Feb-2022"," 499.95"," 498.00"," 502.65"," 491.50"," 493.45"," 493.15"," 497.39"," 15476803"," 76980.21"," 150287"," 4182412"," 27.02",103,91,23.81,02/18/2022,T
"TATAMOTORS"," EQ"," 17-Feb-2022"," 498.45"," 505.90"," 511.50"," 498.30"," 498.70"," 499.95"," 505.01"," 27943077"," 141114.98"," 262768"," 7359907"," 26.34",106,91,23.75,02/17/2022,T
"TATAMOTORS"," EQ"," 16-Feb-2022"," 504.00"," 504.00"," 507.90"," 496.60"," 497.45"," 498.45"," 502.42"," 20176993"," 101372.92"," 220758"," 4570448"," 22.65",91,91,23.66,02/16/2022,F
"TATAMOTORS"," EQ"," 15-Feb-2022"," 471.45"," 476.15"," 505.50"," 467.30"," 503.00"," 504.00"," 486.19"," 30623088"," 148887.74"," 320563"," 5738582"," 18.74",96,91,23.65,02/15/2022,F
"TATAMOTORS"," EQ"," 14-Feb-2022"," 498.85"," 487.00"," 488.50"," 468.80"," 471.00"," 471.45"," 479.11"," 22157389"," 106158.96"," 350322"," 7523066"," 33.95",63,91,23.70,02/14/2022,F
"TATAMOTORS"," EQ"," 11-Feb-2022"," 507.45"," 503.25"," 507.00"," 497.00"," 497.55"," 498.85"," 501.22"," 13534899"," 67839.91"," 144160"," 3610241"," 26.67",94,91,23.55,02/11/2022,T
"TATAMOTORS"," EQ"," 10-Feb-2022"," 501.25"," 506.70"," 510.50"," 504.20"," 507.25"," 507.45"," 507.83"," 14537945"," 73828.08"," 203341"," 4626324"," 31.82",71,91,23.34,02/10/2022,F
"TATAMOTORS"," EQ"," 09-Feb-2022"," 492.75"," 496.50"," 503.70"," 494.70"," 501.20"," 501.25"," 500.34"," 12430730"," 62195.89"," 146963"," 3041913"," 24.47",85,92,23.26,02/09/2022,F
"TATAMOTORS"," EQ"," 08-Feb-2022"," 494.60"," 498.00"," 498.50"," 479.15"," 492.00"," 492.75"," 489.24"," 23378623"," 114376.54"," 339842"," 4645516"," 19.87",69,91,23.17,02/08/2022,F
"TATAMOTORS"," EQ"," 07-Feb-2022"," 500.60"," 502.90"," 504.35"," 492.50"," 493.80"," 494.60"," 496.88"," 13392910"," 66547.20"," 183916"," 2618801"," 19.55",73,92,23.26,02/07/2022,F
"TATAMOTORS"," EQ"," 04-Feb-2022"," 504.50"," 503.80"," 507.80"," 499.00"," 500.50"," 500.60"," 503.21"," 12663199"," 63722.05"," 159322"," 2163696"," 17.09",79,92,23.46,02/04/2022,F
"TATAMOTORS"," EQ"," 03-Feb-2022"," 506.40"," 509.10"," 514.30"," 502.85"," 503.80"," 504.50"," 509.30"," 15249245"," 77663.88"," 169805"," 3349208"," 21.96",90,93,23.57,02/03/2022,F
"TATAMOTORS"," EQ"," 02-Feb-2022"," 504.30"," 508.60"," 514.45"," 505.15"," 506.40"," 506.40"," 509.34"," 14311040"," 72892.42"," 183498"," 2746825"," 19.19",78,92,23.75,02/02/2022,F
"TATAMOTORS"," EQ"," 01-Feb-2022"," 517.75"," 508.00"," 514.75"," 493.00"," 504.50"," 504.30"," 505.96"," 48030231"," 243015.93"," 492723"," 8524755"," 17.75",97,92,23.75,02/01/2022,F
"TATAMOTORS"," EQ"," 31-Jan-2022"," 497.30"," 505.00"," 520.00"," 498.20"," 517.50"," 517.75"," 509.80"," 27306578"," 139207.86"," 296929"," 7623568"," 27.92",92,92,23.72,01/31/2022,F
"TATAMOTORS"," EQ"," 28-Jan-2022"," 494.40"," 500.50"," 509.35"," 495.30"," 497.30"," 497.30"," 502.87"," 21784640"," 109548.14"," 245257"," 5369886"," 24.65",89,92,23.48,01/28/2022,F
"TATAMOTORS"," EQ"," 27-Jan-2022"," 490.55"," 480.75"," 502.70"," 476.60"," 496.00"," 494.40"," 488.98"," 26676094"," 130440.48"," 331831"," 8543693"," 32.03",80,92,23.34,01/27/2022,F
"TATAMOTORS"," EQ"," 25-Jan-2022"," 478.45"," 473.80"," 492.50"," 467.65"," 489.40"," 490.55"," 483.39"," 22565698"," 109081.17"," 263475"," 5845499"," 25.90",86,92,23.24,01/25/2022,F
