symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TATAPOWER"," EQ"," 25-Mar-2022"," 239.50"," 240.00"," 244.30"," 239.20"," 241.50"," 241.35"," 241.65"," 24286187"," 58686.50"," 147082"," 6404257"," 26.37",165,155,23.40,03/25/2022,T
"TATAPOWER"," EQ"," 24-Mar-2022"," 234.30"," 234.00"," 241.00"," 232.95"," 239.65"," 239.50"," 238.68"," 31525902"," 75244.73"," 168344"," 9866247"," 31.30",187,154,23.20,03/24/2022,T
"TATAPOWER"," EQ"," 23-Mar-2022"," 231.40"," 232.35"," 237.45"," 231.65"," 234.15"," 234.30"," 235.21"," 29507641"," 69404.86"," 180238"," 6901368"," 23.39",164,154,23.05,03/23/2022,T
"TATAPOWER"," EQ"," 22-Mar-2022"," 227.95"," 229.10"," 231.90"," 226.30"," 231.80"," 231.40"," 229.14"," 14893566"," 34126.95"," 110251"," 3579152"," 24.03",135,154,22.98,03/22/2022,F
"TATAPOWER"," EQ"," 21-Mar-2022"," 231.75"," 232.95"," 233.40"," 227.35"," 228.20"," 227.95"," 230.87"," 12356508"," 28526.92"," 88491"," 3691581"," 29.88",140,154,22.85,03/21/2022,F
"TATAPOWER"," EQ"," 17-Mar-2022"," 230.45"," 233.60"," 233.95"," 231.30"," 232.00"," 231.75"," 232.25"," 16453329"," 38212.86"," 91501"," 7017343"," 42.65",180,153,22.79,03/17/2022,T
"TATAPOWER"," EQ"," 16-Mar-2022"," 227.40"," 230.00"," 231.70"," 229.05"," 230.30"," 230.45"," 230.28"," 12428032"," 28619.89"," 85515"," 3491326"," 28.09",145,153,22.48,03/16/2022,F
"TATAPOWER"," EQ"," 15-Mar-2022"," 231.55"," 231.95"," 233.30"," 225.30"," 227.00"," 227.40"," 229.62"," 16150855"," 37085.95"," 113307"," 4047663"," 25.06",143,153,22.30,03/15/2022,F
"TATAPOWER"," EQ"," 14-Mar-2022"," 233.15"," 233.10"," 234.65"," 230.55"," 231.80"," 231.55"," 232.03"," 12074559"," 28016.97"," 84746"," 2733745"," 22.64",142,154,22.22,03/14/2022,F
"TATAPOWER"," EQ"," 11-Mar-2022"," 232.25"," 231.90"," 234.25"," 230.30"," 233.55"," 233.15"," 232.96"," 18163055"," 42313.45"," 101991"," 4143920"," 22.82",178,154,22.19,03/11/2022,T
"TATAPOWER"," EQ"," 10-Mar-2022"," 229.25"," 235.00"," 235.85"," 229.90"," 231.95"," 232.25"," 233.30"," 25462569"," 59403.52"," 145667"," 5129351"," 20.14",175,154,22.31,03/10/2022,F
"TATAPOWER"," EQ"," 09-Mar-2022"," 226.95"," 229.10"," 231.20"," 226.30"," 229.50"," 229.25"," 228.60"," 25437632"," 58149.56"," 150195"," 5485516"," 21.56",169,154,22.40,03/09/2022,F
"TATAPOWER"," EQ"," 08-Mar-2022"," 216.20"," 215.00"," 227.80"," 214.60"," 226.85"," 226.95"," 224.76"," 41105290"," 92387.64"," 219346"," 7392551"," 17.98",187,155,22.43,03/08/2022,F
"TATAPOWER"," EQ"," 04-Mar-2022"," 226.60"," 225.00"," 226.45"," 220.80"," 221.50"," 221.45"," 223.43"," 22427429"," 50109.59"," 137612"," 3670192"," 16.36",163,155,22.54,03/04/2022,F
"TATAPOWER"," EQ"," 03-Mar-2022"," 225.40"," 229.00"," 230.55"," 225.90"," 226.75"," 226.60"," 227.81"," 22429798"," 51097.76"," 140540"," 5159363"," 23.00",160,156,22.58,03/03/2022,T
"TATAPOWER"," EQ"," 02-Mar-2022"," 223.05"," 220.00"," 227.25"," 218.40"," 225.80"," 225.40"," 225.03"," 28297089"," 63677.39"," 158275"," 4927430"," 17.41",179,156,22.46,03/02/2022,F
"TATAPOWER"," EQ"," 28-Feb-2022"," 220.00"," 217.50"," 224.35"," 214.10"," 223.00"," 223.05"," 219.85"," 35508015"," 78063.21"," 208243"," 5501011"," 15.49",171,161,22.70,02/28/2022,F
"TATAPOWER"," EQ"," 25-Feb-2022"," 204.30"," 210.00"," 221.30"," 209.55"," 220.50"," 220.00"," 218.06"," 52157687"," 113737.44"," 318010"," 8578962"," 16.45",164,161,22.81,02/25/2022,F
"TATAPOWER"," EQ"," 24-Feb-2022"," 221.20"," 213.00"," 216.15"," 203.25"," 205.15"," 204.30"," 208.88"," 60097152"," 125528.70"," 513904"," 18161426"," 30.22",117,161,22.99,02/24/2022,F
"TATAPOWER"," EQ"," 23-Feb-2022"," 222.65"," 226.00"," 226.80"," 220.35"," 221.60"," 221.20"," 223.65"," 23583042"," 52743.86"," 162210"," 5235353"," 22.20",145,163,22.87,02/23/2022,F
"TATAPOWER"," EQ"," 22-Feb-2022"," 225.00"," 218.00"," 224.85"," 217.30"," 223.20"," 222.65"," 221.62"," 29360421"," 65069.53"," 197244"," 5065150"," 17.25",149,163,22.91,02/22/2022,F
"TATAPOWER"," EQ"," 21-Feb-2022"," 225.75"," 224.00"," 227.65"," 222.25"," 224.80"," 225.00"," 225.09"," 24657963"," 55503.47"," 150109"," 4953952"," 20.09",164,164,23.00,02/21/2022,F
"TATAPOWER"," EQ"," 18-Feb-2022"," 227.75"," 227.00"," 230.00"," 224.65"," 226.05"," 225.75"," 227.59"," 18717812"," 42599.07"," 131985"," 3318322"," 17.73",142,163,23.06,02/18/2022,F
"TATAPOWER"," EQ"," 17-Feb-2022"," 231.35"," 233.35"," 233.85"," 227.00"," 228.15"," 227.75"," 230.51"," 23381354"," 53896.61"," 152671"," 3971708"," 16.99",153,163,23.15,02/17/2022,F
"TATAPOWER"," EQ"," 16-Feb-2022"," 230.40"," 233.40"," 236.90"," 230.10"," 230.50"," 231.35"," 234.19"," 35144286"," 82303.20"," 217628"," 6913610"," 19.67",161,164,23.26,02/16/2022,F
"TATAPOWER"," EQ"," 15-Feb-2022"," 220.50"," 222.75"," 231.75"," 218.80"," 231.45"," 230.40"," 224.79"," 36314556"," 81632.68"," 279319"," 7604232"," 20.94",130,164,23.28,02/15/2022,F
"TATAPOWER"," EQ"," 14-Feb-2022"," 232.30"," 226.00"," 226.85"," 216.00"," 220.50"," 220.50"," 223.43"," 38301829"," 85578.90"," 393593"," 12086997"," 31.56",97,164,23.39,02/14/2022,F
