symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TATASTEEL"," EQ"," 16-Mar-2022"," 1233.75"," 1245.00"," 1271.20"," 1240.20"," 1262.00"," 1265.25"," 1258.54"," 6302451"," 79318.73"," 162595"," 1274540"," 20.22",39,39,25.68,03/16/2022,F
"TATASTEEL"," EQ"," 15-Mar-2022"," 1297.00"," 1291.80"," 1293.00"," 1228.00"," 1229.05"," 1233.75"," 1251.97"," 9614313"," 120368.20"," 289968"," 3393755"," 35.30",33,39,25.88,03/15/2022,F
"TATASTEEL"," EQ"," 14-Mar-2022"," 1301.70"," 1305.00"," 1311.70"," 1277.70"," 1298.60"," 1297.00"," 1293.34"," 5278082"," 68263.44"," 155247"," 800405"," 15.16",34,39,25.68,03/14/2022,F
"TATASTEEL"," EQ"," 11-Mar-2022"," 1308.70"," 1315.00"," 1339.90"," 1296.20"," 1298.50"," 1301.70"," 1316.20"," 11882299"," 156395.24"," 283313"," 2369607"," 19.94",42,39,25.98,03/11/2022,F
"TATASTEEL"," EQ"," 10-Mar-2022"," 1255.35"," 1257.85"," 1313.80"," 1241.00"," 1309.35"," 1308.70"," 1280.13"," 13674062"," 175045.65"," 288992"," 3924993"," 28.70",47,39,26.05,03/10/2022,T
"TATASTEEL"," EQ"," 09-Mar-2022"," 1269.50"," 1273.90"," 1276.80"," 1248.60"," 1255.55"," 1255.35"," 1260.29"," 6934888"," 87399.70"," 180250"," 1326393"," 19.13",38,39,25.89,03/09/2022,F
"TATASTEEL"," EQ"," 08-Mar-2022"," 1291.90"," 1293.00"," 1294.00"," 1244.00"," 1265.90"," 1269.50"," 1263.11"," 9107822"," 115041.86"," 248719"," 1846780"," 20.28",37,39,26.03,03/08/2022,F
"TATASTEEL"," EQ"," 04-Mar-2022"," 1303.30"," 1302.40"," 1319.85"," 1273.00"," 1277.00"," 1277.10"," 1297.98"," 16282923"," 211349.84"," 498851"," 4692475"," 28.82",33,39,25.93,03/04/2022,F
"TATASTEEL"," EQ"," 03-Mar-2022"," 1289.35"," 1306.00"," 1328.65"," 1293.65"," 1303.00"," 1303.30"," 1309.97"," 17450338"," 228594.08"," 528049"," 5496440"," 31.50",33,40,25.79,03/03/2022,F
"TATASTEEL"," EQ"," 02-Mar-2022"," 1220.75"," 1220.75"," 1299.60"," 1218.55"," 1288.75"," 1289.35"," 1280.64"," 24847532"," 318206.91"," 612717"," 9784999"," 39.38",41,40,25.68,03/02/2022,T
"TATASTEEL"," EQ"," 28-Feb-2022"," 1145.35"," 1134.00"," 1225.00"," 1129.20"," 1217.90"," 1220.75"," 1196.83"," 17605446"," 210707.74"," 408543"," 5556479"," 31.56",43,40,25.90,02/28/2022,T
"TATASTEEL"," EQ"," 25-Feb-2022"," 1074.00"," 1097.70"," 1150.70"," 1095.60"," 1144.95"," 1145.35"," 1136.16"," 9212886"," 104673.48"," 226899"," 2433231"," 26.41",41,40,25.77,02/25/2022,T
"TATASTEEL"," EQ"," 24-Feb-2022"," 1139.00"," 1094.00"," 1119.95"," 1067.10"," 1079.00"," 1074.00"," 1095.75"," 12126867"," 132880.74"," 324643"," 3660968"," 30.19",37,39,25.78,02/24/2022,F
"TATASTEEL"," EQ"," 23-Feb-2022"," 1138.70"," 1148.00"," 1152.60"," 1134.00"," 1137.90"," 1139.00"," 1143.60"," 4960838"," 56732.17"," 129498"," 738406"," 14.88",38,40,25.72,02/23/2022,F
"TATASTEEL"," EQ"," 22-Feb-2022"," 1181.85"," 1158.00"," 1166.65"," 1119.25"," 1134.00"," 1138.70"," 1141.03"," 9385857"," 107095.66"," 222627"," 2078541"," 22.15",42,40,25.95,02/22/2022,F
"TATASTEEL"," EQ"," 21-Feb-2022"," 1190.80"," 1188.00"," 1202.00"," 1174.40"," 1181.00"," 1181.85"," 1188.32"," 4978732"," 59163.28"," 117333"," 587877"," 11.81",42,40,25.98,02/21/2022,F
"TATASTEEL"," EQ"," 18-Feb-2022"," 1190.95"," 1187.00"," 1205.00"," 1183.00"," 1191.00"," 1190.80"," 1196.74"," 4725120"," 56547.47"," 119821"," 834039"," 17.65",39,40,26.35,02/18/2022,F
"TATASTEEL"," EQ"," 17-Feb-2022"," 1191.80"," 1201.10"," 1209.50"," 1186.15"," 1190.00"," 1190.95"," 1197.29"," 5655792"," 67716.44"," 117118"," 1080967"," 19.11",48,40,26.49,02/17/2022,F
"TATASTEEL"," EQ"," 16-Feb-2022"," 1207.75"," 1215.00"," 1217.90"," 1186.50"," 1187.95"," 1191.80"," 1199.11"," 6609214"," 79251.42"," 171088"," 1034623"," 15.65",39,39,26.59,02/16/2022,F
"TATASTEEL"," EQ"," 15-Feb-2022"," 1186.85"," 1196.85"," 1212.00"," 1151.55"," 1204.95"," 1207.75"," 1179.18"," 10188921"," 120145.83"," 238309"," 1466994"," 14.40",43,39,26.82,02/15/2022,F
"TATASTEEL"," EQ"," 14-Feb-2022"," 1254.45"," 1220.10"," 1227.75"," 1180.10"," 1183.25"," 1186.85"," 1202.85"," 8021613"," 96488.21"," 211234"," 2007705"," 25.03",38,39,27.19,02/14/2022,F
"TATASTEEL"," EQ"," 11-Feb-2022"," 1248.35"," 1239.00"," 1264.95"," 1233.10"," 1251.80"," 1254.45"," 1252.44"," 9676226"," 121188.83"," 211755"," 2754991"," 28.47",46,39,27.31,02/11/2022,T
"TATASTEEL"," EQ"," 10-Feb-2022"," 1222.35"," 1230.00"," 1254.25"," 1226.00"," 1247.30"," 1248.35"," 1244.12"," 9392057"," 116848.10"," 222188"," 3046067"," 32.43",42,39,27.15,02/10/2022,T
"TATASTEEL"," EQ"," 09-Feb-2022"," 1219.60"," 1231.00"," 1234.00"," 1208.15"," 1218.00"," 1222.35"," 1219.80"," 7352060"," 89680.10"," 167342"," 1841908"," 25.05",44,39,27.13,02/09/2022,F
"TATASTEEL"," EQ"," 08-Feb-2022"," 1183.00"," 1195.00"," 1222.40"," 1171.50"," 1219.50"," 1219.60"," 1202.55"," 14083984"," 169366.57"," 316614"," 3087211"," 21.92",44,39,27.27,02/08/2022,F
"TATASTEEL"," EQ"," 07-Feb-2022"," 1176.30"," 1168.30"," 1214.60"," 1161.00"," 1184.95"," 1183.00"," 1194.31"," 14510525"," 173301.02"," 321698"," 2468210"," 17.01",45,39,27.33,02/07/2022,F
"TATASTEEL"," EQ"," 04-Feb-2022"," 1166.60"," 1173.80"," 1197.75"," 1170.25"," 1174.40"," 1176.30"," 1184.03"," 9317418"," 110320.97"," 212738"," 1565436"," 16.80",44,39,27.49,02/04/2022,F
"TATASTEEL"," EQ"," 03-Feb-2022"," 1167.50"," 1153.00"," 1181.70"," 1146.30"," 1163.00"," 1166.60"," 1169.68"," 6514090"," 76194.18"," 151104"," 916256"," 14.07",43,39,27.67,02/03/2022,F
