symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TCS"," EQ"," 25-Mar-2022"," 3749.85"," 3759.90"," 3779.50"," 3672.00"," 3710.00"," 3707.45"," 3716.53"," 1690133"," 62814.33"," 101622"," 951033"," 56.27",17,16,61.52,03/25/2022,F
"TCS"," EQ"," 24-Mar-2022"," 3712.40"," 3700.00"," 3758.20"," 3695.00"," 3740.50"," 3749.85"," 3741.33"," 1879046"," 70301.33"," 86810"," 1248970"," 66.47",22,16,61.46,03/24/2022,T
"TCS"," EQ"," 23-Mar-2022"," 3700.95"," 3708.00"," 3729.80"," 3690.00"," 3710.00"," 3712.40"," 3708.22"," 1596195"," 59190.42"," 82816"," 803477"," 50.34",19,16,61.38,03/23/2022,F
"TCS"," EQ"," 22-Mar-2022"," 3626.70"," 3640.00"," 3711.00"," 3625.00"," 3704.95"," 3700.95"," 3674.13"," 2907611"," 106829.34"," 124599"," 1931906"," 66.44",23,16,61.57,03/22/2022,T
"TCS"," EQ"," 21-Mar-2022"," 3672.75"," 3696.00"," 3713.95"," 3615.00"," 3620.00"," 3626.70"," 3650.28"," 2413831"," 88111.70"," 131933"," 1443014"," 59.78",18,16,61.51,03/21/2022,F
"TCS"," EQ"," 17-Mar-2022"," 3655.90"," 3696.60"," 3710.00"," 3660.30"," 3674.95"," 3672.75"," 3685.79"," 3600452"," 132705.21"," 139747"," 2281677"," 63.37",26,16,61.42,03/17/2022,T
"TCS"," EQ"," 16-Mar-2022"," 3593.90"," 3640.50"," 3668.00"," 3616.25"," 3657.55"," 3655.90"," 3640.94"," 3090475"," 112522.42"," 94898"," 2374997"," 76.85",33,16,61.61,03/16/2022,T
"TCS"," EQ"," 15-Mar-2022"," 3643.00"," 3659.00"," 3659.00"," 3585.40"," 3598.00"," 3593.90"," 3627.90"," 3651133"," 132459.62"," 154118"," 2937815"," 80.46",24,15,61.52,03/15/2022,T
"TCS"," EQ"," 14-Mar-2022"," 3599.15"," 3580.00"," 3648.35"," 3580.00"," 3645.00"," 3643.00"," 3620.43"," 1765688"," 63925.47"," 119156"," 947609"," 53.67",15,15,61.34,03/14/2022,F
"TCS"," EQ"," 11-Mar-2022"," 3620.95"," 3603.25"," 3639.85"," 3592.85"," 3603.00"," 3599.15"," 3615.45"," 1623423"," 58694.07"," 119798"," 997926"," 61.47",14,15,61.62,03/11/2022,F
"TCS"," EQ"," 10-Mar-2022"," 3632.60"," 3684.00"," 3684.00"," 3615.00"," 3621.05"," 3620.95"," 3639.93"," 2005441"," 72996.62"," 129608"," 1143533"," 57.02",15,15,61.51,03/10/2022,F
"TCS"," EQ"," 09-Mar-2022"," 3599.95"," 3605.00"," 3654.00"," 3597.05"," 3640.70"," 3632.60"," 3631.79"," 2719654"," 98772.25"," 171411"," 1493364"," 54.91",16,15,61.51,03/09/2022,F
"TCS"," EQ"," 08-Mar-2022"," 3484.90"," 3460.00"," 3609.00"," 3460.00"," 3594.00"," 3599.95"," 3570.91"," 3300992"," 117875.52"," 182907"," 1897296"," 57.48",18,15,61.56,03/08/2022,F
"TCS"," EQ"," 04-Mar-2022"," 3544.40"," 3501.50"," 3561.20"," 3487.05"," 3519.80"," 3524.35"," 3525.56"," 2370257"," 83564.82"," 150154"," 1412782"," 59.60",16,15,61.44,03/04/2022,F
"TCS"," EQ"," 03-Mar-2022"," 3546.15"," 3562.85"," 3578.60"," 3530.10"," 3544.00"," 3544.40"," 3553.27"," 1928039"," 68508.48"," 162316"," 1095452"," 56.82",12,15,61.71,03/03/2022,F
"TCS"," EQ"," 02-Mar-2022"," 3554.20"," 3552.50"," 3571.95"," 3506.00"," 3549.00"," 3546.15"," 3537.16"," 2761341"," 97673.04"," 159497"," 1608352"," 58.25",17,15,61.92,03/02/2022,F
"TCS"," EQ"," 28-Feb-2022"," 3520.75"," 3490.00"," 3563.75"," 3455.90"," 3550.15"," 3554.20"," 3529.86"," 3288942"," 116095.00"," 157832"," 1957822"," 59.53",21,16,62.09,02/28/2022,F
