symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TECHM"," EQ"," 23-Mar-2022"," 1538.20"," 1550.00"," 1561.70"," 1529.20"," 1540.50"," 1542.15"," 1546.62"," 3741783"," 57871.26"," 100084"," 1902310"," 50.84",37,25,45.61,03/23/2022,T
"TECHM"," EQ"," 22-Mar-2022"," 1479.80"," 1486.90"," 1543.95"," 1475.05"," 1541.75"," 1538.20"," 1513.32"," 3030660"," 45863.71"," 109226"," 1385618"," 45.72",28,25,45.54,03/22/2022,T
"TECHM"," EQ"," 21-Mar-2022"," 1493.50"," 1495.00"," 1520.00"," 1476.20"," 1480.95"," 1479.80"," 1497.61"," 2110200"," 31602.66"," 80191"," 984668"," 46.66",26,25,45.52,03/21/2022,T
"TECHM"," EQ"," 17-Mar-2022"," 1489.90"," 1505.00"," 1509.95"," 1487.00"," 1496.50"," 1493.50"," 1498.22"," 2346185"," 35150.90"," 86957"," 1535238"," 65.44",27,25,45.50,03/17/2022,T
"TECHM"," EQ"," 16-Mar-2022"," 1458.60"," 1475.20"," 1494.50"," 1468.40"," 1488.40"," 1489.90"," 1481.23"," 1453944"," 21536.33"," 60694"," 686454"," 47.21",24,25,45.12,03/16/2022,F
"TECHM"," EQ"," 15-Mar-2022"," 1503.00"," 1514.00"," 1515.00"," 1448.00"," 1455.95"," 1458.60"," 1479.87"," 2188506"," 32387.04"," 99677"," 1140541"," 52.12",22,25,45.10,03/15/2022,F
"TECHM"," EQ"," 14-Mar-2022"," 1486.80"," 1487.00"," 1508.90"," 1487.00"," 1502.95"," 1503.00"," 1500.90"," 1372791"," 20604.29"," 63996"," 520238"," 37.90",21,25,44.94,03/14/2022,F
"TECHM"," EQ"," 11-Mar-2022"," 1485.35"," 1476.00"," 1491.85"," 1472.50"," 1488.00"," 1486.80"," 1484.98"," 1116432"," 16578.79"," 58999"," 449378"," 40.25",19,25,44.86,03/11/2022,F
"TECHM"," EQ"," 10-Mar-2022"," 1504.75"," 1525.00"," 1525.95"," 1474.50"," 1482.85"," 1485.35"," 1494.38"," 2835942"," 42379.82"," 110879"," 1288548"," 45.44",26,25,44.86,03/10/2022,T
"TECHM"," EQ"," 09-Mar-2022"," 1461.95"," 1461.95"," 1511.00"," 1461.95"," 1505.80"," 1504.75"," 1500.35"," 3667977"," 55032.37"," 132068"," 1987275"," 54.18",28,25,44.83,03/09/2022,T
"TECHM"," EQ"," 08-Mar-2022"," 1424.10"," 1420.00"," 1466.90"," 1420.00"," 1465.00"," 1461.95"," 1455.67"," 2365949"," 34440.35"," 114210"," 911221"," 38.51",21,25,44.57,03/08/2022,F
"TECHM"," EQ"," 04-Mar-2022"," 1426.65"," 1415.00"," 1460.00"," 1398.50"," 1454.95"," 1453.60"," 1442.73"," 3567738"," 51472.91"," 118235"," 1879931"," 52.69",30,25,44.27,03/04/2022,T
"TECHM"," EQ"," 03-Mar-2022"," 1394.35"," 1409.80"," 1443.60"," 1405.15"," 1429.60"," 1426.65"," 1430.04"," 2730530"," 39047.70"," 117523"," 1109255"," 40.62",23,25,44.16,03/03/2022,F
"TECHM"," EQ"," 02-Mar-2022"," 1410.00"," 1400.00"," 1420.70"," 1382.75"," 1394.00"," 1394.35"," 1398.08"," 2160190"," 30201.12"," 114239"," 1140692"," 52.81",19,25,44.19,03/02/2022,F
"TECHM"," EQ"," 28-Feb-2022"," 1389.70"," 1380.00"," 1419.85"," 1363.25"," 1409.00"," 1410.00"," 1406.69"," 4983140"," 70097.53"," 114004"," 2847955"," 57.15",44,25,44.04,02/28/2022,T
"TECHM"," EQ"," 25-Feb-2022"," 1333.00"," 1355.00"," 1400.00"," 1350.10"," 1392.00"," 1389.70"," 1386.03"," 1885454"," 26132.95"," 114313"," 859135"," 45.57",16,25,43.79,02/25/2022,F
"TECHM"," EQ"," 24-Feb-2022"," 1413.30"," 1370.50"," 1400.00"," 1330.00"," 1334.75"," 1333.00"," 1348.65"," 4108603"," 55410.63"," 199589"," 2064651"," 50.25",21,25,43.84,02/24/2022,F
"TECHM"," EQ"," 23-Feb-2022"," 1412.55"," 1422.00"," 1424.95"," 1409.20"," 1412.90"," 1413.30"," 1417.15"," 1319711"," 18702.32"," 65619"," 715077"," 54.18",20,25,43.70,02/23/2022,F
"TECHM"," EQ"," 22-Feb-2022"," 1418.20"," 1380.50"," 1420.70"," 1375.00"," 1415.00"," 1412.55"," 1399.94"," 2111878"," 29564.92"," 84451"," 959608"," 45.44",25,25,43.74,02/22/2022,F
"TECHM"," EQ"," 21-Feb-2022"," 1437.95"," 1427.15"," 1440.00"," 1410.10"," 1417.75"," 1418.20"," 1424.96"," 2109461"," 30058.89"," 99968"," 896552"," 42.50",21,25,43.85,02/21/2022,F
"TECHM"," EQ"," 18-Feb-2022"," 1447.55"," 1438.45"," 1445.00"," 1417.10"," 1434.55"," 1437.95"," 1437.38"," 2374188"," 34126.06"," 138709"," 1466845"," 61.78",17,25,43.84,02/18/2022,F
"TECHM"," EQ"," 17-Feb-2022"," 1444.00"," 1461.45"," 1461.45"," 1440.25"," 1444.10"," 1447.55"," 1450.86"," 1669669"," 24224.58"," 72570"," 743547"," 44.53",23,25,43.56,02/17/2022,F
"TECHM"," EQ"," 16-Feb-2022"," 1439.65"," 1450.50"," 1463.95"," 1428.85"," 1440.40"," 1444.00"," 1447.05"," 2164650"," 31323.55"," 83868"," 816126"," 37.70",26,25,43.63,02/16/2022,F
"TECHM"," EQ"," 15-Feb-2022"," 1390.15"," 1404.05"," 1442.60"," 1395.05"," 1441.00"," 1439.65"," 1419.64"," 1955525"," 27761.43"," 101977"," 546440"," 27.94",19,25,43.76,02/15/2022,F
"TECHM"," EQ"," 14-Feb-2022"," 1424.90"," 1390.00"," 1418.80"," 1371.00"," 1386.85"," 1390.15"," 1399.57"," 2149302"," 30080.95"," 115248"," 934722"," 43.49",19,25,44.29,02/14/2022,F
"TECHM"," EQ"," 11-Feb-2022"," 1468.50"," 1449.85"," 1449.95"," 1421.00"," 1423.65"," 1424.90"," 1428.64"," 2426039"," 34659.42"," 130837"," 1172866"," 48.34",19,25,44.30,02/11/2022,F
"TECHM"," EQ"," 10-Feb-2022"," 1454.80"," 1465.00"," 1472.00"," 1450.30"," 1468.50"," 1468.50"," 1463.61"," 1850405"," 27082.67"," 119114"," 1087966"," 58.80",16,25,44.11,02/10/2022,F
"TECHM"," EQ"," 09-Feb-2022"," 1434.20"," 1440.05"," 1470.95"," 1440.05"," 1457.00"," 1454.80"," 1456.45"," 2282701"," 33246.46"," 79469"," 1084664"," 47.52",29,26,44.06,02/09/2022,T
"TECHM"," EQ"," 08-Feb-2022"," 1444.30"," 1446.50"," 1456.15"," 1420.20"," 1431.50"," 1434.20"," 1437.63"," 1981111"," 28481.04"," 82074"," 765905"," 38.66",24,25,44.01,02/08/2022,F
"TECHM"," EQ"," 07-Feb-2022"," 1448.20"," 1450.00"," 1465.75"," 1434.00"," 1441.00"," 1444.30"," 1450.20"," 2741520"," 39757.66"," 81890"," 1337214"," 48.78",33,26,44.17,02/07/2022,T
"TECHM"," EQ"," 04-Feb-2022"," 1454.30"," 1464.00"," 1464.95"," 1435.00"," 1448.00"," 1448.20"," 1452.59"," 2406272"," 34953.30"," 101406"," 1018937"," 42.35",24,25,44.21,02/04/2022,F
"TECHM"," EQ"," 03-Feb-2022"," 1482.95"," 1478.90"," 1479.80"," 1449.10"," 1453.00"," 1454.30"," 1464.05"," 2433692"," 35630.44"," 119685"," 1025732"," 42.15",20,25,44.24,02/03/2022,F
"TECHM"," EQ"," 02-Feb-2022"," 1505.75"," 1479.90"," 1490.00"," 1443.00"," 1485.05"," 1482.95"," 1463.89"," 9031146"," 132206.39"," 259936"," 4136937"," 45.81",35,25,44.30,02/02/2022,T
"TECHM"," EQ"," 01-Feb-2022"," 1479.00"," 1504.00"," 1514.95"," 1475.00"," 1514.00"," 1505.75"," 1493.47"," 2542754"," 37975.35"," 99850"," 744842"," 29.29",25,25,44.08,02/01/2022,F
