symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TORNTPHARM"," EQ"," 23-Mar-2022"," 2762.20"," 2764.95"," 2860.00"," 2764.95"," 2824.10"," 2831.10"," 2835.83"," 408885"," 11595.27"," 45105"," 121593"," 29.74",9,11,37.29,03/23/2022,F
"TORNTPHARM"," EQ"," 22-Mar-2022"," 2763.60"," 2763.60"," 2774.70"," 2705.70"," 2752.00"," 2762.20"," 2743.52"," 192811"," 5289.80"," 11116"," 123622"," 64.12",17,11,37.77,03/22/2022,T
"TORNTPHARM"," EQ"," 21-Mar-2022"," 2874.60"," 2908.00"," 2912.35"," 2731.60"," 2754.00"," 2763.60"," 2797.32"," 277947"," 7775.06"," 18825"," 172153"," 61.94",15,11,37.19,03/21/2022,T
"TORNTPHARM"," EQ"," 17-Mar-2022"," 2850.00"," 2879.40"," 2987.75"," 2850.00"," 2865.70"," 2874.60"," 2910.67"," 432664"," 12593.43"," 34001"," 115654"," 26.73",13,11,36.85,03/17/2022,F
"TORNTPHARM"," EQ"," 16-Mar-2022"," 2870.60"," 2888.00"," 2892.60"," 2830.05"," 2842.25"," 2850.00"," 2850.88"," 98663"," 2812.77"," 10974"," 28114"," 28.49",9,11,36.86,03/16/2022,F
"TORNTPHARM"," EQ"," 15-Mar-2022"," 2829.00"," 2832.00"," 2925.00"," 2832.00"," 2855.00"," 2870.60"," 2889.00"," 203438"," 5877.33"," 20999"," 82246"," 40.43",10,11,37.28,03/15/2022,F
"TORNTPHARM"," EQ"," 14-Mar-2022"," 2823.25"," 2820.10"," 2846.35"," 2787.25"," 2839.00"," 2829.00"," 2820.07"," 68519"," 1932.28"," 9275"," 32932"," 48.06",7,11,37.01,03/14/2022,F
"TORNTPHARM"," EQ"," 11-Mar-2022"," 2769.20"," 2752.60"," 2841.70"," 2752.55"," 2819.30"," 2823.25"," 2810.24"," 96883"," 2722.64"," 13183"," 35001"," 36.13",7,11,37.11,03/11/2022,F
"TORNTPHARM"," EQ"," 10-Mar-2022"," 2774.60"," 2810.90"," 2810.90"," 2754.70"," 2775.00"," 2769.20"," 2777.34"," 79110"," 2197.16"," 10912"," 34038"," 43.03",7,11,37.17,03/10/2022,F
"TORNTPHARM"," EQ"," 09-Mar-2022"," 2745.00"," 2745.00"," 2818.75"," 2680.00"," 2760.00"," 2774.60"," 2783.03"," 96030"," 2672.54"," 11646"," 33878"," 35.28",8,11,36.83,03/09/2022,F
"TORNTPHARM"," EQ"," 08-Mar-2022"," 2698.55"," 2651.00"," 2768.75"," 2651.00"," 2738.80"," 2745.00"," 2728.46"," 126372"," 3448.01"," 12530"," 33626"," 26.61",10,11,37.15,03/08/2022,F
"TORNTPHARM"," EQ"," 04-Mar-2022"," 2800.85"," 2790.00"," 2803.50"," 2729.10"," 2749.50"," 2740.50"," 2773.91"," 115233"," 3196.45"," 14978"," 58196"," 50.50",8,11,37.18,03/04/2022,F
"TORNTPHARM"," EQ"," 03-Mar-2022"," 2772.15"," 2771.45"," 2821.70"," 2763.30"," 2814.85"," 2800.85"," 2803.53"," 125349"," 3514.19"," 15302"," 69626"," 55.55",8,11,36.83,03/03/2022,F
"TORNTPHARM"," EQ"," 02-Mar-2022"," 2749.90"," 2739.90"," 2793.15"," 2727.80"," 2768.25"," 2772.15"," 2768.43"," 110221"," 3051.39"," 11092"," 46904"," 42.55",10,11,36.94,03/02/2022,F
"TORNTPHARM"," EQ"," 28-Feb-2022"," 2705.70"," 2687.30"," 2778.95"," 2679.70"," 2775.90"," 2749.90"," 2734.19"," 246720"," 6745.80"," 12990"," 174182"," 70.60",19,11,37.24,02/28/2022,T
"TORNTPHARM"," EQ"," 25-Feb-2022"," 2669.00"," 2719.90"," 2724.95"," 2662.65"," 2711.75"," 2705.70"," 2692.44"," 84333"," 2270.61"," 7727"," 11842"," 14.04",11,11,36.45,02/25/2022,F
"TORNTPHARM"," EQ"," 24-Feb-2022"," 2738.15"," 2620.00"," 2766.70"," 2620.00"," 2690.20"," 2669.00"," 2712.74"," 413169"," 11208.19"," 44533"," 58103"," 14.06",9,11,36.55,02/24/2022,F
"TORNTPHARM"," EQ"," 23-Feb-2022"," 2700.40"," 2721.00"," 2749.70"," 2710.10"," 2735.00"," 2738.15"," 2734.36"," 142532"," 3897.33"," 12494"," 55480"," 38.92",11,11,36.70,02/23/2022,F
"TORNTPHARM"," EQ"," 22-Feb-2022"," 2654.90"," 2602.00"," 2711.85"," 2585.65"," 2698.00"," 2700.40"," 2673.65"," 359345"," 9607.61"," 27824"," 60396"," 16.81",13,11,36.94,02/22/2022,F
"TORNTPHARM"," EQ"," 21-Feb-2022"," 2663.95"," 2650.20"," 2668.70"," 2615.10"," 2660.00"," 2654.90"," 2649.46"," 87567"," 2320.05"," 7958"," 35063"," 40.04",11,11,37.34,02/21/2022,F
"TORNTPHARM"," EQ"," 18-Feb-2022"," 2592.45"," 2600.00"," 2674.90"," 2570.45"," 2650.20"," 2663.95"," 2638.91"," 173233"," 4571.47"," 14041"," 52037"," 30.04",12,11,37.56,02/18/2022,F
"TORNTPHARM"," EQ"," 17-Feb-2022"," 2626.95"," 2640.00"," 2646.70"," 2582.05"," 2600.00"," 2592.45"," 2598.33"," 179295"," 4658.68"," 13091"," 106313"," 59.30",14,11,37.68,02/17/2022,T
"TORNTPHARM"," EQ"," 16-Feb-2022"," 2592.90"," 2599.90"," 2645.30"," 2591.90"," 2638.95"," 2626.95"," 2622.33"," 134849"," 3536.19"," 13266"," 61813"," 45.84",10,11,37.63,02/16/2022,F
"TORNTPHARM"," EQ"," 15-Feb-2022"," 2551.20"," 2560.00"," 2598.95"," 2545.20"," 2588.30"," 2592.90"," 2578.01"," 82836"," 2135.52"," 8598"," 30517"," 36.84",10,11,37.65,02/15/2022,F
"TORNTPHARM"," EQ"," 14-Feb-2022"," 2590.60"," 2550.00"," 2626.00"," 2530.05"," 2530.05"," 2551.20"," 2593.22"," 208608"," 5409.66"," 22801"," 52822"," 25.32",9,11,37.92,02/14/2022,F
"TORNTPHARM"," EQ"," 11-Feb-2022"," 2597.15"," 2585.00"," 2598.00"," 2561.00"," 2590.00"," 2590.60"," 2579.90"," 60231"," 1553.90"," 6383"," 19381"," 32.18",9,11,38.51,02/11/2022,F
