symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TORNTPOWER"," EQ"," 25-Mar-2022"," 494.40"," 499.00"," 499.20"," 484.20"," 486.10"," 485.95"," 491.50"," 595638"," 2927.57"," 13290"," 139090"," 23.35",45,45,25.62,03/25/2022,F
"TORNTPOWER"," EQ"," 24-Mar-2022"," 484.35"," 484.00"," 495.80"," 480.00"," 495.75"," 494.40"," 490.72"," 425873"," 2089.83"," 10257"," 135630"," 31.85",42,45,25.54,03/24/2022,F
"TORNTPOWER"," EQ"," 23-Mar-2022"," 485.40"," 488.00"," 493.70"," 478.55"," 484.00"," 484.35"," 486.58"," 498893"," 2427.51"," 12450"," 161692"," 32.41",40,45,25.42,03/23/2022,F
"TORNTPOWER"," EQ"," 22-Mar-2022"," 482.20"," 482.20"," 487.00"," 478.60"," 485.75"," 485.40"," 483.19"," 216083"," 1044.08"," 6426"," 75716"," 35.04",34,45,25.71,03/22/2022,F
"TORNTPOWER"," EQ"," 21-Mar-2022"," 483.20"," 485.60"," 486.90"," 480.00"," 482.20"," 482.20"," 483.12"," 165135"," 797.80"," 6394"," 66162"," 40.07",26,45,25.38,03/21/2022,F
"TORNTPOWER"," EQ"," 17-Mar-2022"," 486.10"," 494.05"," 494.05"," 481.30"," 483.40"," 483.20"," 485.25"," 681311"," 3306.09"," 13711"," 340231"," 49.94",50,45,25.15,03/17/2022,T
"TORNTPOWER"," EQ"," 16-Mar-2022"," 477.30"," 479.80"," 488.00"," 479.80"," 485.95"," 486.10"," 485.00"," 389812"," 1890.59"," 10384"," 81732"," 20.97",38,45,24.69,03/16/2022,F
"TORNTPOWER"," EQ"," 15-Mar-2022"," 484.75"," 484.00"," 488.85"," 474.60"," 477.00"," 477.30"," 481.83"," 258379"," 1244.95"," 7479"," 74115"," 28.68",35,46,25.05,03/15/2022,F
"TORNTPOWER"," EQ"," 14-Mar-2022"," 480.85"," 480.85"," 486.90"," 476.00"," 483.75"," 484.75"," 483.18"," 380517"," 1838.56"," 11238"," 85048"," 22.35",34,46,25.15,03/14/2022,F
"TORNTPOWER"," EQ"," 11-Mar-2022"," 483.35"," 486.65"," 490.40"," 479.50"," 482.25"," 480.85"," 485.47"," 1160192"," 5632.37"," 19723"," 211335"," 18.22",59,46,25.07,03/11/2022,F
