symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TRENT"," EQ"," 23-Mar-2022"," 1286.35"," 1292.00"," 1314.60"," 1277.75"," 1302.95"," 1300.25"," 1300.17"," 713104"," 9271.59"," 29988"," 215111"," 30.17",24,24,40.35,03/23/2022,F
"TRENT"," EQ"," 22-Mar-2022"," 1279.60"," 1275.00"," 1298.45"," 1256.00"," 1280.00"," 1286.35"," 1279.98"," 713407"," 9131.44"," 25299"," 236275"," 33.12",28,24,40.73,03/22/2022,F
"TRENT"," EQ"," 21-Mar-2022"," 1262.05"," 1282.00"," 1302.50"," 1251.00"," 1277.00"," 1279.60"," 1283.14"," 1520151"," 19505.66"," 57435"," 368994"," 24.27",26,24,40.78,03/21/2022,F
"TRENT"," EQ"," 17-Mar-2022"," 1171.25"," 1190.00"," 1284.00"," 1187.00"," 1265.40"," 1262.05"," 1258.16"," 4537229"," 57085.61"," 151688"," 1111138"," 24.49",30,24,41.11,03/17/2022,F
"TRENT"," EQ"," 16-Mar-2022"," 1158.25"," 1174.00"," 1191.45"," 1153.00"," 1185.00"," 1171.25"," 1163.68"," 486972"," 5666.78"," 16631"," 254985"," 52.36",29,25,41.61,03/16/2022,T
"TRENT"," EQ"," 15-Mar-2022"," 1167.10"," 1165.30"," 1181.00"," 1145.50"," 1162.10"," 1158.25"," 1161.43"," 400312"," 4649.33"," 18461"," 210155"," 52.50",22,24,41.08,03/15/2022,F
"TRENT"," EQ"," 14-Mar-2022"," 1168.80"," 1179.90"," 1207.50"," 1150.45"," 1165.30"," 1167.10"," 1163.94"," 614586"," 7153.43"," 23062"," 325761"," 53.00",27,24,41.04,03/14/2022,T
"TRENT"," EQ"," 11-Mar-2022"," 1149.75"," 1141.15"," 1181.75"," 1131.00"," 1181.75"," 1168.80"," 1159.45"," 476838"," 5528.70"," 19548"," 241213"," 50.59",24,24,41.05,03/11/2022,F
"TRENT"," EQ"," 10-Mar-2022"," 1143.80"," 1155.20"," 1164.35"," 1138.55"," 1149.45"," 1149.75"," 1151.63"," 557825"," 6424.09"," 20184"," 225120"," 40.36",28,24,40.91,03/10/2022,F
"TRENT"," EQ"," 09-Mar-2022"," 1078.10"," 1078.00"," 1155.00"," 1070.05"," 1143.00"," 1143.80"," 1133.99"," 757000"," 8584.31"," 36012"," 165793"," 21.90",21,24,40.87,03/09/2022,F
"TRENT"," EQ"," 08-Mar-2022"," 1064.20"," 1065.15"," 1091.60"," 1048.05"," 1076.20"," 1078.10"," 1073.70"," 461151"," 4951.38"," 18266"," 237088"," 51.41",25,24,41.06,03/08/2022,T
"TRENT"," EQ"," 04-Mar-2022"," 1131.15"," 1126.00"," 1126.00"," 1082.40"," 1091.10"," 1095.45"," 1102.58"," 653153"," 7201.52"," 25383"," 329633"," 50.47",26,24,40.89,03/04/2022,T
