symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"TVSMOTOR"," EQ"," 23-Mar-2022"," 612.55"," 616.00"," 617.00"," 607.95"," 613.35"," 611.15"," 611.52"," 382090"," 2336.55"," 7485"," 96871"," 25.35",51,45,29.22,03/23/2022,F
"TVSMOTOR"," EQ"," 22-Mar-2022"," 608.70"," 606.00"," 614.75"," 599.55"," 607.45"," 612.55"," 608.64"," 821505"," 4999.99"," 18034"," 182269"," 22.19",46,45,29.28,03/22/2022,F
"TVSMOTOR"," EQ"," 21-Mar-2022"," 611.70"," 621.60"," 621.60"," 605.65"," 607.30"," 608.70"," 611.46"," 780297"," 4771.18"," 17561"," 121904"," 15.62",44,44,29.39,03/21/2022,F
"TVSMOTOR"," EQ"," 17-Mar-2022"," 609.70"," 617.95"," 623.50"," 610.00"," 612.15"," 611.70"," 615.47"," 1019241"," 6273.10"," 20878"," 258327"," 25.35",49,45,29.26,03/17/2022,F
"TVSMOTOR"," EQ"," 16-Mar-2022"," 594.80"," 603.00"," 611.90"," 600.50"," 608.75"," 609.70"," 607.27"," 1238848"," 7523.16"," 23339"," 333162"," 26.89",53,45,29.18,03/16/2022,F
"TVSMOTOR"," EQ"," 15-Mar-2022"," 592.25"," 592.25"," 600.00"," 586.20"," 595.60"," 594.80"," 593.81"," 1578493"," 9373.27"," 42251"," 508846"," 32.24",37,45,28.96,03/15/2022,F
"TVSMOTOR"," EQ"," 14-Mar-2022"," 581.60"," 581.55"," 593.30"," 574.50"," 591.60"," 592.25"," 583.81"," 1892847"," 11050.55"," 35001"," 419502"," 22.16",54,45,29.19,03/14/2022,F
"TVSMOTOR"," EQ"," 11-Mar-2022"," 565.25"," 565.00"," 584.10"," 557.55"," 583.00"," 581.60"," 575.06"," 1993394"," 11463.18"," 29967"," 805841"," 40.43",67,45,29.50,03/11/2022,T
"TVSMOTOR"," EQ"," 10-Mar-2022"," 555.45"," 575.00"," 578.20"," 559.70"," 563.30"," 565.25"," 570.13"," 2099008"," 11967.06"," 34259"," 911164"," 43.41",61,44,29.35,03/10/2022,T
"TVSMOTOR"," EQ"," 09-Mar-2022"," 535.15"," 539.00"," 558.95"," 535.05"," 557.25"," 555.45"," 549.87"," 1835596"," 10093.40"," 43332"," 737284"," 40.17",42,44,29.16,03/09/2022,F
"TVSMOTOR"," EQ"," 08-Mar-2022"," 530.10"," 525.00"," 537.45"," 519.45"," 536.10"," 535.15"," 528.24"," 2002029"," 10575.44"," 41945"," 811270"," 40.52",48,44,28.95,03/08/2022,T
"TVSMOTOR"," EQ"," 04-Mar-2022"," 585.55"," 578.55"," 578.55"," 552.95"," 555.00"," 554.75"," 566.28"," 2215341"," 12544.99"," 57792"," 815518"," 36.81",38,44,28.85,03/04/2022,F
"TVSMOTOR"," EQ"," 03-Mar-2022"," 597.95"," 610.70"," 611.00"," 583.20"," 586.70"," 585.55"," 597.64"," 2284162"," 13651.05"," 41790"," 1082690"," 47.40",55,44,28.59,03/03/2022,T
"TVSMOTOR"," EQ"," 02-Mar-2022"," 617.60"," 610.00"," 611.90"," 596.00"," 599.50"," 597.95"," 602.01"," 3546669"," 21351.30"," 77191"," 2040036"," 57.52",46,43,28.37,03/02/2022,T
"TVSMOTOR"," EQ"," 28-Feb-2022"," 631.95"," 625.00"," 629.95"," 610.00"," 615.50"," 617.60"," 617.90"," 1615551"," 9982.42"," 43864"," 485115"," 30.03",37,44,28.50,02/28/2022,F
"TVSMOTOR"," EQ"," 25-Feb-2022"," 619.10"," 626.80"," 637.90"," 624.35"," 631.40"," 631.95"," 632.45"," 2854919"," 18055.97"," 36695"," 1417891"," 49.66",78,44,28.44,02/25/2022,T
"TVSMOTOR"," EQ"," 24-Feb-2022"," 651.45"," 637.00"," 644.95"," 615.80"," 619.40"," 619.10"," 628.80"," 2115554"," 13302.64"," 58787"," 812069"," 38.39",36,44,28.20,02/24/2022,F
