symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"UBL"," EQ"," 23-Mar-2022"," 1435.30"," 1442.00"," 1457.00"," 1423.25"," 1440.00"," 1437.10"," 1432.98"," 315277"," 4517.87"," 17892"," 204437"," 64.84",18,16,33.47,03/23/2022,T
"UBL"," EQ"," 22-Mar-2022"," 1445.70"," 1433.10"," 1444.70"," 1404.55"," 1440.00"," 1435.30"," 1426.93"," 175151"," 2499.29"," 15551"," 46815"," 26.73",11,16,32.68,03/22/2022,F
"UBL"," EQ"," 21-Mar-2022"," 1482.90"," 1482.90"," 1503.75"," 1437.95"," 1444.15"," 1445.70"," 1461.69"," 318318"," 4652.82"," 25981"," 138087"," 43.38",12,16,32.49,03/21/2022,F
"UBL"," EQ"," 17-Mar-2022"," 1465.25"," 1475.00"," 1496.70"," 1401.10"," 1485.00"," 1482.90"," 1474.49"," 690848"," 10186.45"," 30455"," 342913"," 49.64",23,16,32.12,03/17/2022,T
"UBL"," EQ"," 16-Mar-2022"," 1431.50"," 1438.00"," 1483.40"," 1438.00"," 1469.00"," 1465.25"," 1465.37"," 249519"," 3656.37"," 13987"," 116280"," 46.60",18,15,31.76,03/16/2022,T
"UBL"," EQ"," 15-Mar-2022"," 1444.75"," 1444.80"," 1455.00"," 1415.50"," 1429.30"," 1431.50"," 1437.73"," 233251"," 3353.51"," 21876"," 114629"," 49.14",11,15,31.37,03/15/2022,F
"UBL"," EQ"," 14-Mar-2022"," 1429.10"," 1441.50"," 1459.45"," 1416.30"," 1444.95"," 1444.75"," 1443.86"," 337769"," 4876.92"," 21444"," 167025"," 49.45",16,15,30.88,03/14/2022,T
"UBL"," EQ"," 11-Mar-2022"," 1405.95"," 1405.00"," 1433.60"," 1396.30"," 1431.00"," 1429.10"," 1421.68"," 227150"," 3229.35"," 13608"," 27754"," 12.22",17,16,30.80,03/11/2022,F
"UBL"," EQ"," 10-Mar-2022"," 1399.65"," 1437.00"," 1437.00"," 1398.80"," 1405.05"," 1405.95"," 1414.44"," 213781"," 3023.80"," 13439"," 82146"," 38.43",16,16,31.05,03/10/2022,F
"UBL"," EQ"," 09-Mar-2022"," 1347.60"," 1352.00"," 1414.25"," 1324.00"," 1398.50"," 1399.65"," 1373.59"," 414597"," 5694.85"," 16491"," 56970"," 13.74",25,16,30.60,03/09/2022,F
"UBL"," EQ"," 08-Mar-2022"," 1301.30"," 1300.00"," 1358.00"," 1287.60"," 1350.00"," 1347.60"," 1318.18"," 481107"," 6341.87"," 22679"," 294490"," 61.21",21,16,30.87,03/08/2022,T
"UBL"," EQ"," 04-Mar-2022"," 1395.20"," 1395.20"," 1395.25"," 1309.80"," 1336.45"," 1339.25"," 1338.92"," 1650856"," 22103.66"," 78979"," 989792"," 59.96",21,15,30.52,03/04/2022,T
"UBL"," EQ"," 03-Mar-2022"," 1498.25"," 1510.00"," 1510.00"," 1381.50"," 1396.00"," 1395.20"," 1421.46"," 1186103"," 16859.96"," 90197"," 492409"," 41.51",13,15,30.03,03/03/2022,F
"UBL"," EQ"," 02-Mar-2022"," 1500.95"," 1490.00"," 1503.80"," 1468.00"," 1502.60"," 1498.25"," 1480.15"," 628359"," 9300.67"," 33860"," 369414"," 58.79",19,15,29.72,03/02/2022,T
"UBL"," EQ"," 28-Feb-2022"," 1501.60"," 1484.75"," 1517.60"," 1460.25"," 1494.10"," 1500.95"," 1481.43"," 521052"," 7719.00"," 19571"," 314828"," 60.42",27,15,29.78,02/28/2022,T
"UBL"," EQ"," 25-Feb-2022"," 1464.55"," 1472.30"," 1519.40"," 1471.95"," 1502.55"," 1501.60"," 1500.69"," 469393"," 7044.16"," 20193"," 279804"," 59.61",23,15,29.33,02/25/2022,T
"UBL"," EQ"," 24-Feb-2022"," 1531.80"," 1500.00"," 1513.05"," 1451.10"," 1464.15"," 1464.55"," 1485.17"," 367659"," 5460.37"," 27435"," 164534"," 44.75",13,15,29.15,02/24/2022,F
"UBL"," EQ"," 23-Feb-2022"," 1516.00"," 1518.15"," 1548.40"," 1516.85"," 1533.95"," 1531.80"," 1535.56"," 215548"," 3309.86"," 21516"," 88768"," 41.18",10,15,29.15,02/23/2022,F
"UBL"," EQ"," 22-Feb-2022"," 1525.35"," 1499.95"," 1522.00"," 1492.80"," 1521.65"," 1516.00"," 1504.40"," 131222"," 1974.10"," 11479"," 36417"," 27.75",11,15,29.14,02/22/2022,F
