symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ULTRACEMCO"," EQ"," 25-Mar-2022"," 6351.85"," 6385.00"," 6390.65"," 6284.05"," 6319.00"," 6312.70"," 6339.43"," 321023"," 20351.03"," 30055"," 166733"," 51.94",11,9,49.00,03/25/2022,T
"ULTRACEMCO"," EQ"," 24-Mar-2022"," 6234.00"," 6202.00"," 6379.55"," 6200.00"," 6344.40"," 6351.85"," 6318.87"," 642226"," 40581.45"," 49036"," 370943"," 57.76",13,9,48.90,03/24/2022,T
"ULTRACEMCO"," EQ"," 23-Mar-2022"," 6211.60"," 6312.50"," 6312.50"," 6195.05"," 6220.00"," 6234.00"," 6247.05"," 664235"," 41495.08"," 56102"," 391842"," 58.99",12,9,48.85,03/23/2022,T
"ULTRACEMCO"," EQ"," 22-Mar-2022"," 6191.25"," 6160.00"," 6225.85"," 6059.10"," 6220.00"," 6211.60"," 6140.07"," 1073804"," 65932.30"," 70235"," 551912"," 51.40",15,9,48.61,03/22/2022,T
"ULTRACEMCO"," EQ"," 21-Mar-2022"," 6373.60"," 6370.00"," 6370.00"," 6176.05"," 6188.80"," 6191.25"," 6263.26"," 531422"," 33284.34"," 54702"," 260666"," 49.05",10,8,48.55,03/21/2022,T
"ULTRACEMCO"," EQ"," 17-Mar-2022"," 6305.90"," 6380.35"," 6469.50"," 6340.00"," 6378.00"," 6373.60"," 6420.04"," 979987"," 62915.54"," 81715"," 545929"," 55.71",12,8,48.81,03/17/2022,T
"ULTRACEMCO"," EQ"," 16-Mar-2022"," 6021.25"," 6130.00"," 6317.20"," 6080.00"," 6300.00"," 6305.90"," 6214.45"," 888929"," 55242.08"," 79005"," 420412"," 47.29",11,8,48.80,03/16/2022,F
"ULTRACEMCO"," EQ"," 15-Mar-2022"," 6035.90"," 6095.85"," 6172.00"," 5972.05"," 6016.00"," 6021.25"," 6102.40"," 819263"," 49994.68"," 74279"," 405520"," 49.50",11,8,48.88,03/15/2022,T
"ULTRACEMCO"," EQ"," 14-Mar-2022"," 6021.00"," 6050.00"," 6067.90"," 5956.05"," 6052.00"," 6035.90"," 6022.66"," 466938"," 28122.11"," 38952"," 276044"," 59.12",12,8,49.06,03/14/2022,T
"ULTRACEMCO"," EQ"," 11-Mar-2022"," 6052.55"," 6043.00"," 6119.95"," 5980.00"," 6020.00"," 6021.00"," 6039.22"," 533023"," 32190.45"," 48219"," 304477"," 57.12",11,8,49.03,03/11/2022,T
"ULTRACEMCO"," EQ"," 10-Mar-2022"," 6017.35"," 6202.00"," 6261.20"," 6004.55"," 6038.00"," 6052.55"," 6145.33"," 967482"," 59454.92"," 124903"," 491935"," 50.85",8,8,48.98,03/10/2022,F
"ULTRACEMCO"," EQ"," 09-Mar-2022"," 5833.45"," 5890.00"," 6058.75"," 5821.20"," 6025.00"," 6017.35"," 5949.66"," 813790"," 48417.71"," 83641"," 396548"," 48.73",10,8,48.95,03/09/2022,F
"ULTRACEMCO"," EQ"," 08-Mar-2022"," 5698.10"," 5631.00"," 5875.00"," 5629.20"," 5839.00"," 5833.45"," 5739.79"," 955847"," 54863.65"," 112360"," 396720"," 41.50",9,8,48.86,03/08/2022,F
"ULTRACEMCO"," EQ"," 04-Mar-2022"," 5980.70"," 5949.75"," 6170.00"," 5850.80"," 6041.90"," 6050.30"," 6004.28"," 1336552"," 80250.38"," 134801"," 484017"," 36.21",10,8,48.84,03/04/2022,F
"ULTRACEMCO"," EQ"," 03-Mar-2022"," 6399.35"," 6416.00"," 6437.15"," 5964.85"," 5970.00"," 5980.70"," 6145.20"," 2406110"," 147860.29"," 209691"," 1561072"," 64.88",11,8,48.90,03/03/2022,T
"ULTRACEMCO"," EQ"," 02-Mar-2022"," 6567.90"," 6539.00"," 6539.00"," 6342.00"," 6414.95"," 6399.35"," 6401.57"," 686927"," 43974.09"," 108727"," 393455"," 57.28",6,8,48.58,03/02/2022,F
"ULTRACEMCO"," EQ"," 28-Feb-2022"," 6570.25"," 6538.00"," 6602.00"," 6440.15"," 6570.00"," 6567.90"," 6560.96"," 557289"," 36563.51"," 55003"," 333911"," 59.92",10,8,48.32,02/28/2022,T
