symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"VEDL"," EQ"," 23-Mar-2022"," 404.05"," 407.65"," 411.75"," 398.00"," 407.85"," 408.65"," 405.46"," 12118980"," 49137.72"," 103610"," 2410548"," 19.89",117,126,29.94,03/23/2022,F
"VEDL"," EQ"," 22-Mar-2022"," 400.05"," 404.70"," 416.00"," 402.00"," 404.40"," 404.05"," 408.41"," 22136086"," 90405.80"," 185678"," 2667068"," 12.05",119,126,30.00,03/22/2022,F
"VEDL"," EQ"," 21-Mar-2022"," 378.45"," 383.00"," 407.45"," 380.55"," 399.00"," 400.05"," 397.77"," 26819133"," 106677.42"," 219666"," 6563340"," 24.47",122,125,30.16,03/21/2022,F
"VEDL"," EQ"," 17-Mar-2022"," 373.35"," 374.90"," 382.50"," 373.50"," 378.50"," 378.45"," 378.20"," 10989483"," 41561.93"," 83401"," 4748520"," 43.21",132,126,30.35,03/17/2022,T
"VEDL"," EQ"," 16-Mar-2022"," 357.70"," 362.00"," 375.50"," 359.30"," 372.65"," 373.35"," 369.65"," 9118574"," 33706.88"," 74763"," 2107471"," 23.11",122,126,30.40,03/16/2022,F
"VEDL"," EQ"," 15-Mar-2022"," 375.80"," 370.90"," 371.40"," 353.80"," 357.00"," 357.70"," 362.40"," 8197001"," 29706.15"," 76836"," 2379201"," 29.03",107,127,30.64,03/15/2022,F
"VEDL"," EQ"," 14-Mar-2022"," 378.20"," 378.20"," 380.00"," 371.65"," 375.10"," 375.80"," 375.27"," 5116985"," 19202.37"," 49406"," 1426513"," 27.88",104,127,30.75,03/14/2022,F
"VEDL"," EQ"," 11-Mar-2022"," 378.25"," 377.80"," 385.00"," 376.20"," 378.20"," 378.20"," 380.59"," 9045446"," 34425.86"," 84499"," 1814815"," 20.06",107,128,30.85,03/11/2022,F
"VEDL"," EQ"," 10-Mar-2022"," 371.25"," 371.50"," 379.50"," 363.45"," 378.40"," 378.25"," 372.09"," 12346925"," 45942.15"," 95432"," 2363358"," 19.14",129,128,31.18,03/10/2022,F
"VEDL"," EQ"," 09-Mar-2022"," 381.35"," 369.95"," 375.00"," 365.45"," 370.65"," 371.25"," 370.63"," 10587981"," 39242.75"," 96909"," 1953546"," 18.45",109,128,31.32,03/09/2022,F
"VEDL"," EQ"," 08-Mar-2022"," 387.40"," 396.40"," 396.40"," 372.50"," 380.40"," 381.35"," 381.03"," 19093725"," 72752.20"," 161486"," 4654047"," 24.37",118,128,31.64,03/08/2022,F
"VEDL"," EQ"," 04-Mar-2022"," 395.95"," 393.40"," 398.75"," 370.50"," 375.70"," 373.40"," 385.56"," 19180902"," 73954.70"," 153808"," 6014191"," 31.36",125,128,31.94,03/04/2022,F
"VEDL"," EQ"," 03-Mar-2022"," 387.30"," 400.00"," 401.00"," 383.30"," 395.35"," 395.95"," 391.81"," 59451460"," 232935.67"," 242692"," 35071137"," 58.99",245,128,31.87,03/03/2022,T
"VEDL"," EQ"," 02-Mar-2022"," 380.30"," 384.00"," 396.00"," 382.00"," 386.40"," 387.30"," 390.17"," 15610682"," 60908.41"," 149896"," 4118373"," 26.38",104,126,31.52,03/02/2022,F
"VEDL"," EQ"," 28-Feb-2022"," 362.60"," 360.90"," 381.40"," 356.75"," 380.00"," 380.30"," 373.17"," 13822663"," 51581.72"," 104566"," 4972804"," 35.98",132,127,31.75,02/28/2022,T
"VEDL"," EQ"," 25-Feb-2022"," 338.05"," 345.90"," 365.55"," 345.50"," 361.75"," 362.60"," 358.30"," 12293768"," 44048.25"," 91923"," 4030756"," 32.79",134,127,31.54,02/25/2022,T
