symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"VOLTAS"," EQ"," 25-Mar-2022"," 1276.20"," 1277.00"," 1294.75"," 1243.00"," 1248.90"," 1249.00"," 1257.50"," 1504572"," 18920.01"," 65229"," 543767"," 36.14",23,23,44.00,03/25/2022,F
"VOLTAS"," EQ"," 24-Mar-2022"," 1304.85"," 1303.00"," 1304.00"," 1266.05"," 1274.00"," 1276.20"," 1279.22"," 1415928"," 18112.82"," 73084"," 416625"," 29.42",19,23,44.09,03/24/2022,F
"VOLTAS"," EQ"," 23-Mar-2022"," 1283.25"," 1296.60"," 1340.00"," 1295.15"," 1302.05"," 1304.85"," 1320.03"," 2544861"," 33592.92"," 99586"," 652475"," 25.64",26,23,44.39,03/23/2022,F
"VOLTAS"," EQ"," 22-Mar-2022"," 1288.70"," 1288.00"," 1288.00"," 1238.10"," 1281.05"," 1283.25"," 1261.31"," 1856642"," 23417.99"," 53381"," 842796"," 45.39",35,23,44.79,03/22/2022,T
"VOLTAS"," EQ"," 21-Mar-2022"," 1296.40"," 1311.00"," 1314.75"," 1282.00"," 1286.00"," 1288.70"," 1296.74"," 1587721"," 20588.55"," 60680"," 676688"," 42.62",26,22,44.78,03/21/2022,F
"VOLTAS"," EQ"," 17-Mar-2022"," 1270.75"," 1303.00"," 1325.00"," 1290.10"," 1298.80"," 1296.40"," 1308.32"," 3769942"," 49322.99"," 113986"," 1203285"," 31.92",33,22,44.90,03/17/2022,F
"VOLTAS"," EQ"," 16-Mar-2022"," 1211.95"," 1229.80"," 1289.55"," 1223.30"," 1274.00"," 1270.75"," 1270.77"," 2210899"," 28095.34"," 86988"," 736974"," 33.33",25,22,45.10,03/16/2022,F
"VOLTAS"," EQ"," 15-Mar-2022"," 1191.45"," 1195.00"," 1224.50"," 1193.65"," 1210.00"," 1211.95"," 1206.91"," 1294926"," 15628.53"," 47443"," 712841"," 55.05",27,21,45.33,03/15/2022,T
"VOLTAS"," EQ"," 14-Mar-2022"," 1202.85"," 1210.00"," 1210.00"," 1177.75"," 1192.50"," 1191.45"," 1191.49"," 1450003"," 17276.65"," 48634"," 941219"," 64.91",30,21,45.18,03/14/2022,T
"VOLTAS"," EQ"," 11-Mar-2022"," 1178.65"," 1175.00"," 1211.10"," 1170.00"," 1197.00"," 1202.85"," 1192.00"," 801340"," 9551.99"," 37865"," 399327"," 49.83",21,21,44.81,03/11/2022,F
"VOLTAS"," EQ"," 10-Mar-2022"," 1158.40"," 1193.00"," 1199.95"," 1175.45"," 1180.00"," 1178.65"," 1183.97"," 1040850"," 12323.32"," 57080"," 612305"," 58.83",18,21,44.85,03/10/2022,F
"VOLTAS"," EQ"," 09-Mar-2022"," 1153.55"," 1168.00"," 1187.70"," 1140.25"," 1157.50"," 1158.40"," 1162.04"," 1912229"," 22220.79"," 95064"," 1125803"," 58.87",20,21,44.75,03/09/2022,F
"VOLTAS"," EQ"," 08-Mar-2022"," 1147.95"," 1140.00"," 1160.85"," 1100.00"," 1158.00"," 1153.55"," 1132.01"," 1533085"," 17354.61"," 79244"," 712147"," 46.45",19,21,44.54,03/08/2022,F
"VOLTAS"," EQ"," 04-Mar-2022"," 1197.15"," 1187.50"," 1204.00"," 1152.20"," 1173.80"," 1174.90"," 1173.52"," 1310047"," 15373.69"," 74962"," 564371"," 43.08",17,21,44.90,03/04/2022,F
"VOLTAS"," EQ"," 03-Mar-2022"," 1231.15"," 1238.00"," 1251.70"," 1183.55"," 1197.30"," 1197.15"," 1200.93"," 1195271"," 14354.32"," 77680"," 628774"," 52.61",15,21,44.79,03/03/2022,F
