symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"WHIRLPOOL"," EQ"," 25-Mar-2022"," 1630.55"," 1629.90"," 1640.70"," 1586.75"," 1600.00"," 1591.70"," 1605.34"," 199302"," 3199.47"," 16689"," 77998"," 39.14",12,16,48.02,03/25/2022,F
"WHIRLPOOL"," EQ"," 24-Mar-2022"," 1637.85"," 1639.70"," 1656.60"," 1621.95"," 1627.05"," 1630.55"," 1633.43"," 238158"," 3890.14"," 16317"," 90629"," 38.05",15,16,48.47,03/24/2022,F
"WHIRLPOOL"," EQ"," 23-Mar-2022"," 1600.15"," 1610.00"," 1664.50"," 1610.00"," 1647.20"," 1637.85"," 1641.89"," 412684"," 6775.80"," 30763"," 81731"," 19.80",13,17,48.66,03/23/2022,F
"WHIRLPOOL"," EQ"," 22-Mar-2022"," 1636.95"," 1646.00"," 1646.00"," 1573.40"," 1600.00"," 1600.15"," 1596.90"," 333589"," 5327.08"," 23805"," 108587"," 32.55",14,17,49.15,03/22/2022,F
"WHIRLPOOL"," EQ"," 21-Mar-2022"," 1646.00"," 1672.80"," 1672.80"," 1631.30"," 1638.00"," 1636.95"," 1649.40"," 246755"," 4069.98"," 17212"," 72623"," 29.43",14,18,50.03,03/21/2022,F
"WHIRLPOOL"," EQ"," 17-Mar-2022"," 1580.95"," 1611.25"," 1683.00"," 1603.00"," 1652.00"," 1646.00"," 1655.39"," 1539365"," 25482.51"," 88142"," 648757"," 42.14",17,18,50.22,03/17/2022,F
"WHIRLPOOL"," EQ"," 16-Mar-2022"," 1557.00"," 1574.00"," 1594.00"," 1565.35"," 1579.80"," 1580.95"," 1585.01"," 546349"," 8659.69"," 25782"," 348574"," 63.80",21,18,50.04,03/16/2022,T
"WHIRLPOOL"," EQ"," 15-Mar-2022"," 1554.50"," 1554.50"," 1574.50"," 1545.00"," 1545.00"," 1557.00"," 1559.96"," 206583"," 3222.61"," 14591"," 102838"," 49.78",14,17,49.44,03/15/2022,F
"WHIRLPOOL"," EQ"," 14-Mar-2022"," 1573.90"," 1574.10"," 1583.30"," 1532.10"," 1553.10"," 1554.50"," 1556.40"," 141999"," 2210.07"," 12595"," 41854"," 29.47",11,17,49.22,03/14/2022,F
"WHIRLPOOL"," EQ"," 11-Mar-2022"," 1606.40"," 1606.40"," 1614.90"," 1565.50"," 1574.95"," 1573.90"," 1580.57"," 277619"," 4387.96"," 17405"," 161049"," 58.01",16,18,49.46,03/11/2022,F
"WHIRLPOOL"," EQ"," 10-Mar-2022"," 1589.90"," 1629.90"," 1644.35"," 1595.00"," 1596.05"," 1606.40"," 1615.49"," 253861"," 4101.09"," 22493"," 120929"," 47.64",11,18,49.41,03/10/2022,F
"WHIRLPOOL"," EQ"," 09-Mar-2022"," 1569.35"," 1584.00"," 1597.35"," 1560.05"," 1588.00"," 1589.90"," 1576.55"," 242979"," 3830.68"," 16061"," 139128"," 57.26",15,18,49.35,03/09/2022,F
"WHIRLPOOL"," EQ"," 08-Mar-2022"," 1610.45"," 1628.95"," 1628.95"," 1560.05"," 1565.50"," 1569.35"," 1574.29"," 367315"," 5782.59"," 19300"," 260087"," 70.81",19,18,49.15,03/08/2022,T
"WHIRLPOOL"," EQ"," 04-Mar-2022"," 1650.50"," 1635.00"," 1663.00"," 1611.00"," 1639.95"," 1637.35"," 1638.16"," 179702"," 2943.80"," 20189"," 98281"," 54.69",9,18,48.33,03/04/2022,F
"WHIRLPOOL"," EQ"," 03-Mar-2022"," 1660.60"," 1669.00"," 1680.50"," 1627.05"," 1653.90"," 1650.50"," 1655.78"," 106125"," 1757.20"," 10530"," 66002"," 62.19",10,18,48.10,03/03/2022,F
"WHIRLPOOL"," EQ"," 02-Mar-2022"," 1672.75"," 1655.00"," 1702.75"," 1645.35"," 1662.80"," 1660.60"," 1665.52"," 150842"," 2512.31"," 16949"," 67620"," 44.83",9,18,48.04,03/02/2022,F
"WHIRLPOOL"," EQ"," 28-Feb-2022"," 1674.65"," 1674.00"," 1681.70"," 1631.25"," 1672.45"," 1672.75"," 1662.64"," 136433"," 2268.39"," 8358"," 71087"," 52.10",16,18,48.63,02/28/2022,F
"WHIRLPOOL"," EQ"," 25-Feb-2022"," 1624.10"," 1625.50"," 1684.50"," 1620.15"," 1676.00"," 1674.65"," 1667.06"," 152166"," 2536.70"," 9844"," 75408"," 49.56",15,18,48.91,02/25/2022,F
"WHIRLPOOL"," EQ"," 24-Feb-2022"," 1650.35"," 1615.00"," 1650.35"," 1576.00"," 1635.00"," 1624.10"," 1610.25"," 283594"," 4566.56"," 17644"," 153329"," 54.07",16,18,48.94,02/24/2022,F
"WHIRLPOOL"," EQ"," 23-Feb-2022"," 1660.35"," 1670.45"," 1690.30"," 1650.00"," 1652.00"," 1650.35"," 1657.71"," 522444"," 8660.63"," 8592"," 461293"," 88.30",61,18,49.16,02/23/2022,T
