symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"WIPRO"," EQ"," 23-Mar-2022"," 610.05"," 613.95"," 615.00"," 607.70"," 610.60"," 611.20"," 610.96"," 5696918"," 34805.76"," 109171"," 3211636"," 56.37",52,54,44.42,03/23/2022,F
"WIPRO"," EQ"," 22-Mar-2022"," 600.00"," 603.40"," 611.00"," 596.15"," 610.50"," 610.05"," 604.33"," 7790250"," 47078.99"," 110911"," 2573280"," 33.03",70,54,44.04,03/22/2022,F
"WIPRO"," EQ"," 21-Mar-2022"," 601.20"," 605.10"," 616.00"," 598.00"," 600.50"," 600.00"," 606.59"," 7796476"," 47292.28"," 123204"," 3082277"," 39.53",63,53,43.97,03/21/2022,F
"WIPRO"," EQ"," 17-Mar-2022"," 598.25"," 605.00"," 611.00"," 599.00"," 602.95"," 601.20"," 605.00"," 8440645"," 51066.31"," 124518"," 4413922"," 52.29",68,55,43.84,03/17/2022,T
"WIPRO"," EQ"," 16-Mar-2022"," 587.70"," 595.25"," 599.45"," 592.50"," 598.60"," 598.25"," 596.28"," 5575148"," 33243.69"," 94616"," 2664615"," 47.79",59,55,43.60,03/16/2022,T
"WIPRO"," EQ"," 15-Mar-2022"," 598.15"," 603.70"," 603.70"," 584.30"," 587.40"," 587.70"," 593.02"," 6926622"," 41076.50"," 115955"," 2794377"," 40.34",60,55,43.56,03/15/2022,F
"WIPRO"," EQ"," 14-Mar-2022"," 586.20"," 586.40"," 600.80"," 586.00"," 597.70"," 598.15"," 596.30"," 7503221"," 44741.93"," 134598"," 3394503"," 45.24",56,54,43.61,03/14/2022,T
"WIPRO"," EQ"," 11-Mar-2022"," 588.25"," 587.00"," 590.00"," 582.40"," 586.10"," 586.20"," 586.57"," 4963594"," 29115.15"," 95181"," 2466747"," 49.70",52,55,43.66,03/11/2022,F
"WIPRO"," EQ"," 10-Mar-2022"," 585.50"," 595.00"," 596.50"," 584.60"," 587.45"," 588.25"," 589.55"," 8080983"," 47641.21"," 155438"," 3741997"," 46.31",52,54,43.73,03/10/2022,F
"WIPRO"," EQ"," 09-Mar-2022"," 587.45"," 588.00"," 596.40"," 582.15"," 587.70"," 585.50"," 591.12"," 11763616"," 69537.23"," 233075"," 5811285"," 49.40",50,54,43.64,03/09/2022,F
"WIPRO"," EQ"," 08-Mar-2022"," 571.85"," 572.00"," 590.75"," 572.00"," 587.25"," 587.45"," 580.96"," 11019999"," 64022.32"," 195154"," 5470289"," 49.64",56,55,43.48,03/08/2022,T
"WIPRO"," EQ"," 04-Mar-2022"," 569.55"," 561.00"," 580.00"," 554.05"," 573.55"," 575.30"," 569.46"," 13474186"," 76730.71"," 186880"," 6992617"," 51.90",72,55,43.43,03/04/2022,T
"WIPRO"," EQ"," 03-Mar-2022"," 555.20"," 563.00"," 575.95"," 560.35"," 570.45"," 569.55"," 571.02"," 12955663"," 73979.07"," 184234"," 6234900"," 48.12",70,54,43.47,03/03/2022,T
"WIPRO"," EQ"," 02-Mar-2022"," 555.80"," 555.00"," 558.30"," 550.40"," 557.10"," 555.20"," 554.96"," 8177055"," 45379.35"," 145582"," 4943603"," 60.46",56,54,43.38,03/02/2022,T
"WIPRO"," EQ"," 28-Feb-2022"," 555.25"," 551.00"," 560.10"," 544.10"," 556.30"," 555.80"," 554.54"," 9158437"," 50787.06"," 114738"," 4772984"," 52.12",80,54,43.49,02/28/2022,T
"WIPRO"," EQ"," 25-Feb-2022"," 537.15"," 548.00"," 558.75"," 547.50"," 556.00"," 555.25"," 554.50"," 7961312"," 44145.79"," 135467"," 3416071"," 42.91",59,54,43.18,02/25/2022,F
"WIPRO"," EQ"," 24-Feb-2022"," 567.10"," 548.00"," 556.90"," 531.15"," 538.30"," 537.15"," 544.12"," 13476944"," 73330.31"," 245211"," 6519106"," 48.37",55,53,43.21,02/24/2022,T
