symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ZEEL"," EQ"," 25-Mar-2022"," 298.90"," 303.00"," 303.75"," 293.00"," 295.60"," 295.10"," 297.08"," 30465535"," 90507.91"," 169051"," 5842173"," 19.18",180,149,26.39,03/25/2022,F
"ZEEL"," EQ"," 24-Mar-2022"," 256.05"," 281.65"," 307.25"," 281.65"," 299.30"," 298.90"," 298.08"," 86772872"," 258652.36"," 422852"," 22092817"," 25.46",205,149,26.33,03/24/2022,F
"ZEEL"," EQ"," 23-Mar-2022"," 248.55"," 251.00"," 260.90"," 244.20"," 253.75"," 256.05"," 253.75"," 18175302"," 46120.06"," 113619"," 2819495"," 15.51",160,148,26.36,03/23/2022,F
"ZEEL"," EQ"," 22-Mar-2022"," 256.80"," 257.00"," 258.70"," 243.05"," 248.20"," 248.55"," 248.78"," 14965332"," 37231.26"," 79729"," 2404144"," 16.06",188,147,26.48,03/22/2022,F
"ZEEL"," EQ"," 21-Mar-2022"," 258.80"," 258.95"," 263.30"," 256.10"," 256.45"," 256.80"," 259.49"," 8909916"," 23120.30"," 46358"," 1764689"," 19.81",192,147,26.39,03/21/2022,F
"ZEEL"," EQ"," 17-Mar-2022"," 254.15"," 259.80"," 261.75"," 255.80"," 257.80"," 258.80"," 259.29"," 9120713"," 23649.25"," 57782"," 2304037"," 25.26",158,146,26.19,03/17/2022,F
"ZEEL"," EQ"," 16-Mar-2022"," 253.95"," 259.00"," 259.00"," 253.00"," 254.60"," 254.15"," 254.88"," 8512767"," 21697.02"," 41218"," 2556030"," 30.03",207,146,26.11,03/16/2022,T
"ZEEL"," EQ"," 15-Mar-2022"," 259.20"," 260.00"," 263.95"," 252.60"," 253.40"," 253.95"," 258.39"," 15453515"," 39930.31"," 85285"," 3491323"," 22.59",181,145,25.97,03/15/2022,F
"ZEEL"," EQ"," 14-Mar-2022"," 242.45"," 244.90"," 262.80"," 244.10"," 258.50"," 259.20"," 256.82"," 27764946"," 71307.24"," 152710"," 5844072"," 21.05",182,144,25.85,03/14/2022,F
"ZEEL"," EQ"," 11-Mar-2022"," 246.80"," 247.10"," 253.50"," 241.00"," 241.75"," 242.45"," 246.66"," 15568427"," 38401.15"," 82820"," 3375082"," 21.68",188,144,25.78,03/11/2022,F
"ZEEL"," EQ"," 10-Mar-2022"," 250.60"," 258.00"," 258.00"," 245.00"," 246.50"," 246.80"," 250.49"," 12616988"," 31604.13"," 70184"," 2617781"," 20.75",180,143,25.70,03/10/2022,F
"ZEEL"," EQ"," 09-Mar-2022"," 236.70"," 238.00"," 252.30"," 235.60"," 250.40"," 250.60"," 247.01"," 18640774"," 46045.15"," 117324"," 2850981"," 15.29",159,142,25.68,03/09/2022,F
"ZEEL"," EQ"," 08-Mar-2022"," 238.00"," 236.25"," 240.10"," 228.75"," 234.80"," 236.70"," 235.01"," 13268000"," 31180.81"," 79433"," 2890173"," 21.78",167,143,25.77,03/08/2022,F
"ZEEL"," EQ"," 04-Mar-2022"," 238.00"," 236.00"," 238.60"," 221.10"," 224.75"," 224.15"," 230.88"," 13748778"," 31742.77"," 80675"," 2668987"," 19.41",170,142,25.43,03/04/2022,F
"ZEEL"," EQ"," 03-Mar-2022"," 237.85"," 241.50"," 244.00"," 235.60"," 237.70"," 238.00"," 239.45"," 10838206"," 25952.29"," 66508"," 1990236"," 18.36",163,142,25.36,03/03/2022,F
"ZEEL"," EQ"," 02-Mar-2022"," 229.25"," 229.25"," 241.25"," 227.20"," 238.55"," 237.85"," 236.01"," 17541419"," 41399.37"," 94900"," 3540312"," 20.18",185,142,25.35,03/02/2022,F
"ZEEL"," EQ"," 28-Feb-2022"," 231.35"," 226.80"," 233.00"," 219.50"," 232.40"," 229.25"," 223.73"," 27664374"," 61892.82"," 127463"," 12167239"," 43.98",217,142,25.14,02/28/2022,T
"ZEEL"," EQ"," 25-Feb-2022"," 221.20"," 230.95"," 239.05"," 227.15"," 232.55"," 231.35"," 233.04"," 16615490"," 38721.09"," 120207"," 5912152"," 35.58",138,140,24.71,02/25/2022,F
"ZEEL"," EQ"," 24-Feb-2022"," 240.20"," 230.00"," 233.90"," 218.85"," 222.55"," 221.20"," 226.16"," 21321440"," 48221.25"," 124717"," 7146763"," 33.52",171,141,24.42,02/24/2022,T
"ZEEL"," EQ"," 23-Feb-2022"," 240.45"," 244.75"," 246.00"," 239.20"," 240.80"," 240.20"," 242.35"," 10738414"," 26024.47"," 70297"," 3291976"," 30.66",153,140,24.18,02/23/2022,T
"ZEEL"," EQ"," 22-Feb-2022"," 254.35"," 245.00"," 250.95"," 237.10"," 240.75"," 240.45"," 243.36"," 14021583"," 34123.14"," 100222"," 3934635"," 28.06",140,140,24.02,02/22/2022,F
"ZEEL"," EQ"," 21-Feb-2022"," 261.40"," 258.00"," 261.85"," 252.80"," 253.35"," 254.35"," 256.85"," 9746915"," 25035.29"," 52681"," 2909534"," 29.85",185,140,24.00,02/21/2022,T
"ZEEL"," EQ"," 18-Feb-2022"," 263.00"," 262.50"," 267.90"," 260.10"," 261.50"," 261.40"," 264.07"," 7291926"," 19255.53"," 45881"," 1403301"," 19.24",159,139,23.92,02/18/2022,F
"ZEEL"," EQ"," 17-Feb-2022"," 267.65"," 268.05"," 269.00"," 261.85"," 263.00"," 263.00"," 265.72"," 5741013"," 15254.76"," 42711"," 1215248"," 21.17",134,139,23.99,02/17/2022,F
"ZEEL"," EQ"," 16-Feb-2022"," 267.55"," 269.00"," 272.50"," 266.00"," 266.40"," 267.65"," 268.63"," 11455108"," 30771.87"," 71787"," 4264704"," 37.23",160,139,24.08,02/16/2022,T
"ZEEL"," EQ"," 15-Feb-2022"," 249.35"," 252.00"," 268.90"," 251.60"," 267.55"," 267.55"," 261.88"," 20413908"," 53459.99"," 125440"," 4860289"," 23.81",163,139,23.71,02/15/2022,T
"ZEEL"," EQ"," 14-Feb-2022"," 261.90"," 257.00"," 260.05"," 248.05"," 249.05"," 249.35"," 253.21"," 11162019"," 28263.71"," 103087"," 2489623"," 22.30",108,138,23.60,02/14/2022,F
"ZEEL"," EQ"," 11-Feb-2022"," 263.80"," 263.50"," 267.50"," 260.70"," 261.65"," 261.90"," 264.26"," 11096932"," 29324.60"," 94283"," 4209759"," 37.94",118,139,23.71,02/11/2022,F
"ZEEL"," EQ"," 10-Feb-2022"," 268.10"," 269.90"," 270.60"," 263.00"," 263.15"," 263.80"," 265.89"," 12375550"," 32904.86"," 110776"," 6232226"," 50.36",112,139,23.31,02/10/2022,F
"ZEEL"," EQ"," 09-Feb-2022"," 270.80"," 273.00"," 276.30"," 267.10"," 268.15"," 268.10"," 270.22"," 8165778"," 22065.24"," 65224"," 3762686"," 46.08",125,139,22.77,02/09/2022,F
"ZEEL"," EQ"," 08-Feb-2022"," 275.50"," 276.05"," 278.00"," 267.30"," 270.10"," 270.80"," 272.20"," 6048793"," 16464.89"," 53013"," 1113443"," 18.41",114,139,22.35,02/08/2022,F
"ZEEL"," EQ"," 07-Feb-2022"," 278.30"," 276.00"," 280.65"," 273.85"," 274.45"," 275.50"," 277.61"," 5716433"," 15869.11"," 70999"," 1275602"," 22.31",81,140,22.44,02/07/2022,F
"ZEEL"," EQ"," 04-Feb-2022"," 287.50"," 287.70"," 288.75"," 276.60"," 278.65"," 278.30"," 280.54"," 10466445"," 29362.11"," 81965"," 2482680"," 23.72",128,141,22.56,02/04/2022,F
"ZEEL"," EQ"," 03-Feb-2022"," 292.55"," 284.30"," 292.00"," 278.60"," 286.65"," 287.50"," 287.65"," 12970686"," 37310.55"," 78764"," 3616527"," 27.88",165,141,22.55,02/03/2022,T
"ZEEL"," EQ"," 02-Feb-2022"," 289.60"," 293.10"," 296.00"," 290.60"," 292.25"," 292.55"," 293.63"," 6392749"," 18771.05"," 48102"," 1525250"," 23.86",133,140,22.59,02/02/2022,F
"ZEEL"," EQ"," 01-Feb-2022"," 289.55"," 293.10"," 293.35"," 285.00"," 290.95"," 289.60"," 288.69"," 7873540"," 22730.13"," 59952"," 2252113"," 28.60",131,141,22.46,02/01/2022,F
"ZEEL"," EQ"," 31-Jan-2022"," 285.50"," 290.00"," 294.55"," 288.70"," 289.45"," 289.55"," 290.96"," 8827496"," 25684.34"," 71359"," 2995560"," 33.93",124,141,22.35,01/31/2022,F
"ZEEL"," EQ"," 28-Jan-2022"," 283.20"," 285.40"," 292.70"," 284.00"," 285.75"," 285.50"," 288.01"," 9119101"," 26264.21"," 62838"," 2821807"," 30.94",145,142,22.21,01/28/2022,T
"ZEEL"," EQ"," 27-Jan-2022"," 288.80"," 284.00"," 286.55"," 278.55"," 283.80"," 283.20"," 282.95"," 10806939"," 30578.46"," 78076"," 3225554"," 29.85",138,141,21.94,01/27/2022,F
"ZEEL"," EQ"," 25-Jan-2022"," 268.10"," 266.90"," 289.75"," 264.25"," 287.10"," 288.80"," 281.96"," 19734730"," 55644.61"," 151607"," 3487913"," 17.67",130,142,21.87,01/25/2022,F
"ZEEL"," EQ"," 24-Jan-2022"," 289.35"," 290.45"," 290.70"," 262.50"," 266.25"," 268.10"," 271.33"," 28800291"," 78143.23"," 202969"," 9164304"," 31.82",142,142,21.78,01/24/2022,F
"ZEEL"," EQ"," 21-Jan-2022"," 308.45"," 308.50"," 308.50"," 286.10"," 291.40"," 289.35"," 296.28"," 14111047"," 41808.21"," 117892"," 4550759"," 32.25",120,142,21.48,01/21/2022,F
"ZEEL"," EQ"," 20-Jan-2022"," 317.55"," 317.45"," 317.45"," 307.20"," 308.25"," 308.45"," 310.33"," 10663352"," 33091.93"," 108956"," 4975549"," 46.66",98,143,21.21,01/20/2022,F
"ZEEL"," EQ"," 19-Jan-2022"," 316.60"," 316.45"," 318.50"," 308.60"," 316.60"," 317.55"," 314.37"," 7401104"," 23266.74"," 69039"," 2329038"," 31.47",107,143,20.76,01/19/2022,F
"ZEEL"," EQ"," 18-Jan-2022"," 323.60"," 324.80"," 324.80"," 315.25"," 317.10"," 316.60"," 319.52"," 8259952"," 26392.58"," 62682"," 2269781"," 27.48",132,144,20.65,01/18/2022,F
