symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ZYDUSLIFE"," EQ"," 23-Mar-2022"," 360.10"," 360.90"," 369.00"," 360.50"," 367.00"," 367.80"," 365.88"," 1283159"," 4694.87"," 22155"," 574732"," 44.79",58,57,47.51,03/23/2022,F
"ZYDUSLIFE"," EQ"," 22-Mar-2022"," 366.40"," 368.00"," 368.00"," 358.30"," 360.80"," 360.10"," 361.72"," 1459296"," 5278.63"," 18319"," 744068"," 50.99",80,57,47.78,03/22/2022,T
"ZYDUSLIFE"," EQ"," 21-Mar-2022"," 373.30"," 375.00"," 377.90"," 365.50"," 366.65"," 366.40"," 371.86"," 1058349"," 3935.53"," 19761"," 380686"," 35.97",54,54,47.43,03/21/2022,F
"ZYDUSLIFE"," EQ"," 17-Mar-2022"," 375.15"," 378.00"," 378.60"," 371.40"," 373.95"," 373.30"," 374.40"," 994040"," 3721.73"," 18814"," 452421"," 45.51",53,54,48.86,03/17/2022,F
"ZYDUSLIFE"," EQ"," 16-Mar-2022"," 369.60"," 372.15"," 376.00"," 369.55"," 375.05"," 375.15"," 372.93"," 1078307"," 4021.35"," 18603"," 581217"," 53.90",58,54,49.34,03/16/2022,T
"ZYDUSLIFE"," EQ"," 15-Mar-2022"," 365.35"," 368.00"," 373.65"," 366.55"," 370.05"," 369.60"," 369.93"," 1707534"," 6316.70"," 26537"," 919155"," 53.83",64,54,48.58,03/15/2022,T
"ZYDUSLIFE"," EQ"," 14-Mar-2022"," 370.65"," 373.00"," 374.15"," 363.10"," 365.55"," 365.35"," 366.29"," 840970"," 3080.37"," 20014"," 399150"," 47.46",42,52,47.53,03/14/2022,F
"ZYDUSLIFE"," EQ"," 11-Mar-2022"," 365.75"," 363.10"," 374.60"," 362.40"," 370.45"," 370.65"," 370.56"," 1365084"," 5058.46"," 30209"," 568845"," 41.67",45,54,47.54,03/11/2022,F
"ZYDUSLIFE"," EQ"," 10-Mar-2022"," 359.35"," 368.00"," 368.00"," 361.50"," 366.00"," 365.75"," 364.54"," 2097821"," 7647.44"," 32686"," 1287939"," 61.39",64,57,49.50,03/10/2022,T
"ZYDUSLIFE"," EQ"," 09-Mar-2022"," 344.50"," 350.00"," 363.00"," 348.05"," 358.95"," 359.35"," 358.60"," 3946522"," 14152.28"," 71517"," 1313872"," 33.29",55,54,43.56,03/09/2022,F
"ZYDUSLIFE"," EQ"," 08-Mar-2022"," 342.10"," 342.10"," 347.00"," 335.75"," 343.90"," 344.50"," 342.73"," 978348"," 3353.08"," 18860"," 526517"," 53.82",52,52,53.82,03/08/2022,F
